Snowball Map,Dedupe Key,brizo_id,Name,Street,Business Type,Amenities,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,Established,Phone,Most Common Email,Cuisines (Regional),Price Range,Dishes,Technology Vendors
72043,750 NelsonV6Z 1,af93d7fd6658425b,Sushi Jin,750 Nelson St,Hotel/Resort; Restaurant,Restroom; Wheelchair Accessible; Table Service; Parking; Alcohol; Online Ordering; Seating; Reservations; Credit Cards; Debit Cards; Dine-in; Delivery; Takeout,Vancouver,BC,V6Z 1A8,Canada,Teri,J,Business Owner,Owner,,,2018.0,(604) 559-8834,sushijinvancouver@gmail.com,Japanese,$$$$,Seafood; Sushi,Tock
72044,1652 WyandN9B 1,b0aa562ba27054b6,U-Noodles,1652 Wyandotte St W,Restaurant,Restroom; Wheelchair Accessible; Online Ordering; TV; Seating; Delivery; Credit Cards; High Chairs; Debit Cards; Dine-in; Takeout,Windsor,ON,N9B 1H7,Canada,,,,,,,,(519) 252-0884,,Chinese,$,Noodles,Skip the Dishes; Uber Eats; DoorDash
72045,245 CentenL9W 5,a4493343422206e4,Sushi Kaika,245 Centennial Rd,Restaurant,Groups; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Bike Parking; Delivery; Credit Cards; Curbside Pickup; Buffet; Restroom; Parking; Online Ordering; TV; Catering; High Chairs; Debit Cards; Dine-in; Takeout,Orangeville,ON,L9W 5K9,Canada,,,,,,,,(519) 941-8288,,Japanese; Chinese,$$,Smoked Salmon; BBQ; Sushi; Chicken,Skip the Dishes
72046,79 MontreaK1L 6,a38f43f4c6a022ff,Ruby House Chinese Food,79 Montreal Rd,Restaurant,Delivery; Credit Cards; Online Ordering; Debit Cards; Takeout,Ottawa,ON,K1L 6E8,Canada,,,,,,,,(613) 745-8228,,Chinese,,Soups; Seafood; Chicken Wings; Chicken; Noodles; French Fries,Skip the Dishes; Uber Eats
72047,4540 No 3 V6X 4,a0ad3980d4e2b6a2,Yummy Dumpling,4540 No 3 Rd,Restaurant,Delivery; Wheelchair Accessible; Online Ordering; Takeout,Richmond,BC,V6X 4E4,Canada,,,,,,,,(604) 232-5220,ilove@yummydumpling.ca,Chinese,$,Dumplings; Dim Sum,Google Analytics; Skip the Dishes; Google Maps; DoorDash; Uber Eats
72048,546 6th StV3L 5,a1bdc12337c69758,Sanjo Sushi,546 6th St,Restaurant,Groups; Delivery; Alcohol; Online Ordering; Fresh Ingredients; Takeout,New Westminster,BC,V3L 5V1,Canada,,,,,,,,(604) 553-7556,,Japanese,$$,Soups; Smoked Salmon; Seafood; Sushi; Chicken; Noodles,Skip the Dishes; Uber Eats
72049,39 Smithe V6B 0,a2a20c2c3da67267,Mrkt East,39 Smithe St,Restaurant,Groups; TV; Delivery; Takeout,Vancouver,BC,V6B 0R3,Canada,,,,,,,,(604) 683-7277,,Japanese; Chinese,$,,
72050,5418 YongeM2N 6,a2ca744cb1e4f30e,Jian Bing Club,5418 Yonge St,Restaurant,Restroom; Groups; Wheelchair Accessible; Online Ordering; Delivery; Credit Cards; Debit Cards; Dine-in; Takeout,Toronto,ON,M2N 6X4,Canada,,,,,,,,(416) 551-8381,,Chinese,$,,Fantuan; Uber Eats
72051,5440 YongeM2N 5,a2a8a3cb7aee943a,Kakuya,5440 Yonge St,Restaurant,Groups; Delivery; Alcohol; Online Ordering; Takeout,Toronto,ON,M2N 5R8,Canada,,,,,,,,(416) 222-6463,,Canadian; Japanese,$$,Chicken; French Fries,Skip the Dishes; DoorDash; Uber Eats
72052,111 Main SS0E 1,a4ee7d97ff9d81aa,New Regal Restaurant,111 Main St,Restaurant,Restroom; Groups; Wheelchair Accessible; Table Service; Seating; Reservations; Credit Cards; High Chairs; Dine-in; Takeout,Melfort,SK,S0E 1A0,Canada,,,,,,,,(306) 752-4883,,Chinese,$,,
72053,42 GristmiM5A 3,a37601b01c91cffc,Boku,42 Gristmill Ln,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Bike Parking; Delivery; Credit Cards; Curbside Pickup; Restroom; Online Ordering; Contactless Delivery; Catering; High Chairs; Debit Cards; Dine-in; Outdoor Seating; Takeout,Toronto,ON,M5A 3C4,Canada,,,,,,,2018.0,(416) 368-8686,marketing@bokurestaurant.com,Japanese,$$,Sushi; Ramen; Noodles; French Fries,Wix Restaurants; UEAT; Ritual; Uber Eats
72054,210 Main SS0L 2,a6aa789cfb25c39d,Mah's Kitchen,210 Main St,Restaurant,Restroom; Groups; Wheelchair Accessible; Alcohol; Seating; Reservations; Credit Cards; High Chairs; Debit Cards; Dine-in; Buffet; Takeout,Rosetown,SK,S0L 2V0,Canada,,,,,,,,(306) 882-2042,,Chinese,,,
72055,1047 StockS4X 4,a728fc171ebbfbfd,Thai Basil,1047 Stockton St,Restaurant,Groups; Wheelchair Accessible; Gift Cards; Table Service; Alcohol; Seating; Reservations; Delivery; Credit Cards; Curbside Pickup; Restroom; Online Ordering; Digital Payments; Contactless Delivery; Catering; High Chairs; Debit Cards; Dine-in; Takeout,Regina,SK,S4X 4R6,Canada,,,,,,,,(306) 586-8899,,Vietnamese; Chinese; Thai,,Seafood; Chicken,Google Analytics; Squarespace; Stripe; Skip the Dishes; MailChimp; Google Maps; Opencart; DoorDash
72056,36 Simcoe L1G 4,ab832a9e4f0dba6d,Wok's Up Oshawa,36 Simcoe St N,Restaurant,Delivery; Wheelchair Accessible; Credit Cards; Online Ordering; Debit Cards; Dine-in; Takeout,Oshawa,ON,L1G 4S1,Canada,,,,,,,,(905) 725-2580,,Chinese,$,Seafood; Chicken,Skip the Dishes; DI develop; Uber Eats
72057,12191 HammV7A 5,b13e34b8b11abae9,Oh Pot | 10% OFF (Richmond),12191 Hammersmith Way,Restaurant,Restroom; Groups; Wi-Fi; Wheelchair Accessible; Online Ordering; Fresh Ingredients; Reservations; Delivery; Credit Cards; Curbside Pickup; QR Codes; Debit Cards; Dine-in; Takeout,Richmond,BC,V7A 5H2,Canada,,,,,infoflame1014@gmail.com,,,(604) 767-0412,infoflame1014@gmail.com,Chinese,,Hot Pot; Chicken,Google Analytics; Fantuan; DoorDash; Uber Eats
72058,136 PortlaB2Y 1,b162d8ad7ccc60d9,May Garden,136 Portland St,Restaurant,Groups; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Delivery; Credit Cards; Curbside Pickup; Restroom; Parking; Online Ordering; TV; Fresh Ingredients; Contactless Delivery; Fast Service; Catering; High Chairs; Debit Cards; Dine-in; Takeout,Halifax,NS,B2Y 1J1,Canada,,,,,,,1976.0,(902) 469-2226,,Canadian; Chinese,$$,Chicken; Noodles; French Fries,Skip the Dishes; Google Maps; DoorDash; Uber Eats
72059,1255 KilalN5Y 0,ba8375db0da491b3,Mino Sushi,1255 Kilally Rd,Restaurant,Restroom; Wheelchair Accessible; Parking; Alcohol; Online Ordering; Digital Payments; Seating; Reservations; Delivery; Contactless Delivery; Credit Cards; Debit Cards; Dine-in; Takeout,London,ON,N5Y 0B7,Canada,,,,,,,,(519) 451-3888,,Japanese,,Soups; Seafood; Sushi; Chicken,Skip the Dishes; Stripe; Google Maps; DoorDash; Uber Eats
72060,2625 29th S4S 2,265da8ab8a472484,Lee's Chop Suey,2625 29th Ave,Restaurant,Groups; Wheelchair Accessible; Alcohol; Seating; Reservations; Delivery; Credit Cards; Buffet; Restroom; Parking; Online Ordering; Contactless Delivery; Fast Service; Catering; High Chairs; Debit Cards; Dine-in; Takeout,Regina,SK,S4S 2N9,Canada,,,,,,,,(306) 585-3868,,Szechuan; Chinese,$$,Seafood; Chicken; Noodles,Google Analytics; Google Maps; DoorDash
72061,405 CraigfV9A 2,210760dc52e9e196,Crown Palace,405 Craigflower Rd,Restaurant,Groups; Wheelchair Accessible; Online Ordering; Bike Parking; Delivery; Credit Cards; Catering; Debit Cards; Dine-in; Takeout,Victoria,BC,V9A 2V7,Canada,,,,,solomon@crownpalacevictoria.com,,,(250) 383-5322,solomon@crownpalacevictoria.com,Chinese,$$,Seafood; Fried Rice; Chicken Wings; Chicken; Noodles; French Fries,Facebook Pixel; Google Analytics; Skip the Dishes; TouchBistro; DoorDash
72062,135 King SL8N 1,27c30c03c2ffeb4f,Tatemono Sushi Bar & Restaurant,135 King St E,Hotel/Resort; Restaurant,Groups; Wheelchair Accessible; Table Service; Parking; Alcohol; Online Ordering; TV; Seating; Reservations; Bike Parking; Catering; Buffet; Delivery; Takeout,Hamilton,ON,L8N 1B1,Canada,,,,,,,,(905) 521-2227,info@tatemono.ca,Japanese,$$,Smoked Salmon; Sushi,
72063,1508 23 AvT6T 0,35587ed62decb3a0,Bollywood Indian Cuisine,1508 23 Ave NW,Restaurant,Restroom; Groups; Wheelchair Accessible; Alcohol; Online Ordering; Seating; Reservations; Delivery; Contactless Delivery; Credit Cards; Catering; Debit Cards; Dine-in; Takeout,Edmonton,AB,T6T 0Y2,Canada,,,,,bollywoodcuisine2020@gmail.com,,,(780) 760-7711,bollywoodcuisine2020@gmail.com,Indian; Chinese,$,Seafood; Chicken Wings; Chicken; French Fries,Skip the Dishes; Google Maps; DoorDash; Squarespace; Uber Eats
72064,19910 LessT6M 0,32796afebfd39f7b,House of Mein,19910 Lessard Rd NW,Restaurant,Delivery; Online Ordering; Takeout,Edmonton,AB,T6M 0T9,Canada,,,,,,,,(780) 341-6936,,Chinese,,Chicken; Noodles,Skip the Dishes
72065,555 W 12thV5Z 3,2f8a19862ecab61b,King's Wok,555 W 12th Ave,Restaurant,Delivery; Wheelchair Accessible; Credit Cards; Online Ordering; Debit Cards; Dine-in; Takeout,Vancouver,BC,V5Z 3X7,Canada,,,,,,,,(604) 872-8837,,Chinese,$,Noodles,Uber Eats
72066,151 LoutitT9K 0,2f19549be2017a39,The Rice Bowl,151 Loutit Rd,Restaurant; Quick Service,Delivery; Wheelchair Accessible; Fast Service; Credit Cards; Online Ordering; Debit Cards; Takeout,Wood Buffalo,AB,T9K 0K6,Canada,,,,,,,,(780) 750-3939,,Chinese; Thai,$$,Soups; Seafood; Fried Rice; Chicken; Noodles,Google Analytics; Skip the Dishes; DoorDash
72067,83 KennedyL6W 3,2e61a3df8abb247f,Calypso Gardens,83 Kennedy Rd S,Restaurant,Groups; Online Ordering; TV; Takeout,Brampton,ON,L6W 3P3,Canada,,,,,,,,(905) 454-4477,,Caribbean; Chinese,$,French Fries,Wix Restaurants
72068,7030 St BaL5W 0,3139de3c1787b2b5,The Hakka Club,7030 St Barbara Blvd,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Alcohol; Seating; Reservations; Delivery; Credit Cards; Curbside Pickup; Restroom; Parking; Online Ordering; Contactless Delivery; Catering; High Chairs; Debit Cards; Dine-in; Outdoor Seating; Takeout,Mississauga,ON,L5W 0E6,Canada,,,,,,,,(905) 565-1144,,Indian; Chinese,$$,Seafood; BBQ; Chicken Wings; Chicken; Noodles; French Fries,Skip the Dishes; Shopify; Google Maps; OrderStack; Uber Eats
72069,3290 MidlaM1V 3,292f98f252e721c9,Ka Wor Yuen BBQ,3290 Midland Ave,Restaurant,Delivery; Catering; Online Ordering; Dine-in; Takeout,Toronto,ON,M1V 3Z9,Canada,,,,,kaworyuenbbq@hotmail.com,,,(416) 335-4031,kaworyuenbbq@hotmail.com,Japanese; Chinese,$$,Pork; BBQ; Bento Box,DoorDash
72070,4605 LakelV8G 1,2a257d50036feadf,Ninja Japanese and Korean Cuisine,4605 Lakelse Ave,Hotel/Resort; Restaurant,Restroom; Groups; Wheelchair Accessible; Table Service; Parking; Alcohol; Online Ordering; Seating; Reservations; Credit Cards; High Chairs; Debit Cards; Dine-in; Takeout,Terrace,BC,V8G 1P9,Canada,,,,,,,,(778) 634-2104,,Korean; Japanese,$$,Smoked Salmon; Sushi; French Fries,YellowPages.ca; Wix Restaurants; Google Analytics
72071,680 SilverL5A 3,33afb6d2ab1afe34,Happy Dim Sum Bakery,680 Silver Creek Blvd,Bakery; Restaurant,Restroom; Groups; Wheelchair Accessible; Table Service; TV; Bike Parking; Debit Cards; Takeout,Mississauga,ON,L5A 3Z1,Canada,,,,,,,,(905) 270-6888,,Chinese,$,Dim Sum,
72072,6063 SilveV5H 0,33e361d53da844e1,Kohaku - Japanese Udon & Tempura (Metrotown),6063 Silver Dr,Hotel/Resort; Restaurant,Restroom; Groups; Wheelchair Accessible; Parking; Alcohol; Online Ordering; Fresh Ingredients; Reservations; Delivery; Credit Cards; Debit Cards; Dine-in; Takeout,Burnaby,BC,V5H 0J5,Canada,,,,,info@kohakutendon.com,,,(236) 521-9673,info@kohakutendon.com,Japanese,$$,Tempura; Seafood; Sushi,Skip the Dishes; Fantuan; Google Maps; Uber Eats; DoorDash
72073,4747 67 StT4N 6,340895773c2e503f,Sizzling Wok,4747 67 St,Restaurant,Groups; Wheelchair Accessible; Gift Cards; Online Ordering; Fresh Ingredients; Delivery; Credit Cards; Curbside Pickup; Debit Cards; Dine-in; Takeout,Red Deer,AB,T4N 6H3,Canada,,,,,,,,(403) 348-0567,,Chinese,$$,Noodles; French Fries,Google Analytics; Matterport; Squarespace; Skip the Dishes; Google Maps; MailChimp; Opencart; DoorDash
72074,728 BurloaL7L 0,342159f622ab65ab,China Star,728 Burloak Dr,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Online Ordering; Reservations; Delivery; Credit Cards; Catering; Debit Cards; Dine-in; Takeout,Burlington,ON,L7L 0B1,Canada,,,,,mychinastar218@gmail.com,,,(905) 631-6390,mychinastar218@gmail.com,Chinese,$,Soups; Seafood; Chicken,Weebly; Google Analytics; Skip the Dishes; Clover POS; DoorDash; Uber Eats
72075,491 Baker V1L 4,33dc277dc1a377f1,Kurama Sushi,491 Baker St,Hotel/Resort; Restaurant,Restroom; Wi-Fi; Wheelchair Accessible; Gift Cards; Parking; Alcohol; Seating; Credit Cards; Catering; High Chairs; Debit Cards; Dine-in; Outdoor Seating; Takeout,Nelson,BC,V1L 4H7,Canada,,,,,kuramasushinelson@gmail.com,,2017.0,(250) 352-5353,kuramasushinelson@gmail.com,Japanese,$,Sushi,
72076,4490 FairvL7L 5,3368cca7c068d2ea,M2GO by Mandarin,4490 Fairview St,Restaurant,Restroom; Groups; Wheelchair Accessible; Alcohol; Online Ordering; Delivery; Credit Cards; Debit Cards; Dine-in; Buffet; Takeout,Burlington,ON,L7L 5P9,Canada,,,,,info@m2gobymandarin.com,,,(905) 639-9999,info@m2gobymandarin.com,Vietnamese; Chinese,$,Soups; Seafood; Fried Rice; Chicken; Noodles,Skip the Dishes; Google Maps; DoorDash; Uber Eats
72077,2044 W 41sV6M 1,332e3be67fcef991,New Chongqing Restaurant,2044 W 41st Ave,Restaurant,Restroom; Groups; Alcohol; Online Ordering; TV; Reservations; Bike Parking; Delivery; Credit Cards; Debit Cards; Dine-in; Takeout,Vancouver,BC,V6M 1Y8,Canada,,,,,,,,(604) 266-9988,,Chinese,$$,Pork; Dim Sum; Soups; Seafood; Noodles,Fantuan; Skip the Dishes; Restaurant; DI develop; DoorDash; Uber Eats
72078,8 Glen WatM1S 2,387d148fa6f10053,Sik-Fan-Lah! Dishes By Great Fountain Da Quan,8 Glen Watford Dr,Restaurant,Delivery; Online Ordering; Takeout,Toronto,ON,M1S 2C1,Canada,,,,,,,,(416) 291-6688,,Chinese,,Seafood,Uber Eats
72079,3068 MayfiL6Z 0,38bbc98d1593f479,Noodle To Go,3068 Mayfield Rd,Restaurant,Wheelchair Accessible; Online Ordering; TV; Delivery; Credit Cards; Debit Cards; Dine-in; Takeout,Brampton,ON,L6Z 0E3,Canada,,,,,,,2012.0,(905) 970-9988,,Chinese,$$,Seafood; Chicken; Noodles; French Fries,Skip the Dishes; Google Maps
72080,6555 FraseV5X 3,4f493f0463132bcd,Shoom Restaurant,6555 Fraser St,Restaurant,Groups; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Delivery; Credit Cards; Curbside Pickup; Restroom; Parking; Online Ordering; TV; Catering; High Chairs; Debit Cards; Dine-in; Takeout,Vancouver,BC,V5X 3T4,Canada,,,,,shoomonfraser@gmail.com,,,(604) 568-7797,shoomonfraser@gmail.com,Chinese,$$,Fried Rice; Noodles; French Fries,Facebook Pixel; Google Analytics; Fantuan; Oracle GloriaFood; Google Maps; GlobalFood; DoorDash; Uber Eats
72081,4000 WhistV8E 1,4e421b50eb62078f,Harajuku Izakaya,4000 Whistler Way,Hotel/Resort; Restaurant,Groups; Wheelchair Accessible; Gift Cards; Table Service; Alcohol; Seating; Reservations; Bike Parking; Credit Cards; Restroom; Parking; Catering; High Chairs; Debit Cards; Dine-in; Outdoor Seating; Takeout,Whistler,BC,V8E 1H8,Canada,Scott,L,Business Owner,Owner,,,2009.0,(604) 962-7222,info@harajuku.ca,Japanese,$$,Smoked Salmon; Sushi,Facebook Pixel; Google Analytics; Yelp Reservation; Squarespace
72082,411 Huron N7A 3,4c8ddfb0adbc9839,China Wok Buffet,411 Huron Rd,Restaurant,Restroom; Groups; Wheelchair Accessible; Parking; Alcohol; TV; Seating; Reservations; Credit Cards; High Chairs; Debit Cards; Dine-in; Buffet; Delivery; Takeout,Goderich,ON,N7A 3A4,Canada,,,,,,,,(519) 524-9989,,Chinese,$$,,
72083,367 ChamplE1A 1,4e8de6c8d204ce1e,Wok Etcetera,367 Champlain St,Restaurant,Restroom; Wheelchair Accessible; Online Ordering; Seating; Reservations; Delivery; Contactless Delivery; Credit Cards; Debit Cards; Dine-in; Takeout,Dieppe,NB,E1A 1P2,Canada,,,,,,,,(506) 856-7093,,Chinese,,Chicken Wings; Chicken,Skip the Dishes; DI develop; Uber Eats; DoorDash
72084,1675 The CL5M 5,4cd3313bb58ec598,Bayview Garden Restaurant,1675 The Chase,Restaurant,Restroom; Groups; Wheelchair Accessible; Parking; Alcohol; Online Ordering; Seating; Reservations; Delivery; Credit Cards; High Chairs; Debit Cards; Dine-in; Takeout,Mississauga,ON,L5M 5Y7,Canada,,,,,,,,(905) 820-9559,,Chinese,$$,Pork; Seafood; Chicken; Noodles,Fantuan; DoorDash; Uber Eats
72085,3500 FalloK2J 4,517af4833eec06e9,Wan's Chinese Food,3500 Fallowfield Rd,Restaurant,Wheelchair Accessible; Online Ordering; TV; Reservations; Credit Cards; Catering; Debit Cards; Delivery; Takeout,Ottawa,ON,K2J 4A7,Canada,,,,,info@wanschinesefood.com,,,(613) 825-8880,info@wanschinesefood.com,Chinese,$,,Google Maps; UEAT; DoorDash; GlobalFood; Uber Eats
72086,229 VictorS4N 0,4ff0bb976df1bbf7,Misoya Japanese Korean Cuisine,229 Victoria Ave E,Restaurant,Restroom; Groups; Wheelchair Accessible; Parking; Alcohol; Online Ordering; Reservations; Delivery; Credit Cards; Debit Cards; Dine-in; Buffet; Takeout,Regina,SK,S4N 0N5,Canada,,,,,,,,(306) 757-1512,,Korean; Japanese,$$,Smoked Salmon; Sashimi; Sushi; French Fries,Uber Eats; DoorDash
72087,170 HamptoE2E 4,506b8c9911b508f6,China Wok,170 Hampton Rd,Restaurant,Seating; Wheelchair Accessible; Table Service; Alcohol; Takeout,Quispamsis,NB,E2E 4J8,Canada,,,,,,,,(506) 849-1288,,Chinese; Thai,$$,,
72088,5 NorthtowM2N 7,522437aa92f47a6e,Wuli Wonton,5 Northtown Way,Restaurant,Online Ordering; Delivery; Takeout,Toronto,ON,M2N 7A1,Canada,,,,,,,,,,Chinese,,,
72089,616 Davie V6B 2,57cd149e38dc235f,Yamato Sushi,616 Davie St,Hotel/Resort; Restaurant,Groups; Table Service; Parking; Online Ordering; TV; Seating; Bike Parking; Delivery; Credit Cards; Catering; Debit Cards; Dine-in; Takeout,Vancouver,BC,V6B 2G5,Canada,,,,,,,,(604) 682-5494,,Korean; Japanese; Vietnamese; Chinese; Thai,$,Smoked Salmon; Seafood; Sushi,Skip the Dishes; Fantuan; DoorDash; Uber Eats
72090,7750 KenneL3R 0,5584ea2b579e0346,Happy BBQ,7750 Kennedy Rd,Restaurant,Wheelchair Accessible; Online Ordering; Dine-in; Takeout,Markham,ON,L3R 0A7,Canada,,,,,,,,(905) 470-0668,,Chinese,,BBQ,
72091,20611 FrasV3A 4,53722a21d18a7104,Kam Wah Wonton House,20611 Fraser Hwy,Restaurant,Restroom; Groups; Wheelchair Accessible; Seating; Credit Cards; High Chairs; Debit Cards; Dine-in; Delivery; Takeout,Langley,BC,V3A 4G4,Canada,,,,,,,,(604) 533-1112,,Chinese,$,,
72092,6180 YongeM2M 3,54acdf909ed468d9,Mikaku Izakaya,6180 Yonge St,Restaurant,Restroom; Groups; Alcohol; Online Ordering; Seating; Reservations; Delivery; Credit Cards; Debit Cards; Dine-in; Outdoor Seating; Takeout,Toronto,ON,M2M 3X1,Canada,,,,,,,,(647) 748-2340,,Korean; Japanese,$$,,Google Maps; Uber Eats
72093,1815 RosseV5C 6,547b0a83bc733125,Sushi Yoi,1815 Rosser Ave S,Hotel/Resort; Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Parking; Alcohol; Online Ordering; TV; Seating; Reservations; Bike Parking; Delivery; Catering; Debit Cards; Takeout,Burnaby,BC,V5C 6R4,Canada,,,,,,,,(604) 559-2288,,Japanese,$,Smoked Salmon; Seafood; BBQ; Sushi; Chicken; French Fries,Skip the Dishes; Uber Eats; DoorDash
72094,116 1st StS0K 4,55d16400cf121675,Wong's Restaurant,116 1st St S,Restaurant,Restroom; Groups; Wheelchair Accessible; Alcohol; Seating; Reservations; Credit Cards; High Chairs; Debit Cards; Dine-in; Takeout,Wakaw,SK,S0K 4P0,Canada,,,,,,,,(306) 233-4888,,Chinese,$,,
72095,1510 CanyoV0B 1,5554e5e552aa61d5,Sun R Restaurant,1510 Canyon St,Restaurant,Restroom; Groups; Wheelchair Accessible; Alcohol; Seating; Reservations; Credit Cards; High Chairs; Debit Cards; Dine-in; Buffet; Takeout,Creston,BC,V0B 1G2,Canada,,,,,,,,(250) 428-2414,,Chinese,$$,,Restaurant; Google Maps
72096,181 JubileV9L 1,4bc345407dbf4a75,Corner House Cafe,181 Jubilee St,Cafe; Restaurant,Seating; Delivery; Wheelchair Accessible; Table Service; Online Ordering; Fresh Ingredients; Takeout,Duncan,BC,V9L 1W6,Canada,,,,,mattvc@outlook.com,,,(250) 748-9211,mattvc@outlook.com,Chinese,$,Sandwiches; Hamburgers; French Fries,Feastify; DoorDash
72097,789 McKeowP1B 0,4bbb05b5f97ba24e,Green Applelicious Asian Cuisine,789 McKeown Ave,Restaurant,Delivery; Online Ordering; Takeout,North Bay,ON,P1B 0C8,Canada,,,,,,,,(705) 472-0888,,Chinese,,Seafood; Chicken,Skip the Dishes
72098,66 MississL3V 1,4a444ac75eb4cf11,Sushi Wadasi,66 Mississaga St E,Restaurant,Restroom; Wheelchair Accessible; Table Service; Alcohol; Online Ordering; TV; Seating; Reservations; Delivery; Contactless Delivery; Credit Cards; High Chairs; Debit Cards; Dine-in; Takeout,Orillia,ON,L3V 1V5,Canada,,,,,,,,(705) 259-6800,,Japanese,$$,Smoked Salmon; Seafood; Sushi,Skip the Dishes
72099,12445 LakeT2J 7,4a29a52787257de2,Oishidesu Ramen Shack,12445 Lake Fraser Dr SE,Restaurant,Restroom; Wheelchair Accessible; Online Ordering; Fresh Ingredients; Delivery; Credit Cards; Dine-in; Takeout,Calgary,AB,T2J 7A4,Canada,,,,,,,,(587) 966-4744,,Japanese,$,Seafood; Ramen; Noodles,Google Analytics; Skip the Dishes; Uber Eats
72100,440 KimbleE3B 0,517829a3bc39f921,Oriental Pearl,440 Kimble Dr,Restaurant,Groups; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Bike Parking; Delivery; Credit Cards; Restroom; Online Ordering; TV; High Chairs; Debit Cards; Dine-in; Takeout,Fredericton,NB,E3B 0K5,Canada,,,,,,,,(506) 206-8866,,Chinese,$$,Fried Rice; Chicken; Noodles,Skip the Dishes; DI develop; DoorDash
72101,578 Yonge M4Y 1,52315959453fef7c,Mabu Generation,578 Yonge St,Restaurant,Restroom; Groups; Alcohol; Online Ordering; Seating; Delivery; Contactless Delivery; Credit Cards; Debit Cards; Dine-in; Takeout,Toronto,ON,M4Y 1Z3,Canada,,,,,,,,(416) 901-8183,,Chinese,$$,Sandwiches; Chicken; French Fries; Smoothies; Seafood; Chicken Wings; Subs; Noodles,Google Analytics; Skip the Dishes; Fantuan; Restaurant Guru; DoorDash; Uber Eats; Snappy
72102,2555 VictoM1T 1,5282ed6f649e6750,Noodle Delight,2555 Victoria Park Ave,Restaurant,Restroom; Groups; Loyalty and Reward Programs; Wheelchair Accessible; Parking; TV; Seating; Bike Parking; Fast Service; Debit Cards; Dine-in; Delivery; Takeout,Toronto,ON,M1T 1A3,Canada,,,,,noodles@noodledelight.com,,,(416) 492-9734,noodles@noodledelight.com,Chinese,$,,
72103,8338 18 StT2C 4,526362461025761f,Oishii Sushi,8338 18 St SE,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Alcohol; Online Ordering; TV; Seating; Reservations; Delivery; High Chairs; Debit Cards; Buffet; Takeout,Calgary,AB,T2C 4E4,Canada,Michael,X,Business Owner,Owner,,,2014.0,(403) 475-8333,,Japanese,$$,Smoked Salmon; Seafood; Sushi; Bento Box; Noodles; French Fries,Google Analytics; Skip the Dishes; Google Maps; Uber Eats
72104,3327 LakesV1W 3,52baf19ccefc62bd,Seki Noodle House,3327 Lakeshore Rd,Hotel/Resort; Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Alcohol; Seating; Reservations; Delivery; Credit Cards; Restroom; Parking; Online Ordering; TV; High Chairs; Debit Cards; Dine-in; Outdoor Seating; Takeout,Kelowna,BC,V1W 3S9,Canada,,,,,,,2014.0,(778) 478-6838,,Korean; Japanese,$$,Soups; Smoked Salmon; Seafood; Sushi; Noodles,Skip the Dishes; Uber Eats
72105,3358 WesbrV6S 0,52c66213ff24a8f8,POKE by Ryuu,3358 Wesbrook Mall,Restaurant,Restroom; Loyalty and Reward Programs; Wheelchair Accessible; Online Ordering; Delivery; Contactless Delivery; Credit Cards; Debit Cards; Dine-in; Takeout,Vancouver,BC,V6S 0A8,Canada,,,,,,,,(604) 423-3688,,Japanese,,Seafood; Poke; Noodles,Google Analytics; Skip the Dishes; Fantuan; Codefusion; Uber Eats
72106,1422 FanshN6G 0,537fe25fb56a0af1,Asian Eatery - Ramen & Poke,1422 Fanshawe Park Rd W,Restaurant,Delivery; Online Ordering; Takeout,London,ON,N6G 0A4,Canada,,,,,,,,(519) 471-1108,,Japanese,$,Sushi,Uber Eats
72107,248 SpadinM5T 2,54fd4fc8fa395db1,HongKong Island Dim Sum House (DT),248 Spadina Ave,Hotel/Resort; Restaurant,Delivery; Online Ordering; Debit Cards; Dine-in; Takeout,Toronto,ON,M5T 2C2,Canada,,,,,,,,(647) 351-2657,,Chinese,$,,Fantuan; Uber Eats
72108,10163 81 AT6E 1,5481c9c2d1ec8580,Pablo Cheese Tart,10163 81 Ave NW,Cafe; Bakery; Restaurant,Wi-Fi; Wheelchair Accessible; Gift Cards; Parking; Online Ordering; Delivery; Credit Cards; Catering; Debit Cards; Dine-in; Takeout,Edmonton,AB,T6E 1W9,Canada,,,,,edmontoninfo@pablocanada.com,,,(587) 415-9866,edmontoninfo@pablocanada.com,Japanese,$$,Ice Cream; Frozen Yogurt; Cheese,Facebook Pixel; Shopify; MailChimp; Google Maps; Uber Eats; DoorDash
