Restaurant ID,Account Name,Account: Business Phone,Mobile - Primary,Billing Street,Billing Zip/Postal Code,Billing State/Province (text only)
R81732,^HOUSE OF HUNAN^ R81732,(234) 571-5789,(330) 798-2378,376 E. Waterloo Rd,44319,OH
R81733,NEW CHINA EXPRESS R81733,(239) 245-2061,(917) 285-6010,3501 Capital Blvd,27604,NC
R81735,HUNAN GARDEN R81735,(973) 380-4365,(646) 226-3632,1420 Route 130 North,8077,NJ
R81736,GRACE R81736,(770) 853-6676,(917) 593-2331,402 S James Campbell Blvd,38401,TN
R81737,CHINA GARDEN R81737,(910) 270-1988,(910) 382-6573,14568 Hwy 17,28443,NC
R81738,^CHINA HUT COLLEGE PARK^ R81738,(407) 839-8869,,2122 Edgewater Dr.,32804,FL
R81739,^CHOP CHOP WOK^ R81739,(725) 200-7402,(702) 327-9336,6812 W. Cheyenne Ave,89108,NV
R81751,CHINA GOURMET R81751,(205) 388-6670,(347) 404-4172,902 Hwy 78 East,35501,AL
R81753,PEKING HOUSE R81753,(201) 394-1996,(917) 670-3773,138 Broadway,7642,NJ
R81755,DRAGON R81755,(703) 731-0875,(917) 660-9703,101 S. 25th St,17104,PA
R81756,*NEW FORTUNE HOUSE* R81756,(631) 948-1154,(646) 255-8999,187 Bay Shore Rd,11729,NY
R81757,LI WAN R81757,-,(347) 909-5849,6428 Metropolitan Ave,11379,NY
R81758,WING HWA R81758,(646) 515-2281,(570) 328-6068,1656 Rt. 209 Pleasant Valley Plaza,18322,PA
R81759,FIRE WOK R81759,(443) 930-2162,(443) 534-4274,5402 East Drive,21227,MD
R81761,CHINA KITCHEN R81761,(610) 869-9305,(484) 356-7570,119 Rosehill Ave,19390,PA
R81762,^BEIJING^ R81762,(570) 283-1985,(646) 238-3083,752 Wyoming Ave,18704,PA
R81766,HONG KONG EXPRESS R81766,(248) 673-7200,(248) 346-0173,5158 Highland Rd,48327,MI
R81767,HAPPY GARDEN R81767,(405) 822-6840,(405) 923-1216,110 24th Ave SW,73069,OK
R81768,^LUCKY HOUSE^ R81768,(318) 538-9631,(214) 682-3217,204 N. Greenville Ave,75002,TX
R81769,*CHINA EXPRESS* R81769,(917) 517-1098,(917) 517-1385,857 Jefferson Ave,15301,PA
R81771,NEW GRACE R81771,(845) 803-2793,(347) 889-0731,1100 NY-52,10512,NY
R81772,ZANG CHI R81772,(314) 432-3411,(314) 280-5495,733 N. New Ballas Rd,63141,MO
R81775,CHINA PANDA R81775,(203) 577-7308,(917) 539-1034,57 Main St,6248,CT
R81776,^ASAHI^ R81776,(954) 501-6210,(954) 326-2943,9240 W Commercial Blvd,33351,FL
R81777,CHINA ONE R81777,(910) 644-4782,(312) 927-8810,3308 Bragg Blvd,28303,NC
R81778,CHINA GARDEN R81778,(205) 909-7916,(205) 317-7035,10569 Old Hwy 208,35043,AL
R81779,HAPPY PALACE R81779,(862) 588-4097,(908) 986-7824,513 Elizabeth Ave,7206,NJ
R81781,CHINA KING R81781,(814) 327-3766,(816) 882-8099,305 NE Todd George Pkwy,64086,MO
R81783,PANDA HUT R81783,(646) 462-5469,(704) 900-5508,144 Hwy 274,29710,SC
R81786,*JADE GARDEN* R81786,(646) 269-9261,(917) 745-6300,4028 Broadway,10032,NY
R81787,CHINA ONE R81787,(520) 840-2594,(646) 322-5862,2005 N.W. 7 Highway,64014,MO
R81791,GOLDEN DRAGON R81791,(404) 345-7492,(929) 580-8509,3025 GOODMAN RD,38637,MS
R81793,^DARUMAYA^ R81793,(626) 410-5290,(309) 648-0470,300 S Highland Springs Ave,92220,CA
R81795,CHINA DRAGON KITCHEN R81795,(917) 443-9882,(347) 781-3701,18 Village Ave,11003,NY
R81796,TASTE OF CHINA R81796,(262) 949-3244,(262) 581-5896,58 Market St,53121,WI
R81798,ASIAN GOURMET R81798,-,(843) 640-7796,8600 Dorchester Rd #406,29420,SC
R81799,CHEN'S RESTAURANT R81799,(803) 957-9999,(803) 957-0970,100 Old Cherokee Road #C.,29072,SC
R81801,NO.1 R81801,(757) 897-6901,(757) 912-3930,2262 Executive Drive,23666,VA
R81802,BEIJING CAFE R81802,(786) 568-5066,(347) 875-6676,2851 County Road 210 West,32259,FL
R81803,CHINA WOK R81803,(717) 263-6666,(717) 681-8566,255 Southgate Shopping Center,17201,PA
R81805,SZECHUAN GARDEN R81805,-,(917) 225-4213,164 Halstead Ave,10528,NY
R81806,CHINA EXPRESS R81806,(812) 617-1345,(765) 702-4455,1805 W. University Ave,47303,IN
R81807,HONG YIP R81807,(229) 672-6677,(832) 518-0570,141 E. Jackson St.,31792,GA
R81808,CHINA HOUSE R81808,(252) 200-7831,(917) 392-1415,818 Harbor West Dr,27803,NC
R81809,^FOOLEE'S^ R81809,(301) 254-8276,(301) 437-7269,9524 Crain Hwy,20772,MD
R81811,EAST WOK R81811,(914) 645-7045,(813) 585-9998,13807 Landstar Blvd,32824,FL
R81812,CHINA DRAGON R81812,-,(803) 496-8888,160 Plaza Circle,29142,SC
R81813,NEW CHINA R81813,(717) 948-5000,(347) 901-9888,436 E. Main Street,17057,PA
R81815,^RED HOUSE^ R81815,(215) 887-2252,(267) 709-3236,540 W. MT Carmel Ave,19038,PA
R81816,GREAT WALL R81816,(859) 351-2038,(646) 708-5263,2218 Martin Luther King Jr Blvd,40361,KY
R81817,^CHINA CITY^ R81817,(772) 837-0624,(561) 909-8625,3095 Forest Hill Blvd,33406,FL
R81819,^IMPERIAL OF CHINA^ R81819,(404) 437-0567,(678) 707-2420,4144 Redan Rd,30083,GA
R81821,LIU'S WOK R81821,(985) 768-1304,(917) 208-4855,1665 Dove Park Road,70471,LA
R81822,WOK N ROLL R81822,(727) 688-4242,(727) 793-5162,10525 Park Blvd,33772,FL
R81823,CHINA GARDEN R81823,(718) 764-3294,(718) 909-7590,1058 N Tamiami Trail #115,34236,FL
R81825,^MY CHINA CAFE^ R81825,(201) 310-5668,(347) 420-3539,55 Linden St. @Anderson St,7601,NJ
R81826,YUMMY CUISINE R81826,(843) 373-7049,(917) 663-6193,2525 S Cashua Dr,29501,SC
R81827,WILLOW GARDEN R81827,(717) 769-8957,(917) 442-7958,50 N 9th St,17046,PA
R81828,JADE WOK R81828,(615) 568-8223,(615) 336-6666,7026 City Center Way,37062,TN
R81829,^ASIAN CHEF^ R81829,(970) 218-8067,(970) 231-1101,1612 N College Ave,80524,CO
R81831,*^PANDA GARDEN^* R81831,(610) 369-1891,,850 E. Philadelphia Ave,19512,PA
R81832,GREAT WALL R81832,(803) 616-7782,(540) 256-3946,1077 King St,29403,SC
R81833,SUN GARDEN R81833,(716) 514-2541,(203) 903-3512,55 Crosspoint Parkway,14068,NY
R81835,PANDA HOUSE R81835,-,(347) 820-8785,356 Rt 9,7726,NJ
R81836,CHINA WOK R81836,(614) 619-3872,(614) 397-3238,3939 Hoover Rd,43123,OH
R81837,CHINA STAR KITCHEN R81837,(973) 563-1804,(973) 757-3665,957 Main Ave,7055,NJ
R81839,CHINA WOK R81839,(765) 482-5888,(317) 201-4161,2218 N. Lebanon St.,46052,IN
R81851,*JADE PALACE* R81851,(972) 424-5578,,820 W. Spring Creek Pkwy,75023,TX
R81852,CHINA WOK R81852,(843) 941-1085,(917) 515-5440,80 Baylor Dr,29910,SC
R81853,^MIZUKI^ R81853,(507) 676-4262,(917) 325-6813,119 W. Bridge St,55060,MN
R81856,CHINA ROSE R81856,(336) 413-1610,(917) 355-8861,810-I North Main St,27284,NC
R81858,^STAR HOUSE^ R81858,(919) 770-6685,(646) 207-1889,717 S Horner Blvd,27330,NC
R81859,CHINA MOON R81859,(919) 520-3238,(984) 268-0948,7983 Fayetteville Rd,27603,NC
R81861,GREAT WALL R81861,-,(502) 338-8208,1977 Brownsboro Rd,40206,KY
R81862,*CHINA EXPRESS* R81862,(864) 487-8918,,121 Walton Dr,29341,SC
R81863,DRAGON EXPRESS R81863,(813) 317-8513,(917) 609-9988,2101 E Fletcher Ave,33612,FL
R81865,^LUCKY HOUSE^ R81865,(347) 673-3417,(570) 394-0967,9720 Coit Rd,75025,TX
R81866,HAPPY GARDEN R81866,(646) 284-1698,(347) 613-4866,720 S Church St,8054,NJ
R81867,CHANG EXPRESS R81867,(252) 325-5632,(845) 772-0287,1919 Coliseum Blvd,27403,NC
R81868,CHINA TASTE R81868,(860) 817-1673,(917) 929-0089,7049 Clarcona Ocoee Rd,32818,FL
R81869,^JAPAN EXPRESS^ R81869,(910) 676-3011,(917) 238-3596,2132 Skibo Rd,28314,NC
R81871,^DYNASTY^ R81871,(248) 817-7742,(313) 231-1580,26441 Ford Rd,48127,MI
R81872,CHINA WOK R81872,(931) 979-1105,(215) 713-5859,606 W Main St,38506,TN
R81873,CHINA NO.1 R81873,(908) 922-0655,(908) 922-0622,748 South U.S.1,32962,FL
R81875,SUNSHINE R81875,(917) 557-3331,(917) 443-9553,364 Broadway,12401,NY
R81876,^ASIAN PALACE^ R81876,(315) 480-5842,(917) 680-0300,1623-29 E Fayette St,13210,NY
R81877,^CHINA KING^ R81877,(252) 640-0542,(252) 367-9101,1400 Charles Blvd,27858,NC
R81878,^NEW FU LIN'S^ R81878,(802) 585-5535,(917) 215-5263,30 Fairground Plaza,5661,VT
R81879,CHINA GARDEN R81879,(828) 698-0880,,825 Spartanburg Hwy,28792,NC
R81881,^CHEF'S ASIAN CUISINE^ R81881,(865) 300-7571,(917) 378-1933,10612 Hardin Valley Rd,37932,TN
R81882,GREAT WALL R81882,(305) 234-4343,(678) 469-1499,20111 SW 127 Ave,33177,FL
R81885,NY RESTAURANT R81885,(618) 977-9872,(704) 451-3177,20121-D North Main St,28031,NC
R81886,TAN'S ASIAN CAFE R81886,(850) 523-4282,,2743 Capital Circle NE.,32308,FL
R81887,NO.1 CHINESE R81887,(231) 629-9597,(616) 437-6534,1151 West Randall St,49404,MI
R81888,*GREEN LAKE* R81888,(347) 825-8265,(347) 942-2638,795 Flatbush Ave,11226,NY
R81889,CHINA KING R81889,(419) 677-2258,(347) 634-1385,5801 Telegraph Rd,43612,OH
R81891,CHINA TASTE R81891,(214) 208-9888,(407) 534-3859,13172 US Hwy 301 S,33578,FL
R81892,*CHINA KING* R81892,(843) 701-1872,(843) 260-6550,360 N. Cashua Dr,29501,SC
R81893,NEW STAR R81893,(570) 688-5075,(917) 669-0950,3180 Fountain Ct & RT 611,18321,PA
R81895,^TOKYO HOUSE^ R81895,(901) 265-3892,(646) 238-7423,3874 Goodman Rd,38637,MS
R81896,SPRING GARDEN R81896,(440) 494-3622,(917) 588-8269,4737 W. 130th St,44135,OH
R81897,WONDERFUL R81897,(801) 903-7019,(307) 789-3908,933 Front St,82930,WY
R81898,CHINA SPRING R81898,(774) 451-3083,(646) 684-0977,8165 Hwy 100,37221,TN
R81899,CHINA HUT R81899,(859) 543-9625,(859) 333-1885,824 Lane Allen Rd,40504,KY
R81901,*NO.1 CHINA* R81901,(828) 669-6811,(678) 467-6220,143 Old US 70 East,28711,NC
R81902,*CHINA PEARL* R81902,(919) 327-7051,(919) 592-3889,2841 Jones Franklin Rd,27606,NC
R81903,CHEN'S GARDEN R81903,(609) 602-9005,(609) 425-6425,3704 Bayshore Road,8204,NJ
R81905,^MING HING HIBACHI^ R81905,(704) 619-1209,(252) 619-7680,1122 N Broad St,27932,NC
R81906,FAMILY HOUSE R81906,(847) 466-5203,(312) 292-8583,35 W. Schaumburg Rd,60194,IL
R81907,GENERAL TSO R81907,(215) 876-6555,(215) 876-6555,2350 Orthodox St,19137,PA
R81908,^MOON HOUSE^ R81908,(929) 665-7767,(917) 478-8828,1810 3rd Ave,10029,NY
R81909,BEIJING R81909,(863) 207-4011,(347) 278-0357,3005 Cypress Gardens Rd,33884,FL
R81912,^DRAGON PEARL^ R81912,-,(626) 376-1191,431 2nd St,54016,WI
R81915,CHINA EXPRESS R81915,(714) 797-7349,(646) 388-2881,12023 U.S. Hwy 19,34667,FL
R81916,CHINA RESTAURANT R81916,(864) 349-6453,(864) 404-6657,231 W Butler Rd,29662,SC
R81917,*PEKING HOUSE* R81917,(845) 462-1231,,43 Vassar Rd,12603,NY
R81918,^HIBACHI EXPRESS^ R81918,(443) 619-9672,(304) 435-4986,3709 Pulaski Hwy,21009,MD
R81919,PANDA & TOKYO R81919,-,(302) 516-9999,30214 Sussex Hwy,19956,DE
R81922,MAIN MOON R81922,(914) 489-1937,(240) 422-3225,3650 Rte 9 W.,12528,NY
R81923,NO.1 R81923,(973) 761-4920,(201) 247-9678,319 S Orange Ave #1,7079,NJ
R81925,NEW CHINA KING R81925,(608) 406-8983,(608) 406-8989,10940 Cross Creek Blvd,33647,FL
R81928,CHINA KING R81928,(859) 489-0747,(859) 420-9949,1650 Bryan Station Rd,40505,KY
R81929,PANDA BISTRO R81929,(929) 293-9023,(267) 615-3605,630 Welsh Rd & Huntingdon Pike,19006,PA
R81932,BAO'S CAFE R81932,(626) 244-9927,(832) 905-6183,1940 W League City,77573,TX
R81933,CHINA KING R81933,(810) 445-6206,(917) 535-8166,4035 Owen Rd,48430,MI
R81935,CHINA KING R81935,(302) 505-4498,(646) 824-0859,760 Route 46,7847,NJ
R81936,HAPPY WOK R81936,(843) 270-3439,(646) 578-5881,4462 Easton Ave,18020,PA
R81937,CHINA HOUSE R81937,(202) 270-3582,(917) 858-8960,1430 W Cecil B Moore Ave,19121,PA
R81938,YUMMY GARDEN R81938,(727) 808-7036,(727) 808-3902,2270 Commercial Way,34606,FL
R81939,TOP'S CHINA R81939,(912) 996-4145,(646) 251-2705,4443 Skidaway Rd,31404,GA
R81951,CHINA WOK R81951,(910) 335-7079,(646) 919-9310,1929 Oleander Dr,28403,NC
R81952,*CHINA STAR* R81952,(618) 259-9888,,624 Berkshire Blvd,62024,IL
R81953,MAY FLOWER R81953,(716) 804-2140,(347) 369-2207,1187 Lincoln Ave,14094,NY
R81955,CHINA ONE R81955,(336) 602-3084,(336) 354-3908,10479 NC Hwy 109,27107,NC
R81956,HONG KONG R81956,(336) 263-0673,(718) 909-7110,2763 S Church St,27215,NC
R81957,^CHINA GARDEN BUFFET^ R81957,(646) 387-6797,(718) 866-8377,804 6th Avenue,25701,WV
R81958,ASIAN KING R81958,(937) 429-7000,(937) 218-6687,1259 N. Fairfield Rd,45432,OH
R81959,PARADISE TASTE CHINA R81959,(631) 805-2482,(631) 835-0940,1804 Fifth Ave,11706,NY
R81961,^KYOTO^ R81961,(414) 640-3120,(347) 458-0402,7453 W. Layton Ave,53220,WI
R81962,NO.1 KITCHEN R81962,(843) 259-1755,(917) 509-0636,7400 Rivers Ave,29406,SC
R81963,HONG KONG R81963,(347) 604-2995,(646) 441-8836,118-120 East Norwegian St,17901,PA
R81965,CHOPSTICK HOUSE R81965,(856) 631-3776,(917) 834-3551,427 Larchmont Blvd,8054,NJ
R81967,GREAT WALL R81967,(989) 330-8453,(989) 763-8180,203 West Superior St,48801,MI
R81968,HOT WOK R81968,(561) 969-9938,(347) 468-0724,5096 Forest Hill Blvd,33415,FL
R81969,^SHOGUN RESTAURANT^ R81969,(307) 266-6888,(307) 797-5289,3095 Talon Dr,82604,WY
R81971,ASIA EXPRESS R81971,(843) 478-5780,(917) 496-2663,604 St. James Ave,29445,SC
R81972,PANDA GARDEN R81972,-,(765) 329-0755,13833 Wellington Trace,33414,FL
R81975,^HAPPY GARDEN^ R81975,(347) 730-9346,(646) 238-5278,2192 Pitkin Ave,11207,NY
R81976,CHINA STAR R81976,(386) 500-6347,(347) 233-9757,3831 S. Nova Rd,32127,FL
R81977,CHINA 90 R81977,(917) 301-7441,(917) 528-8845,14N Charles Richard Beall Blvd,32713,FL
R81978,YUMMY R81978,(504) 439-7121,(917) 330-5050,527 Sykesville Rd,8562,NJ
R81979,SZECHUAN KITCHEN R81979,(336) 558-8235,(347) 651-8430,1101 Rotherwood Rd,27406,NC
R81981,*NO.1 CHINA* R81981,(757) 386-2391,(631) 693-9580,8743 Frankford Ave,19136,PA
R81983,HUNAN WOK R81983,(856) 495-7337,(917) 376-9553,513 High St,8060,NJ
R81987,CHINA CHEN R81987,(847) 961-6688,(312) 953-8619,10870 IL-47,60142,IL
R81988,^CHINA VILLAGE^ R81988,-,(803) 979-0788,6313 N. Main St,29203,SC
R81991,CHINA KITCHEN R81991,(843) 208-3339,(917) 399-5693,386 D Mark Cummings Rd,29927,SC
R81993,KAM'S KITCHEN R81993,(917) 603-8456,(646) 251-8605,111-56 Van Wyck Expwy,11420,NY
R81995,LION KING R81995,(239) 574-5833,(239) 209-3002,1751 N.E. Pine Island Rd,33909,FL
R81996,HONG KONG R81996,(215) 519-9970,(917) 863-8019,326A N. Chester Pike,19036,PA
R81997,GREAT FORTUNE R81997,(203) 261-3238,(917) 415-5595,401 Monroe Turnpike,6468,CT
R81999,GOLDEN STAR R81999,(732) 715-4392,(917) 941-3222,556 Park Ave,7728,NJ
R82001,^KOI ASIAN CUISINE^ R82001,(207) 850-6355,(610) 393-0180,11 Elm St,4005,ME
R82002,SUPER WOK R82002,(954) 305-6698,(740) 393-3209,4031 S Nova Rd,32127,FL
R82003,RICE KING R82003,(419) 260-3627,(419) 280-0497,4400 Heatherdowns Blvd,43614,OH
R82005,^HIBACHI EXPRESS^ R82005,-,(347) 686-5656,305 Herlong Ave,29732,SC
R82007,*CHINA WOK* R82007,(646) 289-2666,(646) 251-6061,220 N. Division St,10566,NY
R82008,CHINA ONE R82008,(717) 664-2882,(717) 809-8008,105 Doe Run Rd,17545,PA
R82009,^ASIAN WOK^ R82009,(502) 753-9650,(917) 535-6629,2235 Frankfort Ave,40206,KY
R82011,LIN CHINA R82011,(347) 778-5256,(917) 515-9898,15981 Preserve Marketplace Blvd,33556,FL
R82013,^SAKURA^ R82013,(563) 528-4288,(646) 209-7561,2427 53rd Ave,52722,IA
R82015,LUCKY STAR #1 R82015,(862) 588-1006,(917) 379-6069,837-831 18th Ave,7111,NJ
R82016,BAMBOO WOK R82016,(216) 816-4367,(561) 748-9777,2525 Military Trail,33458,FL
R82018,TASTE OF CHINA R82018,(502) 525-5966,(917) 885-2533,1417 Highland Ave,41008,KY
R82019,NEW CHINA R82019,(267) 746-2189,(917) 670-8281,2867 N 22nd St,19132,PA
R82021,^LEE GARDEN^ R82021,(508) 677-9888,(616) 328-9953,338 Quarry St,2723,MA
R82022,FIRE WOK R82022,-,(929) 272-8922,294 N Main St,11520,NY
R82023,^CHINA GARDEN^ R82023,(802) 879-8888,(917) 332-7292,8-10 Main St,5452,VT
R82025,CHINA LEE R82025,(231) 620-2722,(231) 735-3966,3985 Beitner Rd,49685,MI
R82026,PANDA R82026,(440) 533-5021,(216) 526-3638,35535 Euclid Ave,44094,OH
R82027,XING FU HIBACHI R82027,(631) 399-2501,(347) 204-9998,256 Moriches - Middle Island Rd,11949,NY
R82028,NO.1 R82028,(845) 901-6800,(917) 306-9938,598 Broadway,12401,NY
R82029,^CHINA EXPRESS II^ R82029,(702) 759-5940,(917) 518-5332,30 North St,5401,VT
R82031,FOOD KING R82031,-,(317) 410-6340,1472 E 86th St,46240,IN
R82032,CHINA VILLAGE R82032,(208) 818-2669,(646) 812-2129,7254 55th Ave E,34203,FL
R82033,KING GARDEN R82033,(302) 478-8789,(917) 860-7885,3466 Naamans Rd,19810,DE
R82035,NEW DRAGON R82035,(917) 868-6567,(843) 830-6823,6251 Highway 162,29449,SC
R82036,HONG KONG R82036,(813) 522-9030,(646) 831-8130,6744 W Gulf-To-Lake Hwy,34429,FL
R82038,PANDA WOK R82038,(973) 884-2555,,184 Parsippany Rd,7054,NJ
R82051,^LUCKY FORTUNE^ R82051,(973) 207-1518,(973) 761-5353,4 Village Plaza,7079,NJ
R82052,*^CHEF LEU'S HOUSE^* R82052,(802) 985-5258,,3761 Shelburne Rd,5482,VT
R82053,*NEW KING CHEF* R82053,(347) 881-6670,(973) 666-1821,160 Franklin Ave,7110,NJ
R82055,^POKE BURRITOS^ R82055,(848) 290-9535,(917) 991-8910,4122 US-9,7731,NJ
R82056,NO. 1 R82056,(917) 607-5590,(757) 436-7100,910 Great Bridge Blvd,23320,VA
R82057,*CHINA CITY* R82057,(973) 537-7300,,148 Center Grove Rd,7869,NJ
R82059,STATE GARDEN II R82059,(475) 312-0593,(917) 863-9963,1452 Whalley Ave,6515,CT
R82061,PEKING R82061,(678) 517-5224,(917) 704-2327,6055 Hwy 124 West,30548,GA
R82062,*CHINA EXPRESS* R82062,(816) 468-1688,,200 NE Barry Rd,64155,MO
R82063,RED APPLE R82063,(908) 875-9670,(917) 336-9909,104-106 W Jersey St,7202,NJ
R82065,HONG KONG R82065,(317) 887-6918,,1345 W Southport Rd,46217,IN
R82066,*NEW TASTE OF CHINA* R82066,(201) 896-8381,(347) 399-3776,128 Park Ave,7073,NJ
R82068,NO.1 R82068,(615) 889-9997,(917) 622-4117,5751 Old Hickory Blvd,37076,TN
R82069,CHAU'S CAFE R82069,(703) 724-7711,(571) 707-8193,20020 Ashbrook Commons Plaza,20147,VA
R82072,NICE R82072,(609) 569-5472,(610) 812-3294,106 Wallace Ave,19335,PA
R82073,NEW CHINA KING R82073,(858) 776-9505,(516) 359-6332,171 Medford Avenue,11772,NY
R82075,*NO.1 WOK* R82075,(954) 321-8118,(954) 557-1886,6025 Stirling Rd,33314,FL
R82076,PAGODA R82076,(203) 980-0005,(646) 247-9223,2 Broadway,6473,CT
R82078,WOK'S CHINESE RESTAURANT R82078,(973) 917-9767,(973) 615-2636,600 Myrtle Ave,7005,NJ
R82079,NEW CHINA KING R82079,(216) 672-9392,(917) 302-0028,16210 A Madison Ave,44107,OH
R82081,CHINA KING R82081,(610) 483-0550,(610) 737-2598,1901 W Hamilton St,18104,PA
R82082,BO BO KITCHEN R82082,(631) 291-3594,(917) 618-7072,86 Route 109,11704,NY
R82083,MR. WOK R82083,-,(646) 922-2723,3435 Frederica St,42301,KY
R82086,*JIN LIN CHINESE KITCHEN* R82086,(862) 321-9025,(862) 262-3636,180 Scotland Rd,7050,NJ
R82088,YUMMY WOK R82088,(908) 370-5880,(646) 755-0849,357 Washington Ave,7202,NJ
R82089,PEKING WOK R82089,(720) 579-6322,(646) 648-1882,1537 West Broad St,43222,OH
R82091,*NEW PEKING* R82091,(518) 725-0338,,40 Church St,12078,NY
R82092,^DRAGON CHINA^ R82092,(614) 599-7590,(614) 353-7705,6410 Winchester Blvd,43110,OH
R82093,WHITNEY GARDEN R82093,(917) 215-8976,(917) 215-9867,2411 Whitney Ave,6518,CT
R82095,CHINA WOK R82095,(860) 863-7385,(917) 838-8223,1585 Meriden Rd,6716,CT
R82096,CHINA WOK R82096,(315) 720-8249,(646) 201-6817,628 S. Main St,13212,NY
R82097,NO.1 R82097,-,(615) 337-1816,1483 Nashville Pike,37066,TN
R82098,GREAT WALL R82098,(864) 625-8095,(917) 515-9888,3209 Wade Hampton Blvd,29687,SC
R82099,HARD WOK CAFE R82099,(415) 200-3171,(864) 561-3332,429 East Main St,29657,SC
R82101,*YUM'S EXPRESS* R82101,(301) 648-0928,(240) 360-3332,4746 Cherry Hill Rd,20740,MD
R82103,CHINA WIND R82103,(740) 568-9898,(740) 885-1888,235 Captain D Seeley Mia Dr,45750,OH
R82105,KING STAR R82105,(570) 906-0003,(570) 677-6371,1600 Nay Aug Ave,18509,PA
R82109,DRAGON R82109,(347) 892-1114,(973) 573-7621,19 W. Broad St,18201,PA
R82201,CHINA STAR R82201,(561) 242-2882,(561) 242-2881,4085 N Haverhill Rd,33417,FL
R82203,CHINESE DELIGHT R82203,(786) 797-9963,(646) 812-0207,15986 NW 27th Ave,33054,FL
R82205,WINGLOON R82205,(954) 279-7448,(210) 901-0588,3520 N Andrews Ave,33309,FL
R82206,CHINA WOK R82206,(971) 317-1590,(971) 277-0829,1991 NE Cornell Rd,97124,OR
R82207,SANG HING INC R82207,(302) 743-9399,(917) 670-7791,9A Community Plaza,19720,DE
R82208,CHINA WOK R82208,(954) 718-2620,,7234 W McNab Rd,33068,FL
R82209,CHINA PAVILION R82209,(203) 273-7562,(917) 520-9637,67-69 West Broad St,6902,CT
R82301,CHINA KING R82301,(828) 235-8815,(828) 246-3789,49 Plaza Loop,28716,NC
R82302,*PANDA KING* R82302,(919) 830-4751,(919) 830-6028,3626 Rogers Rd,27587,NC
R82303,^ASIAN HOUSE^ R82303,(516) 524-7245,(917) 603-9845,5220 US Hwy 1,32967,FL
R82305,^CHINA WOK^ R82305,(662) 280-1212,(646) 912-1868,1796 Main Street,38671,MS
R82306,CHINA RUBY R82306,(267) 325-8896,(267) 882-5168,1535 Cottman Ave,19111,PA
R82307,TONG TONG R82307,(330) 655-2550,(551) 226-3429,1646 Norton Road,44224,OH
R82308,CHINA TOWN KITCHEN R82308,(540) 665-0250,,728 Berryville Avenue,22601,VA
R82309,FIRST WOK R82309,(859) 630-0102,(859) 814-6123,3180 Dixie Hwy,41018,KY
R82311,*SHANGHAI VILLAGE* R82311,(406) 672-2843,(626) 532-3399,2926 2nd Ave N.,59101,MT
R82313,CHINA WOK R82313,(478) 951-5239,(478) 318-6989,827 N Houston Rd,31093,GA
R82315,LIN'S GARDEN R82315,(470) 847-3572,(470) 272-0199,4325 Athens Hwy,30052,GA
R82317,*^NINJA JAPAN^* R82317,(919) 938-0506,,1249 N Brightleaf Blvd,27577,NC
R82318,^TAKEE OUTEE^ R82318,Anonymous,(248) 238-3497,27542 Van Dyke Ave,48093,MI
R82321,HUNAN PALACE R82321,(917) 438-8333,(917) 403-1333,1401 E Gold Coast Rd,68046,NE
R82322,CHINA CAFE R82322,(720) 480-3802,(719) 666-1060,734 A South Perry St,80104,CO
R82325,CHAN'S NEW CHINA R82325,(352) 746-3133,,3599 N. Lecanto Hwy,34465,FL
R82327,^FU JI CAJUN SEAFOOD^ R82327,(516) 548-7525,(646) 309-2616,55 West Sunrise Hwy,11520,NY
R82329,JING FONG R82329,(610) 203-4157,(212) 542-0238,2089 Philadelphia Pike,19703,DE
R82331,NEW CHINA BUFFET R82331,(815) 562-8012,(815) 793-5722,444 IL-38,61068,IL
R82332,KING'S CHINESE CARRY OUT R82332,(646) 508-8921,(410) 258-1267,3472 Emmorton Rd,21009,MD
R82335,WONDER WU R82335,(574) 707-1632,(317) 442-5007,5612 Georgetown Rd,46254,IN
R82336,HAPPY CHINA R82336,(636) 561-5298,(305) 807-0941,7871 Town Square Ave,63368,MO
R82337,CHINA HOUSE R82337,(718) 866-6868,(718) 909-0024,140 S Midwest Blvd,73110,OK
R82338,CHINA KING R82338,(314) 532-6014,(636) 218-8193,229 Arnold Crossroads Center,63010,MO
R82339,KING WOK R82339,(516) 369-1206,(516) 538-9838,275 Nassau Blvd S,11530,NY
R82351,CHINA ONE R82351,(304) 360-0550,(646) 509-5811,6007 U.S. Route 60 E.,25504,WV
R82352,MING'S DYNASTY R82352,-,(720) 227-3073,4251 E Mississippi Ave,80246,CO
R82353,CHINA ONE R82353,(718) 788-1166,,677 5th Ave,11215,NY
R82355,CHINA HOUSE R82355,(973) 927-7998,(917) 291-3378,286 US Highway 206,7836,NJ
R82356,*DRAGON GATE* R82356,(718) 278-0799,,19-44A 37th St,11105,NY
R82357,*NEW CHINA* R82357,(678) 352-7996,(408) 643-5718,920 Marietta Hwy,30075,GA
R82358,NEW SING BO R82358,(718) 501-8446,(347) 567-6796,1745 Victory Blvd,10314,NY
R82359,*NEW CHINA* R82359,(318) 631-2551,,2732 W 70th St,71108,LA
R82361,WANG'S CAFE R82361,(214) 293-1305,(469) 855-8860,6033 Luther Lane,75225,TX
R82362,TASTY BOWL R82362,(352) 854-0896,(917) 667-9398,2575 SW 42nd St,34471,FL
R82363,CHINA KING R82363,(267) 254-9197,(740) 777-8815,450 Pennbrook Pkwy,19446,PA
R82365,ORIENTAL GARDEN R82365,(973) 665-4131,(646) 633-2833,586 Broadway,7055,NJ
