EXNAME,ENNAME,ADDRESS1,STATE,FORWARDEDPHONE,CONTACTPHONE2,BUSINESS_PHONE__C,STATUS,Found in List (Y/N),Matching Address?,Updated Address,Business Phone
R82203,CHINESE DELIGHT,15986 NW 27th Ave,FL,3054744877,,,open,Y,yes,15986 NW 27th Ave,(305)474-4877
R82205,WINGLOON,3520 N Andrews Ave,FL,9545618100,,,open,Y,yes,3520 N Andrews Ave,(954)561-8100
R15437,Cocina Mama,123 street,AL,1111111111,,,reject,N,N
R82206,CHINA WOK,1991 NE Cornell Rd,OR,5036158800,9717279299,,open,Y,yes,1991 NE Cornell Rd,(503)615-8800
R85157,CHINA HOUSE,22316 Lakeshore Blvd,OH,2162896886,3479253007,(216) 289-6886,closed,Y,N,22316 Lakeshore Blvd,(216)289-6886
R82207,SANG HING INC,9A Community Plaza,DE,3023283022,,,open,N,no
R82208,CHINA WOK,7234 W McNab Rd,FL,9547182620,,,suspended,Y,yes,7234 W McNab Rd,(954) 718-2620
R82209,CHINA PAVILION,67-69 West Broad St,CT,2039781533,,,open,Y,no,67 W Broad St,(203)978-1533
R82301,CHINA KING,49 Plaza Loop,NC,8282358815,9802934963,,open,Y,yes,49 Plaza Loop,(828) 235-8815
R11228,*RAINNIER 6*,2293 S.W. 17th  Avenue,FL,3058589801,3478013737,,reject,N,N
R82302,*PANDA KING*,3626 Rogers Rd,NC,9195549666,,,open,Y,no,"3626 Rogers Rd,",(919)554-9666
R11227,*RAINNIER 5*,2293 S.W. 17th  Avenue,FL,3058589801,3478013737,,reject,N,N
R11226,*RAINNIER 4*,2293 S.W. 17th  Avenue,FL,0,0,,reject,N,N
R11225,*RAINNIER 3*,2293 S.W. 17th  Avenue,FL,0,0,,reject,N,N
R11224,*RAINNIER 2*,2293 S.W. 17th  Avenue,FL,3058589801,3478013737,,reject,N,N
R11223,*RAINNIER 1*,2293 S.W. 17th  Avenue,FL,0,0,,reject,N,N
R82303,^ASIAN HOUSE^,5220 US Hwy 1,FL,7727788829,,,open,Y,no,5520 US-1,(772)778-8829
R82305,^CHINA WOK^,1796 Main Street,MS,6622801212,,,open,N,no
R82306,CHINA RUBY,1535 Cottman Ave,PA,2157223611,,,open,Y,yes,1535 Cottman Ave,(215)722-3611
R82307,TONG TONG,1646 Norton Road,OH,3306552550,,,suspended,Y,no,1646 Norton Rd,(330)655-2550
RXXXXXX04,****TESTING****CHINESE-JAPANESE,10962 W. Colonial Drive,FL,0,,,new,Y,Y,10962 W. Colonial Drive,(407) 877-8282
RXXXXXX03,****TESTING****STEAK & HOAGIES / WINGS,3036 Ballentine Blvd/WINGS,VA,0,,,new,Y,Y,3036 Ballentine Blvd,(757) 855-8880
RXXXXXX02,****TESTING****T1 / REGULAR CHINESE,590 E Diamond Ave,IN,0,,,new,Y,N,590 E Diamond Ave,(812) 423-1896
RXXXXXX01,****TESTING****ADV / CAJUN / ENTERPRISE,2645 Manhattan Blvd,LA,0,,,new,Y,N,2645 Manhattan Blvd,(504) 347-3303
R82309,FIRST WOK,3180 Dixie Hwy,KY,8593448885,8598146123,,open,N,no
RZZZZ14,**CHINA A GOGO R**,2101 North Rainbow Blvd,NV,0,,,reject,N,N
R82311,*SHANGHAI VILLAGE*,2926 2nd Ave N.,MT,4062456887,4068503841,,open,Y,no,2926 2nd Ave N,(406) 371-1893
R14852,Imperial Dynasty,3030 Northern Blvd,NY,1111111111,,,reject,N,N
R14636,Cocina de Papi,3030 Northern Blvd,NY,1111111111,,,reject,N,N
R82313,CHINA WOK,827 N Houston Rd,GA,4783298778,,,open,Y,yes,827 N Houston Rd,(478) 329-8778
R82315,^LIN'S GARDEN^,4325 Athens Hwy,GA,7704668728,4702720199,,open,Y,no,4325 Atlanta Hwy,(770)466-8728
R82318,^TAKEE OUTEE^,27542 Van Dyke Ave,MI,5867567889,,,open,Y,yes,27542 Van Dyke Ave,(586)756-7889
R82321,HUNAN PALACE,1401 E Gold Coast Rd,NE,4025971688,9174388333,,open,N,no
R85126,*^CHINA CITY^*,285 Central St,MA,9785636338,6463224951,(978) 563-6338,reject,N,N
R82322,*CHINA CAFE*,734 A South Perry St,CO,3036888013,,,open,N,no
R82325,CHAN'S NEW CHINA,3599 N. Lecanto Hwy,FL,3527463133,,,suspended,Y,no,3599 N Lecanto Hwy,(352) 746-3233
R9991111,**POKEBOWL & MILK TEA DUMMY**,Testing,AL,9998881188,,,new,N,no
R82327,^FU JI CAJUN SEAFOOD^,55 West Sunrise Hwy,NY,5165487525,,,open,N,no
R82329,JING FONG,2089 Philadelphia Pike,DE,3027988868,,,open,Y,yes,2089 Philadelphia Pike,(302)798-8868
R82331,*NEW CHINA BUFFET*,444 IL-38,IL,8155628012,8157935722,,open,Y,no,44 IL-38,(815)562-8012
R82332,KING'S CHINESE CARRY OUT,3472 Emmorton Rd,MD,4105698688,4102581267,,open,Y,yes,3472 Emmorton Rd,(410)569-8688
R82335,WONDER WU,5612 Georgetown Rd,IN,3172959598,,,open,Y,yes,5612 Georgetown Rd,(317)295-9598
R82336,HAPPY CHINA,7871 Town Square Ave,MO,6365615298,,,open,Y,no,7871 Highway N,(636) 561-5298
R82337,*CHINA HOUSE*,140 S Midwest Blvd,OK,4057327345,,,open,Y,yes,140 S Midwest Blvd,(405) 622-3259
R82338,*CHINA KING*,229 Arnold Crossroads Center,MO,6362872888,3142850290,,open,Y,no,229 Arnold Crossroads Ctr,(636) 287-2888
R85115,*^YUM'S CARRYOUT^*,628 Kennedy St NW,DC,2022916618,3012838223,(202) 291-6618,closed,Y,N,628 Kennedy St NW,(202) 291-6618
R82339,KING WOK,275 Nassau Blvd S,NY,5165389838,3473997788,,open,Y,no,275 Nassau Blvd,(516) 538-9838
R14945,New Canada,2475 Appleby Line,NL,1111111111,,,reject,Y,N,2475 Appleby Line,(905) 319-8887
R82351,CHINA ONE,6007 U.S. Route 60 E.,WV,3043020818,6465095811,,open,Y,no,6007 US Route 60 E,(304) 955-5519
R82352,MING'S DYNASTY,4251 E Mississippi Ave,CO,3037574923,,,open,Y,yes,4251 E Mississippi Ave,(303)757-4923
R82358,SING BO,1745 Victory Blvd,NY,7184426622,,,open,Y,yes,1745 Victory Blvd,(718)442-6622
R82361,WANG'S CAFE,6033 Luther Lane,TX,2142651688,,,open,Y,no,6033 Luther Ln,(214) 265-1688
R82362,TASTY BOWL,2575 SW 42nd St,FL,3528540896,,,open,Y,yes,2575 SW 42nd St,(352)854-0896
R100000,*^ASIAN CAFE^*,1303 N. East,MD,0,,,reject,Y,Y,1303 N East St,(301) 662-0888
R82363,CHINA KING,450 Pennbrook Pkwy,PA,2153618688,,,open,Y,yes,450 Pennbrook Pkwy,(215)361-8688
R82365,ORIENTAL GARDEN,586 Broadway,NJ,9734723340,,,open,Y,yes,586 Broadway,(973) 472-3340
R82366,CHINA STAR,3301 W Broadway Business Park Ct,MO,5734468866,9736687728,,open,Y,yes,3301 W Broadway Business Park Ct,(573) 446-8866
R82367,*YA FOOD*,2 Mercer St,NJ,9737770633,,,open,Y,yes,2 Mercer St,(973)777-0633
R82368,CHINA CHEF,142 St. James Ave,SC,8437640988,,,open,Y,no,142 St James Ave,(843) 764-0988
R82369,CHINA WONDER,2627 South Classen Blvd,OK,4055793339,3178006603,,open,Y,no,2627 Classen Blvd,(405)579-3339
R82372,EN LAI IN SHOREWOOD,966 Brook Forest Ave,IL,8152302999,,,open,Y,yes,966 Brook Forest Ave,(815) 230-2999
R82373,^PANDA KING^,2201 Glacier Dr,WI,7154832611,,,open,Y,yes,2201 Glacier Dr,(715)483-2611
R82375,CHINA WOK,617 US-17,FL,8634190977,,,open,N,no
R82376,CHINA WOK,10739 NW 58th St,FL,3056400331,3059685929,,open,N,no
R82377,LUCKY DRAGON,408 E Church St,NJ,8562326336,,,open,Y,yes,408 E Church St,(856) 232-6336
917.985.8867-9,*Sales (RICKY)*,3030 Northern Blvd,NY,9179858867,,,test,N,N
917.985.8867-8,*Sales (ZIQI)*,3030 Northern Blvd,NY,9179858867,,,test,N,N
RXXXX11,XXXDUMMY RESTAURANTXXX,1550 Jamison Dr,MS,0,6622133858,,template,Y,Y,1550 Jameson Dr,(662) 307-2748
R85089,^TOKYO SUSHI & HIBACHI^,7550 Mission Hills Dr,FL,2393000961,7185520856,(239) 300-0961,closed,Y,N,7550 Mission Hills Dr,(239) 732-6888
R82378,XIN XING,1520 Metropolitan Ave,NY,7187926868,,,open,Y,yes,1520 Metropolitan Ave,(718)792-6868
R82379,CHINA MOON,3890 Rangeline St,MO,5737776766,,,open,Y,yes,3890 Rangeline St,(573) 777-6766
R13387,Cafe Mo to,3030 Northern Blvd,NY,1111111111,,,reject,N,N
R11731,Donnalyn's Resto,3030 Northern Blvd,NY,1111111111,,,reject,N,N
R12914,Labyrinth,3030 Northern Blvd,NY,1111111111,,,reject,N,N
R82381,*TSING TAO HOUSE*,3604-C Hartsel Dr,CO,7195288884,7193216857,,open,Y,no,3604 Hartsel Dr,(719)528-8884
R82382,TOP'S CHINA,20849 Woodpecker Rd,VA,8045200380,8049315238,,open,Y,yes,20849 Woodpecker Rd,(804)520-0380
R82383,SZECHUAN EMPIRE,146 Main St,NY,5187563700,,,open,Y,yes,146 Main St,(518)756-3700
R82385,^GINGER ASIAN^,222 Elizabeth Dr,VA,5408690377,5406719334,(540) 869-0399,new,Y,yes,222 Elizabeth Dr,(540)869-0399
R85081,*CHINA KING*,104 E. Beidler Rd.,PA,6102654180,8455181549,(610) 265-4180,reject,Y,Y,104 E Beidler Rd,(610) 265-4160
R82387,WOK N ROLL,6551 N. Orange Blossom Trail,FL,3527352268,,,open,N,no
R82389,NEW CHINA CAFE,336 Lacey Rd,NJ,6096936668,,,open,Y,yes,336 Lacey Rd,(609)693-6668
R82392,*HAPPY HOUSE*,805 NW 12th St,OK,4057930418,,,open,Y,yes,805 NW 12th St,(405)793-0401
R82393,SHANG HAI,480 River Rd,CT,2039245588,,,open,Y,yes,480 River Rd,(203) 924-5588
R82395,^CHINA CITY^,1669 N Hiatus Rd,FL,9544317688,,,open,Y,yes,1669 N Hiatus Rd,(954) 431-7688
R82396,CHINA RAINBOW,33 Village Green Dr,CT,8605678777,8604591517,,open,Y,yes,33 Village Green Dr,(860)567-8777
R82399,NEW CHINA ROYAL,1613 Main St,MS,6623282699,6625749906,,open,Y,yes,1613 Main St,(662) 328-2699
R82501,HONG KONG,332 W Main St,CO,9705648423,6463866889,,open,Y,yes,332 W Main St,(970) 564-8423
R82502,CHINA ONE,691 Broadway,NY,8455613363,,,open,Y,yes,691 Broadway,(845)561-3363
R82503,NO.1,1790 Tiny Town Rd,TN,9316473858,9316473859,,open,Y,yes,1790 Tiny Town Rd,(931)647-3858
R82505,NO.1,1620 Lincoln Highway East,PA,7173915899,,,open,Y,no,1620 Lincoln Hwy E,(717) 391-5899
R82506,*MAGIC WOK*,381 Triangle Rd,NJ,9082816671,6466960588,,open,Y,yes,381 Triangle Rd,(908) 281-6671
R82507,*JIN JIN*,9115 Samlen Ln,NC,7043948821,,,open,Y,yes,9115 Samlen Ln,(704)394-8821
R82508,TAKEOUT EXPRESS,4827 Davis Lant Dr,IN,8126025577,8127731166,,open,Y,yes,4827 Davis Lant Dr,(812)602-5577
R82511,CHINA GOURMET,1500 Farragut Ave,PA,2157852742,,,open,Y,yes,1500 Farragut Ave,(215) 785-2742
R82512,*PEKING CHEF*,8673 N Port Washington Rd,WI,4142288222,,,open,Y,yes,8673 N Port Washington Rd,(414)228-8222
R82513,HOT WOK,3420 Valley Plaza Pkwy,KY,8593417700,9175188616,,open,Y,yes,3420 Valley Plaza Pkwy,(859) 341-7700
R82516,LEE'S KITCHEN,12000 TX-1604 Loop,TX,2106586888,,,open,N,no
R82518,CHINA HOUSE,1527 Lehigh St,PA,6107915296,,,open,Y,yes,1527 Lehigh St,(610) 791-5296
R82519,CHINA KING,3050 Five Forks Trickum Rd,GA,7709798175,6788603307,,open,Y,no,3050 Five Forks Trickum Rd SW,(770) 979-8158
R82521,CHINATOWN,2921 Hwy 77,AR,8707390889,,,open,N,no
R82523,DRAGON CITY,4103 N Bend Rd,OH,5134818686,,,open,Y,no,4103 North Bend Rd,(513) 481-8686
R82525,*GREAT WIN*,2022 E Ridge Rd,NY,5854675010,2674015091,,open,Y,no,2022 Ridge Rd E,(585)467-5010
R82528,GRAND PEKING,7123 Liberty Centre Dr.,OH,5137777302,6464670991,,open,Y,no,7123 Liberty Centre Dr,(513)777-7302
R82529,NEW GREAT WALL,237 Tarrytown Rd,NY,9144377888,6465955372,,open,Y,yes,237 Tarrytown Rd,(914)437-7888
R82531,*FOO HO KITCHEN*,584 N Main St,NJ,6096984150,,,new,Y,yes,584 N Main St,(609)698-4150
R82532,CHINA FOOD,5201 Government St,LA,2259258898,2252026132,,open,Y,yes,5201 Government St,(225)925-8898
R82533,GOLDEN WOK,1062 County Rd 42 E,MN,9524319998,,,open,Y,no,1062 County Road 42 E,(952) 431-9998
R82535,CHINA GOURMET VI,719 Kristine Way,FL,3525715902,,,open,Y,yes,719 Kristine Way,(352)571-5902
R82537,CHINA TASTE,1961 S Narcoossee Rd,FL,4078927711,,,open,Y,yes,1961 S Narcoossee Rd,(407)892-7711
R82539,BALLY DAR,273 US-46,NJ,9733662031,9738669791,,open,Y,yes,273 US-46,(973)366-2031
R82552,LING'S EXPRESS,803 E Bloomingdale Ave,FL,8136618308,8138168888,,open,Y,yes,803 E Bloomingdale Ave,(813) 661-8308
R82555,GOOD TASTE,910 S Duke St,PA,7175099988,,,new,Y,yes,910 S Duke St,(717) 509-9988
R82556,UNCLE CHEN HOT WOK,1908 N Main St,IN,2196623828,2193180188,,open,Y,yes,1908 N Main St,(219)662-3828
R85031,*^SZECHUAN CHINESE RESTAURANT^*,1140 N Pacific Hwy,OR,5419429338,5417880644,(541) 942-9338,reject,Y,N,1140 N Pacific Hwy,(541)942-9338
R82559,*EMPIRE CHEN*,14 E Broad St,PA,6108688878,,,suspended,Y,yes,14 E Broad St,(610)868-8878
R82561,CHINA WALL,3700 S Claiborne Ave,LA,5048913445,,,open,Y,yes,3700 S Claiborne Ave,(504)891-3445
R82563,^CHINA KING^,2744 North Lake Dr,SC,8037815588,9179811903,,open,N,no
R14261,Black Swan,3030 Northern Blvd,NY,1111111111,,,reject,N,N
R82565,PANDA KING,1953 South Military Hwy,VA,7575439800,,,open,Y,no,1953 S Military Hwy,(757)543-9800
R82566,CHINA BROTHERS,3020 Lamberton Blvd,FL,4072825883,,,open,Y,yes,3020 Lamberton Blvd,(407)282-5883
R82567,CHINA ROYAL,9139 Ridge Rd,PA,8147747168,4845352820,,open,Y,yes,9139 Ridge Rd,(814) 774-7168
R82568,KING'S WOK,521 Cottonwood Ave,WI,2623676388,2629555008,,open,Y,yes,521 Cottonwood Ave,(262) 367-6388
R82569,CHINA,414 Main St,KS,7853345190,9172259573,,open,Y,yes,414 Main St,(785) 334-5190
R82572,^GREEN TEA^,7 Village Square Plaza,MA,9788742288,,,open,N,no
R82573,DRAGON CITY,1174 Western Ave,NY,5184894503,3478611883,,open,Y,yes,1174 Western Ave,(518) 489-4503
R82575,^CHIN'S KITCHEN^,12 Lakeview Ave,MA,4135838622,,,open,Y,yes,12 Lakeview Ave,(413)583-8622
R82576,*BAMBOO WOK*,9181 Glades Rd,FL,5612186003,,,new,Y,yes,9181 Glades Rd,(561)218-6003
R82577,CHINA TASTE,4276 S Tamiami Trl,FL,9414089879,,,suspended,Y,no,4276 Tamiami Trl S,(941) 408-9879
R82581,HONG KONG,1075 Virginia Ave,MD,3017331292,9173360333,,open,Y,yes,1075 Virginia Ave,(301) 733-1292
R82582,*PEKING HOUSE*,1216 Abercorn St,GA,9122388328,,,open,Y,yes,1216 Abercorn St,(912) 238-8328
R82583,CHOPSTICKS,216 Mt Zion Rd,KY,8592825688,,,open,Y,yes,216 Mt Zion Rd,(859)282-5688
R82585,EAST CHINA,5480 141 St W.,MN,9524232220,,,open,Y,no,5480 141st St W,(952) 423-2220
R82586,CHINA STAR,38 Harvester Square St,MO,6369226888,6186164866,,open,Y,no,38 Harvester Sq,(636) 922-6888
R14143,Novigrad,Testing,AL,1111111111,,,reject,N,N
R13925,Butter,3030 Northern Blvd,AK,1111111111,,,reject,N,N
R82587,LEE LIN,539 Pawling Ave,NY,5182748816,,,open,Y,yes,539 Pawling Ave,(518)274-8816
R82588,*CHINA WOK*,157 Long Island Ave,NY,6317587238,,,open,Y,yes,157 Long Island Ave,(631) 758-7238
R00001,*^XXXMAKOTOXXX^*,1224 Saint Georges Ave,NJ,7326363999,,,test,Y,Y,1224 St Georges Ave,(732)636-3999
R82589,CHINA EXPRESS I,5510 4th St,TX,8067993133,,,open,Y,yes,5510 4th St,(806) 799-3113
R82591,*CHINA WOK*,1150 Delsea Dr,NJ,8566865799,2673067939,,new,N,no
R82592,MING GARDEN,4311 N.E. Chouteau Traffic Way,MO,8164522151,,,open,N,no
R82593,RISING SUN,26761 Portola Pkwy,CA,9495886178,,,open,Y,yes,26761 Portola Pkwy,(949)588-6178
R82595,CHINA KING,335 Saw Mill River Rd,NY,9149649888,,,open,Y,yes,335 Saw Mill River Rd,(914)964-9888
R98882353809,Inbound	Youtube,3030 Northern Blvd,NY,8882353809,,,open,N,N
R98888569583,Inbound	General DM,3030 Northern Blvd,NY,8888569583,,,open,N,N
R98888988389,Inbound	Website etc,3030 Northern Blvd,NY,8888988389,,,open,N,N
9172852220,Inbound	Main Number,3030 Northern Blvd,NY,9172852220,,,open,N,N
R98888968962,Inbound	General SMS Campaign,3030 Northern Blvd,NY,8888968962,,,open,N,N
R98882353807,Inbound	World Journal,3030 Northern Blvd,NY,8882353807,,,open,N,N
R98882353805,Inbound	Douyin,3030 Northern Blvd,NY,8882353805,,,open,N,N
R98882353802,Inbound	Canada DM,3030 Northern Blvd,NY,8882353802,,,open,N,N
R98882353722,Inbound	ä¸­é¤é€šè®¯ 2022 onward,3030 Northern Blvd,NY,8882353722,,,open,N,N
R98882353718,Inbound	Marketing SMS Campaign,3030 Northern Blvd,NY,8882353718,,,open,N,N
R98882353686,Inbound	Wechat (NYæƒ…å ±ç«™),3030 Northern Blvd,NY,8882353686,,,open,N,N
R98882353685,Inbound	Wechat (General),3030 Northern Blvd,NY,8882353685,,,open,N,N
R98882353680,Inbound	Wechat (General),3030 Northern Blvd,NY,8882353680,,,open,N,N
R98882353619,Inbound Wechat (US 168),3030 Northern Blvd,NY,8882353619,,,open,N,N
R82598,*COTTAGE EXPRESS*,7209 East W. T Harris Blvd,NC,7045358966,9176370163,,open,Y,no,7209 E WT Harris Blvd,(704)535-8966
R82599,*WAH HING KITCHEN*,125-19 Rockaway Blvd,NY,7187382281,,,open,Y,yes,125-19 Rockaway Blvd,(718)738-2281
R82601,FORTUNE GARDEN,195-12 47 Ave,NY,7183573798,7182135889,,open,N,no
R82602,GOLDEN PHOENIX,1685 Mesquite Ave,AZ,9286801326,9287152810,,open,Y,yes,1685 Mesquite Ave,(928)680-1326
R82605,*LI LAI WOK*,655 Central Ave,RI,4017262036,,,suspended,Y,yes,655 Central Ave,(401)726-2036
R82606,*GOLDEN GATE RESTAURANT*,1427 East Racine Avenue,WI,2625472171,2623668381,,open,Y,no,1427 E Racine Ave,(262)547-2171
R82607,HAPPY HOUSE,6856 S Florida Ave,FL,8636461888,,,open,Y,yes,6856 S Florida Ave,(863) 646-1888
R82608,LITTLE HONG KONG,34137 Center Ridge Rd,OH,4403277633,,,open,Y,yes,34137 Center Ridge Rd,(440)327-7633
R82611,ZHENG MECHANICSVILLE,9363 Atlee Rd,VA,8045590628,8049886310,,open,Y,yes,9363 Atlee Rd,(804)559-0628
R83981,HUNAN K,60-14 Queens Boulevard,NY,7187798177,6464207113,(718) 779-8177,reject,Y,Y,60-14 Queens Blvd,(718) 779-8177
R82612,CHINA GARDEN,318 N Genesee St,IL,8476233336,9296668922,,open,Y,yes,318 N Genesee St,(847) 623-3336
R82613,CHINA TASTE,7164 Hacks Cross Rd,MS,6628951188,,,open,Y,yes,7164 Hacks Cross Rd,(662)895-1188
R82615,NEW PANDA,199 Robinson St,NY,6077720250,9175491299,,open,Y,yes,199 Robinson St,(607) 772-0250
R82616,DRAGON CITY,8394 Troy Pike,OH,9372338808,9374306877,,open,Y,yes,8394 Troy Pike,(937) 233-8808
R82617,CHINA WOK,54 N Kennedy Dr,PA,5709291688,6465930383,,open,Y,yes,54 N Kennedy Dr,(570) 929-1688
R82618,^TAIWAN 101^,3945 Brodhead Rd,PA,7247285101,,,open,Y,yes,3945 Brodhead Rd,(724)728-5101
R82619,FLAMING WOK,4237 Lien Rd,WI,6082401085,2124705604,,open,Y,yes,4237 Lien Rd,(608) 240-1085
R82621,CHINA KITCHEN,1585 Central Ave,SC,8438738202,,,open,Y,yes,1585 Central Ave,(843) 873-8202
R82622,CHINA WOK,3518 Broadway Blvd,FL,5613555049,5613555691,,open,N,no
R82623,GOLDEN STAR,473 Kempsville Rd,VA,7575490888,,,open,Y,yes,473 Kempsville Rd,(757)549-0888
R82625,SUNNY CHINA,4633 Shawnee Dr,KS,9132365333,,,open,Y,yes,4633 Shawnee Dr,(913)236-5333
R82628,HOT WOK,901 Veterans Blvd,LA,5048313328,,,open,Y,no,901 Veterans Memorial Blvd,(504) 831-3328
R82629,EMPIRE RESTAURANT,59-92 West Jim Bilton Blvd,SC,8435639911,,,open,N,no
R82632,*HONG KONG*,5270 Babcock St NE,FL,3218371333,,,suspended,N,no
R82633,LITTLE PANDA,7863 Bayside Rd,MD,4102572545,9173481510,,suspended,Y,yes,7863 Bayside Rd,(410)257-2545
R83961,^WING EXPRESS^,503 Highland Ave,GA,7067386888,9175498622,(706) 738-6888,reject,Y,N,503 Highland Ave,(706) 738-6888
R82635,^CHINA KITCHEN^,16560 Mequon Rd,WI,2622501188,,,open,Y,no,N112W16560 Mequon Rd,(262) 250-1188
R82636,WOKERY,28079 John R Rd,MI,2483990020,,,open,Y,yes,28079 John R Rd,(248)399-0020
R62626,Experiment 626 Restaurant,3030 Northern Blvd,NY,1111111111,,,reject,N,N
R82637,CHINATOWN,360 S Division St,IL,8159436118,8153079433,,open,Y,yes,360 S Division St,(815) 943-6118
R82638,FIRST WOK,129 W Chelten Ave,PA,2158480618,5163483222,,open,Y,yes,129 W Chelten Ave,(215)848-0618
R82639,CHINA KING,7950 Dani Dr,FL,2392679888,2398101281,,open,Y,yes,7950 Dani Dr,(239) 267-9888
R83953,*^HIBACHI AT TOWERS^*,2035 SW Colonial Ave,VA,5403438168,5405855628,(540) 343-8168,reject,Y,N,2035 Colonial Ave SW,(540) 343-8168
R82652,CATHAY GOURMET,8920 Forest Hill Ave,VA,8043200888,,,open,Y,yes,8920 Forest Hill Ave,(804)320-0888
R82653,^CHINA SPRING^,1638 Middle Tennessee Blvd,TN,6158963200,,,open,Y,yes,1638 Middle Tennessee Blvd,(615)896-3200
R82655,LI'S GARDEN,20928 N John Wayne Pkwy,AZ,5205680288,,,open,Y,yes,20928 N John Wayne Pkwy,(520)568-0288
R82656,MR. WOK,3937 Lincoln Hwy,PA,6102698288,,,open,Y,no,3937 W Lincoln Hwy,(610)269-8288
R82659,COLUMBINE GARDENS,481 Highway 105,CO,7194812311,,,open,Y,no,481 CO-105,(719)481-1936
R82661,^PANDA HOUSE^,9209 Middlebrook Pike,TN,8656900788,,,open,Y,yes,9209 Middlebrook Pike,(865) 690-0788
R82662,HOT WOK,1615-155 County Rd 220,FL,9042784088,,,open,N,no
R82663,MAY FLOWER,4676 E County Rd,FL,8636462688,,,open,N,no
R82665,*369 CHINESE RESTAURANT*,1425 Tuskawilla Road,FL,4076953699,,,new,Y,no,1425 Tuskawilla Rd,(407) 695-3699
R82666,RED LANTERN HOUSE,31 Main St,PA,5707244220,9179571525,,open,Y,yes,31 Main St,(570)724-4220
R82667,KING'S WOK,1256 W. Capitol Drive Suite 200,WI,2626918699,9172517775,,open,N,no
R11188,Singularity,3030 Northern Blvd,NY,1111111111,,,reject,N,N
R13470,Euphoria,3030 Northern Blvd,ON,1111111111,,,reject,N,N
R13460,Spring Day,3030 Northern Blvd,NY,1111111111,,,reject,N,N
R13447,Tranquility,3030 Northern Blvd,NY,1111111111,,,reject,N,N
R82668,CHINESE EXPRESS,121 East Lake St,MN,6122538888,6513877709,,open,N,no
R82671,^DYNASTY CUISINE^,702 W Southmore Ave,TX,7135890886,8323183135,,open,Y,yes,702 W Southmore Ave,(713)589-0886
R82672,GOOD KITCHEN,498 East 30th Street,NJ,9732471808,6468352198,,open,Y,no,498 E 30th St,(973)247-1808
R82673,RIYEN CHINESE,2620 Gus Thomasson Rd,TX,9722709900,,,open,Y,yes,2620 Gus Thomasson Rd,(972)270-9900
R82675,HAPPY HOUSE,1267 W 5th Avenue,OH,6144882088,6148864698,,open,Y,no,1267 W 5th Ave,(614)488-2088
R82678,PANDA HOUSE,735 Montgomery St,NJ,2014336787,,,open,Y,yes,735 Montgomery St,(201) 433-6787
R82679,*CHINA WOK*,524 8th Ave,SC,8433581701,5642026172,,open,Y,yes,524 8th Ave,(843) 358-1702
R82681,*CHINA WOK*,5085 Country Club Rd,NC,3367652313,,,open,Y,yes,5085 Country Club Rd,(336) 765-2313
R82682,*LITTLE SZECHUAN*,485 Prospect Avenue,NJ,7328423823,6184997628,,open,N,no
R82683,GOOD CHINESE RESTAURANT,663 Knickerbocker Ave,NY,7183667829,9179327785,,open,Y,yes,663 Knickerbocker Ave,(718)366-7829
R82686,GREAT WALL,5555 SE Federal Hwy,FL,7722839997,,,open,Y,yes,5555 SE Federal Hwy,(772)283-9997
R82687,TONY CHEN,4700 Washington Ave,WI,2626320868,,,open,Y,yes,4700 Washington Ave,(262)632-0868
R82688,CHINA LAKE,8214 Lakeview Pkwy,TX,9724757262,9034138084,,open,Y,yes,8214 Lakeview Pkwy,(972)475-7262
R83905,CHINA 1,373 North Willowbrook Rd,MI,5172799088,5176176298,(517) 279-9088,reject,Y,Y,373 N Willowbrook Rd,(517) 279-9088
R82689,EAST WOK,175 Broad St,NY,5187455975,7187537494,,open,Y,yes,175 Broad St,(518)745-5975
R83902,*^ICHIBAN WINGS & HIBACHI^*,1770 Highway 1 South,MS,6627025015,9172576208,(662) 702-5015,reject,Y,Y,1770 Highway 1 S,(662) 702-5015
R82692,HUNAN EXPRESS,520 Ernston Rd,NJ,7325252929,6467096522,,open,Y,yes,520 Ernston Rd,(732)525-2929
R82693,RICE KITCHEN,811 West Michigan Ave,MI,2693886083,6462558522,,open,Y,no,811 W Michigan Ave,(269)388-6083
R82695,*CHUNG WAH*,5820 Johnnycake Rd,MD,4107886744,,,open,Y,yes,5820 Johnnycake Rd,(410)788-6744
R82696,CHINA WOK,3337 N US Highway 441/27,FL,3527288877,3524061681,,open,N,no
R83897,*HONG KONG*,418 Pelham Rd,NY,9145767979,4072429600,(914) 576-7979,reject,Y,N,418 Pelham Rd,(914) 576-7979
R82698,PEKING,6936 North 56 St,FL,8138999888,,,open,N,no
R82701,WING WAH EXPRESS,115 N Congress Ave,FL,5613648099,5614126710,,open,Y,yes,115 N Congress Ave,(561)364-8099
R83893,GOLDEN DRAGON,244 N. Erie St.,PA,7246621913,3472376881,(724) 662-1913,reject,Y,Y,244 N Erie St,(724) 662-1913
R82702,*^HS CHINESE CAFE^*,8402 Hillcroft St,TX,7134856378,7134858228,,open,Y,yes,8402 Hillcroft St,(713) 485-6378
R83891,PANDA,193A Atlantic Ave,NY,5162232277,5168166737,(516) 223-2277,reject,Y,Y,193 Atlantic Ave,(516) 223-2277
R82705,FLAMING WOK,2313 Cleanleigh Dr,MD,4106618845,,,open,Y,yes,2313 Cleanleigh Dr,(410) 661-8845
