Snowball Map,List Source,Restaurant Name,Mailing Address,City Name,State,TELEPHONENUMBER,Zip Code,Contact First Name,Contact Last Name,Employee Count Est.,Small Business Entrepreneur Indicator,Year Established,Ethnic Code Desc
61775,Yelp Greendot (Q42022),EPICUREAN,3800 RESERVOIR RD NW GEORGETOWN UNIVERSITY DARNALL HALL,WASHINGTON,DC,(202) 625-2222,20057-0001,CALVIN,SHELBY,23,Y,,Japanese
61776,Yelp Greendot (Q42022),ESHIN NOODLE BAR,1113 ROUTE 25A UNIT 3E,STONY BROOK,NY,(631) 675-6333,11790-1928,,,,,,Japanese
61777,Yelp Greendot (Q42022),ESSENCE OF CHINA,510 SW 3RD AVE,PORTLAND,OR,(503) 235-1976,97204-2543,,,,,,Chinese
61778,Yelp Greendot (Q42022),ETCETERA SUSHI & THAI BITES,160 W FOOTHILL PKWY STE 103,CORONA,CA,(951) 268-6181,92882-8561,,,,,,Japanese
61779,Yelp Greendot (Q42022),ETHEL'S CREOLE KITCHEN,1615 SULGRAVE AVE,BALTIMORE,MD,(410) 664-2971,21209-3617,EDWARD,BLOOM,3,Y,,Cajun Seafood
61780,Yelp Greendot (Q42022),ETO'O MODERN ASIAN CUISINE,1373 E 53RD ST,CHICAGO,IL,(773) 891-2554,60615-4001,,,,,,Japanese
61781,Yelp Greendot (Q42022),ETSU SUSHI,1105 1ST AVE,NEW YORK,NY,(212) 888-7423,10065-8727,,,,,,Japanese
61782,Yelp Greendot (Q42022),EUN HA SOO CATERING,306 BROAD AVE STE 1,PALISADES PARK,NJ,(201) 944-8716,07650-2635,KI,KIM,5,Y,,Japanese
61783,Yelp Greendot (Q42022),EUPHORIA ORLANDO,2783 N ORANGE BLOSSOM TRL,KISSIMMEE,FL,(305) 337-7893,34744-1375,,,,,,Japanese
61784,Yelp Greendot (Q42022),EUTAW CHINA EXPRESS,236 N EUTAW ST,BALTIMORE,MD,(410) 727-1277,21201-1709,KOMG,WANG,3,Y,,Chinese
61785,Yelp Greendot (Q42022),EVANGELINE,1226 WASHINGTON ST STE B,CALISTOGA,CA,(707) 341-3131,94515-1409,CRYSTIAN,MARIN,7,Y,,Cajun Seafood
61786,Google API (Q42022),EVER GREEN CHINESE FOOD,28 BI STATE PLZ,OLD TAPPAN,NJ,(201) 666-6900,07675-7003,STAN,REN,4,N,,Chinese
61787,Yelp Greendot (Q42022),EVERGLADES ROD & GUN CLUB,200 RIVERSIDE DR,EVERGLADES CITY,FL,(239) 695-2101,34139,,,,,,Cajun Seafood
61788,Yelp Greendot (Q42022),EWHA WON,570 PIERMONT RD STE B9,CLOSTER,NJ,(201) 767-6610,07624-3100,JAMES,CHON,6,Y,,Chinese
61789,Yelp Greendot (Q42022),EXOTIC JAPANESE FOODS,25 GRANT ST SIDE BAZAAR,BUFFALO,NY,(716) 464-6389,14213-1902,,,,,,Japanese
61790,Yelp Greendot (Q42022),EXOTIC THAI,1461 S 4TH ST,EL CENTRO,CA,(760) 353-0008,92243-4556,RAEFEL,FONG,10,Y,,Chinese
61791,Yelp Greendot (Q42022),EXPRESS JAPAN,1801 SW WANAMAKER RD STE VC02,TOPEKA,KS,(785) 273-0508,66604-3836,JENNIFER,SCHAFFER,2,Y,,Japanese
61792,Yelp Greendot (Q42022),EXPRESS TERIYAKI & GRILL,9616 N LAMAR BLVD,AUSTIN,TX,(512) 821-1089,78753-4152,,,,,,Japanese
61793,Yelp Greendot (Q42022),EXTREME SUSHI ROLL,4434 W THOMAS RD STE 15,PHOENIX,AZ,(602) 783-0700,85031-3700,ALBA,CRUZ CORDOVA,9,Y,,Japanese
61794,Yelp Greendot (Q42022),FAIRHAVEN POKE,1102 HARRIS AVE,BELLINGHAM,WA,(360) 922-7494,98225-7037,,,7,Y,,Japanese
61795,Yelp Greendot (Q42022),FALSE RIVER SEAFOOD,300 1/2 HOSPITAL RD STE A,NEW ROADS,LA,(225) 638-7511,70760-2621,,,,,,Chinese
61796,Yelp Greendot (Q42022),FAMILY BUFFET,1386 N LEROY ST,FENTON,MI,(810) 519-8333,48430-2762,YU,LIN,9,Y,,Chinese
61797,Yelp Greendot (Q42022),FAMILY CAFE,3420 E PONCE DE LEON AVE STE B,SCOTTDALE,GA,(404) 297-8010,30079-1251,SUSI,ANN,9,Y,,Chinese
61798,Google API (Q42022),FAMILY GARDEN,373 BLOOMFIELD AVE,NEWARK,NJ,(973) 268-1222,07107-2442,DANNY,ZHANG,4,Y,,Chinese
61799,Yelp Greendot (Q42022),FAMILY MONGOLIAN BBQ,2321 TAPO ST STE G,SIMI VALLEY,CA,(805) 527-1966,93063-3081,JIANYOUG,ZHANG,9,Y,,Chinese
61800,Yelp Greendot (Q42022),FAMILY THAI,863 TONAWANDA ST,BUFFALO,NY,(716) 783-9285,14207-1445,,,9,Y,,Japanese
61801,Yelp Greendot (Q42022),FAMOUS CAJUN GRILL,20131 HIGHWAY 59 N STE 2104,HUMBLE,TX,(281) 812-8883,77338-2334,,,,,,Cajun Seafood
61802,Yelp Greendot (Q42022),FAMOUS GOURMET,13123 ROCKAWAY BLVD,JAMAICA,NY,(718) 529-6061,11420-2931,MING,LU,4,Y,,Chinese
61803,Yelp Greendot (Q42022),FAMOUS WOK,3400 W HENRIETTA RD,ROCHESTER,NY,(585) 427-0180,14623,,,,,,Chinese
61804,Yelp Greendot (Q42022),FAMOUS WOK,438 GREECE RIDGE CENTER DR,ROCHESTER,NY,(585) 227-9890,14626-2821,DAVID,HO,5,Y,,Chinese
61805,Yelp Greendot (Q42022),FAMOUS WOK,4554 VIRGINIA BEACH BLVD STE 50,VIRGINIA BEACH,VA,(757) 493-9555,23462-3055,,,,,,Chinese
61806,Yelp Greendot (Q42022),FAMOUS WOK,4840 TANGER OUTLET BLVD UNIT 787,NORTH CHARLESTON,SC,(843) 566-9900,29418-6961,,,,,,Chinese
61807,Yelp Greendot (Q42022),FAMOUS WOK,2200 W WAR MEMORIAL DR,PEORIA,IL,(309) 686-0663,61613-1000,,,,,,Chinese
61808,Yelp Greendot (Q42022),FAMOUS WOK,20131 HIGHWAY 59 N STE 2102,HUMBLE,TX,(281) 319-8789,77338-2334,,,,,,Chinese
61809,Yelp Greendot (Q42022),FAMOUS WOK,6626 FM 1960 RD E WALMART SUPERCENTER,HUMBLE,TX,(281) 312-4482,77346-2712,WEIJIAN,WU,9,Y,,Chinese
61810,Yelp Greendot (Q42022),FAMOUS WOK,27650 STATE HIGHWAY 249,TOMBALL,TX,(281) 255-2777,77375-6518,,,7,Y,,Chinese
61811,Yelp Greendot (Q42022),FAMOUS WOK,1201 LAKE WOODLANDS DR STE 2160,SPRING,TX,(832) 585-0888,77380-5004,,,,,,Chinese
61812,Yelp Greendot (Q42022),FAMOUS WOK,4976 PREMIUM OUTLETS WAY STE 432,CHANDLER,AZ,(480) 639-1715,85226-5507,,,,,,Chinese
61813,Yelp Greendot (Q42022),FAMOUS WOK EAST VIEW MALL,7979 PITTSFORD VICTOR RD ROUTE 96,VICTOR,NY,(585) 223-8803,14564,BOBBI,LAI,6,Y,,Chinese
61814,Google API (Q42022),FAN BISTRO,8 SOUTH ST,NEW PROVIDNCE,NJ,(908) 898-1818,07974-1941,FENG,LIU BI,9,Y,,Chinese
61815,Yelp Greendot (Q42022),FANCY Q SUSHI BAR & GRILL,514 MARY ST,WAYCROSS,GA,(912) 548-1540,31501-3725,,,,,,Japanese
61816,Yelp Greendot (Q42022),FANCY SUSHI,2417 S HIGHWAY 27,CLERMONT,FL,(352) 241-8999,34711-6876,SHUO,CHEN,11,Y,,Japanese
61817,Yelp Greendot (Q42022),FANCY SUSHI & GRILL,11949 ATLANTIC BLVD UNIT 103,JACKSONVILLE,FL,(904) 990-1888,32225-2954,,,,,,Japanese
61818,Yelp Greendot (Q42022),FANCY SUSHI BAR &GRILL,9933 ALICIA ST,PHILADELPHIA,PA,(843) 715-4148,19115-1308,,,,,,Japanese
61819,Yelp Greendot (Q42022),FANNETT SEAFOOD,18746 FARM TO MARKET RD 365,BEAUMONT,TX,(409) 794-2177,77705,SCOTT,WADE,21,N,,Cajun Seafood
61820,Yelp Greendot (Q42022),FAR EAST BUFFET,188 SILAS DEANE HWY,WETHERSFIELD,CT,(860) 563-1888,06109-1239,TIAN,GUO,4,Y,,Chinese
61821,Yelp Greendot (Q42022),FAR EAST BUFFET,215 N COMRIE AVE,JOHNSTOWN,NY,(518) 762-5858,12095-1501,LAN,FAR,8,Y,,Chinese
61822,Yelp Greendot (Q42022),FAR EAST BUFFET,3555 GATEWAY DR,GRAND FORKS,ND,(701) 772-1866,58203-0823,,,15,N,,Chinese
61823,Yelp Greendot (Q42022),FAR EAST CAFE,349 DELP RD,LANCASTER,PA,(717) 871-6898,17601-3909,THOMAS,CHEN,10,Y,,Chinese
61824,Google API (Q42022),FAR EAST KITCHEN,225 SIP AVE,JERSEY CITY,NJ,(201) 432-6773,07306-5605,WEN J,WANG,4,N,2019,Chinese
61825,Yelp Greendot (Q42022),FAR EAST KOREAN & JAPANESE CUISINE,1330 S ONEIDA ST,APPLETON,WI,(920) 830-9810,54915-1350,YONG,LARSON,4,Y,,Japanese
61826,Yelp Greendot (Q42022),FARMERS BASKET,2860 CUMBERLAND MALL SE STE 1303,ATLANTA,GA,(770) 438-8812,30339-6373,,,,,,Chinese
61827,Yelp Greendot (Q42022),FAST CRAB SHACK,1211 S MAIN ST,DUNCANVILLE,TX,(469) 463-5654,75137-3203,,,,,,Cajun Seafood
61828,Yelp Greendot (Q42022),FAST FURIOUS JAPANESE GRILL,3761 BELT LINE RD,ADDISON,TX,(972) 243-3334,75001-4302,,,7,Y,,Japanese
61829,Yelp Greendot (Q42022),FAST FURIOUS JAPANESE GRILL,949 W ROYAL LN STE 115,IRVING,TX,(214) 484-6814,75039-4688,DON,KIN,19,Y,,Japanese
61830,Yelp Greendot (Q42022),FAST FURIOUS JAPANESE GRILL,5915 GREENVILLE AVE,DALLAS,TX,(972) 290-0654,75206-1906,MYUNG,KIM,4,Y,,Japanese
61831,Yelp Greendot (Q42022),FAST FURIOUS RESTAURANT,360 E ROUND GROVE RD STE 850,LEWISVILLE,TX,(469) 451-5522,75067-8141,,,,,,Japanese
61832,Yelp Greendot (Q42022),FAST WOK,260 BROOK AVE,BRONX,NY,(718) 292-1801,10454-2632,JOEL,DISLA,8,Y,,Chinese
61833,Yelp Greendot (Q42022),FAST WOK,7008 E WT HARRIS BLVD STE 3,CHARLOTTE,NC,(704) 537-8868,28215-4298,,,,,,Chinese
61834,Yelp Greendot (Q42022),FAST WOK,761 N RAVEN FIELD CT,GREENFIELD,IN,(317) 895-9234,46140-8813,,,,,,Chinese
61835,Yelp Greendot (Q42022),FAT BAO,3419 KIRBY DR,HOUSTON,TX,(713) 677-0341,77098-3210,,,11,Y,,Chinese
61836,Yelp Greendot (Q42022),FAT CAM'S AT GARVER LAKE,25020 MAY ST,EDWARDSBURG,MI,(269) 414-4446,49112-8433,,,,,,Cajun Seafood
61837,Yelp Greendot (Q42022),FAT FISH BLUE,6140 LEVIS COMMONS BLVD,PERRYSBURG,OH,(419) 931-3474,43551-7268,DEB,CAREY,2,Y,,Cajun Seafood
61838,Yelp Greendot (Q42022),FAT NOODLE,811 E WETMORE RD,TUCSON,AZ,(520) 269-7603,85719-7298,,,4,Y,,Japanese
61839,Yelp Greendot (Q42022),FAT TUNA,2451 N 54TH ST,PHILADELPHIA,PA,(215) 879-3888,19131-2423,,,9,Y,,Japanese
61840,Yelp Greendot (Q42022),FAT'S OYSTER HOUSE,450 CLYDE FANT PKWY STE 400,SHREVEPORT,LA,(318) 459-1448,71101-3279,BRIAN,CUSH,5,N,,Cajun Seafood
61841,Yelp Greendot (Q42022),FATSUMO SUSHI,125 DAVIS AVE,PASS CHRISTIAN,MS,(228) 222-4647,39571-4503,,,7,Y,,Japanese
61842,Yelp Greendot (Q42022),FATTY'S SEAFOOD,3320 HIGHWAY 11 N,PICAYUNE,MS,(601) 749-2722,39466-2000,ERIN,AMADEO,13,Y,,Cajun Seafood
61843,Yelp Greendot (Q42022),FAVORI RESTAURANT,3502 W 1ST ST,SANTA ANA,CA,(714) 531-6838,92703-3302,THI,DOAN,5,Y,,Chinese
61844,Yelp Greendot (Q42022),FAY DA BAKERY,321 AVENUE OF THE AMERICAS FRNT A,NEW YORK,NY,(212) 255-9888,10014-6926,HAN,CHOW,2,Y,,Chinese
61845,Yelp Greendot (Q42022),FEAST - ARTISAN DUMPLING AND TEA HOUSE,904 WILLIAMSON ST,MADISON,WI,(608) 298-7461,53703-3550,,,,,,Chinese
61846,Yelp Greendot (Q42022),FEAST 26,2575 GINGER DR,BUFORD,GA,(770) 630-3220,30519-4484,NICHOLAS,GOODE,1,Y,,Cajun Seafood
61847,Yelp Greendot (Q42022),FEATHER FALLS BREWING COMPANY,3 ALVERDA DR,OROVILLE,CA,(530) 533-3885,95966-9379,TAHNEE,WRIGHT,340,N,,Japanese
61848,Yelp Greendot (Q42022),FELIX'S RESTAURANT & OYSTER BAR,942 BEACH DR,GULFPORT,MS,(228) 284-3710,39507-1300,ERIC,SWANSON,24,N,,Cajun Seafood
61849,Yelp Greendot (Q42022),FELIX'S RESTAURANT & OYSTER BAR,7400 LAKESHORE DR,NEW ORLEANS,LA,(504) 304-4125,70124-2435,JONATHAN,BRISBI,22,N,,Cajun Seafood
61850,Google API (Q42022),Fen Yang House,40 ATLANTIC AVE STE 4,MARBLEHEAD,MA,(781) 639-8386,01945-3126,FA DI,CHUNG,9,Y,,Chinese
61851,Google API (Q42022),Feng Asian Bistro & Hibachi,70 WORCESTER PROVIDENCE TPKE,MILLBURY,MA,(508) 865-4400,01527-2663,TIM,LIN,9,N,2005,Chinese
61852,Yelp Greendot (Q42022),FENG LIN BUFFET,13848 61ST RD,FLUSHING,NY,(716) 873-8439,11367-1126,LIN,WI,180,Y,,Chinese
61853,Yelp Greendot (Q42022),FENG NIAN CHINESE RESTAURANT,19 STANTON WAY,MILL VALLEY,CA,(415) 331-5300,94941-1421,TEHCHAN,SUN,15,Y,,Chinese
61854,Google API (Q42022),FENG TONG CHINESE KITCHEN,650 PARK AVE,KEENE,NH,(603) 352-8600,03431-1776,ADAM,FENG,4,Y,,Chinese
61855,Yelp Greendot (Q42022),FERDI'S CREOLE RESTAURANT,740 BROADWAY AVE,SEASIDE,CA,(831) 394-2244,93955-4306,TOM,FRERDIS,3,Y,,Cajun Seafood
61856,Yelp Greendot (Q42022),FERTITTA CAFE,610 CHILDS WAY,LOS ANGELES,CA,(213) 821-8894,90089-0023,,,,,,Chinese
61857,Yelp Greendot (Q42022),FIISH SUSHI,8820 WASHINGTON BLVD SHOP 101,CULVER CITY,CA,(323) 272-2262,90232-2384,,,,,,Japanese
61858,Yelp Greendot (Q42022),FIN & PHO / TIOGA DOWNS,2384 W RIVER RD TIOGA DOWNS,NICHOLS,NY,(888) 946-8464,13812-1406,,,,,,Japanese
61859,Yelp Greendot (Q42022),FIN AND SCALE - KOSHER SUSHI AND BAR,920 WHALLEY AVE,NEW HAVEN,CT,(203) 553-7905,06515-1708,,,,,,Japanese
61860,Yelp Greendot (Q42022),FIN FUSION SUSHI,2862 S CHURCH ST,MURFREESBORO,TN,(615) 494-3442,37127-6374,CHONG,BAIK,7,Y,,Japanese
61861,Yelp Greendot (Q42022),FIN SUSHI & GRILL,24123 PEACHLAND BLVD UNIT C3,PORT CHARLOTTE,FL,(941) 666-6686,33954-3765,,,,,,Japanese
61862,Yelp Greendot (Q42022),FIN'S SUSHI & GRILL,62 BOYLSTON ST,BOSTON,MA,(617) 423-4888,02116-4799,SAMMY,ZHENG,8,Y,,Japanese
61863,Yelp Greendot (Q42022),FIN'S SUSHI AND GRILL,354 CHESTNUT HILL AVE,BRIGHTON,MA,(617) 731-0018,02135-7773,,,,,,Japanese
61864,Yelp Greendot (Q42022),FINBOMB SUSHI BURRITO POK+ż RAMEN,660 ARLINGTON CREEK CENTRE BLVD,BATON ROUGE,LA,(225) 663-2128,70820-6019,,,,,,Japanese
61865,Google API (Q42022),FINE WOK,1222 PACIFIC COAST HWY,HARBOR CITY,CA,(310) -53-5864,90710-2932,HAIMING,DING,9,Y,2015,Chinese
61866,Yelp Greendot (Q42022),FINGER LAKES TEA COMPANY,678 STATE ROUTE 318,WATERLOO,NY,(315) 856-8031,13165-9579,MARK,LIN,8,Y,,Chinese
61867,Yelp Greendot (Q42022),FINN AND PORTER,5000 SEMINARY RD INSIDE THE HILTON,ALEXANDRIA,VA,(703) 379-2346,22311-1946,FAROUK,ANWARY,27,Y,,Japanese
61868,Yelp Greendot (Q42022),FINN THAI - PURCELLVILE,126 N MAPLE AVE,PURCELLVILLE,VA,(540) 751-1300,20132-3180,WILLIE,CHAOKRAJANG,7,Y,,Japanese
61869,Yelp Greendot (Q42022),FINS AT SHARKY'S,1600 HARBOR DR S,VENICE,FL,(941) 999-3467,34285-3700,,,,,,Japanese
61870,Yelp Greendot (Q42022),FIRE BOWL CAFE,150 SUNDANCE PKWY,ROUND ROCK,TX,(512) 248-2695,78681-7969,PABLO,MONDRAGON,16,N,,Chinese
61871,Yelp Greendot (Q42022),FIRE BOWL CAFE,9828 GREAT HILLS TRL STE 100,AUSTIN,TX,(512) 795-8998,78759-5778,,,,,,Chinese
61872,Yelp Greendot (Q42022),FIRE FOOD AND SPIRITS,5951 BULLARD AVE,NEW ORLEANS,LA,(504) 516-2083,70128-2824,JEANETTE,MANNING,3,Y,,Cajun Seafood
61873,Yelp Greendot (Q42022),FIRE POINT BBQ & NOODLE,4103 PLUTO WAY,UNION CITY,CA,(510) 791-3036,94587-4038,,,,,,Chinese
61874,Yelp Greendot (Q42022),FIRE THAI FUSION,400 EGLIN PKWY NE,FORT WALTON BEACH,FL,(850) 586-5503,32547-2828,,,,,,Japanese
61875,Google API (Q42022),FIRE WOK ASIAN BISTRO,11310 MEMORIAL PKWY SW STE B,HUNTSVILLE,AL,(256) 517-8475,35803-2477,ANDY,CHING,4,Y,2012,Chinese
61876,Yelp Greendot (Q42022),FIREHOUSE CRAWFISH,6519 SAVINGS PL STE 205,SACRAMENTO,CA,(916) 429-9034,95828-1271,,,,,,Cajun Seafood
61877,Yelp Greendot (Q42022),FIREHOUSE CRAWFISH-RANCHO CORDOVA,2878 ZINFANDEL DR,RANCHO CORDOVA,CA,(916) 858-2313,95670-5668,,,,,,Cajun Seafood
61878,Yelp Greendot (Q42022),FIREHOUSE SUSHI BAR,106 E TYLER ST,LONGVIEW,TX,(903) 212-0527,75601-7215,,,,,,Japanese
61879,Yelp Greendot (Q42022),FIRST HOTPOT & SNAIL,2404 S COLLINS ST,ARLINGTON,TX,(682) 433-3938,76014-1225,,,,,,Chinese
61880,Yelp Greendot (Q42022),FIRST WOK,1582 ROUTE 9 UNIT 8,WAPPINGERS FALLS,NY,(845) 297-1252,12590-2821,KENNETH,NG,1,Y,,Chinese
61881,Yelp Greendot (Q42022),FISH & CAJUN CRAB,111 E MAY ST STE 10,WINDER,GA,(470) 209-7428,30680-1981,,,,,,Cajun Seafood
61882,Yelp Greendot (Q42022),FISH BOWL,433 KING ST,CHARLESTON,SC,(843) 640-3925,29403-6232,,,,,,Japanese
61883,Yelp Greendot (Q42022),FISH CITY GRILL,1485 TOWN CENTER DR STE D112,LAKELAND,FL,(863) 683-1243,33803-7966,STEFANIE,MARSDEN,1,Y,,Cajun Seafood
61884,Yelp Greendot (Q42022),FISH CITY GRILL,2003 S BELLVIEW RD,ROGERS,AR,(479) 636-8833,72758-4050,CHLOE,THROOP,7,Y,,Cajun Seafood
61885,Yelp Greendot (Q42022),FISH PLACE,8811 ANTOINE DR,HOUSTON,TX,(281) 272-2545,77088-1625,,,,,,Cajun Seafood
61886,Yelp Greendot (Q42022),FISH RESTAURANT,4360 GULF SHORE BLVD N STE 600,NAPLES,FL,(239) 263-3474,34103-2665,SALVATORE,SINZIERI,21,Y,,Japanese
61887,Yelp Greendot (Q42022),FISH SKILLET SEAFOOD,12289 WEST HOUSTON CENTER BLVD STE A,HOUSTON,TX,(281) 741-7165,77082-3157,MINKU,KANG,4,Y,,Cajun Seafood
61888,Yelp Greendot (Q42022),FISH TALES,12317 WETMORE RD,SAN ANTONIO,TX,(210) 451-7551,78247-3635,,,,,,Cajun Seafood
61889,Yelp Greendot (Q42022),FISH TALES,500 RIVER RD,WIMBERLEY,TX,(512) 722-3728,78676-5133,,,,,,Cajun Seafood
61890,Yelp Greendot (Q42022),FISH WOK,3401 S NAYASA AVE,TUCSON,AZ,(520) 303-6120,85730-1918,FISH,WOK,4,Y,,Chinese
61891,Yelp Greendot (Q42022),FISHBOWL,433 KING ST,CHARLESTON,SC,(843) 640-3925,29403-6232,,,,,,Japanese
61892,Yelp Greendot (Q42022),FISHERMAN'S KITCHEN,2936 LAVON DR STE 200,GARLAND,TX,(469) 782-0050,75040-8719,,,7,Y,,Cajun Seafood
61893,Yelp Greendot (Q42022),FISHERMANS MARKET & RESTAURANT,116F JOHNSTON ST STE F,LONGVIEW,TX,(903) 753-6722,75601-3909,SPIRO,MIJALIS,23,Y,,Cajun Seafood
61894,Yelp Greendot (Q42022),FISHMONGER'S SEAFOOD MARKET AND CAFE,2301 N CENTRAL EXPY STE 195,PLANO,TX,(972) 423-3699,75075-2598,JIM,ELROD,24,Y,,Cajun Seafood
61895,Yelp Greendot (Q42022),FITSTREET DELI & HIBACHI,1223 BRICKLE ST,ORANGEBURG,SC,(803) 536-0583,29118-2501,,,,,,Japanese
61896,Google API (Q42022),Five Happiness,4142 GEARY BLVD,SAN FRANCISCO,CA,(415) 387-1234,94118-3102,WILLIAM,YANG,9,N,,Chinese
61897,Yelp Greendot (Q42022),FIVE LOAVES AND TWO FISH BAKERY,70B CANAL ST,NEW YORK,NY,(212) 431-3906,10002-6003,,,,,,Chinese
61898,Yelp Greendot (Q42022),FIVE SPICE VIETNAMESE,1801 NE 8TH ST,HOMESTEAD,FL,(786) 404-3125,33033-4705,,,,,,Japanese
61899,Yelp Greendot (Q42022),FIVE STAR RESTAURANT,6667 GERMANTOWN AVE,PHILADELPHIA,PA,(215) 848-4171,19119-2251,SIAN,LI,4,Y,,Chinese
61900,Yelp Greendot (Q42022),FJORD FISH MARKET,1015 BOSTON POST RD,DARIEN,CT,(203) 202-9473,06820-4510,,,3,Y,,Japanese
61901,Yelp Greendot (Q42022),FJORD FISH MARKET,134 CHATSWORTH AVE,LARCHMONT,NY,(914) 341-1437,10538-2902,,,,,,Japanese
61902,Yelp Greendot (Q42022),FLAMBO BURGERS & BAR,1101 DECATUR ST,NEW ORLEANS,LA,(504) 784-8300,70116-2667,,,,,,Cajun Seafood
61903,Yelp Greendot (Q42022),FLAME BROILER,24427 CRENSHAW BLVD STE C,TORRANCE,CA,(310) 530-1262,90505-5346,,,24,N,,Japanese
61904,Yelp Greendot (Q42022),FLAME BROILER,3533 E CHAPMAN AVE STE J,ORANGE,CA,(714) 516-9979,92869-3850,,,8,Y,,Japanese
61905,Yelp Greendot (Q42022),FLAMING BUFFET,29583 5 MILE RD,LIVONIA,MI,(734) 744-5252,48154-3709,,,,,,Chinese
61906,Yelp Greendot (Q42022),FLAMING BUFFET & KING CRAB,4190 E COURT ST STE 801,BURTON,MI,(810) 265-7028,48509-1772,,,,,,Cajun Seafood
61907,Yelp Greendot (Q42022),FLAMING CRAB,2198 WILKES BARRE TOWNSHIP MARKET PL,WILKES BARRE,PA,(570) 899-9262,18702-6059,,,,,,Cajun Seafood
61908,Yelp Greendot (Q42022),FLAMING CRAB - BETHLEHEM,3926 NAZARETH PIKE STE 12-14 BETHLEHEM,BETHLEHEM,PA,(610) 419-8099,18020-1116,,,,,,Cajun Seafood
61909,Yelp Greendot (Q42022),FLAMING CRAB EXPRESS EASTON,2411 NAZARETH RD,EASTON,PA,(610) 438-2886,18045-2743,,,,,,Cajun Seafood
61910,Google API (Q42022),FLAMING WOK,8498 S SAM HOUSTON PKWY E STE 700,HOUSTON,TX,(713) 991-0888,77075-4893,HELEN,CHAO,9,N,,Chinese
61911,Yelp Greendot (Q42022),FLAMING WOK,4574 VIRGINIA BEACH BLVD PEMBROKE MALL,VIRGINIA BEACH,VA,(757) 420-8336,23462-3004,,,,,,Japanese
61912,Yelp Greendot (Q42022),FLAMING WOK,1572 GREYBACK CT NW,SALEM,OR,(503) 363-2208,97304-2077,YOUN,CHANG,10,Y,,Chinese
61913,Yelp Greendot (Q42022),FLATLANDS BOURBON AND BAYOU,52 N MAIN ST BEHIND MITTIES CAF+Ź,ALPHARETTA,GA,(470) 242-5458,30009-3677,,,11,Y,,Cajun Seafood
61914,Yelp Greendot (Q42022),FLAVOR LAO BOWL,7821 AURORA AVE N,SEATTLE,WA,(206) 453-3401,98103-4753,,,,,,Chinese
61915,Yelp Greendot (Q42022),FLAVOR RESTAURANT,5091 SAUK TRL,RICHTON PARK,IL,(708) 748-3000,60471-1021,ROCHELLE,KEMP,13,Y,,Cajun Seafood
61916,Yelp Greendot (Q42022),FLAVOR TABLE,2812 W FLORENCE AVE,LOS ANGELES,CA,(323) 615-0170,90043-5142,MARILYN,WALLACE,13,Y,,Cajun Seafood
61917,Yelp Greendot (Q42022),FLAVORS DAIQUIRI CAFE,3502 S BROADWAY AVE STE 404,TYLER,TX,(903) 944-5600,75701-8730,,,,,,Cajun Seafood
61918,Yelp Greendot (Q42022),FLO'S - NEW ASIAN CUISINE,788 E BASELINE RD,TEMPE,AZ,(480) 588-7922,85283-1273,FLORENCE,CHAN,8,Y,,Chinese
61919,Yelp Greendot (Q42022),FLOR DE MAYO,4160 BROADWAY,NEW YORK,NY,(212) 999-7891,10033-3705,,,2,Y,,Chinese
61920,Yelp Greendot (Q42022),FLORDIA STYLE SEAFOOD,2661 MIDWAY RD STE 101,CARROLLTON,TX,(469) 793-3868,75006-2348,,,,,,Cajun Seafood
61921,Yelp Greendot (Q42022),FLOYDS - SUGAR LAND,16549 SOUTHWEST FWY,SUGAR LAND,TX,(281) 240-3474,77479-2317,ROB,GILBERT,7,Y,,Cajun Seafood
61922,Yelp Greendot (Q42022),"FLOYDS MONT BELVIEU - SEAFOOD, STEAKS, AND MORE",12621 INTERSTATE 10 E,BAYTOWN,TX,(281) 838-2468,77523-0927,,,1,Y,,Cajun Seafood
61923,Yelp Greendot (Q42022),FLOYDS SEAFOOD - WEBSTER,20760 GULF FWY,WEBSTER,TX,(281) 332-7474,77598-4808,MARY,PISTORIUS,52,Y,,Cajun Seafood
61924,Yelp Greendot (Q42022),FLYING FISH,105 S 2ND ST,MEMPHIS,TN,(901) 522-8228,38103-3009,ELOY,ESCOBAR,7,Y,,Cajun Seafood
61925,Yelp Greendot (Q42022),FLYING FISH,649 POWELL LN,PLANO,TX,(469) 616-1234,75075-8902,,,7,Y,,Cajun Seafood
61926,Yelp Greendot (Q42022),FLYING FISH,1838 IRVING BLVD,DALLAS,TX,(214) 390-9311,75207-6604,,,,,,Cajun Seafood
61927,Yelp Greendot (Q42022),FLYING FISH,2913 MONTGOMERY ST,FORT WORTH,TX,(817) 989-2277,76107-5612,ANTONIO,CRUCH,11,Y,,Cajun Seafood
61928,Yelp Greendot (Q42022),FLYING FISH,1815 N DURHAM DR,HOUSTON,TX,(713) 377-9919,77008-3535,,,7,Y,,Cajun Seafood
61929,Yelp Greendot (Q42022),FLYING FISH PUBLIC MARKET & GRILL,4744 HIGHWAY 17 S,NORTH MYRTLE BEACH,SC,(843) 663-3474,29582-5355,EMILY,YARBROUBH,3,Y,,Japanese
61930,Yelp Greendot (Q42022),FON SHAN CHINESE RESTAURANT & LOUNGE,4735 N CONGRESS AVE,BOYNTON BEACH,FL,(561) 641-0500,33426-7940,,,,,,Chinese
