Snowball Map,Dupe (Y/N),Match Brizo 1,Match Brizo 2,Match Print 1,Name,CBE Contact Last Name,CBE Contact First Name,Price,Category,Phone Number,Street,City,State,Zip,CBE Location Employment Size Description,CBE Vendor Ethnicity Description
,TRUE,-,(905) 238-6738,-,House of Pepper,WONG,PATRICK,$,Chinese,(905) 238-6738,1G-1550 South Gateway Rd,Mississauga,ON,L4W 5G6,1-4,Chinese
97369,FALSE,-,-,-,Sea Star,WONG,LISA,$,Chinese,(905) 282-1288,1550 South Gateway Rd Unit 1H,Mississauga,ON,L4W 5G6,1-4,Chinese
,TRUE,-,(905) 238-6738,-,Honey Pepper,,,$,Chinese,(905) 238-6738,1550 South Gateway Road,Mississauga,ON,L4W 5G6,,
97370,FALSE,-,-,-,Lemongrass Kitchen,,,$,Chinese,(905) 238-8876,1550 S Gateway Road,Mississauga,ON,L4W 5G6,,
97371,FALSE,-,-,-,Yogi's Noodles,,,$,Chinese,(905) 629-0635,1550 S Gateway Road,Mississauga,ON,L4W 5G6,,
97372,FALSE,-,-,-,Dynasty BBQ,,,$,Chinese,(905) 238-0275,1550 S Gateway Road,Mississauga,ON,L4W 5J1,,
97373,FALSE,-,-,-,Dragon Palace,SU,KIM,$$,Chinese,(905) 279-9111,1850 Dundas St E,Mississauga,ON,L4X 1L9,10-19,Chinese
97374,FALSE,-,-,-,China Village,,,null,Chinese,(905) 279-9111,1850 Dundas St E,Mississauga,ON,L4X 1L9,,
,TRUE,-,-,1852 Dundas St E,Silk Road Restaurant,,,$$,Chinese,(905) 279-9444,1852 Dundas St E,Mississauga,ON,L4X 1L9,1-4,Unknown
97375,FALSE,-,-,-,Congee Queen,,,$$,Chinese,(905) 629-2288,1911 Dundas St E Unit 17,Mississauga,ON,L4X 1M1,,
97376,FALSE,-,-,-,Karachi Grill,HASAN,SYED,$,Chinese,(905) 602-5555,3425 Fieldgate Dr,Mississauga,ON,L4X 2J4,1-4,Arab
,TRUE,2280 Dixie Rd,(905) 273-6663,-,Jade Dim Sum,,,$$,Chinese,(905) 273-6663,2280 Dixie Rd,Mississauga,ON,L4Y 1Z4,5-9,Unknown
97377,FALSE,-,-,-,Sikgaek,,,$$,Chinese,(647) 847-1030,A1-800 Dundas St E,Mississauga,ON,L4Y 2B6,,
97378,FALSE,-,-,-,Tsui Xiang Tsuen Restaurant,,,$,Chinese,(905) 279-9908,888 Dundas Street E,Mississauga,ON,L4Y 2B8,,
97379,FALSE,-,-,-,Spoon and Fork Corner,,,$$,Japanese,(905) 803-1100,1225 Dundas St E Suite 14B,Mississauga,ON,L4Y 2C5,5-9,Unknown
97380,FALSE,-,-,-,China China Palace,CHENG,JON,$,Chinese,(905) 897-7888,1125 Bloor St Unit 8A,Mississauga,ON,L4Y 2N6,5-9,Chinese
,TRUE,1014 Burnhamthorpe Rd E,-,-,Shanghai House Chinese Restaurant,WU,JAMES,$,Chinese,(905) 270-1906,1014 Burnhamthorpe Rd E,Mississauga,ON,L4Y 2X6,1-4,Chinese
97381,FALSE,-,-,-,Mom's Recipe Chicken,,,null,Chinese,(905) 232-6666,B-888 Dundas St E Unit D2,Mississauga,ON,L4Y 4G6,,
97382,FALSE,-,-,-,Sushi Omigoto,,,$$,Japanese,(905) 275-5566,E1-888 Dundas St E,Mississauga,ON,L4Y 4G6,,Unknown
97383,FALSE,-,-,-,Moteru Sushi - Mississauga,,,null,Japanese,(647) 930-7661,F4-888 Dundas St E,Mississauga,ON,L4Y 4G6,,
97384,FALSE,-,-,-,Best Friend Restaurant,WAN,VINCE,$$,Chinese,(905) 848-2010,888 Dundas Street E,Mississauga,ON,L4Y 4G6,1-4,Dutch
97385,FALSE,-,-,-,Wokman Kitchen,LIANG,WEIEANG,$$,Chinese,(905) 270-6785,888 Dundas Street E,Mississauga,ON,L4Y 4G6,1-4,Dutch
,TRUE,888 Dundas St E,-,-,Royal Dragon Chinese Restaurant,,,null,Chinese,(),888 Dundas St E,Mississauga,ON,L4Y 4H5,,
97386,FALSE,-,-,-,Mandarin Restaurant,,,$$,Chinese,(905) 502-8000,87 Matheson Blvd E,Mississauga,ON,L4Z 2Y5,,
97387,FALSE,-,-,-,Salt and Pepper,AJIJ,KHALID,$$,Chinese,(905) 568-9900,35 Brunel Rd Unit 4,Mississauga,ON,L4Z 3E8,5-9,Arab
97388,FALSE,-,-,-,Gyubee Japanese Grill - Mississauga,,,$$$,Japanese,(905) 507-6228,4559 Hurontario St Unit A2,Mississauga,ON,L4Z 3L9,,
97389,FALSE,-,-,-,Hakka Ren,CHUNG,MICHAEL,$$,Chinese,(905) 568-1818,4555 Hurontario St Unit C2,Mississauga,ON,L4Z 3M1,5-9,Chinese
97390,FALSE,-,-,-,Pho 99,,,$,Chinese,(905) 568-1889,4557 Hurontario Street,Mississauga,ON,L4Z 3M1,,
97391,FALSE,-,-,-,Bashu Sichuan,,,$$,Chinese,(905) 568-9988,"4559 Hurontario Street, Suite A-7A",Mississauga,ON,L4Z 3X3,,
97392,FALSE,-,-,-,Bao Bar Mississauga,,,null,Cajun Seafood,(),4310 Sherwoodtowne Blvd Suite 5,Mississauga,ON,L4Z 4C4,,
97393,FALSE,-,-,-,Pho Lam,,,$,Chinese,(905) 896-8899,60 Dundas St E Unit 5A,Mississauga,ON,L5A 1W4,,
97394,FALSE,-,-,-,Spice and Aroma,,,$,Chinese,(905) 232-5302,157 Dundas St E Unit 3B,Mississauga,ON,L5A 1W8,,
97395,FALSE,-,-,-,Manna,,,null,Japanese,(),333 Dundas Street E,Mississauga,ON,L5A 1X1,,
97396,FALSE,-,-,-,Szechuan Noodle Bowl,WANG,SHERRY,$$,Chinese,(905) 270-0068,400 Dundas Street E,Mississauga,ON,L5A 1X5,5-9,Chinese
97397,FALSE,-,-,-,Bento Sushi,,,null,Japanese,(),1585 Valley,Mississauga,ON,L5A 3W9,,
,TRUE,377 Burnhamthorpe Rd E,-,377 Burnhamthorpe Rd E,The Great Wok of China,LEE,KIM P,$$,Chinese,(905) 276-7665,377 Burnhamthorpe Rd E,Mississauga,ON,L5A 3Y1,10-19,English
97398,FALSE,-,-,-,Happy Dim Sum Bakery,TAN,CAM,$,Chinese,(905) 270-6888,680 Silver Creek Blvd Unit 3,Mississauga,ON,L5A 3Z1,1-4,Chinese
97399,FALSE,-,-,-,Kanda Sushi Japanese Buffet,,,$$,Japanese,(905) 896-7999,2325 Hurontario St Unit 8-10,Mississauga,ON,L5A 4C7,,
97400,FALSE,-,-,-,Federick Chinese Restaurant Hakka Indian Cuisine,,,$$,Chinese,(905) 281-8199,2515 Hurontario St Unit 112,Mississauga,ON,L5A 4C8,,
97401,FALSE,-,-,-,KINTON RAMEN,,,$$,Japanese,(905) 232-0073,4026 Confederation Pkwy,Mississauga,ON,L5B 0G4,,
97402,FALSE,-,-,-,Big Ice,,,null,Chinese,(),516 Curran Place,Mississauga,ON,L5B 0G4,,
97403,FALSE,-,-,-,Ono PokΘ Bar,,,null,Japanese,(),516 Curran Place,Mississauga,ON,L5B 0G4,,
97404,FALSE,-,-,-,Cha Me. Cha,,,$$,Chinese,(905) 281-8836,4188 Living Arts Drive,Mississauga,ON,L5B 0H7,,
,TRUE,2500 Hurontario St,-,-,King Asian Restaurant,,,$$,Chinese,(905) 281-2388,2500 Hurontario St,Mississauga,ON,L5B 1N4,1-4,Unknown
97405,FALSE,-,-,-,Kim Fook Yuen Seafood B B Q Restaurant,,,null,Chinese,(905) 276-1728,3068 Hurontario Street,Mississauga,ON,L5B 1N7,,
,TRUE,600 Burnhamthorpe Rd W,-,-,Noodle Wok,JHENG,SITE,$,Chinese,(905) 896-8915,600 Burnhamthorpe Rd W,Mississauga,ON,L5B 2C4,1-4,Chinese
,TRUE,100 City Centre Dr,-,-,Su&Shi,,,$$,Japanese,(905) 896-3815,100 City Centre Dr,Mississauga,ON,L5B 2C9,,
,TRUE,100 City Centre Dr,-,-,Tao Tea Leaf Mississauga,,,null,Cajun Seafood,(),100 City Centre Dr,Mississauga,ON,L5B 2C9,,
97406,FALSE,-,-,-,Manchu WOK,TUNG,WILLIAM,$,Chinese,(905) 273-3100,135-100 City Centre Dr,Mississauga,ON,L5B 2C9,20-49,Chinese
97407,FALSE,-,-,-,Hattendo Cafe,,,$,Cajun Seafood,(289) 521-6898,100 City Centre Dr Unit 1-728,Mississauga,ON,L5B 2C9,,
97408,FALSE,-,-,-,Stuffies Pastries,,,null,Cajun Seafood,(905) 232-3988,2-100 City Centre Dr Suite 812,Mississauga,ON,L5B 2C9,,
97409,FALSE,-,-,-,Sansotei Ramen,,,$$,Japanese,(905) 232-8890,100 City Centre Dr Unit 2-817 Square One,Mississauga,ON,L5B 2C9,,
97410,FALSE,-,-,-,Kibo Sushi House,,,null,Japanese,(905) 277-4349,100 City Centre Dr Unit Fm04,Mississauga,ON,L5B 2C9,,
97411,FALSE,-,-,-,Bibab Express,,,null,Japanese,(),50 Burnhamthorpe Road W,Mississauga,ON,L5B 3C2,,
97412,FALSE,-,-,-,Gyu-Kaku Japanese BBQ,,,null,Japanese,(905) 896-8800,"90 Burnhamthorpe Road W, Unit 105",Mississauga,ON,L5B 3C3,,
,TRUE,-,(905) 277-8989,-,Foodie North,,,$$,Chinese,(905) 277-8989,"325 Central Parkway W, Unit 2 & 4",Mississauga,ON,L5B 3X9,,
97413,FALSE,-,-,-,YO!Sushi,,,null,Japanese,(905) 270-0101,325 Central Pky W Unit 41,Mississauga,ON,L5B 3X9,,
97414,FALSE,-,-,-,Yun,,,$$,Chinese,(905) 566-1866,"3960 Grand Park Drive, Unit C6",Mississauga,ON,L5B 4A7,,
,TRUE,299 Rathburn Rd W,-,-,Hibachi,,,null,Japanese,(905) 281-3888,299 Rathburn Rd W,Mississauga,ON,L5B 4C1,,
97415,FALSE,-,-,-,Green Grotto,,,$$,Chinese,(905) 276-0909,8-3920 Grand Park Dr,Mississauga,ON,L5B 4M6,,
97416,FALSE,-,-,-,Hotopia,,,null,Chinese,(905) 897-6888,3960 Grand Park Dr Unit C6,Mississauga,ON,L5B 4M6,,
,TRUE,1067 Dundas St W,-,-,Song's Kitchen,,,$,Chinese,(905) 848-0888,1067 Dundas St W,Mississauga,ON,L5C 1C3,5-9,Unknown
,TRUE,-,(905) 277-0001,-,Fuji Noodle House,,,null,Chinese,(905) 277-0001,3443 Wolfedale Road,Mississauga,ON,L5C 1V8,,
97417,FALSE,-,-,-,Wok To Go,,,null,Chinese,(905) 897-1688,896 Burnhamthorpe Rd W Unit 1,Mississauga,ON,L5C 2S3,,
97418,FALSE,-,-,-,Xin Xin BBQ Restaurant,,,$$,Chinese,(905) 896-2088,1177 Central Parkway W,Mississauga,ON,L5C 2T1,,
,TRUE,-,(905) 803-8778,-,Tremendous Chinese Restaurant,MAK,DANNY,$$,Chinese,(905) 803-8778,3550 Wolfedale Road,Mississauga,ON,L5C 2V6,10-19,Chinese
97419,FALSE,-,-,-,Kamen,,,$$,Japanese,(905) 766-4136,720 Burnhamthorpe Road W,Mississauga,ON,L5C 3G1,,
97420,FALSE,-,-,-,Sugar Marmalade,,,$$,Chinese,(905) 232-8686,780 Burnhamthorpe Rd W Unit 2A,Mississauga,ON,L5C 3X3,,Unknown
97421,FALSE,-,-,-,Hot Star,,,null,Chinese,(905) 273-6888,780 Burnhamthorpe Rd W Unit 3,Mississauga,ON,L5C 3X3,,
97422,FALSE,-,-,-,YangÆs Braised Chicken Rice,,,$$,Chinese,(905) 232-8867,780 Burnhamthorpe Road W,Mississauga,ON,L5C 3X3,,
97423,FALSE,-,-,-,Yunshang Rice Noodle House,,,$$,Chinese,(905) 232-8867,780 Burnhamthorpe Road W,Mississauga,ON,L5C 3X3,,
97424,FALSE,-,-,-,Bubble Republic Tea House,,,$,Chinese,(905) 803-8288,4040 Creditview Rd Unit 24,Mississauga,ON,L5C 3Y8,,
97425,FALSE,-,-,-,Fancy Kitchen,,,null,Chinese,(905) 276-9955,4040 Creditview Rd Suite B3,Mississauga,ON,L5C 3Y8,,
97426,FALSE,-,-,-,Tomo Sushi,,,$$,Japanese,(905) 306-9060,4040 Creditview Road,Mississauga,ON,L5C 3Y8,,
97427,FALSE,-,-,-,Yin Ji Chang Fen,,,$$,Chinese,(365) 288-3888,4040 Creditview Road,Mississauga,ON,L5C 3Y8,,
97428,FALSE,-,-,-,Chinese Dumpling House,,,$$,Chinese,(905) 270-5988,4040 Creditview Road,Mississauga,ON,L5C 3Y8,,
97429,FALSE,-,-,-,Liyuan Spicy Pot,,,$$,Chinese,(905) 306-8868,4040 Creditview Road,Mississauga,ON,L5C 3Y8,,
97430,FALSE,-,-,-,Phoenix Chinese Restaurant,LEUNG,GAI F,$,Chinese,(905) 848-8222,7-4040 Creditview Rd,Mississauga,ON,L5C 4E3,1-4,Chinese
97431,FALSE,-,-,-,Wonton Express,,,$,Chinese,(905) 232-1103,"4040 Creditview Road, Unit 22",Mississauga,ON,L5C 4E3,,
97432,FALSE,-,-,-,Takumi BBQ and Ramen,,,$$$,Japanese,(905) 896-1170,1170 Burnhamthorpe Rd W Unit 12,Mississauga,ON,L5C 4E6,,
97433,FALSE,-,-,-,Mr Gao Restaurant,,,$$,Chinese,(905) 766-1882,1177 Burnhamthorpe Road W,Mississauga,ON,L5C 4E6,,
97434,FALSE,-,-,-,Chili Cabin,,,null,Chinese,(),1100 Dundas St W Unit 9,Mississauga,ON,L5C 4E7,,
97435,FALSE,-,-,-,Happy Lamb Hot Pot,,,$$,Chinese,(905) 232-7775,1100 Burnhamthorpe Road W,Mississauga,ON,L5C 4E9,,
97436,FALSE,-,-,-,China Impression,,,$$,Chinese,(905) 306-8898,1100 Burnhamthorpe Road W,Mississauga,ON,L5C 4E9,,
97437,FALSE,-,-,-,Katsuya,,,$$,Japanese,(905) 277-2242,1224 Dundas Street W,Mississauga,ON,L5C 4G7,,Unknown
97438,FALSE,-,-,-,Tangritah Uyghur Restaurant,,,null,Chinese,(905) 232-9400,D3-900 Rathburn Rd W,Mississauga,ON,L5C 4L3,,
97439,FALSE,-,-,-,Hey Noodles,,,$$,Chinese,(905) 276-6777,900 Rathburn Road W,Mississauga,ON,L5C 4L3,,
97440,FALSE,-,-,-,Tea Hut,,,null,Chinese,(905) 897-2688,1177 Central Parkway,Mississauga,ON,L5C 4P3,,
97441,FALSE,-,-,-,Chiuchow Man Chinese Restaurant,NGAN,SAMSON,$$,Chinese,(905) 803-8783,1177 Central Parkway W,Mississauga,ON,L5C 4P3,5-9,Chinese
97442,FALSE,-,-,-,Trithis Restaurant,,,$$,Chinese,(905) 273-7666,1177 Central Pky W Unit 05,Mississauga,ON,L5C 4P3,,
97443,FALSE,-,-,-,Red Lotus,YAN,LEI,$$,Chinese,(905) 896-8828,1177 Central Pky W Unit 11,Mississauga,ON,L5C 4P3,5-9,Chinese
97444,FALSE,-,-,-,Tasty Kitchen,,,$$,Chinese,(905) 803-8882,1177 Central Pky W Unit 12,Mississauga,ON,L5C 4P3,,
97445,FALSE,-,-,-,Morals Village Hot pot,,,$$,Chinese,(905) 276-6768,1177 Central Pky W Ste 2,Mississauga,ON,L5C 4P3,,Unknown
97446,FALSE,-,-,-,Moteru Sushi,,,null,Japanese,(905) 897-2276,1177 Central Pky W Unit 22B,Mississauga,ON,L5C 4P3,,
97447,FALSE,-,-,-,Gou Bu Li,,,null,Chinese,(),1177 Central Pky W Unit 6,Mississauga,ON,L5C 4P3,,
97448,FALSE,-,-,-,Noodle Fans,,,$,Chinese,(905) 306-8808,61-1177 Central Pky W,Mississauga,ON,L5C 4P3,,
97449,FALSE,-,-,-,The Star Fastfood,NG,POK SANG,$,Chinese,(905) 848-7767,1177 Central Pky W Suite 64,Mississauga,ON,L5C 4P3,1-4,Chinese
97450,FALSE,-,-,-,Chi's Congee & Noodle House,CHI,C,$$,Chinese,(905) 848-4298,1177 Central Pky W Unit 66,Mississauga,ON,L5C 4P3,5-9,Chinese
97451,FALSE,-,-,-,Beefing with 7 HK Style Cuisine,,,null,Chinese,(905) 306-8188,1177 Central Pky W Unit 9,Mississauga,ON,L5C 4P3,,
97452,FALSE,-,-,-,Guilin Cuisine,,,null,Chinese,(905) 268-0938,1177 Central Pky W Unit 9,Mississauga,ON,L5C 4P3,,
,TRUE,941 Lakeshore Rd E,-,-,Sushi King,,,null,Japanese,(905) 990-5511,941 Lakeshore Rd E,Mississauga,ON,L5E 1E3,,
97453,FALSE,-,-,-,Manchu Wok,,,null,Chinese,(905) 274-0880,1250 South Service Rd Unit 70,Mississauga,ON,L5E 1V4,,
97454,FALSE,-,-,-,Sakura Ichiban Sushi Express,,,$$,Japanese,(416) 904-5376,1250 S Service Road,Mississauga,ON,L5E 2N5,,
97455,FALSE,-,-,-,Bonsai Asian Bistro & Bar,,,null,Japanese,(647) 559-4452,60 Lakeshore Road E,Mississauga,ON,L5G 1E1,,
97456,FALSE,-,-,-,Sushi Shop,,,null,Japanese,(905) 891-0888,129 Lakeshore Road E,Mississauga,ON,L5G 1E5,,
,TRUE,277 Lakeshore Rd E,-,-,Holiday Gardens & Dodai Sushi,,,$$,Japanese,(905) 278-9882,277 Lakeshore Rd E,Mississauga,ON,L5G 1G8,,
97457,FALSE,-,-,-,Sushi Maki House,CHA,MIMI,null,Japanese,(905) 271-0517,645 Lakeshore Rd E Unit 4,Mississauga,ON,L5G 1J5,1-4,Chinese
,TRUE,730 Lakeshore Rd E,-,-,Red Panda Pavilion,,,null,Cajun Seafood,(905) 990-7478,730 Lakeshore Rd E,Mississauga,ON,L5G 1J6,,
97458,FALSE,-,-,-,Chinese Express Takeout,CHEN,KWAN,$,Chinese,(905) 278-8858,300 Lakeshore Rd W,Mississauga,ON,L5H 1G6,1-4,Chinese
97459,FALSE,-,-,-,TA'AM CUISINE,,,null,Chinese,(905) 891-8888,1107 Lorne Park Rd Suite 17,Mississauga,ON,L5H 3A1,5-9,Unknown
97460,FALSE,-,-,-,Orange Fish Sushi House,PH,VI,$$,Japanese,(905) 271-8880,1107 Lorne Park Road,Mississauga,ON,L5H 3A1,5-9,Vietnamese
,TRUE,1710 Lakeshore Rd W,(905) 916-5500,-,Hee Sushi,,,null,Japanese,(905) 916-5500,1710 Lakeshore Rd W,Mississauga,ON,L5J 1J5,,
97461,FALSE,-,-,-,Momiji Japanese Restaurant,HWANG,H,$$,Japanese,(905) 823-8430,1801 Lakeshore Road W,Mississauga,ON,L5J 1J6,5-9,Chinese
97462,FALSE,-,-,-,YNTaste ????,,,null,Chinese,(905) 855-2638,1842 Lakeshore Rd W,Mississauga,ON,L5J 1J7,,
97463,FALSE,-,-,-,Asian King BBQ Buffet & Take Out,YANG,RAYMOND,$$,Chinese,(905) 823-8988,25-2425 Truscott Dr Unit 24,Mississauga,ON,L5J 2B4,1-4,Chinese
97464,FALSE,-,-,-,Made In Japan Teriyaki Experience,,,null,Japanese,(905) 822-1933,960 Southdown Road,Mississauga,ON,L5J 2Y4,1-4,Unknown
97465,FALSE,-,-,-,Empire Wok,MING,ANDY,null,Chinese,(905) 855-8898,970 Southdown Road,Mississauga,ON,L5J 2Y4,1-4,Chinese
97466,FALSE,-,-,-,Moon Sushi,JHU,JOANNA,$$,Japanese,(905) 916-7888,1900 Fowler Dr Suite D-108-109,Mississauga,ON,L5K 0A1,5-9,Unknown
97467,FALSE,-,-,-,Meet Noodles,,,$,Chinese,(905) 916-8666,D 103-1900 Fowler Drive,Mississauga,ON,L5K 0A1,,
97468,FALSE,-,-,-,168 Sushi Japan Buffet,WONG,MICHELLE,$$,Japanese,(905) 823-8818,2366 Dundas St W,Mississauga,ON,L5K 1R7,5-9,Chinese
,TRUE,2382 Dundas St W,(905) 822-9200,-,Miga Korean BBQ Restaurant,KIM,JOHN,$$$,Japanese,(905) 822-9200,2382 Dundas St W,Mississauga,ON,L5K 1R7,10-19,Korean
97469,FALSE,-,-,-,Sushi Park,WOO,YOUNG,$$,Japanese,(905) 855-8842,2458 Dundas St W Unit 15,Mississauga,ON,L5K 1R8,1-4,Korean
97470,FALSE,-,-,-,Wok-A-Way Chinese Food & Wings,MACELLI,TONY,$$,Chinese,(905) 820-3838,2458 Dundas St W Unit 18,Mississauga,ON,L5K 1R8,1-4,Italian
97471,FALSE,-,-,-,Dazi Lounge & Kitchen,,,null,Chinese,(647) 806-8883,2273 Dundas St W Unit 17,Mississauga,ON,L5K 2L8,,
,TRUE,-,(905) 606-2086,-,Hakka Spice,,,$$,Chinese,(905) 606-2086,3105 Winston Churchill Boulevard,Mississauga,ON,L5L 1P5,,
97472,FALSE,-,-,-,Sehmi Japanese Restaurant,CHOI,YONGCHAN,$$,Japanese,(905) 569-1175,3015 Winston Churchill Blvd Unit 3,Mississauga,ON,L5L 2V8,1-4,Korean
97473,FALSE,-,-,-,Summit Garden Chinese,CHOW,KEN,$$,Chinese,(905) 828-6686,3015 Winston Churchill Boulevard,Mississauga,ON,L5L 2V8,10-19,Chinese
97474,FALSE,-,-,-,Mandarin Restaurant,ZHANG,KACEN,$$,Chinese,(905) 569-7000,3105 Dundas Street W,Mississauga,ON,L5L 3R8,5-9,Chinese
97475,FALSE,-,-,-,Mi'hito Sushi Laboratory,,,null,Japanese,(),3065 Ridgeway Dr Unit 41,Mississauga,ON,L5L 5M6,,
97476,FALSE,-,-,-,Dai Ichi Sushi Restaurant,,,$$,Japanese,(905) 820-8869,7-3105 Winston Churchill Blvd Unit 6,Mississauga,ON,L5L 5S3,5-9,Unknown
,TRUE,2555 Erin Centre Blvd,-,-,Shuyi Tealicious,,,null,Chinese,(),2555 Erin Centre Blvd,Mississauga,ON,L5M 5G9,,
97477,FALSE,-,-,-,Tasty Hunan Cuisine,,,$$,Chinese,(905) 597-0143,2555 Erin Centre Boulevard,Mississauga,ON,L5M 5G9,,
97478,FALSE,-,-,-,Xiang Cun Fa Xian,,,$$,Chinese,(905) 597-0143,2555 Erin Centre Boulevard,Mississauga,ON,L5M 5G9,,
97479,FALSE,-,-,-,Mac's Sushi,,,$$,Japanese,(905) 369-0048,"Erin Mills Town Centre, 5100 Erin Mills Parkway",Mississauga,ON,L5M 5H7,,
97480,FALSE,-,-,-,China 8,,,$,Chinese,(905) 858-7888,"5602 Tenth Line W, Unit 110",Mississauga,ON,L5M 5S5,,
,TRUE,1675 The Chase,-,-,Bayview Garden Restaurant,,,$$,Chinese,(905) 820-9559,1675 The Chase,Mississauga,ON,L5M 5Y7,,
97481,FALSE,-,-,-,Axia Restaurant & Bar,,,$$,Chinese,(905) 608-2942,5045 Plantation Place,Mississauga,ON,L5M 6J3,5-9,Unknown
97482,FALSE,-,-,-,Chinese Wok,,,$$,Chinese,(905) 608-9999,3050 Artesian Dr Unit 9,Mississauga,ON,L5M 7P5,,
97483,FALSE,-,-,-,Goldenview Chinese Restaurant,SU,LIZHEN,$$,Chinese,(905) 821-1313,6675 Falconer Drive,Mississauga,ON,L5N 0C3,1-4,Chinese
97484,FALSE,-,-,-,Wind Japanese & Thai,,,$$$,Japanese,(905) 567-8882,6485 Rd,Mississauga,ON,L5N 1A6,,
,TRUE,-,(905) 812-1234,-,Ming Room,WONG,MING,$$,Chinese,(905) 812-1234,6461 Road,Mississauga,ON,L5N 1A6,5-9,Chinese
97485,FALSE,-,-,-,Wok This Way,,,$$,Chinese,(905) 567-8866,6677 Meadowvale Town Centre Circle,Mississauga,ON,L5N 2R5,,
97486,FALSE,-,-,-,K&B Sushi,,,$$,Japanese,(905) 542-9668,6400 Millcreek Dr Unit 1,Mississauga,ON,L5N 3E7,5-9,Unknown
97487,FALSE,-,-,-,Sushi In Sushi,KWAK,HOON,$$,Japanese,(905) 567-7890,2310 Battleford Road,Mississauga,ON,L5N 3K6,1-4,Korean
97488,FALSE,-,-,-,Hiroi Sushi,,,null,Japanese,(905) 821-2299,4-6040 Glen Erin Dr,Mississauga,ON,L5N 3M4,,Unknown
97489,FALSE,-,-,-,Hakka Legend,,,$$,Cajun Seafood,(905) 542-9888,6415 Erin Mills Pky Unit B-1,Mississauga,ON,L5N 4H4,,
97490,FALSE,-,-,-,Sushi 4 U,,,$$,Japanese,(905) 858-9412,6465 Millcreek Drive,Mississauga,ON,L5N 5R3,,
97491,FALSE,-,-,-,Wings Chinese Restaurant,GUAN,JIANSI,$,Chinese,(905) 826-3641,17 Queen St N Unit A-1,Mississauga,ON,L5N 6A1,10-19,Chinese
97492,FALSE,-,-,-,Asian Wok 'n' Roll,CHUNG,JENNIFER,$$,Cajun Seafood,(905) 567-0088,6905 Millcreek Dr Ste 13,Mississauga,ON,L5N 6A3,10-19,Chinese
97493,FALSE,-,-,-,Water Drop Teahouse,,,$$,Chinese,(905) 814-0465,6525 Millcreek Dr,Mississauga,ON,L5N 7K6,,
97494,FALSE,-,-,-,Wok For U,,,$$,Chinese,(905) 785-2188,3221 Derry Road W,Mississauga,ON,L5N 7L7,5-9,Unknown
,TRUE,6990 Financial Dr,-,-,Teriyaki,,,$$,Japanese,(905) 542-9800,6990 Financial Dr,Mississauga,ON,L5N 8E8,,
97495,FALSE,-,-,-,Teriyaki Experience,SON,MIKE,$,Japanese,(905) 542-9800,6990 Financial Drive,Mississauga,ON,L5N 8J4,5-9,Korean
97496,FALSE,-,-,-,Asobu,,,$$,Japanese,(),3111 Convair Drive,Mississauga,ON,L5P 1B2,,
97497,FALSE,-,-,-,Bento Sushi,,,null,Japanese,(),Pearson International,Toronto,ON,L5P 1B2,,
97498,FALSE,-,-,-,Acer,,,null,Japanese,(866) 508-3558,6301 Silver Dart Drive,Mississauga,ON,L5P 1B2,,
97499,FALSE,-,-,-,Twist By Roger Mooking,,,$$,Cajun Seafood,(416) 776-2345,"Toronto Pearson International Airport, 6301 Silver Dart Drive",Mississauga,ON,L5P 1B2,,
97500,FALSE,-,-,-,Emerald Chinese Restaurant,CHOO,FRANKIE,$$,Chinese,(905) 890-9338,30 Eglinton Avenue W,Mississauga,ON,L5R 3E7,50-99,Korean
97501,FALSE,-,-,-,Magic BBQ & Seafood,,,null,Chinese,(905) 507-3988,660 Eglinton Avenue W,Mississauga,ON,L5R 3V2,,
97502,FALSE,-,-,-,Meet Fresh,,,null,Chinese,(905) 507-6661,"670 Eglinton Avenue W, Suite 20",Mississauga,ON,L5R 3V2,,
97503,FALSE,-,-,-,Panda Express,,,$,Chinese,(905) 507-3555,"Heartland, 5985 Mavis Rd",Mississauga,ON,L5R 3V6,,
97504,FALSE,-,-,-,Hinote Sushi Restaurant,HONG,YOUNG,$$,Japanese,(905) 502-5520,720 Bristol Road W,Mississauga,ON,L5R 4A3,1-4,Korean
97505,FALSE,-,-,-,Sushi Sooshimi,,,null,Japanese,(289) 521-4237,25 Kingsbridge Garden Cir Unit 8,Mississauga,ON,L5R 4B1,,
97506,FALSE,-,-,-,Edo Japan,,,$$,Japanese,(905) 502-1224,2A-6055 Mavis Rd Heartland Town Centre,Mississauga,ON,L5R 4G6,5-9,Unknown
97507,FALSE,-,-,-,Caribbean Sunset,DASS,KEVIN,$$,Chinese,(905) 564-7800,1001 Meyerside Dr Unit 8,Mississauga,ON,L5T 1J6,1-4,Indian
97508,FALSE,-,-,-,Sushijun Express,KWON,JUN,$$,Japanese,(905) 670-5550,1415 Bonhill Rd Unit 19,Mississauga,ON,L5T 1R2,1-4,Chinese
97509,FALSE,-,-,-,China Palace,HUANG,STEVE,$$,Chinese,(905) 696-8688,80 Courtney Park Dr E,Mississauga,ON,L5T 2Y3,1-4,Chinese
97510,FALSE,-,-,-,Washoku,,,$$,Japanese,(905) 670-5585,98 Courtneypark Dr E,Mississauga,ON,L5T 2Y3,,
97511,FALSE,-,-,-,Ichi Potto,,,$$,Chinese,(905) 670-5585,98 Courtneypark Dr E,Mississauga,ON,L5T 2Y3,,
