UID,FT/PT,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Q3'24,Q4'24
R81892,FT,"36,293","35,006","34,248","33,082","33,212","35,801","28,244","28,190","28,313","26,121","15,248","14,954","15,786"
R81893,FT,"18,013","12,923","12,256","12,108","12,224","13,089","12,782",0,0,0,0,0,0
R81895,PT,"20,795","18,067","13,945","15,710","16,377","16,907","13,397","13,997","12,663","10,786","12,293","14,693","15,645"
R81896,FT,"13,279","15,217","14,093","12,721","11,494","12,593","12,223","10,980","9,988","10,386","10,960","9,696","11,146"
R81897,FT,"13,100","11,224","8,708","8,445","7,818","10,561","11,510","12,308","8,236","8,363","9,046",648,648
R81898,FT,"31,489","21,322","23,517","20,712","24,375","21,259","18,350","21,194","24,185","16,565","17,975","17,096","17,759"
R81899,FT,"33,593","38,787","40,467","30,784","28,478","30,714","21,715","22,192","25,300","21,599","32,537","33,334","26,042"
R81902,FT,"8,019","8,016","8,457","7,408","8,487","9,400","9,425","5,563","5,521","5,377",0,0,0
R81903,FT,"37,666","48,365","58,247","59,737","5,061","42,476","52,508","55,530","44,900","45,681","48,244","38,270","25,673"
R81905,FT,"14,438","7,106","6,095","5,606","6,594","7,045","4,853","4,668","7,493","6,904","5,652",0,0
R81907,PT,"24,274","15,236","2,400","2,400","5,265","2,400","2,400","2,400","2,400","2,400","1,760","4,684","2,400"
R81908,FT,"13,807","17,433","15,302","14,167","10,626","13,867","12,383","16,165","15,222","13,612","8,185",0,0
R81909,FT,"25,259","26,265","16,242","27,159","19,526","20,673","19,883","22,695","32,746","29,175","31,080","22,848","25,874"
R81912,FT,"27,487","16,649","18,880","17,700","22,528","15,272","16,281","15,454","18,187","13,119","12,733","13,187","15,874"
R81915,FT,"16,755","21,524","21,140","22,848","18,857","23,226","21,044","19,602","27,410","22,926","21,428","21,230","21,303"
R81916,FT,"56,915","52,461","55,844","55,951","55,031","50,999","63,247","60,716","67,185","61,953","63,252","54,739","60,729"
R81918,FT,"15,061","13,643","10,742","9,478","9,449","10,920","12,754","11,175","11,094","10,598","10,403","9,903","7,890"
R81919,FT,"15,502","15,432","14,772","13,588","11,925","19,867","20,455","22,678","18,326","13,208","13,630","12,451","11,194"
R81922,PT,"20,601","6,099",653,"19,733","14,777","5,428",653,"18,304","2,013","15,583",327,"10,938","1,476"
R81923,FT,"9,876","2,400","10,129","10,183","9,226","9,307","9,933","10,099","9,123","11,129","11,137","7,394","4,717"
R81925,FT,"22,876","21,889","24,493","22,260","20,570","21,815","21,420","23,921","27,279","21,867","21,867","21,867","21,867"
R81928,FT,"43,741","51,384","46,836","46,636","49,367","61,974","57,645","53,117","54,925","49,607","48,404","49,623","47,099"
R81929,FT,"26,030","23,603","21,805","21,365","22,313","19,003","19,923","20,619","18,061","15,346","15,931","17,063","16,788"
R81932,PT,0,"21,044","16,640","16,742","17,012","15,087","14,178","16,028","15,722","2,040",0,0,0
R81933,FT,"26,304","15,603","18,194","17,665","21,179","17,479","17,779","18,409","28,327","17,486","16,039","18,047","20,437"
R81935,PT,"51,501","45,729","10,509","3,363","42,156","11,807","14,316","20,680","32,581","14,340","7,418","13,240","22,830"
R81936,FT,"27,207","27,737","26,619","28,062","24,495","28,213","28,197","28,317","27,738","28,993","26,988","28,398","26,152"
R81937,FT,0,"29,485","26,371","27,268","21,214","29,310","28,201","28,200","23,286","29,585","28,566","30,346","30,725"
R81938,FT,"19,313","16,101","14,184","14,871","17,954","17,089","16,027","15,331","23,008","15,476","19,888","13,007","11,730"
R81939,FT,"11,320","14,207","15,873","15,497","12,940","13,946","14,233","13,583","13,739","13,535","12,947","11,861","12,467"
R81951,FT,"35,608","43,615","42,849","34,300","30,438","35,257","36,551","38,210","35,426","35,902","39,923","29,996","35,783"
R81953,PT,"48,109","46,319","46,308","46,082","62,533","44,901","51,074","35,752","44,245","43,743","6,110","43,117","44,104"
R81955,FT,"23,975","18,300","18,348","19,156","20,985","17,658","18,603","19,844","27,796","21,073","19,160","14,081","16,666"
R81956,PT,"2,400","14,237","8,435","9,117","8,059","9,347","9,444","9,445","15,599","21,158","21,158","21,158","21,158"
R81957,FT,"23,793","20,066","21,963","17,459","9,784","7,922","6,280","5,559","11,384","5,026","4,732","4,272","5,722"
R81958,FT,"15,248","12,688","12,439","11,065","13,903","11,602","11,372","12,057","22,449","11,848","10,920","11,267","13,326"
R81959,FT,"24,443","30,764","33,857","34,924","26,584","34,799","36,062","30,922","24,738","38,358","40,900","35,285","32,150"
R81961,FT,"46,319","36,141","35,874","36,985","39,845","30,011","32,335","28,861","26,921","25,568","29,887","31,114","26,201"
R81962,FT,"52,373","52,987","57,542","63,264","52,277","63,736","62,188","59,727","61,032","66,609","64,058","62,129","63,625"
R81963,FT,"30,278","55,819","29,332","27,075","29,211","44,215","40,165","39,694","41,066","39,624","37,598","35,196","32,501"
R81965,FT,"22,786","23,635","19,784","21,811","22,310","21,503","22,695","25,431","27,460","21,119","19,081","20,106","20,031"
R81967,FT,"16,426","14,008","10,801","12,282","11,763","11,478","13,095","28,401","26,228","25,697","25,149","24,416","25,203"
R81968,FT,"9,279","8,399","6,082","6,835","8,331","6,633","9,202","8,552","8,608","6,458","6,023","4,112","3,992"
R81969,PT,"4,313","3,898","3,525","3,208","2,060","2,214","2,584","2,930","2,255","2,934","5,598","2,823","1,939"
R81971,PT,"17,572","25,625","20,622","19,915","18,621","17,845","13,958","13,509","14,736","12,005","10,792","10,879","7,089"
R81972,PT,"17,495","18,018",0,0,0,0,0,0,0,0,"29,103","2,449",648
R81975,PT,"28,739","17,107","17,743","16,763","19,212","18,383","18,044","19,645","18,155","21,863","19,035","18,471","19,055"
R81976,PT,"25,489","25,288","33,767","17,082","25,788","24,867","13,337","25,456","32,250","13,701","20,982","21,649","26,113"
R81977,FT,"41,421","33,745","35,049","34,310","36,813","30,633","33,054","29,054","32,912","33,080","30,347","31,168","29,479"
R81978,FT,"12,630","10,603","13,594","10,559","10,240","9,806","10,679","11,637","10,238","8,861","11,595","8,693","9,153"
R81979,FT,"49,557","54,044","48,865","46,558","40,268","46,506","44,851","46,395","43,454","45,499","40,732","41,498","37,345"
R81981,FT,"35,042","39,210","36,373","33,101","27,352","34,026","35,033","36,771","33,664","34,811","37,339","38,890","38,649"
R81983,FT,"24,338","27,153","27,148","25,609","25,327","28,554","30,450","29,473","32,000","28,812","29,167","28,657","26,043"
R81987,FT,"13,483","10,616","10,896","9,197","10,431",0,0,0,0,0,0,0,0
R81988,FT,"18,266","24,608","20,343","20,159","17,960","23,090","22,706","19,746","21,157","23,595","22,871","29,641","23,293"
R81991,FT,"18,540","14,178","14,188","13,205","13,545","10,841","11,210","10,143","10,110","10,965","9,896","10,740","8,115"
R81993,FT,"24,867","30,436","38,462","31,573","22,450","31,858","33,897","33,272","30,090","30,962","33,067","30,655","29,208"
R81995,PT,"12,092","10,520","10,100","7,393","16,332","12,875","12,289","12,811","13,000","12,517","7,792","12,238","11,165"
R81996,FT,"7,506","5,599","7,750","9,664","10,123","9,522","12,672","12,257","9,628","10,973","10,171","42,372","42,604"
R81997,FT,"13,187","11,966","14,103","12,782","13,183","17,346","12,814","12,726","17,523","11,180","17,869","15,910","15,290"
R81999,PT,"14,520","11,404","13,404","13,568","14,260","2,400","4,386","19,243","2,770","2,426",653,"3,115","2,829"
R82001,PT,"12,088","8,095","12,452","9,011","8,020","7,412","7,440","6,466","6,763","6,101","10,484","4,114","5,097"
R82002,PT,"9,795","13,324","13,875","10,631","12,015","5,502","4,969","13,932","7,483","12,137","6,806","6,105","8,666"
R82003,FT,"6,777","8,455","6,295","11,230","10,667","10,213","9,360","9,663","14,884","8,885","9,136","10,330","7,719"
R82005,FT,"8,358","6,511","9,187","11,975","14,010","10,513","15,262","10,903","11,037","14,084","13,331","19,047","15,166"
R82007,PT,"42,127","46,811","46,538","46,261","41,436","42,626","60,908","60,286","51,585","53,695","52,764","44,876","42,907"
R82008,FT,"39,689","27,754","27,719","34,007","38,749","26,622","24,766","24,592",120,120,0,0,0
R82009,FT,"16,792","17,397","17,290","16,817","13,463","16,540","15,920","14,993","18,662","16,515","13,921","14,385","11,436"
R82011,FT,"19,558","12,622","12,413","11,794","13,681","9,637","9,571","9,142","9,317","8,506","9,400","8,646","10,933"
R82013,FT,"15,155","19,533","17,827","17,774","17,944","15,156","16,416","14,219","21,618","13,919","15,007","14,853","9,505"
R82015,FT,"16,980","17,578","15,668","15,391","14,895","16,831","18,237","1,126","13,979","12,890","16,418","14,917","14,748"
R82016,FT,"29,324","23,120","22,354","19,845","19,583","18,588","18,799","16,925","29,716","16,204","15,261","15,713","16,828"
R82018,FT,"25,328","26,829","24,751","24,254","21,062","27,818","23,644","23,921","21,400","29,410","24,276","27,230","23,991"
R82019,FT,"17,539","16,541","18,184","17,620","13,958","17,928","20,028","23,129","18,621","20,860","21,885","22,969","18,883"
R82021,PT,"6,648","5,728","6,703","3,320","5,289","1,853","2,833","3,588","3,677",0,0,0,0
R82022,FT,"5,564","7,506","9,686","9,863","7,834","6,450","6,018","5,989","10,549","8,604","8,807","7,833","6,449"
R82023,PT,"16,200","13,140","11,979","14,272","17,039","10,057","12,554","12,068","12,038","10,169","9,149","11,426","11,102"
R82025,FT,"36,986","29,065","24,098","32,742","21,385","21,064","16,920","22,955","21,179","16,624","15,776","15,111","20,927"
R82026,FT,"24,380","18,467","20,197","21,449","20,964","16,828","18,471","19,001","20,916","17,542","19,806","20,651","22,654"
R82028,PT,"14,682","17,296","15,693","16,881","13,842","15,584","16,883","16,664","13,614","16,267","16,235","14,241","14,636"
R82029,PT,"17,448","10,734","10,517","9,648","12,793","9,427","9,153","9,569","9,806","9,504","16,438","10,493","8,746"
R82031,FT,"19,939","13,794","6,758",120,"14,239","11,189","2,400",0,"14,310","9,167","13,620","2,147","7,512"
R82032,PT,"28,063","21,000","11,631","14,870","23,609","17,946","16,539","13,669","17,309","16,288","13,288",636,"14,337"
R82033,PT,"7,271","6,767","5,618","7,001","6,508","6,291","5,056","5,391","4,342","4,998","2,400","2,400",72
R82035,FT,"47,037","39,689","34,917","34,198","35,072","38,441","37,917","38,886","34,864","28,720","38,666","29,815","28,262"
R82036,FT,"30,014","27,206","31,239","26,870","30,708","31,371","32,477","28,947","26,901","23,533","27,885","24,759","25,373"
R82051,PT,"10,930","11,187","11,140","10,144","8,346","11,740","13,217","10,873","10,278","10,767","10,767","10,767","10,767"
R82053,PT,"50,307","42,644","27,969","48,054","53,404","44,717","44,682","46,531","47,917","32,826","15,463","26,316","25,175"
R82055,FT,"3,953","5,209","5,919","4,381","1,838","5,123","5,760","4,163","3,187","3,777","4,587","4,273",768
R82056,FT,"14,569","27,572","33,510","28,639","25,241","26,426","28,796","29,269","29,465","30,692","30,484","30,276","32,945"
R82059,PT,"38,209","13,323","11,343","12,955","64,424","12,700","11,780","12,972","13,799","12,690","13,862","13,270","12,895"
R82061,FT,"23,566","18,793","17,960","18,532","22,196","20,368","21,777","21,752","23,303","22,684","23,950","28,533","28,502"
R82063,PT,"39,806","42,068","42,316","40,738","36,971","47,767","42,918","40,212","37,370","36,042","35,237","36,240","34,007"
R82065,FT,"22,406","20,632","19,917","20,820","18,682",0,0,653,0,0,0,0,0
R82066,FT,"24,993","23,082","27,013","24,140","20,745","22,226","21,693","21,620","19,361","20,179","21,374","18,058",648
R82068,FT,"11,475","8,694","8,335","8,191","8,575","5,885","8,885","6,769","7,994","7,068","7,145",0,0
R82069,PT,"32,175","18,742","18,223","15,442","15,336","11,611",0,0,0,0,0,0,0
R82072,FT,"21,881","20,365","19,705","20,735","21,647","21,903","21,748","23,037","20,752","21,346","21,784","22,100","21,007"
R82073,PT,"15,358","14,543","13,846","14,051","13,172","13,621","14,548","13,331","11,643","13,493","13,398","14,246","12,251"
R82076,PT,"25,546","24,750","29,071","31,323","30,347","30,978","32,224","30,780","29,847","26,873","26,009","25,929","28,810"
R82078,FT,"26,188","23,475","26,408","25,525","23,772","22,933","22,901","23,402","20,246","19,042","21,747","21,604","20,509"
R82079,PT,"8,924","6,303","17,839","16,507","16,137","16,622","15,797","16,550","16,694","8,028","11,908","11,763","12,940"
R82081,FT,"28,977","31,045","32,633","39,997","31,856","35,440","34,727","34,897","31,393","33,107","29,450","30,348","27,910"
R82082,FT,"18,655","16,351","17,403","17,240","16,490","17,097","18,617","18,020","19,158","18,347","15,850","16,440","16,868"
R82083,FT,"27,922","25,299","25,175","24,105","26,890",0,0,0,0,"22,563","22,142","22,081","26,907"
R82086,PT,"36,339","48,454","55,424","46,765","35,287","43,792","48,167","47,329","44,199","43,256","36,688","46,232","43,003"
R82088,FT,"23,599","27,385","30,806","33,028","29,885","37,174","40,598","42,515","38,162","37,638","40,477","33,138","29,511"
R82089,FT,"33,179","31,743","29,084","34,225","36,509","33,147","28,543","29,812","39,404","30,358","31,114","33,525","29,588"
R82091,FT,"61,287","69,933","58,883","55,137","54,726","72,390",0,0,0,0,0,0,0
R82092,FT,"54,140","37,810","36,632","35,900","41,781","31,462","29,931","28,697","55,372","27,144","27,144","27,144","27,144"
R82093,PT,"24,877","25,947","25,969","28,439","24,198","24,473","26,473","27,302","23,885","21,275","18,626","16,911","23,854"
R82095,PT,"16,159","12,051","16,957","18,988","12,016","16,787","18,031","18,878","13,404","17,674","15,054","18,048","16,555"
R82096,FT,"24,903","20,309","24,733","24,560","25,099","25,815","27,391","27,180","25,356","25,857","25,686","27,811","28,159"
R82097,FT,"10,332","6,660","7,802","9,493","10,005","7,703","9,273","8,509","9,190","7,252","6,749","5,784","8,625"
R82098,FT,"39,770","35,639","35,102","35,464","38,984","35,941","37,790","39,571","41,418","37,554","39,529","39,837","46,971"
R82099,FT,"14,229","24,949","22,141","21,384",0,"24,110","22,143","24,530","21,779","21,628","21,756","23,801","21,379"
R82101,PT,"43,393","33,796","13,897","31,968","23,364","14,531","20,851","17,504","8,203","12,692","8,531","28,339","20,422"
R82105,FT,"23,058","27,621","32,209","31,007","25,633","33,811","31,319","36,800","31,511","32,263","31,132","32,439","26,871"
R82109,FT,"52,048","56,338","49,645","52,988","38,776","57,899","55,883","49,816","43,607","46,952","45,149","41,869","41,719"
R82201,FT,"18,979","16,604","15,503","15,668","17,210","14,257","16,952","15,307","15,669","17,392","18,369","18,565","19,402"
R82203,FT,"10,815","11,119","11,339","11,232","11,408","11,491","10,954","11,001","10,213","11,971","12,620","11,492","10,514"
R82205,PT,"9,868","10,707","12,355","9,911","11,693","10,532","9,494","5,188","4,499","4,694","4,815","4,115","3,682"
R82206,FT,"13,042","10,774","9,308","8,289","9,228","7,516","8,963","8,215",0,0,0,0,0
R82207,PT,"34,566","31,290","13,755","14,245","12,996","14,260","14,218","14,606","13,254","2,400",0,0,0
R82209,FT,"17,325","30,484","50,769","61,213","47,979","56,100","61,032","62,928","51,806","52,407","51,671","51,661","46,808"
R82301,FT,0,0,0,"14,495","17,374","14,202","14,159","13,754","13,513","14,735","12,605","13,394","14,896"
R82302,PT,"14,933","12,329","3,732","7,318","15,871","12,750","15,177","15,224","17,359","14,327","15,696","13,364","12,971"
R82303,FT,"36,177","35,533","35,119","35,314","30,667","29,843","28,969","26,319","28,346","29,495","26,396","26,809","24,639"
R82305,FT,"15,706","14,065","12,868","12,197","14,291","14,016","14,707","13,279",33,"12,366","16,334","12,747","13,639"
R82306,FT,"43,579","42,707","45,368","51,552","46,610","52,611","49,633","52,641","50,059","49,822","51,994","52,310","47,781"
R82308,PT,"27,650","13,845","18,961",744,"17,229",0,0,0,0,0,0,0,0
R82309,FT,"21,889","15,824","16,193","14,481","14,663","12,453","13,180","13,608","15,266","11,361","12,853","13,061","17,110"
R82311,FT,"13,476","5,299","6,679","5,461","8,643","5,941","5,571","6,529","6,318","6,265","12,913","6,027","7,139"
R82313,PT,"22,014","23,521","20,850","22,906","26,673","28,707","26,287","26,783","26,539","29,737","22,424","26,961","25,454"
R82315,FT,"26,192","27,685","27,960","25,589","21,674","22,773","23,698","26,247","25,699","20,782","20,698","18,262","20,288"
R82318,FT,"13,635","12,058","10,723","10,862","8,648","8,623","9,868","8,779","9,403","8,118","10,876","7,300","10,183"
R82321,FT,"24,605","16,678","17,648","16,450","25,500","18,813","17,471","17,026","19,954",0,0,0,0
R82322,FT,"15,896","11,192","10,621",840,"13,509","8,961","11,761","9,568","14,956","8,310","14,755","7,642","9,070"
R82325,FT,"7,308","8,107","8,586","8,106","7,904","11,942",0,653,0,0,0,0,0
R82327,FT,"5,570","5,086","4,865","4,093","4,759","3,457","3,353","2,655",0,0,0,0,0
R82329,FT,"36,169","37,926","41,490","38,034","32,189","41,487","43,808","45,262","46,354","43,627","45,245","45,478","47,116"
R82331,FT,"5,074","4,361","4,640","4,911","5,689","4,584","5,122","5,065","4,365","4,584","4,810","5,006","4,497"
R82332,PT,"12,034","11,307","10,592","10,645","25,376","11,818","10,912","1,383",836,0,0,0,0
R82335,FT,"42,308","45,348","48,505","46,291","35,116","29,687","22,907","26,358","53,190","53,501","55,488","55,494","62,927"
R82336,FT,"31,892","26,459","26,001","29,660","27,310","25,417","24,155","23,670","28,551","23,843","22,833","23,766","24,689"
R82337,FT,"30,095","32,943","28,981","27,565","25,471","23,229","21,336","21,575","18,505","21,542","27,925","24,724","24,632"
R82338,PT,"9,809","9,109","8,822","6,089","6,561","3,182","5,526","6,477","2,400","3,947",653,648,648
R82339,PT,"37,202","30,904","33,021","31,192","29,973","29,990","31,671","23,352","26,287","30,559","19,984","33,998","28,915"
R82351,PT,"27,567","20,011","12,722","20,177","17,981","20,167","19,344","20,356","17,230","18,184","16,207","17,125","17,235"
R82352,FT,"18,245","14,458","13,824","14,693","14,251","12,069","13,944","13,281","16,145","15,924","16,200","14,474","19,526"
R82353,PT,"7,247","8,493","5,854","7,221","6,865",0,0,0,0,0,0,0,0
R82357,PT,"26,132","21,383","20,162","21,076","23,120","14,363",0,0,0,0,0,0,0
R82358,FT,"21,567","17,561","18,072",0,0,"12,353","16,449","16,687","17,293","17,875","17,568",648,648
R82361,PT,"23,301","18,750","9,209","18,680","17,254","15,212","15,470","15,533","17,492","14,581","15,139","13,876","4,539"
R82362,FT,"16,757","15,715","15,767","15,664","16,877","14,213","14,065","11,941","13,419","14,721","15,252","13,623","14,711"
R82363,FT,"13,529","14,842","11,398","14,338","5,125","5,972","8,680","20,983","20,813","19,169","10,438","16,825","24,447"
R82365,PT,"5,768","7,003","8,208","8,560","8,103","6,696","7,700","8,290","7,379","8,317","10,509","9,355","2,864"
R82366,FT,"38,880","33,183","31,457","33,064","38,691","34,793","33,307","35,829","33,315","33,548","34,509","35,693","36,392"
R82367,PT,"34,258","33,794","39,874","26,998","10,916","6,276","5,506","6,495",653,653,0,0,"8,207"
R82368,FT,"27,589","24,240","25,039","20,735","19,342","22,994","18,802","19,313","16,725","15,152","16,340","17,655","15,155"
R82369,FT,"16,861","18,535","17,779","16,705","17,556","16,261","15,683","15,429","17,102","15,158","16,221","15,487","14,496"
R82372,FT,"19,020","15,894","17,075","13,033","15,860","14,372","13,107","14,087","16,609","13,408","13,391","14,752","21,351"
R82373,FT,"28,998","24,329","26,456","26,744","23,550","22,853","23,444","26,505","20,300","20,147","20,070","20,320","14,766"
R82375,FT,"12,483","11,341","11,684","13,111","13,519","13,810","11,061","10,812","11,717","11,845","13,020","11,067","9,640"
R82376,FT,"39,421","38,473","38,088","35,739","31,826","30,140","34,689","30,706","29,027","27,751","4,152","4,495","20,137"
R82377,PT,"13,150","15,303","18,836","17,878","16,985","16,461","16,919","17,776","16,894","15,388","17,817","20,577","21,324"
R82378,PT,"45,348","54,080","53,826","53,047","38,771","33,630","32,346","32,189","27,781","32,422","4,559","4,690","20,940"
R82379,FT,"22,283","32,162","31,393","31,453","26,850","35,207","30,327","42,399","39,032","42,937","42,001","38,956","34,540"
R82381,FT,"26,267","19,791","19,146","16,738","18,055","22,887","15,470","15,369","23,114","12,264","13,270","12,512","13,391"
R82382,FT,"10,149","15,142","13,698","16,677","12,925","16,756","13,230","16,908","13,855","15,487","12,891","15,351","12,737"
R82383,PT,"12,764","13,375","12,178","13,348","14,067","12,059","12,447","14,172","11,443","16,539","15,276","2,400","13,401"
R82385,FT,"43,817","34,859","34,124","1,140","27,300",0,0,"19,558","21,448","20,358","18,844","18,237","21,507"
R82387,PT,"29,928","21,420","21,491","17,863","20,165","23,287","20,959","19,059","17,714","19,140","14,671","18,017","15,399"
R82389,PT,"7,146","8,439","7,929","9,314","6,767","6,545","5,771","9,781","8,617","8,306","8,603","8,669","6,804"
R82392,PT,"21,251","2,491",91,96,91,"15,193","7,433","12,990","11,812","14,451","10,291","12,797",744
R82393,FT,"17,949","17,878","19,083","19,901","18,509","17,150","17,521","18,046","15,739","14,148","15,546","15,442","16,054"
R82395,FT,"30,810","34,385","34,974","32,744","26,792","29,336","29,379","28,093","26,902","24,034","27,925","25,373","24,415"
R82396,PT,"10,176","3,288","4,217","4,981","4,600","4,609","4,074","4,769","4,820","4,886","3,202","4,867","1,821"
R82398,PT,"4,623","4,284","4,053","4,171","3,021",0,0,0,0,0,0,0,0
R82399,FT,"40,482","48,098","41,689","34,296","29,440","39,665","38,940","32,392","30,579","36,002","36,161","35,811","34,027"
R82501,FT,836,"14,055","17,547","15,882","7,096","15,387","13,421","15,073","14,191","16,743","13,385","14,114","12,487"
R82502,FT,"22,682","31,442","27,437","27,488","23,762","31,024","30,075","35,578","29,264","35,976","33,082","35,387","34,853"
R82503,FT,"17,205","16,666","16,897","17,394","18,551","16,222","17,468","16,533","16,002","14,453","15,335","17,258","16,491"
R82505,FT,"32,070","11,380","2,583","9,702","13,367","18,518","16,464","18,180","16,728","15,002","10,030","14,586","13,728"
R82506,FT,"13,428","19,127","24,087","22,787","25,049","25,106","27,371","28,781","30,821","24,392","27,094","24,936","16,497"
R82507,FT,"27,737","25,199","31,851","32,603","36,644","30,577","30,067","31,769","39,230","36,036","33,004","39,150","31,315"
R82508,FT,"6,005","7,053","13,188","12,015","16,837","11,516","10,746","14,664","17,506","12,921","19,457","15,914","15,500"
R82511,FT,"24,632","28,573","27,926","25,870","23,803","24,580","25,070","24,685","21,725","21,487","25,023","24,971","24,392"
R82512,FT,"13,540","7,253","7,809","7,544","9,609","5,754","6,063","5,764","13,653","6,018","6,018","6,018","6,018"
R82513,FT,"14,548","8,507","8,084","8,974","11,976","9,945","8,882","9,094","10,870","8,754","8,128","9,597","12,218"
R82516,PT,"10,832","16,177","11,235","20,804","17,635","20,291","22,123","17,162","10,897","12,042","11,631","3,969",722
R82518,FT,"21,533","24,006","25,356","24,605","21,744","25,493","25,989","27,598","24,804","22,537","21,248","19,117","20,171"
R82519,PT,"16,995","18,361","16,823","18,696","15,302","19,143","19,109","19,844","17,145","19,305","18,960","17,657","17,094"
R82521,FT,"12,899","16,141","36,175","11,806","11,193","25,385","18,748","12,769","18,920","24,412","33,647","8,712","18,162"
R82523,PT,"60,232","51,361","37,336","37,154","32,785","43,491","38,137","41,367","39,398","37,199","2,350",828,"35,911"
R82525,FT,"62,054","49,401","49,025","50,237","45,137","44,050","46,829","41,514","51,828","41,880","42,432","38,433","35,767"
R82528,FT,"22,648","20,216","20,494","18,513","20,057","17,381","15,934","14,907","29,790","13,697","14,573","13,451","16,939"
R82529,FT,"18,244","14,253","25,242","25,221","22,798","24,702","27,619","27,060","31,191","29,522","28,819","27,211","29,877"
R82531,FT,"55,100","49,236","57,037","54,383","45,335","46,403","55,991","53,457","51,736","44,852","53,484","43,279","10,540"
R82532,FT,"13,130","10,716","11,350","11,132","11,904","13,059","13,007","12,646","10,781","12,749","12,285","15,259","11,838"
R82533,FT,0,0,0,0,"24,350","25,103","23,226","24,229","24,112","22,713","21,930","22,297","26,566"
R82535,FT,"23,400","21,655","16,415","16,915","21,523","20,749","16,354","17,644","19,527","20,833","18,428","17,307","18,963"
R82537,FT,"76,858","70,934","71,934","78,068","71,088","78,665","75,214","74,449","88,434","75,628","73,320","74,136","70,311"
R82539,PT,773,487,"41,864","41,867","43,559","39,331","22,639","25,390","22,836","3,105","35,834","27,027","41,766"
R82552,FT,"8,356","21,701","23,150","28,800","14,365","24,764","22,504","24,797","25,532","25,074","25,773","27,877","30,368"
R82553,FT,"18,505","11,905","12,147","12,077","13,913","10,957",183,0,0,0,0,0,0
R82555,PT,"15,273","4,028","2,583","2,580","2,583",0,836,836,183,183,183,180,180
R82556,PT,"33,987","31,466","31,401","33,505","26,195","27,952","29,371","29,950","24,626","27,997","27,839","27,857","26,211"
R82558,PT,"6,602","6,442","6,642","5,834","5,422","5,966",0,0,0,0,0,0,0
R82559,FT,"7,915","8,784",418,744,418,0,"10,536","9,104","13,165","12,810","16,884","11,466","10,714"
R82561,PT,802,"34,972","8,292","25,847","17,871","23,317","15,906","34,296","26,548","32,525","35,135","30,380","2,580"
R82563,PT,"13,195","11,324","10,898","10,939","11,334","11,147","9,677","9,504","9,883","7,784","8,483","4,146","5,300"
R82565,FT,"18,314","19,517","20,246","19,270","17,630","19,621","20,359","18,972","16,782","18,558","16,729","17,174","17,103"
R82566,FT,"18,283","12,790","12,653","13,617","13,082","12,382","12,910","13,994","12,369","12,691","17,616","15,047","13,448"
R82567,PT,0,"11,075","9,726","5,410","4,631","5,599","4,988","5,586","4,405","3,156","2,745","2,400",0
R82568,PT,"7,021","10,833","19,799","14,721","15,223","13,195","15,395","14,432","14,281","12,992","14,565","13,480","9,437"
R82569,FT,"13,888","12,119","10,518","11,565","10,417","12,324","10,507","13,750","12,621","11,036",0,0,0
R82572,PT,"10,806","8,475","10,179","9,233","7,162","10,430","10,015","9,002","7,363",327,327,324,324
R82573,PT,"7,494","7,555","11,336","14,016","11,621","12,284","10,327","14,101","4,718","4,444","3,742","4,402","4,788"
R82575,PT,"22,138","20,370","20,622","21,317","22,212","22,104","23,205","25,223","20,211","20,147","22,917","30,042","29,320"
R82577,PT,"20,411","19,832",836,"9,449","16,638","33,915","29,056",183,183,"14,619","5,344","24,690","29,889"
R82581,PT,"36,239","30,597","13,839","14,499","14,260","2,400","4,642","2,400","4,109","2,400","2,400","2,400","4,945"
R82582,FT,0,"16,891","15,169","14,365","16,241","14,421","12,746","13,149","11,506","13,953","11,550","13,542","10,140"
R82583,PT,"19,604","25,837","23,494","21,017","23,122","20,606","18,352","19,408","19,212","18,266","16,499","17,916","23,394"
R82585,PT,"1,253","6,942","5,261","8,490","6,305","8,411","9,850","10,054","10,144","9,006","4,772","1,200",0
R82586,FT,"1,640","19,082","21,799","21,587","20,514","20,430","19,869","18,236","19,329","18,083","18,267","19,376","21,244"
R82587,FT,"26,550","29,514","33,157","33,164","18,365","25,662","27,065","27,488","26,186","24,246","27,049","25,351","21,705"
R82588,FT,"54,456","49,253","53,382","53,175","47,461","49,403","57,642","61,209","63,385","59,676","60,001","64,231","66,485"
R82589,FT,401,"9,743","6,132","6,744",91,"8,696","7,053","6,067","6,495","5,151","5,127","5,942","3,971"
R82591,FT,0,0,0,"40,355","35,668","38,379","41,867","38,735","46,579","39,075","39,693","39,119","36,441"
R82592,FT,711,"10,835","6,185","5,966","6,900","8,392","8,616","11,474","23,377","18,103","14,209","16,683","18,228"
R82593,FT,"5,871","5,859","5,393","4,654","8,237","5,048","5,482","5,892","8,569","6,486","6,789","6,642","7,211"
R82595,PT,"1,084","16,604","15,799","8,156","7,610","8,903","2,400","2,400","6,027","2,400","2,400","1,440",468
R82597,FT,"9,781","14,703","10,842","11,511","12,314","13,302",0,0,0,0,0,0,0
R82598,PT,"19,044","29,730","29,412","32,794","29,802","27,964","26,581","28,440","22,017","12,580","12,490","18,809","14,114"
