Date,Extension Channel,Channel Collected,Campaign Sent,Campaign_by_Month,Campaign_Tags,Extension Number,Phone,Lead Status,Rejected Reason,Unqualified Reason,SDR,Owner Name,Restaurant Name,Restaurant Number,Cuisine Type,"Pickup/
Delivery",State,前台情况,SF Link
2023-12-30,DM,NA,Mkt_DM_Snowflake_2023ChristmasUSDrop1,January,dec-Drop1,,,Abandoned,NA,NA,Sean,,NA,,NA,NA,NA,"missed call, call back no answer. sms sent",NA
2023-12-30,DM,NA,Mkt_DM_Snowflake_2023ChristmasUSDrop1,January,dec-Drop1,,,Abandoned,NA,NA,Sean,,NA,,NA,NA,NA,"missed call, call back no answer. sms sent",NA
2023-12-30,DM,NA,Mkt_DM_Snowflake_2023ChristmasUSDrop1,January,dec-Drop1,,,Unqualified,NA,Duplicate,Sean,,NA,,NA,NA,NA,"missed call, call back   Inbound Qualified",NA
2023-12-30,DM,NA,Mkt_DM_Snowflake_2023ChristmasUSDrop1,January,dec-Drop1,,,Abandoned,NA,NA,Sean,,NA,,NA,NA,NA,"missed call, call back no answer. sms sent",NA
2023-12-30,DM,NA,Mkt_DM_Snowflake_2023ChristmasV2,January,dec-drop1can,,,Abandoned,NA,NA,Sean,,NA,,NA,NA,NA,"missed call, call back no answer. sms sent",NA
2023-12-30,DM,NA,Mkt_DM_Snowflake_2023ChristmasUSDrop1,January,dec-Drop1,,,Rejected,No interest to talk to sales,NA,Sean,,NA,,NA,NA,NA,问是不是有送机票，回答说有 有满足一定条件就会有送 ，了解餐馆过程中 问到餐馆在那个州 老板回复说算了算了 hanged up,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003gOtsMAE/view
2023-12-29,SMS,DM,Mkt_SMS_Internal_General,January,NA,,,Inbound Qualified,NA,NA,Kelvin,,Yummy Sushi,,中日餐,Pickup,FL,"老板名字：江老板娘
联系方式： (646) 239-3441
回拨时间：3pm EST 左右
餐类型：中日餐，来取
电话订单：一天大概30-40
前台情况：前台自己接
送餐情况： doordash,beyondmenu送
客户来源： Inbound
促销活动： 30 Days Free Trial
note: 餐馆开了半年。不做送餐。餐馆有堂吃。简单介绍我们的操作和流程。说了没有合约。想合作帮忙接电话，有时忙不过来。有请一个打包的，老板娘只负责接电话。想了解收费，如果不错想尽快合作",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKO3tEAG/view
2023-12-29,-,DM,Mkt_SMS_Internal_General,January,NA,,,Inbound Qualified,NA,NA,Kelvin,,Fuji&Pho Cafe,,日餐+亚洲餐,Pickup,IA,"老板名字：杨老板
联系方式：  (720) 499-2295
回拨时间：明天早上9-10AM EST
餐类型：日餐+亚洲餐，来取
电话订单：一天$300-$400
前台情况：-
送餐情况： chinesemenu送
客户来源： Inbound
促销活动： -
note: 目前只有日餐，亚洲餐的menu还没改。餐馆有堂吃。现在还没做外卖。之前有和doordash,ubereat合作但是他们耍赖。想了解我们的收费，想让我们帮忙接。",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKNznEAG/view
2023-12-29,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop1,January,dec-Drop1,,,Unqualified,NA,Not a Restaurant,Kelvin,,NA,,中餐,Delivery,NA,要知道收费而已，说了7-8%，说再联系,NA
2023-12-29,SMS,DM,Mkt_SMS_Internal_General,January,NA,,,Unqualified,NA,Lead Does Not Have Phone Ordering Business,Kelvin,,NA,,中日餐,Pickup,NA,"老板以为我们是网络平台，简单介绍了我们的操作。没有什么电话单，都是网络平台多。说doordash,ubereat,grubhub抽太高30%也常赖账。说了我们6.99%。觉得收费低，但是没电话单不适合。",NA
2023-12-29,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop1,January,dec-Drop1,,,Unqualified,NA,Not a Restaurant,Kelvin,,NA,,NA,NA,NA,收到我们的广告，但是不会中文。解释我们的服务，不需要（英文）,NA
2023-12-29,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop1,January,dec-Drop1,,,Inbound Qualified,NA,NA,Sean,,NA,,美式中餐,NA,ohaiyo,"老板名字：Jason
联系方式：9175433062
回拨时间：ASAP ohaiyo
餐类型    ：美式中餐
电话订单：不到10单
前台情况：有请人接
送餐情况： 第三方平台 - doordash ubereat
客户来源：inbound
促销活动：DM 免费机票 + DE
Notes (痛点等）：想了解免费机票条件，还有怎么收费。已经介绍我们是代接前台电话服务的",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003WZLtMAO/view
2023-12-29,DM,DM,Mkt_DM_Snowflake_2023ChristmasV2,January,dec-drop1can,,,Unqualified,NA,Cannot Service Cuisine/Menu,Sean,,NA,,NA,NA,NA,蛋糕店 无法服务,NA
2023-12-29,DM,DM,Mkt_DM_Snowflake_2023ChristmasV2,January,dec-drop1can,,,Unqualified,NA,Not a Restaurant,Kelvin,,NA,,NA,NA,NA,收到我们的广告，但是不会中文。解释我们的服务，不需要（英文）,NA
2023-12-29,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop1,January,dec-Drop1,,,Inbound Qualified,NA,NA,Sean,,NA,,中餐,NA,FL,"老板名字：缪老板
联系方式：8133369988
回拨时间：ASAP  FL
餐类型    ：中餐
电话订单：50-60单
前台情况：请人接
送餐情况： 第三方平台 -  ubereat
客户来源：inbound
促销活动：免费试用
Notes (痛点等）：想了解试用过后是怎么收费的",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003WFF9MAO/view
2023-12-29,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop1,January,dec-Drop1,,,Inbound Qualified,NA,NA,Sean,,NA,,中餐外卖,NA,Michigan,"老板名字：陈老板娘
联系方式：5174144551
回拨时间：ASAP  Michigan
餐类型：中餐外卖
电话订单：40-50单
前台情况：自己接
送餐情况： 第三方平台 - doordash
客户来源：inbound
促销活动：DM - 免费机票
Notes (痛点等）：想了解PT 收费情况，还有免费飞机票条件，前台老板娘自己接 忙不过来",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003Wn3tMAC/view
2023-12-29,DM,DM,Mkt_DM_Snowflake_2023ChristmasV2,January,dec-drop1can,,,Inbound Qualified,NA,NA,Sean,,NA,,美式中餐,NA,加拿大,"老板名字：Cecilia
联系方式：2508857988
回拨时间：ASAP 加拿大
餐类型    ：美式中餐
电话订单：10-20单
前台情况：没有前台，谁有空就接
送餐情况： ，第三方平台 - uber doordash
客户来源：Inbound
促销活动：DM - 免费机票
Notes (痛点等）：人手不足，接电话的不会英文。想了解怎么收费，也想了解飞机票活动。如果来不及联系可以先加微信",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003Y6R4MAK/view
2023-12-29,Paid Search,DM,Mkt_DM_Snowflake_2023ChristmasEng,January,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,美式中餐,NA,康州,"老板名字：董老板
联系方式：9173300261
回拨时间：ASAP 康州
餐类型    ：美式中餐
电话订单：大概30-40单一天
前台情况：有一个人
送餐情况： 第三方平台 - doordash ubereat
客户来源：Inbound
促销活动：DM - 免费试用
Notes (痛点等）：想了解我们怎么收费和操作 如果价格合适就不请人了 都让我们接",NA
2023-12-28,-,DM,Mkt_General_All_migration,January,NA,,,Inbound Qualified,NA,NA,Yannie,,NA,,日餐,Pickup,Ontario,"老板名字：Tyler 
联系方式：6479688851  (Toronto，Ontario)
回拨时间：ASAP
餐类型：日餐
电话订单：-
前台情况：有前台
送餐情况：来取，doordash,ubereat
客户来源：Inbound
促销活动：30 Days Free Trial -VP+DE+January Promo
Notes (痛点等）：老板收到广告想了解我们的服务，简单咨询大概怎样操作，如果接电话期间不是order要找老板的话这个电话是怎么处理？January Promo需不需要达到营业额才能兑换机票？ 想了解收费先。",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003TdNfMAK/view
2023-12-28,DM,DM,Mkt_General_All_migration,January,NA,,,Inbound Qualified,NA,NA,Sean,,NA,,日餐堂吃,NA,NA,"老板名字：陈老板娘
联系方式：2078523281
回拨时间：ASAP
餐类型：日餐堂吃
电话订单：1000$+营业额  周末2000$+
前台情况：自己接
送餐情况： 第三方平台 - 没有做
客户来源：Inbound
促销活动：DM - 机票活动
Notes (痛点等）：想了送机票的详细细节，还有我们服务费率",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKOFXEA4/view
2023-12-28,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop1,January,dec-Drop1,,,Inbound Qualified,NA,NA,Sean,,NA,,NA,NA,New Hampshire,"老板名字：老板娘
联系方式：9179153246
回拨时间：ASAP New Hampshire
餐类型   ：日餐
电话订单：30-50单 周末70-80单
前台情况：有请人
送餐情况： 第三方平台 - doordash ubereat
客户来源：inbound
促销活动：DM - 飞机票活动
Notes (痛点等）：老板娘想了解费劲票活动，还有想了解我们操作流程 说如果不复杂就会用我们服务",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003TcjKMAS/view
2023-12-28,DM,Organic - Direct,Mkt_General_All_migration,January,NA,,,Inbound Qualified,NA,NA,Yannie,,NA,,中餐,Pickup,NY,"老板名字：董老板
联系方式：6463559565 （NY）
回拨时间：ASAP
餐类型：中餐
电话订单：2w多
前台情况：有前台
送餐情况：来取, ubereat, beyond menu合作
客户来源：Inbound
促销活动：30 Days Free Trial -VP+DE
Notes (痛点等）：老板简单咨询大概怎么操作，什么机器，打印机的纸张是怎么购买的？还是我们送的？ 想了解收费再考虑要不要合作。",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003TraHMAS/view
2023-12-28,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop1,January,dec-Drop1,,,Inbound Qualified,NA,NA,Yannie,,NA,,中餐,Pickup,Michigan,"老板名字：朱老板
联系方式：5867011317 （Michigan)
回拨时间：ASAP
餐类型：中餐
电话订单：-
前台情况：自己接
送餐情况：来取
客户来源：Inbound
促销活动：30 Days Free Trial -VP+DE
Notes (痛点等）：收到广告咨询怎么操作，想了解收费。",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003Tt94MAC/view
2023-12-28,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop2,January,dec-Drop2,,,Unqualified,NA,Current Client,Sean,,Basil Thai R86616,,NA,NA,NA,收到DM 老板询问他能不能也有送飞机票这个优惠 已经联系CSM跟进,NA
2023-12-28,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop1,January,dec-Drop1,,,Unqualified,NA,Current Client,Sean,,Seafood boil R86716,,NA,NA,NA,收到DM 老板询问他能不能也有送飞机票这个优惠 已经联系CSM跟进,NA
2023-12-28,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop1,January,dec-Drop1,,,Inbound Qualified,NA,NA,Kelvin,,LIGHT STAR CHINESE RESTAURANT,,中餐,Delivery,CT,"老板名字：杨老板娘
联系方式： (225) 480-6733
回拨时间：ASAp
餐类型：中餐，外卖
电话订单：一天40-50，周末比较多
前台情况：老板娘自己和女儿在接
送餐情况： 老板有送一点，也有请老外pt送。
客户来源： Inbound
促销活动： 30 Days Free Trial for VP+DE, flight ticket, 1 year SMS
note: 网络平台doordash,ubereat,grubhub送。老板娘说女儿多几个后就要上大学了，打算让我们接。简单介绍我们的操作。介绍了pt服务可以挑忙的时间帮忙。麻烦的客人也会帮忙处理。老板的妹妹，老板娘的姐姐和朋友(FL)也有在用着。想知道接电话和送餐的收费，希望经理能够给多一点优惠，因为都是朋友在介绍。也有看到送飞机票的优惠，让经理和他解释。",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKEejEAG/view
2023-12-28,DM,DM,Mkt_DM_Snowflake_2023ChristmasV2,January,dec-drop1can,,,Rejected,No interest to talk to sales,NA,Kelvin,,NA,,NA,NA,NA,收到DM，询问飞机票的优惠而已,NA
2023-12-28,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop1,January,dec-Drop1,,,Inbound Qualified,NA,NA,Sean,,GOLDEN MOUNTAIN,,美式中餐,NA,ohaiyo,"老板名字：包老板娘
联系方式：9294989588
回拨时间：ASAP ohaiyo
餐类型：美式中餐
电话订单：30单+
前台情况：自己接
送餐情况： 第三方平台 - uber doordash
客户来源：inbound
促销活动：免费试用+DE ，免费机票
Notes (痛点等）：想了解机票和免费试用活动，待会打给老板让他知道条件和我们服务流程",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKKglEAG/view
2023-12-28,SMS,DM,Mkt_SMS_Internal_General,January,NA,,,Inbound Qualified,NA,NA,Kelvin,,Yip's Garden,,中餐,Pickup,NY,"老板名字：Nini
联系方式： (718) 207-7742
回拨时间：ASAP
餐类型：中餐，来取
电话订单：-
前台情况：-
送餐情况： 都让doordash,grubhub送
客户来源： Inbound
促销活动： 30 Days Free Trial for VP+DE, 1 year SMS
note: 老板娘说也有朋友介绍的。朋友不做了，刚接手这家店2周。之前的生意不好，想用我们的服务看看能不能增加生意。简单介绍我们的操作。想要知道接电话和送餐收费",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003UAHyMAO/view
2023-12-28,DM,NA,Mkt_DM_Snowflake_2023ChristmasUSDrop1,January,dec-Drop1,,,Unqualified,NA,Current Client,Yannie,,NA,,NA,NA,NA,"老板娘Inbound进来要咨询VP+DE的价格，她说之前和我们合作过，现在取消了已经和海狼合作，但是我搜餐馆号码是Active,麻烦你联系老板娘",https://wondersco.lightning.force.com/lightning/r/Account/0018b00002L17QOAAZ/view
2023-12-28,DM,NA,Mkt_DM_Snowflake_2023ChristmasUSDrop1,January,dec-Drop1,,,Unqualified,NA,Current Client,Kelvin,,NA,,NA,NA,NA,"老板娘说之前的经理是jacky,他发短信没回复。说没做经理了，难怪联系不上。让他和amy聊就好。",https://wondersco.lightning.force.com/lightning/r/Account/0018b00002L17QOAAZ/view
2023-12-28,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop1,January,dec-Drop1,,,Inbound Qualified,NA,NA,Kelvin,,NA,,中餐,Pickup,MI,"老板名字：梁老板娘
联系方式： (248) 635-9236
回拨时间：30分钟后
餐类型：中餐，来取
电话订单：-
前台情况：有请pt学生帮忙接
送餐情况： grubhub,doordash送
客户来源： Inbound
促销活动： 30 Days Free Trial, flight ticket
note: 老板娘说前台1月就要去上学了，难请人。如果我们能够帮到的话就不用自己接了。他有看到广告关于飞机票，刚好他5月要回国，经理可以跟他说具体和流程和收费",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003UkWjMAK/view
2023-12-28,DM,NA,Mkt_DM_Snowflake_2023ChristmasUSDrop1,January,dec-Drop1,,,Unqualified,NA,Not a Restaurant,Kelvin,,NA,,NA,NA,NA,咨询送餐服务，解释了不需要,NA
2023-12-27,DM,DM;SMS,Mkt_DM_Snowflake_2023ChristmasUSDrop1,dec-drop2,dec-Drop1,,,Inbound Qualified,NA,NA,Yannie,,NA,,中餐,Pickup,NA,"老板名字：陈老板
联系方式：9172569628 （NY）
回拨时间：2.30pm-3pm
餐类型:  中餐
电话订单：-
前台情况：自己接
送餐情况：来取
客户来源：Inbound
促销活动：30 Days Free Trial -VP+DE
Notes (痛点等）：老板时常收到广告/短信，,目前没做送餐，现在想做送餐提高营业额。简单咨询怎么操作，PT&FT的区别，感觉老板想自己接电话只是做送餐，已经和老板说了送餐需要搭配接电话的服务，想了解收费先再看要不要合作。",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001zSQnBEAW/view
2023-12-27,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop2,dec-drop2,dec-Drop2,,,Rejected,No interest to talk to sales,NA,Yannie,,NA,,NA,NA,NA,简单咨询中美往返机票(价值$1500美金) 或 $1500 SKT 账户额，不是要和我们合作,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003PoKrMAK/view
2023-12-27,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop1,dec-drop2,dec-Drop1,,,Inbound Qualified,NA,NA,Sean,,NA,,中餐外卖,Delivery,New Jersey,"老板名字：曾老板娘
联系方式：7186666972
回拨时间：ASAP New Jersey
餐类型    ：中餐外卖
电话订单：30-40单一天
前台情况：自己接 家庭店
送餐情况： ，第三方平台 - uber doordash
客户来源：inbound
促销活动：DM
Notes (痛点等）：想了解送餐费用了，因为请的送餐员不稳定 时常搞定很乱。已经解释需要和接电话一起用 只能送我们接电话的单子。",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000000xcm1MAA/view
2023-12-27,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop1,dec-drop2,dec-Drop1,,,Rejected,No interest to talk to sales,NA,Kelvin,,NA,,中餐,Delivery,NA,老板叫Shawn，中餐，外卖，自己有请1个师傅送，外卖一天大概30-40。电话单一天80+，周末130+。前台有请pt帮忙。说了有免费试用的活动，老板说NJ很多家餐馆在用着。身边没有人在用着。说了有代刷。简单介绍了我们的操作。对我们的送餐有点兴趣，说没有平台费，老板觉得食客通很吊，越做越大。说了收费大概7-8%。先了解，在忙，需要会联系。发了短信,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKPAZEA4/view
2023-12-27,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop1,dec-drop2,dec-Drop1,,,Inbound Qualified,NA,NA,Yannie,,NA,,中餐,Pickup,NA,"老板名字：刘老板娘
联系方式：6085152450
回拨时间：ASAP
餐类型：中餐
电话订单：30-40单
前台情况：自己接
送餐情况：来取,doordash,ubereat
客户来源：Inbound
促销活动：30 Days Free Trial -VP+DE
Notes (痛点等）：收到广告想了解接电话服务，第三方的订单很少一天才几单，主要是电话单。目前前台电话自己接，一时很忙的话接不及所以想找我们合作，想了解收费。",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003QFUkMAO/view
2023-12-26,-,DM,Campaign Name,dec-drop2,NA,,,Rejected,No interest to talk to sales,NA,Kelvin,,NA,,NA,NA,NA,简单介绍我们的操作，说了我们不是网络平台，只是普通咨询，需要会联系。,https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003LiM8MAK/view
2023-12-26,DM,Client Referral;DM,Mkt_DM_Snowflake_2023ChristmasUSDrop1,dec-drop2,dec-Drop1,,,Inbound Qualified,NA,NA,Yannie,,KISORO JANPANESE RESTAURANT,,日餐,Pickup,TN,"老板名字：Sunnie
联系方式：9319986666 （TN)
回拨时间：ASAP
餐类型：日餐
电话订单：50单以上
前台情况：有前台
送餐情况：来取，堂吃，doordash，ubereat
客户来源：Inbound
促销活动：30 Days Free Trial -VP+DE
Notes (痛点等）：老板娘收到广告也有朋友推荐说和食客通合作后有提高到营业额觉得不错，堂吃大概有20-30单，有一位前台是专门接电话而已，但是一时忙的时候接不及想找我们帮忙，想了解收费。",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo000003LmcbMAC/view
2023-12-26,DM,-,Mkt_DM_Snowflake_2023ChristmasUSDrop2,dec-drop2,dec-Drop2,,,Unqualified,NA,Current Client,Sean,,NA,,NA,NA,NA,现有客户想了解 DE ，已经联系相关CSM跟进,NA
2023-12-26,Google SEM,DM,Mkt_PaidSearch_Google_AllCampaigns,dec-drop2,NA,,,Inbound Qualified,NA,NA,Yannie,,IMPERIAL HOUSE RESTAURANT,,中餐,Pickup,WI,"老板名字：黄老板
联系方式：6462891471 （WI)
回拨时间：ASAP
餐类型：中餐
电话订单：50单以上
前台情况：有PT前台
送餐情况：来取，doordash
客户来源：Inbound
促销活动：30 Days Free Trial -VP+DE
Notes (痛点等）：收到广告，主要想了解接电话，简单咨询怎么操作，菜单问题，想了解收费。",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKHoXEAW/view
2023-12-26,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop2,dec-drop2,dec-Drop2,,,Unqualified,NA,Lead Does Not Have Phone Ordering Business,Kelvin,,NA,,日餐,Pickup,NA,"电话单不多，都是网络平台比较多。前台自己接电话，说了收费6.99%, 需要会联系",NA
2023-12-26,DM,-,Mkt_DM_Snowflake_2023ChristmasUSDrop1,dec-drop2,dec-Drop1,,,Unqualified,NA,Not a Restaurant,Sean,,NA,,NA,NA,NA,要买机票 没餐馆,NA
2023-12-23,-,DM,Campaign Name,dec-drop2,NA,,,Rejected,Is ICP but Interested in DE Only,NA,Yannie,,NA,,NA,NA,NA,"老板说收到DM,只是要咨询送餐服务，不需要接电话的，只是要帮别人问，如果要VP+DE一起用的话那就不需要了，以后不要打给他",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKOAqEAO/view
2023-12-23,Sales,DM,Mkt_General_All_migration,dec-drop2,NA,,,Inbound Qualified,NA,NA,Zack,,NA,,NA,NA,NA,外卖店，店里两个电话,NA
2023-12-23,SMS,SMS/DM,Mkt_SMS_Internal_General,dec-drop2,NA,,,Inbound Qualified,NA,NA,Yannie,,NA,,中餐,Pickup,NA,"老板名字：Sally
联系方式：3477617282 (NY)
回拨时间：ASAP
餐类型：中餐
电话订单：大概10几单
前台情况：自己接
送餐情况：来取，doordash,ubereat,grubhub
客户来源：Inbound
促销活动：30 Days Free Trial -VP+DE
Notes (痛点等）：老板娘说收到SMS&DM，接一个电话只收$1，老板娘想了解优惠和价格。",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001zSPSpEAO/view
2023-12-23,DM,NA,Mkt_DM_Snowflake_2023ChristmasUSDrop1,dec-drop2,dec-Drop1,,,Unqualified,NA,Current Client,Yannie,,Sumo Hibachi R86635,,NA,NA,NA,老板娘很生气说没有答应和我们合作为什么扣她的卡钱，你们这样做生意的嘛，已经拒绝不要合作了，要求退款,https://wondersco.lightning.force.com/lightning/r/Account/001Uo000001WOwHIAW/view
2023-12-23,DM,NA,Mkt_DM_Snowflake_2023ChristmasUSDrop2,dec-drop2,dec-Drop2,,,Unqualified,NA,Current Client,Yannie,,EN LAI R81271,,NA,NA,NA,"Client want to know more abount DE service & price , inform CSM to call back client",https://wondersco.lightning.force.com/lightning/r/Account/0018b00002L17IEAAZ/view
2023-12-23,SMS,SMS/DM,Mkt_SMS_Internal_General,dec-drop2,NA,,,Inbound Qualified,NA,NA,Zack,,Big Chopstick,,中餐,Pickup,CA,"老板名字：Kelvin
联系方式：7144148882 （CA)
回拨时间：ASAP
餐类型：中餐
电话订单：10-20单
前台情况：part time/ full time
送餐情况：ubereats， doordash, 自己driver
客户来源：Outbound
促销活动：30 Days Free Trial -VP+DE
Notes (痛点等）：老板问了我们服务，介绍了接电话还有送餐，老板说要知道送餐价格表，电话单没有很多，现在打给他号码跟他说送餐的操作还有价格。前台有cashier。",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKGxXEAW/view
2023-12-23,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop1,dec-drop2,dec-Drop1,,,Inbound Qualified,NA,NA,Yannie,,NA,,中餐,Pickup,FL,"老板名字：许老板娘
联系方式：6269220682
回拨时间：ASAP
餐类型：中餐
电话订单：-
前台情况：自己接
送餐情况：来取，自己请司机送，doordash,ubereat
客户来源：Inbound
促销活动：30 Days Free Trial -VP+DE
Notes (痛点等）：老板娘收到广告也有朋友推荐食客通，已经了解了接电话的价格想了解送餐的价格，现在和第三方合作只是用online order 没用他们的送餐服务，都是请司机送的价格有点高，想了解送餐价格看看那个比较划算",https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKDQJEA4/view
2023-12-23,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop2,dec-drop2,dec-Drop2,,,Inbound Qualified,NA,NA,Sean,,NA,,日餐,Delivery,DM,"老板名字：Danny
联系方式：3039617909
回拨时间：ASAP
餐类型    ：日餐
电话订单：5-6单
前台情况：请了一个人
送餐情况： 第三方平台 - doordash grabhub
客户来源：inbound
促销活动：30天免费试用 ， DE
Notes (痛点等）：想了解食客通代接电话和送餐怎么收费，已经解释需要绑定代接电话 和只能送接电话的单子，老板说3个月后有家中国餐馆开门 所以想先了解一下",NA
2023-12-22,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop1,dec-drop2,dec-Drop1,,,Inbound Qualified,NA,NA,Yannie,,NA,,NA,Pickup,AR,"老板名字：林老板
联系方式：5017666698 (AR)
回拨时间：ASAP
餐类型：中餐buffet
电话订单：10几单，3w以上
前台情况：有前台
送餐情况：堂吃，来取，online order
客户来源：Inbound
促销活动：30 Days Free Trial -VP+DE
Notes (痛点等）：老板收到广告不了解我们是怎么操作的，简单咨询了，前台英文不是很好所以想到找我们接电话，目前没有做送餐，考虑和我们合作VP+DE，想了解收费。",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo00000383lQMAQ/view
2023-12-21,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop2,dec-drop2,dec-Drop2,,,Rejected,No interest to talk to sales,NA,Yannie,,NA,,NA,Pickup,NA,老板收到广告咨询送餐服务，现在已经和ubereat合作了，如果用我们接电话服务的话前台也是需要一个人，觉得没有必要和我们合作,https://wondersco.lightning.force.com/lightning/r/Lead/00Q8b00001xKOhUEAW/view
2023-12-21,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop2,dec-drop2,dec-Drop2,,,Inbound Qualified,NA,NA,Yannie,,NA,,NA,Pickup,Maine,"老板名字：林老板娘
联系方式：2073075326 (Maine)
回拨时间：ASAP
餐类型：中日餐
电话订单：10w以上
前台情况：自己接/pt
送餐情况：来取
客户来源：Inbound
促销活动：30 Days Free Trial -VP+DE
Notes (痛点等）：老板娘收到广告咨询送餐和接电话服务，现在前台电话自己接一时有请pt帮忙，目前餐馆只是做来取，想开通送餐服务，要了解价格先。",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo0000033H2bMAE/view
2023-12-21,DM,NA,Mkt_DM_Snowflake_2023ChristmasUSDrop2,dec-drop2,dec-Drop2,,,Unqualified,NA,Duplicate,Yannie,,NA,,NA,NA,NA,上面是女儿打进来的，这位是老板娘,https://wondersco.lightning.force.com/lightning/r/Contact/003Uo000001BaVqIAK/view
2023-12-21,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop2,dec-drop2,dec-Drop2,,,Abandoned,NA,NA,Yannie,,NA,,NA,Pickup,West Virginia,"老板名字：Tony
联系方式：7575029433  （West Virginia）
回拨时间：ASAP
餐类型：日餐
电话订单：不清楚
前台情况：有前台
送餐情况：堂吃，来取，doordash,grubhub
客户来源：Inbound
促销活动：30 Days Free Trial -VP+DE
Notes (痛点等）：老板收到广告看看怎么帮到他的餐馆，简单咨询了怎么操作，机器押金，打印机纸张，PT&FT,想了解收费。",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo0000033OaLMAU/view
2023-12-21,DM,DM,Mkt_DM_Snowflake_2023ChristmasUSDrop2,dec-drop2,dec-Drop2,,,Inbound Qualified,NA,NA,Yannie,,NA,,NA,Pickup,West Virginia,"老板名字：Tony
联系方式：7575029433  （West Virginia）
回拨时间：ASAP
餐类型：日餐
电话订单：不清楚
前台情况：有前台
送餐情况：堂吃，来取，doordash,grubhub
客户来源：Inbound
促销活动：30 Days Free Trial -VP+DE
Notes (痛点等）：老板收到广告看看怎么帮到他的餐馆，简单咨询了怎么操作，机器押金，打印机纸张，PT&FT,想了解收费。",https://wondersco.lightning.force.com/lightning/r/Lead/00QUo0000033OaLMAU/view
2023-12-21,DM,NA,Mkt_DM_Snowflake_2023ChristmasUSDrop2,dec-drop2,dec-Drop2,,,Unqualified,NA,Current Client,Yannie,,*LI LAI WOK* R82605,,NA,NA,NA,老板娘想12/25要我们帮忙接电话，联系了我们没人回复，已slack CSM联系她,https://wondersco.lightning.force.com/lightning/r/Account/0018b00002L17TFAAZ/view
