Snowball Map,List Source,Restaurant Name,Address,City,State,Phone,Zipcode,First Name,Last Name,Employee Count Est.,Small Business Entrepreneur Indicator,Year Established,Ethnic Code Desc
85237,Yelp Greendot (Q42022),GREAT WALL BUFFET,180 LONDON SHOPPING CTR,LONDON,KY,6068771838,40741-3015,KENNY,XIE,3,Y,NA,Chinese
85238,Yelp Greendot (Q42022),GREAT WALL CHINA,5191 CLINTON RD STE 101,STEDMAN,NC,9103219888,28391-9504,MARY,MERRITT,9,Y,NA,Chinese
85239,Google API (Q42022),GREAT WALL CHINESE BUFFET,201 W GLORIA SWITCH RD STE D,LAFAYETTE,LA,3378968189,70507-2590,MING,YE,19,N,NA,Chinese
85240,Yelp Greendot (Q42022),GREAT WALL CHINESE BUFFET,6 RAILROAD ST,TOWANDA,PA,5702653371,18848,NA,NA,NA,NA,NA,Chinese
85241,Google API (Q42022),GREAT WALL CHINESE RESTAURANT,1018 S PIERCE ST,ALMA,GA,9126321188,31510-3716,YINGCHUN,CHI,4,Y,NA,Chinese
85242,Google API (Q42022),GREAT WALL CHINESE RESTAURANT,3600 PANOLA RD,LITHONIA,GA,7709879919,30038-2733,SHOU,YU,4,Y,NA,Chinese
85243,Google API (Q42022),GREAT WALL CHINESE RESTAURANT,1238 S HARRIS ST,SANDERSVILLE,GA,4785529933,31082-6912,HUA,YANG,4,Y,NA,Chinese
85244,Google API (Q42022),Great Wall Chinese Restaurant,544 TENNEY ST STE 4,KEWANEE,IL,3098547827,61443-3755,SENTING,LIN,4,Y,2019,Chinese
85245,Google API (Q42022),Great Wall Chinese Restaurant,5530 WOLF RD,WESTERN SPRGS,IL,7082465526,60558-2229,ALAN,MEI,4,Y,NA,Chinese
85246,Google API (Q42022),GREAT WALL CHINESE RESTAURANT,1940 N JEFFERSON ST,HUNTINGTON,IN,2603568828,46750-1351,JIN,CHEN,4,Y,NA,Chinese
85247,Google API (Q42022),Great Wall Chinese Restaurant,2305 S KANSAS RD STE 102,NEWTON,KS,3162836667,67114-9018,YONG,JIANG,4,Y,NA,Chinese
85248,Google API (Q42022),Great Wall Chinese Restaurant,1022 W 8TH ST,WELLINGTON,KS,6203268688,67152-3421,CHEN,ZHANG,4,Y,NA,Chinese
85249,Google API (Q42022),GREAT WALL CHINESE RESTAURANT,2244 HANSON RD,EDGEWOOD,MD,4106128000,21040-2608,STEPHANIE,WONG,4,Y,NA,Chinese
85250,Google API (Q42022),GREAT WALL CHINESE RESTAURANT,2140 N MITCHELL ST,CADILLAC,MI,2317758600,49601-1136,XIN,GUO,4,Y,NA,Chinese
85251,Google API (Q42022),Great Wall Chinese Restaurant,1505 N BISHOP AVE,ROLLA,MO,5733419922,65401-2154,MEI,CAO,4,Y,1993,Chinese
85252,Google API (Q42022),GREAT WALL CHINESE RESTAURANT,11560 NC 55 HWY STE 8,GRANTSBORO,NC,2527457738,28529-9447,PETER,LIU,4,Y,NA,Chinese
85253,Google API (Q42022),GREAT WALL CHINESE RESTAURANT,2202 W CHARLESTON BLVD,LAS VEGAS,NV,7023852750,89102-2232,WILLIAM,TOH,4,Y,NA,Chinese
85254,Google API (Q42022),GREAT WALL CHINESE RESTAURANT,448 W MAIN ST STE 3,MT PLEASANT,PA,7245473450,15666-1542,MAGGIE,LIN,4,Y,NA,Chinese
85255,Google API (Q42022),GREAT WALL CHINESE RESTAURANT,6705 TORRESDALE AVE,PHILADELPHIA,PA,2153318883,19135-2415,ZHENSHENG,LI,4,Y,NA,Chinese
85256,Google API (Q42022),GREAT WALL CHINESE RESTAURANT,532 PENN AVE,WEST READING,PA,6106858585,19611-1036,YIM,LAM,4,Y,NA,Chinese
85257,Google API (Q42022),Great Wall Chinese Restaurant,229 HILLCREST DR,LAURENS,SC,8649844351,29360-2341,WU,CHEN JHENG,4,Y,NA,Chinese
85258,Google API (Q42022),GREAT WALL CHINESE RESTAURANT,1400 KEMPSVILLE RD STE 104,CHESAPEAKE,VA,7574363357,23320-8188,YONG,CHEN,4,Y,NA,Chinese
85259,Google API (Q42022),Great Wall Chinese Restaurant,2576 STUARTS DRAFT HWY STE 118,STUARTS DRAFT,VA,5403375008,24477-3190,LIN,CHEUNG,4,Y,NA,Chinese
85260,Google API (Q42022),GREAT WALL CHINESE RESTAURANT,14269 BANK ST,BECKER,MN,7632626882,55308-4630,XIN,SHI,19,N,NA,Chinese
85261,Google API (Q42022),Great Wall Chinese Restaurant,7777 N WICKHAM RD STE 2,MELBOURNE,FL,3212428898,32940-7978,THIAM,WU,9,Y,NA,Chinese
85262,Google API (Q42022),GREAT WALL CHINESE RESTAURANT,7008 PINES RD STE B,SHREVEPORT,LA,3186866602,71129-3415,TONY,WANG,9,Y,1985,Chinese
85263,Google API (Q42022),GREAT WALL CHINESE RESTAURANT,4515 FRANCE AVE S,MINNEAPOLIS,MN,9529274439,55410-1369,STANLEY,CHUNG,9,Y,NA,Chinese
85264,Google API (Q42022),GREAT WALL CHINESE RESTAURANT,4620 WOODY MILL RD,GREENSBORO,NC,3366740016,27406-8779,YUKI,CHEN,9,Y,NA,Japanese
85265,Google API (Q42022),GREAT WALL CHINESE RESTAURANT,655 NEWARK AVE STE 3,ELIZABETH,NJ,9085581888,07208-3569,ZHONG,CHEN,9,Y,NA,Chinese
85266,Google API (Q42022),GREAT WALL CHINESE RESTAURANT,346 FM 1960 RD W,HOUSTON,TX,2815835186,77090-3518,JIEYUN,WU,9,N,NA,Chinese
85267,Yelp Greendot (Q42022),GREAT WALL CHINESE RESTAURANT,132 SOUTH RD STE 2,ENFIELD,CT,8607490258,06082-4472,NA,NA,NA,NA,NA,Chinese
85268,Yelp Greendot (Q42022),GREAT WALL CHINESE RESTAURANT,3003 WEBSTER AVE,BRONX,NY,7185845488,10458-2423,SAU,CHENG,6,Y,NA,Chinese
85269,Yelp Greendot (Q42022),GREAT WALL CHINESE RESTAURANT,574A LARKFIELD RD,EAST NORTHPORT,NY,6313686677,11731-4204,HAU,FUAN,5,Y,NA,Chinese
85270,Yelp Greendot (Q42022),GREAT WALL CHINESE RESTAURANT,908 LITTLE DEER CREEK VALLEY RD STE 106,RUSSELLTON,PA,7242652830,15076-1344,NA,NA,NA,NA,NA,Chinese
85271,Yelp Greendot (Q42022),GREAT WALL CHINESE RESTAURANT,351 LOUCKS RD STE G6,YORK,PA,7178529666,17404-1757,NA,NA,NA,NA,NA,Chinese
85272,Yelp Greendot (Q42022),GREAT WALL CHINESE RESTAURANT,2558 AIRLINE BLVD,PORTSMOUTH,VA,7574880860,23701-2802,NA,NA,NA,NA,NA,Chinese
85273,Yelp Greendot (Q42022),GREAT WALL CHINESE RESTAURANT,13311 N HIGHWAY 27,CHICKAMAUGA,GA,7063752838,30707-3358,SHERRY,YANG,11,Y,NA,Chinese
85274,Yelp Greendot (Q42022),GREAT WALL CHINESE RESTAURANT,2608 SW TUTBURY TOWN RD,TOPEKA,KS,7852341060,66614-4328,SIUX,LU,10,Y,NA,Chinese
85275,Yelp Greendot (Q42022),GREAT WALL CHINESE RESTAURANT,1815 W TARRANT RD STE 101,GRAND PRAIRIE,TX,9722646678,75050-3135,WEN,WANG,10,Y,NA,Chinese
85276,Yelp Greendot (Q42022),GREAT WALL CHINESE RESTAURANT,27388 SUN CITY BLVD STE A,SUN CITY,CA,9516722329,92586-2569,NA,NA,NA,NA,NA,Chinese
85277,Yelp Greendot (Q42022),GREAT WALL CHINESE RESTAURANT,13775 MONO WAY STE G,SONORA,CA,2095330622,95370-8857,ROBERT,POTTER,9,Y,NA,Chinese
85278,Google API (Q42022),GREAT WALL CHINESE RESTAURANT IN BRIGHTON CO,1591 E BRIDGE ST,BRIGHTON,CO,3036598286,80601-1929,FHUI,LIN,4,Y,2003,Chinese
85279,Yelp Greendot (Q42022),GREAT WALL CHINESE RESTRUANT,3405 CLEVELAND AVE,COLUMBUS,OH,6142682888,43224-2906,NA,NA,NA,NA,NA,Chinese
85280,Google API (Q42022),GREAT WALL CHINESE TAKEOUT,706 GRAND CENTRAL AVE,VIENNA,WV,3042957955,26105-2144,MAO CHANG,LIN,4,Y,NA,Chinese
85281,Google API (Q42022),GREAT WALL EXPRESS,2401 HIGHLAND AVE STE 102,NATIONAL CITY,CA,6193360205,91950-7071,MING,LAU,4,N,NA,Chinese
85282,Google API (Q42022),Great Wall Express,900 WOODBURY AVE STE 11,COUNCIL BLFS,IA,7123239622,51503-7855,JAMES,CHEN,4,Y,NA,Chinese
85283,Yelp Greendot (Q42022),GREAT WALL EXPRESS,3310 UNIVERSITY AVE,SAN DIEGO,CA,6192816094,92104-2120,MING,LAU,2,Y,NA,Chinese
85284,Yelp Greendot (Q42022),GREAT WALL EXPRESS,1901 E SHIELDS AVE,FRESNO,CA,5592250200,93726-5313,NA,NA,NA,NA,NA,Chinese
85285,Google API (Q42022),Great Wall Express 11,2401 HIGHLAND AVE,NATIONAL CITY,CA,6194748887,91950-7071,MING,LAU,4,N,NA,Chinese
85286,Google API (Q42022),GREAT WALL III,841 BERGEN AVE,JERSEY CITY,NJ,2013334048,07306-4517,YING Y,WU,4,Y,NA,Chinese
85287,Google API (Q42022),GREAT WALL KITCHEN,6055 OLD NATIONAL HWY # 6075,ATLANTA,GA,7709090197,30349-4325,YOUHAILI,LI,4,Y,NA,Chinese
85288,Google API (Q42022),GREAT WALL KITCHEN,711 BOULEVARD,KENILWORTH,NJ,9082980533,07033-1703,DAIMING,ZHENG,4,Y,NA,Chinese
85289,Google API (Q42022),GREAT WALL KITCHEN,924 S WOOD AVE,LINDEN,NJ,9084749839,07036-4561,NENGKUN,LIN,4,Y,NA,Chinese
85290,Google API (Q42022),GREAT WALL KITCHEN,1 E SOMERSET ST,RARITAN,NJ,9087040808,08869-2101,KAM FAT,CHIANG,4,Y,NA,Chinese
85291,Yelp Greendot (Q42022),GREAT WALL KITCHEN,2238 ADAM CLAYTON POWELL JR BLVD FRNT 1,NEW YORK,NY,2122348086,10027-7842,ZI,FUANG,1,Y,NA,Chinese
85292,Google API (Q42022),GREAT WALL OF CHINA,2176 HILLSBORO RD STE 132,FRANKLIN,TN,6155912223,37069-6237,LOU,LIU,4,Y,NA,Chinese
85293,Google API (Q42022),Great Wall Of China Restaurant,2913 SUDDERTH DR,RUIDOSO,NM,5752572522,88345-6323,RYAN,CHENG,49,N,1983,Chinese
85294,Google API (Q42022),Great Wall Restaurant,5920 US HIGHWAY 6,PORTAGE,IN,2197643883,46368-4946,TOMMY,YANG,4,Y,1983,Chinese
85295,Google API (Q42022),GREAT WALL RESTAURANT,3554 PINE GROVE AVE,PORT HURON,MI,8109853838,48060-1958,XI,GAO,4,Y,NA,Chinese
85296,Google API (Q42022),GREAT WALL RESTAURANT,4 OLDE EASTWOOD VILLAGE BLVD STE 203,ASHEVILLE,NC,8282981887,28803-1698,XING,CHEN,4,Y,1983,Chinese
85297,Google API (Q42022),GREAT WALL RESTAURANT,2330 WATT ST STE 6,SCHENECTADY,NY,5183770853,12304-3391,ZHAO,CHEN,4,Y,1983,Chinese
85298,Google API (Q42022),GREAT WALL RESTAURANT,401 MILLER RD,GREENVILLE,SC,8642886113,29607-5311,CHING YUAN,CHAO,4,Y,NA,Chinese
85299,Google API (Q42022),GREAT WALL RESTAURANT,6575-L FRONTIER DR,SPRINGFIELD,VA,7039711008,22150-1415,R H,CHEN,4,N,NA,Chinese
85300,Google API (Q42022),GREAT WALL RESTAURANT,162 HIGH ST,MORGANTOWN,WV,3042913417,26505-5413,CHENG GEN,ZOU,4,Y,NA,Chinese
85301,Google API (Q42022),GREAT WALL RESTAURANT,437 WASHINGTON ST,RAVENSWOOD,WV,3042732233,26164-1705,MEI,CHEN,4,Y,1983,Chinese
85302,Google API (Q42022),GREAT WALL RESTAURANT,112 WP MALONE DR STE A,ARKADELPHIA,AR,8702469800,71923-7314,YI D,HE,9,Y,1983,Chinese
85303,Google API (Q42022),Great Wall Restaurant,13303 W MAPLE ST STE 105,WICHITA,KS,3167219888,67235-8758,MISHANG,LIU,9,Y,NA,Chinese
85304,Google API (Q42022),GREAT WALL RESTAURANT,1812 S SENECA ST STE 410,WICHITA,KS,3162646868,67213-4102,LI,XINGUI,9,Y,NA,Chinese
85305,Google API (Q42022),GREAT WALL RESTAURANT,126 N BROAD ST,HILLSDALE,MI,5174391924,49242-1618,BEN,LI,9,Y,NA,Chinese
85306,Yelp Greendot (Q42022),GREAT WALL RESTAURANT,2305 S KANSAS RD STE 102,NEWTON,KS,3162836668,67114-9018,NA,NA,NA,NA,NA,Chinese
85307,Yelp Greendot (Q42022),GREAT WALL RESTAURANT,3390 S STATE ST STE 13,SOUTH SALT LAKE,UT,9179152686,84115-5183,NA,NA,NA,NA,NA,Chinese
85308,Yelp Greendot (Q42022),GREAT WALL RESTAURANT,4340 HIGHWAY 101 N,GEARHART,OR,5037384108,97138-4335,SIMON,LIN,8,Y,NA,Chinese
85309,Yelp Greendot (Q42022),GREAT WALL SUPER BUFFET,2405 VINE ST,HAYS,KS,7856288988,67601-2403,NA,NA,NA,NA,NA,Chinese
85310,Yelp Greendot (Q42022),GREAT WALL SUPER BUFFET,901 W PLANO PKWY,PLANO,TX,9725788887,75075-8937,SONYA,SOH,10,Y,NA,Chinese
85311,Yelp Greendot (Q42022),GREAT WALL SUPERMARKET,2982 GALLOWS RD,FALLS CHURCH,VA,7032083320,22042-1018,JAISON,IANA,4,Y,NA,Chinese
85312,Yelp Greendot (Q42022),GREAT WALL TAKE-OUT & EAT-IN,645 W MAIN ST STE B,DANVILLE,VA,4347931477,24541-4201,JIN,LIN,1,Y,NA,Chinese
85313,Yelp Greendot (Q42022),GREAT WALL TWO,1717 S STATE ROAD 57 STE H,WASHINGTON,IN,8122545588,47501-4179,QIN,GHENZ,8,Y,NA,Chinese
85314,Google API (Q42022),GREAT WOK,1554 MIRABEAU AVE,NEW ORLEANS,LA,5042832355,70122-1955,JIN Z,CHEN,4,Y,NA,Chinese
85315,Google API (Q42022),GREAT WOK,2035 E MARKET ST,HARRISONBURG,VA,5404427200,22801-8880,WAYNE,HUANG,4,Y,NA,Chinese
85316,Google API (Q42022),GREAT WOK OF CHINA,4635 FRAZEE RD STE D,OCEANSIDE,CA,760438939,92057-6153,CHU,LIU,9,Y,NA,Chinese
85317,Google API (Q42022),GREEN APPLE CHINA BISTRO,12265 VENTURA BLVD STE 112,STUDIO CITY,CA,818985888,91604-2531,PENG,ZHENG,49,N,NA,Chinese
85318,Google API (Q42022),Green Bamboo Noodle House,990 N GERMANTOWN PKWY STE 104,CORDOVA,TN,9017535488,38018-5800,RA,TRAN,9,Y,NA,Chinese
85319,Google API (Q42022),GREEN CHINA,9435 POPLAR AVE,GERMANTOWN,TN,9016245919,38138-8003,QI,CHEN RAN,4,Y,2005,Chinese
85320,Google API (Q42022),Green China Cafe,3105 PEACHTREE PKWY STE 107,SUWANEE,GA,7708880488,30024-1102,YONG S,DENG,9,N,NA,Chinese
85321,Yelp Greendot (Q42022),GREEN CHINA GRILL,4688 CONVOY ST STE 110,SAN DIEGO,CA,8582925555,92111-2316,QIJUAN,GU,6,Y,NA,Chinese
85322,Google API (Q42022),Green Emerald,1016 29TH ST SE,WATERTOWN,SD,6058823335,57201-9120,TONY,CHAO,9,N,NA,Chinese
85323,Google API (Q42022),GREEN GARDEN,1790 E HIGHWAY 50,CLERMONT,FL,3522432077,34711-2778,JIE,ZHANG,4,Y,2009,Chinese
85324,Google API (Q42022),GREEN GARDEN CHINESE RESTAURANT,1256 CHEROKEE RD,ALEX CITY,AL,2563292321,35010-3917,CHINTSAO,YEH,4,Y,1987,Chinese
85325,Yelp Greendot (Q42022),GREEN GOURMET,117 E BROADWAY AVE,FAIRFIELD,IA,6414722277,52556-3203,DEVINDRA,SINGH,8,Y,NA,Chinese
85326,Yelp Greendot (Q42022),GREEN HOUSE CHINESE RESTAURANT,699 LEWELLING BLVD STE 270,SAN LEANDRO,CA,5108951818,94579-1849,ALAN,WU,8,Y,NA,Chinese
85327,Google API (Q42022),GREEN LAKE CHINESE FOOD,141 RICHMOND ST,PAINESVILLE,OH,4403548008,44077-3254,LING,VHENG,9,N,NA,Chinese
85328,Yelp Greendot (Q42022),GREEN LEAF,842 COLLINS BLVD,COVINGTON,LA,9859002282,70433-2759,NA,NA,NA,NA,NA,Chinese
85329,Google API (Q42022),GREEN LOTUS RESTAURANT GA,1025 E WEST CONNECTOR STE 390,AUSTELL,GA,6782135688,30106-8525,HUAXIN,PAN,9,Y,NA,Chinese
85330,Yelp Greendot (Q42022),GREEN N WAVE,8555 SENECA TPKE,NEW HARTFORD,NY,3157242008,13413-4963,NA,NA,NA,NA,NA,Japanese
85331,Yelp Greendot (Q42022),GREEN PAGODA,7900 4TH ST N,ST PETERSBURG,FL,7278272133,33702-4302,NA,NA,NA,NA,NA,Japanese
85332,Yelp Greendot (Q42022),GREEN PAPAYA,175 FOUNTAINS WAY UNIT 7,JACKSONVILLE,FL,9047702532,32259-1142,NA,NA,2,Y,NA,Japanese
85333,Yelp Greendot (Q42022),GREEN PAPAYA,2942 WASSON RD,CINCINNATI,OH,5137310107,45209-2333,SAK,KERTPET,18,Y,NA,Japanese
85334,Yelp Greendot (Q42022),GREEN PAPAYA,4002 PLAINVILLE RD,CINCINNATI,OH,5132728424,45227-3243,NA,NA,7,Y,NA,Japanese
85335,Yelp Greendot (Q42022),GREEN PAPAYA THAI & SUSHI CUISINE,841 S PONCE DE LEON BLVD STE 10,ST AUGUSTINE,FL,9045168888,32084-6008,NA,NA,NA,NA,NA,Japanese
85336,Google API (Q42022),Green Tea,340 C B L DR STE 105,ST AUGUSTINE,FL,9048291838,32086-5186,LIN M,JIAO,4,Y,2006,Chinese
85337,Yelp Greendot (Q42022),GREEN TEA,11 BANGOR MALL BLVD,BANGOR,ME,2072625566,04401-3650,BI,CHEN,3,Y,NA,Chinese
85338,Yelp Greendot (Q42022),GREEN TEA,10059 SAN JOSE BLVD,JACKSONVILLE,FL,9042689338,32257-5835,GRIZELDA,MONTERO,5,Y,NA,Chinese
85339,Yelp Greendot (Q42022),GREEN TEA,1120 LARAMIE ST,MANHATTAN,KS,7855399888,66502-5312,SUSAN,SUN,7,Y,NA,Japanese
85340,Yelp Greendot (Q42022),GREEN TEA ASIAN FUSION RESTAURANT,511 BURROUGHS ST STE 106,MORGANTOWN,WV,3043812140,26505-3389,LI,CAI,7,Y,NA,Chinese
85341,Google API (Q42022),GREEN TEA BISTRO,1309 W GUADALUPE RD # 5-6,MESA,AZ,4808311319,85202-9112,TO YAT,YUEN,9,Y,NA,Chinese
85342,Yelp Greendot (Q42022),GREEN TEA BUFFET,2000 W GRANT AVE STE 7,PAULS VALLEY,OK,4052387887,73075-9234,LOANGHEN,CAO,8,Y,NA,Chinese
85343,Yelp Greendot (Q42022),GREEN TEA CHINESE RESTAURANT,3961 E CHANDLER BLVD STE 100,PHOENIX,AZ,4802755363,85048-0303,NA,NA,NA,NA,NA,Chinese
85344,Google API (Q42022),Green Tea Garden,8126 CALIFORNIA CITY BLVD,CALIF CITY,CA,NA,93505-2662,DEZHANG,YE,9,Y,NA,Chinese
85345,Google API (Q42022),GREEN TEA GARDEN,7236 S 76TH ST,FRANKLIN,WI,4144277200,53132-9041,SUE,LEUNG,9,N,NA,Chinese
85346,Yelp Greendot (Q42022),GREEN TEA HOUSE,3400 TEXAS SAGE TRL STE 116,FORT WORTH,TX,8177508888,76177-8604,HUI,LIANG,2,Y,NA,Chinese
85347,Google API (Q42022),GREEN TEA KITCHEN,602 SE 157TH AVE,VANCOUVER,WA,3608928989,98684-9619,JOE,LIN,9,N,NA,Chinese
85348,Google API (Q42022),GREEN TEA RESTAURANT,120 CENTER SQUARE RD STE 201,SWEDESBORO,NJ,8564670788,08085-1864,TINA,LIU,4,Y,NA,Chinese
85349,Yelp Greendot (Q42022),GREEN TEA RESTAURANT,1035 MAIN ST,STEVENS POINT,WI,7153452898,54481-2860,KEN,FUNG,10,Y,NA,Chinese
85350,Yelp Greendot (Q42022),GREENFISH,1992 LAFAYETTE ST,SANTA CLARA,CA,4089881411,95050-3976,NA,NA,8,Y,NA,Japanese
85351,Google API (Q42022),GREENTEA,384 HAVENDALE BLVD,AUBURNDALE,FL,8638755535,33823-4527,ZHENRONG,WU,9,Y,NA,Chinese
85352,Yelp Greendot (Q42022),GREENVIEW THAI,11870 SANTA MONICA BLVD STE 107,LOS ANGELES,CA,3105713229,90025-2282,PAUL,PHORNPITUCK,12,Y,NA,Chinese
85353,Yelp Greendot (Q42022),GREGS COOKOUT,1051 NW 14TH ST STE 125,MIAMI,FL,7869145980,33136-2111,NA,NA,NA,NA,NA,Cajun Seafood
85354,Yelp Greendot (Q42022),GRIFFIN'S LOUISIANA GRILLE - THIBODAUX,523 SAINT MARY ST,THIBODAUX,LA,9854462224,70301-2627,KIRK,GRIFFIN,1,N,NA,Cajun Seafood
85355,Yelp Greendot (Q42022),GRILL N CHOP,2401 E BASELINE RD STE 102,GILBERT,AZ,4806320977,85234-2469,NA,NA,NA,NA,NA,Japanese
85356,Yelp Greendot (Q42022),GRIO EXPRESS,4308 N STATE ROAD 7,LAUD LAKES,FL,7542041557,33319-4829,JAMES,SINEAS,10,Y,NA,Chinese
85357,Yelp Greendot (Q42022),GRIS-GRIS,1800 MAGAZINE ST,NEW ORLEANS,LA,5042720241,70130-5014,NA,NA,9,Y,NA,Cajun Seafood
85358,Yelp Greendot (Q42022),GROBAK SUSHI,3628 E BUTLER AVE,FRESNO,CA,5593550842,93702-4303,NA,NA,NA,NA,NA,Japanese
85359,Yelp Greendot (Q42022),GRUB & SCRUB,14228 MOUNT CARMEL RD,EUGENE,MO,5738329511,65032-2087,NA,NA,NA,NA,NA,Cajun Seafood
85360,Yelp Greendot (Q42022),GRUMPY CAFE,66 DORMAN AVE,SAN FRANCISCO,CA,4152852461,94124-1807,NA,NA,7,Y,NA,Japanese
85361,Yelp Greendot (Q42022),GRUMPY GATOR,1111 E HERNDON AVE STE 107,FRESNO,CA,5594929328,93720-3100,NA,NA,NA,NA,NA,Cajun Seafood
85362,Yelp Greendot (Q42022),GRUMPY'S BAR B QUE ROADHOUSE,3000 MAUCH CHUNK RD,ALLENTOWN,PA,6107694600,18104-9752,SHERI,GRIMM,19,Y,NA,Cajun Seafood
85363,Yelp Greendot (Q42022),GTS ON THE BAY,26189 CANAL RD,ORANGE BEACH,AL,2519808400,36561,NA,NA,NA,NA,NA,Cajun Seafood
85364,Yelp Greendot (Q42022),GUAMUCHILITO TOWN,300 S HIGHLAND SPRINGS AVE STE 2B,BANNING,CA,9518453022,92220-6503,NA,NA,8,Y,NA,Japanese
85365,Google API (Q42022),Guang Zhou Chinese Restaurant,1214 N WESTOVER BLVD,ALBANY,GA,2294358400,31707-6601,LUYING,MA,9,Y,NA,Chinese
85366,Yelp Greendot (Q42022),GUDONG HOT POT,1212 N ATHERTON ST STE 105,STATE COLLEGE,PA,8149549787,16803-2928,NA,NA,NA,NA,NA,Chinese
85367,Yelp Greendot (Q42022),GUGU ASIAN TABLE,938 E BALTIMORE PIKE,KENNETT SQUARE,PA,6103881062,19348-1800,NA,NA,NA,NA,NA,Japanese
85368,Yelp Greendot (Q42022),GUILLORY'S FOOD STORE,8317 E SAINT BERNARD HWY,SAINT BERNARD,LA,5046822906,70085-5526,LAURA,GUILLORY,5,Y,NA,Cajun Seafood
85369,Yelp Greendot (Q42022),GUJO RAMEN,4708 NW BETHANY BLVD STE E6,PORTLAND,OR,5034669968,97229-9258,NA,NA,NA,NA,NA,Japanese
85370,Yelp Greendot (Q42022),GULF COAST CONNECTION SEAFOOD MARKET,321 S MULBERRY ST,ELIZABETHTOWN,KY,2709004134,42701-1402,NA,NA,4,Y,NA,Cajun Seafood
85371,Yelp Greendot (Q42022),GULF FRESH SEAFOOD,931 MISSOURI AVE,SAINT ROBERT,MO,5734521588,65584-4638,NA,NA,NA,NA,NA,Cajun Seafood
85372,Yelp Greendot (Q42022),GULF SHORES FOOD TRUCK,12528 OLIVE BLVD,CREVE COEUR,MO,3025452035,63141-6294,NA,NA,NA,NA,NA,Cajun Seafood
85373,Yelp Greendot (Q42022),GULF SHORES RESTAURANT & GRILL,12528 OLIVE BLVD STE A,CREVE COEUR,MO,3148783306,63141-6365,HARRY,PARKER,3,Y,NA,Cajun Seafood
85374,Yelp Greendot (Q42022),GUM KUO,3720 FALLON RD,DUBLIN,CA,9259998627,94568-7400,NA,NA,9,Y,NA,Chinese
85375,Yelp Greendot (Q42022),GUMBEAUX'S CAJUN CAFE,12403 VETERANS MEMORIAL HWY,DOUGLASVILLE,GA,7709478288,30134-2025,DOROTHY,REGAN,15,Y,NA,Cajun Seafood
85376,Yelp Greendot (Q42022),GUMBO GIRL,900 E COUNTY LINE RD STE 107,RIDGELAND,MS,6017900486,39157-1922,NA,NA,NA,NA,NA,Cajun Seafood
85377,Yelp Greendot (Q42022),GUMBO JEAUX'S,15655 JOHN F KENNEDY BLVD STE Q,HOUSTON,TX,2812277138,77032-2313,CHRIS,URDAHL,7,Y,NA,Cajun Seafood
85378,Yelp Greendot (Q42022),GUMBO JEAUX'S,14185 NORTHWEST FWY,HOUSTON,TX,8325380481,77040-5013,GREG,WICKLIFF,5,Y,NA,Cajun Seafood
85379,Yelp Greendot (Q42022),GUMBO LOV SOULFUL CAJUN FOOD,2424 HIGHWAY 6,GRAND JUNCTION,CO,3185840260,81505,NA,NA,NA,NA,NA,Cajun Seafood
85380,Yelp Greendot (Q42022),GUMBO MAMA,4529 OLD SPANISH TRL,HOUSTON,TX,2817400825,77021-1652,NA,NA,NA,NA,NA,Cajun Seafood
85381,Yelp Greendot (Q42022),GUMBO POT,"3903 EISENHAUER RD, EISENHOWER FLEA MARKET",SAN ANTONIO,TX,8303919208,78218-3466,NA,NA,NA,NA,NA,Cajun Seafood
85382,Yelp Greendot (Q42022),GUMBO SHOP,630 SAINT PETER ST,NEW ORLEANS,LA,5045251486,70116-3294,MARGO,DUBOS,50,N,NA,Cajun Seafood
85383,Yelp Greendot (Q42022),GUMBO SPOT,6720 OLD CANTON RD,RIDGELAND,MS,6017245118,39157-1225,NA,NA,NA,NA,NA,Cajun Seafood
85384,Yelp Greendot (Q42022),GUMBO TO GEAUX,4100 BARKSDALE BLVD STE 112,BOSSIER CITY,LA,3187411901,71112-3900,KEVIN,ACOCK,10,Y,NA,Cajun Seafood
85385,Yelp Greendot (Q42022),GUMBO TWIST,5007 N HIATUS RD,SUNRISE,FL,9546480449,33351-8018,MARIE,COLAS,3,Y,NA,Cajun Seafood
85386,Yelp Greendot (Q42022),GUMBO YA-YA,600 DECATUR ST,NEW ORLEANS,LA,5042918600,70130-1002,RENATA,ZARPARDO,2,N,NA,Cajun Seafood
85387,Yelp Greendot (Q42022),GUNCO RAMEN,305 PALOMAR ST,CHULA VISTA,CA,6194260592,91911-3110,NA,NA,NA,NA,NA,Japanese
85388,Yelp Greendot (Q42022),GUOGÇÖS RESTAURANT,8329 BROADWAY,ELMHURST,NY,7182716500,11373-5742,NA,NA,NA,NA,NA,Chinese
85389,Yelp Greendot (Q42022),GUSHIYA SUSHI & RAMEN,1585 SEPULVEDA BLVD STE D,TORRANCE,CA,3105392711,90501-5156,NA,NA,NA,NA,NA,Japanese
85390,Yelp Greendot (Q42022),GYEONGHOERU KOREAN,1355 16TH ST,FORT LEE,NJ,2012246600,07024-2033,NA,NA,8,Y,NA,Chinese
85391,Yelp Greendot (Q42022),GYPSEA CREPES,7012 THOMAS DR,PANAMA CITY BEACH,FL,8505887531,32408-6126,OKATO,NAKAMURA,7,Y,NA,Japanese
85392,Yelp Greendot (Q42022),GYRO KING,6219 SAN JUAN AVE,JACKSONVILLE,FL,9049901992,32210-2816,NA,NA,NA,NA,NA,Cajun Seafood
