Snowball Map,Mapping Correction,Name,Business Type,Amenities,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,URL,Established,Estimated Employees,Phone,Contact Count,Most Common Email,Vitality Score,Reputation Score,Cuisines (Regional),Price Range,Website Technology Vendors,Ordering Solutions
60242,47828,Canton,Restaurant,Groups; Wheelchair Accessible; Table Service; TV; Seating; Reservations; High Chairs; Debit Cards; Takeout,6 Commerce St,Deer Lake,NL,A8A 1E6,Canada,Richard,Yu,Proprietor,Owner,,,,,,(709) 635-8118,1,deerlakecanton@gmail.com,21,76,Chinese,$,,
60241,48002,Magic Wok,Restaurant,Seating; Groups; Dine-in; Takeout,421 Lahave St,Bridgewater,NS,B4V 3A2,Canada,Michelle,Lai,President and Member of the Board of Directors,Owner,,,southshorecentre.com,,,(902) 543-0920,2,,83,76,Singaporean; Chinese,$,Dayforce,
60240,55161,Yunshang Rice Noodle(UBC),Restaurant,Reservations; Delivery; Online Ordering; Debit Cards; Dine-in; Takeout,5728 University Blvd,Vancouver,BC,V6T 1K6,Canada,,,,,,,,,,(604) 558-3816,0,,9,86,Chinese,$,Uber Eats,
60239,50641,Hot wok Chinese restaurant,Restaurant,Delivery; Online Ordering; Takeout,461 Guelph Line,Burlington,ON,L7R 3L8,Canada,,,,,,,,,,(905) 633-7788,0,,2,90,Chinese,,DoorDash,
60238,52534,Izakaya Edokko,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Parking; Online Ordering; TV; Bike Parking; Reservations; Debit Cards; Delivery; Takeout,190 Smith St,Winnipeg,MB,R3C 1J8,Canada,,,,,,,,,,(204) 615-5556,0,,9,89,Japanese,$$,,
60237,53972,Hong Sheng,Restaurant,Seating; Wheelchair Accessible; Table Service; Debit Cards; Takeout,72 2nd Ave S,Williams Lake,BC,V2G 1H6,Canada,,,,,,,,,,(250) 398-6888,0,,15,58,Chinese,$$,,
60236,50484,A La Kitchen,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Online Ordering; Seating; Reservations; Delivery; Catering; High Chairs; Debit Cards; Dine-in; Takeout,11 Fairburn Dr,Markham,ON,L6G 0A4,Canada,,,,,,,alakitchenshanghai.com,,,(905) 946-7990,0,,28,77,Chinese,$,Google Analytics; Skip the Dishes; Uber Eats,
60235,47956,ILBUNJI BISTRO,Restaurant,Wi-Fi; Wheelchair Accessible; Online Ordering; Seating; Reservations; Delivery; Catering; Debit Cards; Dine-in; Takeout,7071 Bayers Rd,Halifax,NS,B3L 2C2,Canada,,,,,,,ilbunji-bistro.com,,,(902) 484-8074,0,,22,94,Korean; Japanese,$,DI develop; Skip the Dishes; Uber Eats,DI develop
60234,55712,Turkish Delights,Restaurant,Delivery; Online Ordering; Takeout,3147 Douglas St,Victoria,BC,V8Z 3K3,Canada,,,,,,,,,,(250) 813-2096,0,,9,,Chinese,,,
60233,,WA! CURRY,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Parking; Online Ordering; TV; Bike Parking; Delivery; Catering; Debit Cards; Takeout,622 W Pender St,Vancouver,BC,V6B 1V8,Canada,,,,,,,http://wacurry.com,,,(604) 336-5563,0,,36,,Japanese,$$,Google Analytics; Square; Squarespace; Uber Eats,Square
60232,51648,Sichuan Garden Restaurant,Restaurant,Groups; Table Service; Online Ordering; Seating; Reservations; Delivery; Debit Cards; Dine-in; Takeout,359 Spadina Ave,Toronto,ON,M5T 2G3,Canada,Shixiang,Zhang,Proprietor,Owner,,,sichuangardentoronto.com,,,(416) 593-6265,1,,47,75,Chinese,$,The NAI; Uber Eats,
60231,51808,InJapan,Restaurant,Groups; Wi-Fi; Parking; Online Ordering; Bike Parking; Delivery; Catering; Debit Cards; Outdoor Seating; Takeout,124 Atlantic Ave,Toronto,ON,M6K 1X9,Canada,Alberto,Zaccheroni,General Manager,Operations,,,http://www.injapan.ca,,,(416) 516-4648,1,,72,90,Japanese,$$,DoorDash; Ritual; Wix Restaurants,Wix Restaurants
60230,53621,Golden Taste Restaurant,Restaurant,Groups; Wheelchair Accessible; Online Ordering; TV; Seating; Reservations; Delivery; Catering; High Chairs; Debit Cards; Dine-in; Takeout,2940 Ellwood Dr SW,Edmonton,AB,T6X 0A9,Canada,,,,,,,goldentasterestaurant.ca,,,(780) 430-6380,0,,39,76,Chinese,$$,Skip the Dishes; Squarespace,
60229,54766,Tasty Wok,Restaurant; Quick Service,Groups; Wheelchair Accessible; Online Ordering; TV; Delivery; Curbside Pickup; Fast Service; Catering; Debit Cards; Takeout,7180 Kerr St,Vancouver,BC,V5S 4W2,Canada,,,,,,,,,,(604) 327-7720,0,,18,57,Chinese,$,Skip the Dishes,
60228,50243,Dragon Wok,Restaurant,Delivery; Wheelchair Accessible; Online Ordering; Takeout,221 Cundles Rd E,Barrie,ON,L4M 6L5,Canada,,,,,,,dragonwokbarrie.com,,,(705) 733-2888,0,,49,85,Chinese,$,DoorDash; Google Analytics; Skip the Dishes; Uber Eats; WooCommerce,
60227,52197,Roll Roll,Restaurant,Reservations; Wi-Fi; Wheelchair Accessible; Curbside Pickup; Catering; Debit Cards; Takeout,162 Wortley Rd,London,ON,N6C 3P7,Canada,,,,,,,https://roll-roll-sushi-restaurant.business.site,,,(416) 806-5920,0,,47,98,Japanese,$$,,
60226,49936,Win's Seafood Restaurant (Jiao Tong Tian Hai Xian Jiu Jia ),Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; TV; Seating; Bike Parking; Reservations; High Chairs; Debit Cards; Dine-in; Delivery; Takeout,50 Lockridge Ave,Markham,ON,L3R 8X4,Canada,Ian,Buckley,General Manager,Operations,,,lechampagne.ca,,,(905) 305-6634,1,,54,73,Chinese,$$,,
60225,54782,Sun Bo Kong Vegetarian Restaurant,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Gift Cards; Table Service; Seating; Reservations; Bike Parking; Delivery; Parking; Online Ordering; Fresh Ingredients; TV; Contactless Delivery; High Chairs; Debit Cards; Dine-in; Takeout,1363 Kingsway,Vancouver,BC,V5V 3E3,Canada,,,,,2016sunbokong@gmail.com,,sunbokong.com,,,(604) 255-8927,0,2016sunbokong@gmail.com,56,92,Korean; Chinese,$$,DoorDash; Skip the Dishes; Squarespace; Uber Eats,
60224,53290,Airdrie Wok,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; TV; Seating; Bike Parking; Reservations; Catering; High Chairs; Debit Cards; Dine-in; Delivery; Takeout,121 Main St SE,Airdrie,AB,T4B 0P8,Canada,,,,,,,airdrie-wok.business.site,,,(403) 948-3003,0,,53,78,Chinese,$,,
60223,52998,Chef Tian Restaurant,Restaurant,Reservations; Online Ordering; Delivery; Takeout,1713 Centre St N,Calgary,AB,T2E 2S3,Canada,,,,,,,https://cheftianrestaurantab.com,,,(403) 719-9888,0,,30,80,Chinese,,DI develop,DI develop
60222,54092,Noma Sushi Japanese Restaurant,Restaurant; Quick Service,Groups; Wheelchair Accessible; Table Service; Online Ordering; TV; Fresh Ingredients; Seating; Bike Parking; Delivery; Fast Service; High Chairs; Debit Cards; Dine-in; Outdoor Seating; Takeout,20678 Willoughby Town Centre Dr,Langley,BC,V2Y 0L7,Canada,Noma,Sibanda,General Manager,Operations,,,,,,(604) 371-2277,1,,17,86,Japanese; Chinese,$$,Skip the Dishes,
60221,49001,Le Satori Sushi,Restaurant; Quick Service; Drinking Place,Groups; Wi-Fi; Wheelchair Accessible; Gift Cards; Table Service; Seating; Reservations; Delivery; Parking; Online Ordering; Fresh Ingredients; Fast Service; Catering; High Chairs; Debit Cards; Dine-in; Takeout,290 Boulevard St-Luc,St-Jean-sur-Richelieu,QC,J2W 2A3,Canada,Thyda,Ouy,Vice President and Secretary and Member of the Board of Directors,Finance,,,lesatorisushi.com,1998,,(450) 741-4228,2,marketing@groupesatori.com,46,90,Japanese,$$,DoorDash; Google Analytics; IShopFood; Squarespace,IShopFood
60220,51242,Mr.Luo Rice Noodle House (York University) Luo Guan Zhong Mi Fen Yue Ke Da Xue Dian,Restaurant,Delivery; Online Ordering; Dine-in; Takeout,4205 Keele St,Toronto,ON,M3J 3T8,Canada,,,,,,,,,,(416) 551-8558,0,,8,91,Chinese,$,Skip the Dishes; Uber Eats,
60219,53632,Oriental Express,Restaurant,Groups; Wheelchair Accessible; Online Ordering; Fresh Ingredients; Seating; Reservations; High Chairs; Debit Cards; Dine-in; Delivery; Takeout,5048 50 Ave,Drayton Valley,AB,T7A 1J7,Canada,,,,,,,dvorientalexpress.com,,,(780) 542-3070,0,,78,82,Chinese,$$,Wix Restaurants,Wix Restaurants
60218,48270,Akita,Restaurant,Groups; Wheelchair Accessible; Table Service; Parking; Online Ordering; Seating; Reservations; Delivery; Catering; High Chairs; Debit Cards; Dine-in; Takeout,6985 Rue Jarry E,Montréal,QC,H1P 3B5,Canada,,,,,,,,,,(514) 324-3535,0,,25,83,Japanese,$$,Uber Eats,
60217,48007,Lotus Garden Restaurant,Restaurant,Groups; Wheelchair Accessible; Table Service; Seating; Reservations; High Chairs; Debit Cards; Dine-in; Takeout,31 Broadway St S,Kensington,PE,C0B 1M0,Canada,Chuck,Woo,Partner,Owner,,,,,,(902) 836-5055,2,,24,84,Chinese,$$,,
60216,53842,Garden Sushi,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Gift Cards; Table Service; Parking; Online Ordering; Seating; Reservations; High Chairs; Debit Cards; Dine-in; Delivery; Takeout,4025 Walters St,Merritt,BC,V1K 1K1,Canada,,,,,,,merrittgardensushi.com,,,(250) 378-5504,0,,72,82,Japanese,$$,Wix Restaurants,Wix Restaurants
60215,50342,Wok To Go,Restaurant,Groups; Delivery; Takeout,896 Burnhamthorpe Rd W,Mississauga,ON,L5C 2S3,Canada,Jason,Calderone,Proprietor,Owner,,,http://www.woktogoexpress.ca,,,(905) 897-1688,1,,33,46,Chinese,,,
60214,49862,Zen Japanese Restaurant,Restaurant,Groups; Counter Seating; Wheelchair Accessible; Gift Cards; Table Service; Parking; Online Ordering; Non-Smoking; Seating; Reservations; Debit Cards; Dine-in; Delivery; Takeout,7634 Woodbine Ave,Markham,ON,L3R 2N2,Canada,,,,,info@zenjapaneserestaurant.com,,zenjapaneserestaurant.com,,,(905) 604-7211,0,info@zenjapaneserestaurant.com,82,87,Japanese,$$$$,DoorDash Storefront; FoodBooking; Google Analytics; MailChimp,DoorDash Storefront; FoodBooking
60213,47981,Fung Lum restaurant,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Online Ordering; Seating; Reservations; Delivery; Catering; High Chairs; Debit Cards; Dine-in; Takeout,1658 Bedford Hwy,Halifax,NS,B4A 2X9,Canada,,,,,funglum168@yahoo.com,,funglumrestaurant.ca,,,(902) 832-3030,0,funglum168@yahoo.com,39,79,American; Chinese,$$,DoorDash; Skip the Dishes; Uber Eats,
60212,53645,Bing's #1,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Seating; Reservations; Curbside Pickup; Online Ordering; TV; Contactless Delivery; High Chairs; Catering; Debit Cards; Dine-in; Delivery; Takeout,5005 50th St,Stony Plain,AB,T7Z 1T3,Canada,William,Choy,President,General,,,bings1.com,,,(780) 963-2609,1,,61,79,Chinese,$$,Wix Restaurants,Wix Restaurants
60211,54103,Sushi Avenue,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Online Ordering; Seating; Reservations; Delivery; High Chairs; Debit Cards; Dine-in; Takeout,8590 200 St,Langley,BC,V2Y 2B9,Canada,Alex,Kim,Proprietor,Owner,,,sushiavenue.ca,,,(604) 888-5123,1,sushiavenueca@gmail.com,67,94,Japanese,$$,DoorDash,
60210,54449,Hanaya Japanese Restaurant,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Seating; Reservations; Bike Parking; Delivery; Online Ordering; Fresh Ingredients; TV; Contactless Delivery; High Chairs; Debit Cards; Dine-in; Takeout,2828 152 St,Surrey,BC,V4P 1G6,Canada,Dae,Park,Proprietor,Owner,,,hanayasushi.com,2004,,(604) 542-6311,2,,59,93,Korean; Japanese,$$,DoorDash; FoodBooking; Skip the Dishes; Uber Eats; Wix Restaurants,FoodBooking; Wix Restaurants
60209,53408,Mt Fuji Teppanyaki Japan Ltd,Restaurant,Wheelchair Accessible; Debit Cards; Dine-in; Takeout,10025 Jasper Ave NW,Edmonton,AB,T5J 1S6,Canada,,,,,,,mtfuji.ca,,,(780) 420-6769,0,restaurant@mtfuji.ca,51,80,Japanese,,Google Analytics,
60208,,Otto Yakitori Izakaya,Restaurant,Groups; Table Service; Online Ordering; TV; Seating; Reservations; Bike Parking; Delivery; Contactless Delivery; High Chairs; Debit Cards; Dine-in; Outdoor Seating; Takeout,1441 Rue St-Mathieu,Montréal,QC,H3H 2M4,Canada,,,,,,,,,,(514) 507-8886,0,,20,88,Japanese,$$,Uber Eats,
60207,52879,The Roll,Restaurant,Groups; Table Service; Takeout,1102 HWY-9 S,Drumheller,AB,T0J 0Y0,Canada,,,,,,,,,,(403) 823-2151,0,,10,86,Korean; Japanese,$$,,
60206,51670,T Wok Restaurant,Restaurant,Groups; Wi-Fi; Table Service; Parking; Online Ordering; Seating; Bike Parking; Reservations; Delivery; Catering; Debit Cards; Takeout,440 Spadina Ave,Toronto,ON,M5T 2G8,Canada,,,,,twokrestaurant@gmail.com,,,,,(416) 968-9888,0,twokrestaurant@gmail.com,19,89,Chinese,,Ritual,
60205,55274,Grains Fish Noodle,Restaurant,Delivery; Online Ordering; Takeout,5300 No 3 Rd,Richmond,BC,V6X 2X9,Canada,,,,,,,http://grainsfishnoodle.ca,,,(604) 370-9292,0,,34,55,Chinese,,Skip the Dishes,
60204,53217,Saigon Rex,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Online Ordering; TV; Seating; Reservations; Delivery; Curbside Pickup; Catering; High Chairs; Dine-in; Takeout,5149 Country Hills Blvd NW,Calgary,AB,T3A 5K8,Canada,Terence,Lam,Principal,Owner,,,saigonrex.ca,,,(403) 830-7338,1,saigonrex@yahoo.ca,64,92,Chinese,$$,DoorDash; GlobalFood; Oracle GloriaFood; Skip the Dishes; Uber Eats,GlobalFood; Oracle GloriaFood
60203,50156,Yamato Sushi,Restaurant,Wi-Fi; Wheelchair Accessible; Online Ordering; TV; Delivery; Contactless Delivery; Catering; Debit Cards; Takeout,15955 Bayview Ave,Aurora,ON,L4G 0S3,Canada,,,,,,,yamatosushi.ca,2017,,(289) 552-4224,0,info@yamatosushi.ca,72,87,Korean; Japanese,$$,Skip the Dishes,
60202,53169,Arirang hotdog,Restaurant,Groups; Delivery; Online Ordering; Takeout,614 17 Ave SW,Calgary,AB,T2S 0B4,Canada,,,,,,,,,,(403) 452-8998,0,,7,,Korean; Japanese,,Uber Eats,
60201,55487,Kuroki Kaiseki Omakase Kitchen,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Parking; Eco-friendly Tableware; TV; Seating; Bike Parking; Reservations; Catering; Debit Cards; Dine-in; Takeout,3880 Chatham St,Richmond,BC,V7E 2Z5,Canada,Kuroki,R,,,,,kuroki-kitchen.business.site,2018,,(604) 616-1323,1,,61,92,Japanese,$$,,
60200,50567,Flower Garden Restaurant,Restaurant,Groups; Catering; Debit Cards; Delivery; Takeout,10 Flowertown Ave,Brampton,ON,L6X 2J9,Canada,Yi,Su,Proprietor,Owner,,,,,,(905) 456-7788,1,,7,14,Caribbean; Chinese,$,,
60199,49999,Colborne Chinese Buffet,Restaurant,Groups; Wheelchair Accessible; Seating; Reservations; Curbside Pickup; High Chairs; Debit Cards; Dine-in; Delivery; Takeout,72 Colborne St W,Orillia,ON,L3V 2Y7,Canada,,,,,,,,,,(705) 259-8883,0,,25,90,Chinese,$$,,
60198,51481,Mogouyan Hand Pulled Noodle Mo Gou Yan Lao Zi Hao Lan Zhou Niu Rou Mian,Restaurant,Groups; Table Service; Online Ordering; Fresh Ingredients; Reservations; Delivery; Contactless Delivery; Debit Cards; Dine-in; Takeout,124 Dundas St W,Toronto,ON,M5G 1C3,Canada,,,,,,,mogouyannoodles.com,,,(416) 823-6931,0,,40,90,Chinese,$,DoorDash; Ritual; Skip the Dishes; Snappy; Uber Eats,Snappy
60197,48394,Sushi ville,Restaurant,Groups; Online Ordering; TV; Reservations; Debit Cards; Dine-in; Delivery; Takeout,9100 Rue Lajeunesse,Montréal,QC,H2M 1S2,Canada,,,,,,,sushiville.ca,,,(514) 388-5920,0,,67,96,Japanese,$$,Atomic Kitchens; Google Analytics; TastyBoom,TastyBoom
60196,55300,Kanae Yakiniku,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Online Ordering; TV; Seating; Reservations; Delivery; Catering; High Chairs; Debit Cards; Dine-in; Takeout,4231 Hazelbridge Way,Richmond,BC,V6X 3L7,Canada,,,,,info@kanaeyakiniku.com,,kanaeyakiniku.com,,,(236) 990-0099,0,info@kanaeyakiniku.com,25,82,Japanese,$,DoorDash; Uber Eats; Wix Restaurants,Wix Restaurants
60195,52222,Vietnam Taste,Restaurant,Groups; Wheelchair Accessible; Table Service; Online Ordering; TV; Seating; Reservations; Delivery; Debit Cards; Dine-in; Takeout,666 Wonderland Rd N,London,ON,N6H 4K9,Canada,,,,,,,vietnamcuisinelondon.ca,,,(519) 471-0068,0,,29,71,Vietnamese; Chinese,$$,Skip the Dishes; Uber Eats,
60194,,Poke Poki-Ste-Catherine,Restaurant; Ice Cream Shop,Groups; Delivery; Online Ordering; Debit Cards; Dine-in; Takeout,1580 Boulevard des Écluses,Ste-Catherine,QC,J5C 2B4,Canada,,,,,,,pokepokisushi.com,,,(450) 632-1111,0,,29,93,Japanese,$$,DoorDash; Google Analytics; Menusifu; Skip the Dishes; Uber Eats; WooCommerce,Menusifu
60193,54941,Yopo Cafe,Restaurant,Bike Parking; Wi-Fi; Parking; Debit Cards; Dine-in; Delivery; Takeout,1122 Homer St,Vancouver,BC,V6B 2X6,Canada,,,,,,,yopocafe.com,2004,,(604) 609-9676,0,,34,68,Chinese,$,,
60192,55478,Sushi Han,Restaurant,Groups; Wheelchair Accessible; Table Service; Online Ordering; Seating; Reservations; Delivery; Contactless Delivery; High Chairs; Debit Cards; Dine-in; Takeout,8180 No 2 Rd,Richmond,BC,V7C 5K1,Canada,,,,,,,sushihan.ca,,,(604) 271-1117,0,,25,84,Japanese,$$,DoorDash; DoorDash Storefront; Qooway; Uber Eats,DoorDash Storefront; Qooway
60191,51638,Rol San Restaurant,Restaurant; Quick Service,Groups; Wheelchair Accessible; Table Service; Online Ordering; TV; Seating; Bike Parking; Delivery; Fast Service; High Chairs; Debit Cards; Dine-in; Takeout,388 Spadina Ave,Toronto,ON,M5T 2G5,Canada,,,,,,,,,,(416) 977-1128,0,,25,81,Chinese,$,Skip the Dishes; Uber Eats,
60190,54255,Woomi Sushi,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Online Ordering; Bike Parking; Delivery; Fast Service; Dine-in; Takeout,800 McBride Blvd,New Westminster,BC,V3L 2B8,Canada,Katie,Laporte,Proprietor,Owner,,,,,,(604) 521-3199,1,,19,93,Japanese,$,DoorDash; Skip the Dishes; Uber Eats,
60189,53666,Jade Village Restaurant Ltd,Restaurant; Drinking Place,Groups; Wheelchair Accessible; Table Service; Online Ordering; TV; Seating; Reservations; Delivery; High Chairs; Dine-in; Takeout,140 St Albert Trl,St Albert,AB,T8N 7C8,Canada,,,,,,,jadevillage.ca,,,(780) 459-8899,0,,33,77,Canadian; Chinese,$,DoorDash; Google Analytics; Skip the Dishes,
60188,53427,Jojo's Wings,Restaurant,Delivery; Online Ordering; Takeout,11729 Jasper Ave NW,Edmonton,AB,T5K 0N4,Canada,,,,,,,,,,(780) 244-6456,0,,14,,Canadian; American; Chinese,,Skip the Dishes,
60187,48959,Restaurant Imperial (Pointe-Claire),Restaurant,Groups; Wheelchair Accessible; Online Ordering; Seating; Reservations; Delivery; Catering; Debit Cards; Dine-in; Takeout,2315 Trans Canada Hwy,Pointe-Claire,QC,H9R 5Z5,Canada,,,,,info@imperialmontreal.com,,imperialmontreal.com,,,(514) 319-1670,0,info@imperialmontreal.com,83,92,Chinese,$$,DoorDash; Facebook Pixel; Google Analytics; SinglePlatform; Skip the Dishes; UEAT; WooCommerce; Yelp Waitlist,UEAT
60186,52211,J Kitchen Ju Xiang Guo,Restaurant,Delivery; Online Ordering; Debit Cards; Dine-in; Takeout,1225 Wonderland Rd N,London,ON,N6G 2V9,Canada,,,,,,,,,,(519) 266-6629,0,,16,85,Chinese,,Skip the Dishes,
60185,52465,Good Fortune Restaurant,Restaurant,Groups; Debit Cards; Dine-in; TV; Delivery; Takeout,1100 Concordia Ave,Winnipeg,MB,R2K 4B8,Canada,Yim,Wong,Proprietor,Owner,,,,,,(204) 667-3447,1,,26,78,Chinese,$,,
60184,52678,New New Chop Suey House,Restaurant,Seating; Groups; High Chairs; Debit Cards; Dine-in; Takeout,123 Mountain St,Strasbourg,SK,S0G 4V0,Canada,L. I.,Run,Proprietor,Owner,,,,,,(306) 725-2022,1,,17,84,Chinese,$,,
60183,,Bien Manger restaurant,Restaurant,Seating; Delivery; Online Ordering; Debit Cards; Dine-in; Takeout,117 Boulevard Gréber,Gatineau,QC,J8T 3P9,Canada,,,,,,,,,,(819) 259-0131,0,,9,98,Creole; Caribbean; Cajun,,Skip the Dishes; Uber Eats,
60182,49840,Ba Ben Baben Sushi,Restaurant,Delivery; Contactless Delivery; Curbside Pickup; Online Ordering; Takeout,170 Esna Park Dr,Markham,ON,L3R 1E3,Canada,,,,,,,babensushi.com,,,(647) 496-1588,0,,28,89,Japanese,,Skip the Dishes,
60181,47910,Tasty Kitchen,Restaurant,Delivery; Contactless Delivery; Online Ordering; Debit Cards; Dine-in; Takeout,1222 Henry St,Halifax,NS,B3H 3J4,Canada,,,,,,,,,,(902) 434-6789,0,,16,94,Chinese,,Uber Eats,
60180,53696,Panda Hut's Mongolia Express,Restaurant,Groups; Delivery; Wheelchair Accessible; Drive-Thru; Catering; Online Ordering; Takeout,6100 50 St,Leduc,AB,T9E 7L2,Canada,Victor H.,Ho,Member of the Board of Directors,Owner,,,http://pandahutleduc.ca,,,(780) 986-0191,2,info@pandahutleduc.ca,39,76,Vietnamese; Chinese,$,Skip the Dishes; WooCommerce,
60179,52426,Kings Lodge Chinese Restaurant,Restaurant,Groups; Dine-in; Takeout,379 Main St,Grandview,MB,R0L 0Y0,Canada,,,,,,,,,,(204) 546-2619,0,,10,83,Chinese,,,
60178,51959,Erlind's Restaurant,Restaurant,Groups; Wheelchair Accessible; Catering; Debit Cards; Dine-in; Takeout,1721 Chiefswood Rd,Brant,ON,N0A 1M0,Canada,Michelle,Davy,Partner,Owner,,,erlindsrestaurant.ca,,,(519) 445-4520,1,,54,75,Chinese,$,Google Analytics,
60177,,UME Table Japonaise,Restaurant,Counter Seating; Online Ordering; Seating; Reservations; Curbside Pickup; Debit Cards; Dine-in; Outdoor Seating; Delivery; Takeout,6522 Boulevard St-Laurent,Montréal,QC,H2S 3C6,Canada,,,,,,,https://umetablejaponaise.ca,,,(514) 277-0606,0,,71,89,Japanese,$$$,,
60176,54036,Dragon Fort,Restaurant; Quick Service,Groups; Wheelchair Accessible; Table Service; Parking; Online Ordering; TV; Seating; Reservations; Delivery; Fast Service; High Chairs; Debit Cards; Dine-in; Takeout,2421 Pauline St,Abbotsford,BC,V2S 3R9,Canada,Henry,Tam,Secretary and Member of the Board of Directors,Finance,,,m.dragonfortchinesefood.com,,,(604) 852-6891,2,dragonfort2020@gmail.com,29,83,Indian; American; Chinese,$$,DoorDash; Google Analytics; PayPal; Skip the Dishes; Uber Eats,
60175,50742,Empress Wok Chinese restaurant,Restaurant,Groups; Wheelchair Accessible; Table Service; Parking; Online Ordering; Fresh Ingredients; Bike Parking; Delivery; Dine-in; Takeout,101 Osler Dr,Hamilton,ON,L9H 4H4,Canada,,,,,empresswokchinese@gmail.com,,empresswokchinese.com,,,(905) 627-9300,0,empresswokchinese@gmail.com,49,66,Chinese; Thai,$,Hippos; Skip the Dishes; Uber Eats,Hippos
60174,,Bel Coq Casse Croute,Restaurant,Groups; Wi-Fi; Table Service; TV; Takeout,10449 Boulevard Gouin O,Montréal,QC,H8Y 1W9,Canada,,,,,,,,,,(514) 542-0704,0,,15,81,Creole; Haitian; Caribbean; Cajun,$,,
60173,48766,Sushi Taxi (6710 rue St-Jacques),Restaurant,Delivery; Online Ordering; Takeout,6710 Rue St-Jacques,Montréal,QC,H4B 1V8,Canada,,,,,,,,,,(514) 486-8738,0,,9,,Japanese,$,Uber Eats,
60172,55299,Lido Restaurant,Cafe; Restaurant,Seating; Groups; Table Service; Dine-in; TV; Delivery; Takeout,4231 Hazelbridge Way,Richmond,BC,V6X 3L7,Canada,Andy,Teze,Manager,General,,,,,,(604) 231-0055,1,,17,68,Cantonese,$,,
60171,50906,Full House Chinese Cuisine,Restaurant,Groups; Online Ordering; TV; Bike Parking; Reservations; Delivery; Debit Cards; Takeout,4188 Finch Ave E,Toronto,ON,M1S 4T6,Canada,,,,,,,,,,(416) 293-8133,0,,26,51,Chinese,$$,Uber Eats,
60170,52908,Sushi Miso Japanese Restaurant,Restaurant,Groups; Wheelchair Accessible; Table Service; Online Ordering; TV; Seating; Reservations; High Chairs; Debit Cards; Dine-in; Takeout,1561 Dunmore Rd SE,Medicine Hat,AB,T1A 1Z8,Canada,,,,,,,,,,(403) 528-9881,0,,22,91,Japanese,$$,,
60169,53718,Happy Garden Restaurant,Restaurant,Groups; Wheelchair Accessible; Table Service; Seating; Contactless Delivery; Curbside Pickup; High Chairs; Debit Cards; Dine-in; Delivery; Takeout,4912 50 St,Athabasca,AB,T9S 1E3,Canada,M. A.,Raymond,President,General,,,,,,(780) 675-3551,1,,24,77,Chinese,$$,,
60168,51583,Kun Shao Ye,Restaurant,Delivery; Online Ordering; Takeout,460 Dundas St W,Toronto,ON,M5T 1G9,Canada,,,,,,,,,,(437) 985-1567,0,,2,95,Chinese,$,Uber Eats,
60167,49681,Kobo Gourmet,Restaurant,Groups; Wi-Fi; Wheelchair Accessible; Online Ordering; Reservations; Debit Cards; Dine-in; Delivery; Takeout,512 Kingston Rd,Pickering,ON,L1V 1A6,Canada,Nobu,Yamada,Proprietor,Owner,,,http://www.kobogourmet.com,2000,,(905) 839-4824,1,,62,83,Japanese,$$,Apple App Store,
60166,51699,Dim Sum Town,Restaurant,Parking; Online Ordering; Debit Cards; Delivery; Takeout,204 Queen St W,Toronto,ON,M5V 1Z2,Canada,,,,,,,,,,(416) 599-6666,0,,16,80,Chinese,,,
60165,47904,Darrell's Restaurant,Restaurant; Quick Service; Drinking Place,Groups; Wi-Fi; Wheelchair Accessible; Table Service; Seating; Reservations; Bike Parking; Delivery; Curbside Pickup; Eco-friendly Tableware; Parking; Online Ordering; TV; Contactless Delivery; Fast Service; Catering; High Chairs; Debit Cards; Dine-in; Outdoor Seating; Takeout,5576 Fenwick St,Halifax,NS,B3H 1P8,Canada,,,,,career@darrellsrestaurants.com,,darrellsrestaurants.com,,,(902) 492-2344,0,dan@darrellsrestaurants.com,36,92,Mexican; Creole; Cajun,$$,Ackroo; Google Analytics; Moduurn; SinglePlatform; Skip the Dishes; Uber Eats; WooCommerce; YellowPages.ca,Ackroo; Moduurn
60164,,Yamato Dumpling,Restaurant,Delivery; Online Ordering; Takeout,1672 Rue Ste-Catherine E,Montréal,QC,H2L 2J4,Canada,,,,,,,,,,(514) 240-6799,0,,4,,Chinese,,Skip the Dishes; Uber Eats,
