Snowball.Map,Name,Contact.Last.Name,Contact.First.Name,Contact.Salutation,Contact.Gender.Code,Contact.Title.Description,Price,Reviews,Category,Phone.Number,FullAddress,Street,City,State,Zip,Location.Sales.Volume.Description,Location.Employment.Size.Description,Small.Business.Entrepreneur.Indicator,Vendor.Ethnicity.Description,infoUSA.ID,Franchise.Specialty.Description1,True.Franchise.Indicator
68423,Golden Palace,KWANG,BILL,MR,M,OWNER,$$$,52,Chinese,(613) 820-8444,"['2195 Carling Avenue', 'Ottawa, ON K2B 7E8', 'Canada']",2195 Carling Ave,Ottawa,ON,K2B 7E8,"LESS THAN $500,000",9-May,Y,Vietnamese,14354815,,
68424,Tai Ping Restaurant,,,,,,null,3,Chinese,(613) 829-1748,"['3045 Carling Avenue', 'Ottawa, ON K2B 7K3', 'Canada']",3045 Carling Ave,Ottawa,ON,K2B 7K3,,,,,NA,,
68425,Mac's Sushi,,,,,,null,1,Japanese,(877) 736-2871,"['100 Bayshore Drive', 'Ottawa, ON K2B 8C1', 'Canada']",100 Bayshore Dr,Ottawa,ON,K2B 8C1,,,,,NA,,
68426,Manchu Wok,,,,,,$,4,Chinese,(613) 828-7404,"['100 Bayshore Drive', 'Nepean, ON K2B 8C1', 'Canada']",100 Bayshore Dr,Nepean,ON,K2B 8C1,"LESS THAN $500,000",9-May,N,Unknown,63131668,,Y
68427,Shanghai 360,,,,,,$,6,Chinese,() ,"['13 Woodridge Crescent', 'Ottawa, ON K2B 8C1', 'Canada']",13 Woodridge Crescent,Ottawa,ON,K2B 8C1,"LESS THAN $500,000",9-May,N,Unknown,439924935,,
68428,Teriyaki Experience,,,,,,$$,7,Japanese,(613) 829-0092,"['100 Bayshore Road', 'Nepean, ON K2B 8S8', 'Canada']",100 Bayshore Road,Nepean,ON,K2B 8S8,,,,,NA,,
68429,Sushi Kan,WANG,KEN,MR,M,OWNER,$$,55,Japanese,(613) 221-9545,"['1280 Baseline Road', 'Nepean, ON K2C 0A9', 'Canada']",1280 Baseline Road,Nepean,ON,K2C 0A9,$1-2.5 MILLION,20-49,N,Chinese,54192257,,
68430,Asia Garden,TOM,LING,MS,F,OWNER,$,13,Chinese,(613) 224-7343,"['886 Dynes Rd', 'Ottawa, ON K2C 0G8', 'Canada']",886 Dynes Rd,Ottawa,ON,K2C 0G8,"LESS THAN $500,000",9-May,Y,Chinese,13124615,,
68431,Silver Dragon Chinese Food Restaurant,SHAM,EDWARD,MR,M,OWNER,$,14,Chinese,(613) 828-7220,"['1109 Cobden Road', 'Ottawa, ON K2C 2Z1', 'Canada']",1109 Cobden Rd,Ottawa,ON,K2C 2Z1,"LESS THAN $500,000",4-Jan,Y,Chinese,16065831,,
68432,The Wok,,,,,,null,4,Chinese,(613) 695-9988,"['1896 Prince of Wales Drive', 'Ottawa, ON K2C 3J7', 'Canada']",1896 Prince Of Wales Drive,Ottawa,ON,K2C 3J7,"LESS THAN $500,000",9-May,N,Unknown,742981547,,
68433,Oriental Palace Restaurant,,,,,,$,1,Chinese,() ,"['1390 Prince of Wales Drive', 'Ottawa, ON K2C 3N6', 'Canada']",1390 Prince Of Wales Drive,Ottawa,ON,K2C 3N6,,,,,NA,,
68434,Golden Capital,KUNG,NANCY,MS,F,OWNER,$$,4,Chinese,(613) 596-1266,"['1139 Baxter Road', 'Ottawa, ON K2C 3R4', 'Canada']",1139 Baxter Rd,Ottawa,ON,K2C 3R4,"LESS THAN $500,000",4-Jan,Y,Chinese,14351498,,
68435,Take Don,,,,,,null,1,Japanese,(613) 422-8866,"['1101 Prince of Wales Drive', 'Unit 150', 'Ottawa, ON K2C 3W7', 'Canada']",1101 Prince Of Wales Dr Unit 150,Ottawa,ON,K2C 3W7,,,,,NA,,
68436,Pho Bo Ga King,,,,,,$$,9,Cajun Seafood,(613) 288-0173,"['1234 Merivale Road', 'Ottawa, ON K2C 4A1', 'Canada']",1234 Merivale Road,Ottawa,ON,K2C 4A1,,,,,NA,,
68437,The Captain's Boil,,,,,,null,33,Cajun Seafood,(613) 680-8998,"['290 West Hunt Club Road', 'Unit 4B', 'Ottawa, ON K2E 0B7', 'Canada']",290 West Hunt Club Rd Unit 4B,Ottawa,ON,K2E 0B7,,,,,NA,,
68438,Mandarin,,,,,,$$,91,Chinese,(613) 228-2200,"['290 W Hunt Club Road', 'Nepean, ON K2E 0B7', 'Canada']",290 W Hunt Club Road,Nepean,ON,K2E 0B7,$2.5-5 MILLION,50-99,N,Unknown,440570474,,Y
68439,Day Day Fast Food,,,,,,null,2,Chinese,(613) 695-6699,"['1465 Merivale Rd', 'Ottawa, ON K2E 1B1', 'Canada']",1465 Merivale Rd,Ottawa,ON,K2E 1B1,,,,,NA,,
68440,BBQ Now ?????,,,,,,null,2,Chinese,(613) 421-2221,"['1465 Merivale Rd', 'Ottawa, ON K2E 1B1', 'Canada']",1465 Merivale Rd,Ottawa,ON,K2E 1B1,,,,,NA,,
68441,Momo Bistro,,,,,,null,1,Cajun Seafood,(613) 225-3148,"['103 - 1445 Merivale Road', 'Ottawa, ON K2E 5N9', 'Canada']",103-1445 Merivale Rd,Ottawa,ON,K2E 5N9,,,,,NA,,
68442,Chinese Dragon BBQ,,,,,,null,5,Chinese,(613) 695-7788,"['1465 Merivale Road', 'Unit B03', 'Ottawa, ON K2E 1B1', 'Canada']",1465 Merivale Rd Unit B03,Ottawa,ON,K2E 5N9,,,,,NA,,
68443,Hockey Sushi Nepean,,,,,,null,2,Japanese,(613) 421-2221,"['1465 Merivale Road', 'Unit B03', 'Nepean, ON K2E 5N9', 'Canada']",1465 Merivale Rd Unit B03,Nepean,ON,K2E 5N9,,,,,NA,,
68444,Ng's Cuisine,LU,JENNY,MS,F,MANAGER,$$,37,Chinese,(613) 228-8818,"['1499 Merivale Road', 'Ottawa, ON K2E 5P3', 'Canada']",1499 Merivale Rd,Ottawa,ON,K2E 5P3,"LESS THAN $500,000",9-May,N,Chinese,439923658,,
68445,Xiang Zi,,,,,,$$,19,Chinese,(613) 225-3313,"['1121 Meadowlands Drive', 'Ottawa, ON K2E 6J5', 'Canada']",1121 Meadowlands Drive,Ottawa,ON,K2E 6J5,,,,,NA,,
68446,Hung Hung House,,,,,,null,4,Chinese,(613) 225-0000,"['22 Antares Drive', 'Unit K', 'Ottawa, ON K2E 7Z6', 'Canada']",22 Antares Dr Unit K,Ottawa,ON,K2E 7Z6,,,,,NA,,
68447,Shanghai One,WONG,MINNER,,,OWNER,null,19,Chinese,(613) 686-1380,"['1872 Merivale Road', 'Unit C', 'Ottawa, ON K2G 1E6', 'Canada']",1872 Merivale Rd Unit C,Ottawa,ON,K2G 1E6,"LESS THAN $500,000",,Y,Chinese,763266449,,
68448,Country Place Chinese Restaurant,QUANG,JOHN,MR,M,OWNER,$,7,Chinese,(613) 226-7507,"['1969 Merivale Rd', 'Nepean, ON K2G 1G1', 'Canada']",1969 Merivale Rd,Nepean,ON,K2G 1G1,"LESS THAN $500,000",9-May,Y,Chinese,13797543,,
68449,Edo Japan,,,,,,null,1,Japanese,(613) 225-2658,"['1377 Woodroffe Avenue', 'Unit C4', 'Nepean, ON K2G 1V7', 'Canada']",1377 Woodroffe Ave Unit C4,Nepean,ON,K2G 1V7,"LESS THAN $500,000",9-May,N,Unknown,750200276,,Y
68450,Cathay Restaurants,,,,,,null,5,Chinese,(613) 228-2228,"['1423 Woodroffe Avenue', 'Nepean, ON K2G 1V9', 'Canada']",1423 Woodroffe Ave,Nepean,ON,K2G 1V9,,,,,NA,,
68451,New Hong Kong,CHEN,JILIN,MR,M,OWNER,$$,12,Chinese,(613) 723-8808,"['1433 Woodroffe Avenue', 'Nepean, ON K2G 1W1', 'Canada']",1433 Woodroffe Avenue,Nepean,ON,K2G 1W1,"LESS THAN $500,000",4-Jan,Y,Chinese,46984662,,
68452,La Noodle,,,,,,$$,8,Chinese,(613) 686-1350,"['1383 Clyde Avenue', 'Ottawa, ON K2G 3H7', 'Canada']",1383 Clyde Avenue,Ottawa,ON,K2G 3H7,,,,,NA,,
68453,Asian Stars Restaurant,,,,,,$$,36,Cajun Seafood,(613) 695-2288,"['1380 Clyde Avenue', 'Unit B', 'Ottawa, ON K2G 3H9', 'Canada']",1380 Clyde Ave Unit B,Ottawa,ON,K2G 3H9,,,,,NA,,
68454,Sansotei Ramen,,,,,,$$,30,Japanese,(613) 695-1216,"['1537 Merivale Road', 'Ottawa, ON K2G 3J3', 'Canada']",1537 Merivale Road,Ottawa,ON,K2G 3J3,,,,,NA,,
68455,Happy Lamb Hot Pot,,,,,,$$,63,Chinese,(613) 248-3388,"['1514 Merivale Rd', 'Unit 15', 'Ottawa, ON K2G 3J6', 'Canada']",1514 Merivale Rd Unit 15,Ottawa,ON,K2G 3J6,,,,,NA,,
68456,Sea King Shark Fin Seafood Restaurant,TRAN,VAN THAI,MR,M,OWNER,$,19,Chinese,(613) 228-8819,"['1558 Merivale Rd', 'Ottawa, ON K2G 3J9', 'Canada']",1558 Merivale Rd,Ottawa,ON,K2G 3J9,"$500,000-1 MILLION",19-Oct,N,Vietnamese,47670526,,
68457,Liuyishou Hotpot,,,,,,$$$,17,Chinese,(613) 680-0188,"['1568 Merivale Road', 'Unit 10', 'Ottawa, ON K2G 3J9', 'Canada']",1568 Merivale Rd Unit 10,Ottawa,ON,K2G 3J9,,,,,NA,,
68458,168 Sushi Buffet,CHEN,JAY,MR,M,OWNER,$$,143,Japanese,(613) 228-0168,"['1651 Merivale Road', 'Unit 16', 'Ottawa, ON K2G 3K2', 'Canada']",1651 Merivale Rd Unit 16,Ottawa,ON,K2G 3K2,"LESS THAN $500,000",9-May,Y,Chinese,61789046,,
68459,Thi Fusion Lounge And Bar Restaurant,,,,,,$$,42,Cajun Seafood,(613) 723-7687,"['500 W Hunt Club Road', 'Ottawa, ON K2G 3R4', 'Canada']",500 W Hunt Club Road,Ottawa,ON,K2G 3R4,,,,,NA,,
68460,Wing Hing Chinese Food,HOU,ZUHUI,MR,M,OWNER,$$,3,Chinese,(613) 723-5511,"['2 Woodfield Drive', 'Nepean, ON K2G 3Y5', 'Canada']",2 Woodfield Drive,Nepean,ON,K2G 3Y5,"LESS THAN $500,000",9-May,Y,Chinese,14061287,,
68461,Craig Henry Chinese Food Take-Out Service,SITU,SHAO S,MR,M,OWNER,null,7,Chinese,(613) 226-1818,"['3 Chartwell Avenue', 'Ottawa, ON K2G 4K3', 'Canada']",3 Chartwell Avenue,Ottawa,ON,K2G 4K3,"LESS THAN $500,000",4-Jan,Y,Chinese,14501068,,
68462,Dumpling? Dumpling!,,,,,,$$,30,Chinese,(613) 225-3888,"['261 Centrepointe Drive', 'Ottawa, ON K2G 6E8', 'Canada']",261 Centrepointe Drive,Ottawa,ON,K2G 6E8,,,,,NA,,
68463,Eggroll Factory,,,,,,$$,30,Chinese,(613) 226-3888,"['261 Centrepointe Drive', 'Ottawa, ON K2G 6E8', 'Canada']",261 Centrepointe Drive,Ottawa,ON,K2G 6E8,,,,,NA,,
68464,Lee Ga,,,,,,$,14,Japanese,(613) 680-2121,"['101-1902 Robertson Road', 'Ottawa, ON K2H 5B8', 'Canada']",101-1902 Robertson Rd,Ottawa,ON,K2H 5B8,,,,,NA,,
68465,Hung Mein,,,,,,$$,9,Chinese,(613) 828-7926,"['2567 Baseline Road', 'Ottawa, ON K2H 7B3', 'Canada']",2567 Baseline Rd,Ottawa,ON,K2H 7B3,,,,,NA,,
68466,New Hong Shing,SITU,DAVID,MR,M,MANAGER,$$,19,Chinese,(613) 828-2168,"['285 Greenbank Road', 'Nepean, ON K2H 8K9', 'Canada']",285 Greenbank Rd,Nepean,ON,K2H 8K9,"LESS THAN $500,000",9-May,N,Chinese,35712173,,
68467,Welcome Back,,,,,,$,9,Chinese,(613) 820-1225,"['2090 Robertson Road', 'Suite A', 'Nepean, ON K2H 8V5', 'Canada']",2090A Robertson Rd,Nepean,ON,K2H 8V5,,,,,NA,,
68468,Lapointe Fish,,,,,,$$,11,Japanese,(613) 596-9654,"['1831 Robertson Road', 'Ottawa, ON K2H 8X3', 'Canada']",1831 Robertson Road,Ottawa,ON,K2H 8X3,,,,,NA,,
68469,Sushi Sama,,,,,,null,4,Japanese,(613) 298-9981,"['250 Greenbank Road', 'Unit 4B', 'Ottawa, ON K2H 8X4', 'Canada']",250 Greenbank Rd Unit 4B,Ottawa,ON,K2H 8X4,,,,,NA,,
68470,Chen's Kitchen,,,,,,null,1,Chinese,(613) 825-5255,"['3780 Fallowfield Road', 'Unit 5', 'Nepean, ON K2J 1A1', 'Canada']",3780 Fallowfield Rd Unit 5,Nepean,ON,K2J 1A1,,,,,NA,,
68471,Winner House Chinese Food,,,,,,null,4,Chinese,(613) 825-6565,"['1 Tartan Drive', 'Nepean, ON K2J 2W3', 'Canada']",1 Tartan Drive,Nepean,ON,K2J 2W3,,,,,NA,,
68472,Wan's Chinese Food,WONG,MAN YIU,MR,M,OWNER,null,6,Chinese,(613) 825-8880,"['3500 Fallowfield Road', 'Nepean, ON K2J 4A7', 'Canada']",3500 Fallowfield Road,Nepean,ON,K2J 4A7,"LESS THAN $500,000",9-May,Y,Chinese,16569162,,
68473,Lucky Panda,,,,,,null,7,Chinese,(613) 825-8080,"['3023 Cedarview Road', 'Ottawa, ON K2J 4A8', 'Canada']",3023 Cedarview Road,Ottawa,ON,K2J 4A8,"LESS THAN $500,000",9-May,N,Unknown,743186627,,
68474,Barrhaven Asian Dragon,,,,,,$$,19,Chinese,(613) 823-1688,"['106-3777 Strandherd Drive', 'Nepean, ON K2J 4B1', 'Canada']",106-3777 Strandherd Drive,Nepean,ON,K2J 4B1,"LESS THAN $500,000",9-May,N,Unknown,439924265,,
68475,Brother Chiu's Chinese Food,,,,,,null,10,Chinese,(613) 823-9788,"['7-2900 Woodroffe Ave', 'Ottawa, ON K2J 4G3', 'Canada']",7-2900 Woodroffe Ave,Ottawa,ON,K2J 4G3,,,,,NA,,
68476,Liu's Cuisine,,,,,,$$,10,Chinese,(613) 843-0212,"['3570 Strandherd Drive', 'Nepean, ON K2J 4H1', 'Canada']",3570 Strandherd Drive,Nepean,ON,K2J 4H1,,,,,NA,,
68477,Edo Japan,,,,,,null,1,Japanese,(343) 547-9888,"['3181 Greenbank Road', 'Suite 302, 102B', 'Ottawa, ON K2J 4H9', 'Canada']","3181 Greenbank Road, Suite 302, 102B",Ottawa,ON,K2J 4H9,"LESS THAN $500,000",9-May,N,Unknown,750200273,,Y
68478,Edo Japan,,,,,,null,5,Japanese,() ,"['41 Marketplace Ave', 'Ottawa, ON K2J 5G3', 'Canada']",41 Marketplace Ave,Ottawa,ON,K2J 5G3,,,,,NA,,
68479,Sushi Shop,,,,,,null,7,Japanese,(343) 547-0036,"['50 Marketplace Avenue', 'Nepean, ON K2J 5G3', 'Canada']",50 Marketplace Avenue,Nepean,ON,K2J 5G3,"LESS THAN $500,000",9-May,N,Unknown,738342191,,Y
68480,Golden Restaurant,,,,,,$$,35,Chinese,(613) 825-2188,"['130 Riocan Drive', 'Suite 1', 'Nepean, ON K2J 5G4', 'Canada']",130 Riocan Ave Suite 1,Nepean,ON,K2J 5G4,"LESS THAN $500,000",9-May,N,Unknown,63132179,,
68481,Copper Branch,DENISTY,BILLIE J,MS,F,OWNER,null,12,Cajun Seafood,(613) 440-8044,"['3161 Strandherd Drive', 'Nepean, ON K2J 5N1', 'Canada']",3161 Strandherd Drive,Nepean,ON,K2J 5N1,$1-2.5 MILLION,,Y,Dutch,764331826,,
68482,China Star,,,MS,F,OWNER,null,12,Chinese,(613) 825-8822,"['3161 Strandherd Drive', 'Nepean, ON K2J 5N1', 'Canada']",3161 Strandherd Drive,Nepean,ON,K2J 5N1,$1-2.5 MILLION,,Y,Dutch,764331826,,
68483,Lucky Dragon Delight Chinese Restaurent,,,,,,$$,8,Chinese,(613) 591-8811,"['854 March Road', 'Ottawa, ON K2K 0A5', 'Canada']",854 March Road,Ottawa,ON,K2K 0A5,,,,,NA,,
68484,Jade YiÆs Kitchen,,,,,,null,17,Chinese,(613) 592-2711,"['1027 Teron Road', 'Ottawa, ON K2K 1E2', 'Canada']",1027 Teron Rd,Ottawa,ON,K2K 1R2,"LESS THAN $500,000",9-May,N,Unknown,440570365,,
68485,Hockey Sushi,ZHANG,STEPHANIE,MS,F,MANAGER,$$,69,Japanese,(613) 270-1122,"['4055 Carling Avenue', 'Kanata, ON K2K 2A4', 'Canada']",4055 Carling Avenue,Kanata,ON,K2K 2A4,"LESS THAN $500,000",9-May,N,Chinese,56358286,,
68486,Harbin Chinese Restaurant,,,,,,null,7,Chinese,(613) 693-1525,"['591 March Rd', 'Unit 5', 'Ottawa, ON K2K 2M5', 'Canada']","591 March Rd, Unit 5",Ottawa,ON,K2K 2M5,"LESS THAN $500,000",9-May,N,Unknown,763267455,,
68487,Phu-Yen Restaurant,NGUYEN,TAY,MR,M,OWNER,$$,19,Chinese,(613) 599-0006,"['700 March Road', 'Kanata, ON K2K 2V9', 'Canada']",700 March Road,Kanata,ON,K2K 2V9,"LESS THAN $500,000",9-May,Y,Vietnamese,31416555,,
68488,Mandarin Restaurant,,,,,,$$,11,Chinese,(613) 271-6000,"['150B Katimavik Road', 'Ottawa, ON K2L 2N2', 'Canada']",150B Katimavik Road,Ottawa,ON,K2L 2N2,"LESS THAN $500,000",,N,Unknown,753002380,,Y
68489,Sushi Eki,,,,,,null,10,Japanese,(613) 831-8838,"['471 Hazeldean Road', 'Unit 7A', 'Ottawa, ON K2L 4B8', 'Canada']",471 Hazeldean Rd Unit 7A,Ottawa,ON,K2L 4B8,,,,,NA,,
68490,Egg Roll Plus,GUO,WEI,MR,M,MANAGER,$$,7,Chinese,(613) 831-8888,"['471 Hazeldean Road', 'Kanata, ON K2L 4B8', 'Canada']",471 Hazeldean Road,Kanata,ON,K2L 4B8,"LESS THAN $500,000",4-Jan,N,Chinese,24740615,,
68491,Hanahana,,,,,,$,16,Japanese,(613) 831-0525,"['474 Hazeldean Road', 'Suite 8', 'Ottawa, ON K2L 4E5', 'Canada']",474 Hazeldean Rd Suite 8,Ottawa,ON,K2L 4E5,,,,,NA,,
68492,Rideau Restaurant,LIANG,H,MR,M,OWNER,$$,17,Chinese,(613) 254-8824,"['500 Eagleson Road', 'Kanata, ON K2M 1H4', 'Canada']",500 Eagleson Rd,Kanata,ON,K2M 1H4,"LESS THAN $500,000",9-May,Y,Chinese,42136960,,
68493,Ting's Kitchen,,,,,,null,4,Chinese,(613) 592-7888,"['3-701 Eagleson Road', 'Ottawa, ON K2M 2G1', 'Canada']",3-701 Eagleson Rd,Ottawa,ON,K2M 2G1,,,,,NA,,
68494,Dragon Fortune Delight,TAM,ALBERT,MR,M,OWNER,null,11,Chinese,(613) 254-7071,"['62 Stonehaven Drive', 'Ottawa, ON K2M 2Y2', 'Canada']",62 Stonehaven Drive,Ottawa,ON,K2M 2Y2,"LESS THAN $500,000",4-Jan,Y,"Khmer (Kampuchean, Cambodian)",42134122,,
68495,Genji,CAI,S,MR,M,OWNER,$$,50,Japanese,(613) 236-2880,"['175 Lisgar Street', 'Ottawa, ON K2P 0C3', 'Canada']",175 Lisgar Street,Ottawa,ON,K2P 0C3,"LESS THAN $500,000",9-May,Y,Chinese,37182821,,
68496,J:Unique Kitchen,PARK,JAMES,MR,M,OWNER,null,44,Japanese,(613) 234-8877,"['381 cooper st.', 'Ottawa, ON K2P 0G8', 'Canada']",381 Cooper St,Ottawa,ON,K2P 0G8,"LESS THAN $500,000",9-May,Y,Korean,753902773,,
68497,Oriental House Dining Lounge,,,,,,$$,18,Chinese,(613) 563-2694,"['266 Elgin St', 'Ottawa, ON K2P 1M2', 'Canada']",266 Elgin St,Ottawa,ON,K2P 1M2,,,,,NA,,
68498,Ginza Ramen Sushi and Sake Bar,YAO,JIAN,MR,M,OWNER,$$,64,Japanese,(613) 233-2888,"['280 Elgin Street', 'Ottawa, ON K2P 1M2', 'Canada']",280 Elgin Street,Ottawa,ON,K2P 1M2,"LESS THAN $500,000",9-May,Y,Chinese,49894165,,
68499,The Captain's Boil,,,,,,$$,27,Cajun Seafood,(613) 237-7775,"['354 Elgin Street', 'Ottawa, ON K2P 1M8', 'Canada']",354 Elgin St,Ottawa,ON,K2P 1M8,,,,,NA,,
68500,Datsun,,,,,,$$$,85,Cajun Seafood,(613) 421-7411,"['380 Elgin Street', 'Ottawa, ON K2P 1M9', 'Canada']",380 Elgin Street,Ottawa,ON,K2P 1M9,,,,,NA,,
68501,Burrito Sensei,,,,,,$$,15,Japanese,(613) 680-0802,"['199 Bank Street', 'Ottawa, ON K2P 1W7', 'Canada']",199 Bank St,Ottawa,ON,K2P 1W7,,,,,NA,,
68502,Izakaya Shingen,,,,,,$$,35,Japanese,(613) 680-0802,"['201 Bank Street', 'Ottawa, ON K2P 1W7', 'Canada']",201 Bank Street,Ottawa,ON,K2P 1W7,,,,,NA,,
68503,Express Asian Food,,,,,,$$,9,Cajun Seafood,(613) 234-0888,"['202 Bank Street', 'Ottawa, ON K2P 2H6', 'Canada']",202 Bank St,Ottawa,ON,K2P 1W8,,,,,NA,,
68504,Gongfu Bao,,,,,,null,25,Chinese,(613) 454-5963,"['365 Bank St', 'Ottawa, ON K2P 1Y2', 'Canada']",365 Bank St,Ottawa,ON,K2P 1Y2,"LESS THAN $500,000",4-Jan,N,Unknown,14605141,,
68505,Hanabi Japanese Cuisine,,,,,,$$$,14,Japanese,(613) 695-8880,"['434 Bank Street', 'Ottawa, ON K2P 1Y8', 'Canada']",434 Bank St,Ottawa,ON,K2P 1Y8,,,,,NA,,
68506,GoGiYa Sushi  n Poke,,,,,,null,2,Japanese,(613) 230-8488,"['504 Bank Street', 'Ottawa, ON K2P 1Z4', 'Canada']",504 Bank St,Ottawa,ON,K2P 1Z4,,,,,NA,,
68507,Tokyo Sushi,,,,,,$$,11,Japanese,(613) 233-3777,"['248 Kent St', 'Ottawa, ON K2P 2A1', 'Canada']",248 Kent St,Ottawa,ON,K2P 2A1,,,,,NA,,
68508,On Rice,,,,,,null,2,Japanese,(613) 565-6894,"['248 Kent Street', 'Ottawa, ON K2P 2A1', 'Canada']",248 Kent St,Ottawa,ON,K2P 2A1,,,,,NA,,
68509,Cumin & Pepper,,,,,,null,2,Chinese,(613) 695-8888,"['111 Cooper Street', 'Ottawa, ON K2P 2E3', 'Canada']",111 Cooper Street,Ottawa,ON,K2P 2E3,"LESS THAN $500,000",9-May,N,Unknown,754416871,,
68510,Yunshang Rice Noodle House,,,,,,null,17,Chinese,() ,"['275 bank st', 'Ottawa, ON K2P 2L6', 'Canada']",275 Bank St,Ottawa,ON,K2P 2L6,,,,,NA,,
68511,Fusion Dim Sum - Sushi,,,,,,$$,38,Chinese,(613) 836-1688,"['5507 Hazeldean Road', 'Stittsville, ON K2S 0P5', 'Canada']",5507 Hazeldean Road,Stittsville,ON,K2S 0P5,,,,,NA,,
68512,Kungfu Bistro,,,,,,$$,44,Chinese,(613) 831-6808,"['1110 Carp Road', 'Unit 150', 'Stittsville, ON K2S 1B9', 'Canada']",1110 Carp Rd Unit 150,Stittsville,ON,K2S 0T2,,,,,NA,,
68513,Lucky Dragon Delight Chinese Restaurant,,,,,,$$$,11,Chinese,(613) 836-7898,"['Jackson Trails Plaza', '6081 Hazeldean Road', 'Stittsville, ON K2S 1B9', 'Canada']","Jackson Trails Plaza, 6081 Hazeldean Road",Stittsville,ON,K2S 1B9,,,,,NA,,
68514,New Queen Restaurant,GONG,WEI,MR,M,OWNER,null,10,Chinese,(613) 836-6672,"['1 Hobin Street', 'Ottawa, ON K2S 1C3', 'Canada']",1 Hobin Street,Ottawa,ON,K2S 1C3,"LESS THAN $500,000",4-Jan,Y,Chinese,15336621,,
68515,Sushi Kanata,LIN,FRANK,MR,M,OWNER,$$,46,Japanese,(613) 599-0009,"['655 Avenue Kanata', 'Kanata, ON K2T 1H6', 'Canada']",655 Avenue,Kanata,ON,K2T 1H6,"LESS THAN $500,000",4-Jan,Y,Chinese,46617007,,
68516,Soul Stone Express Asian Cuisine,,,,,,null,2,Chinese,(613) 424-6967,"['2010 Trim Road', 'Orleans, ON K4A 0G4', 'Canada']",2010 Trim Road,Orleans,ON,K4A 0G4,,,,,NA,,
68517,Li's Fusion,,,,,,$$,20,Chinese,(613) 841-8889,"['200 Vanguard Drive', 'Ottawa, ON K4A 0T8', 'Canada']",200 Vanguard Drive,Ottawa,ON,K4A 0T8,,,,,NA,,
68518,Mandarin Restaurant - Orleans,MA,MASON,MR,M,OTHER,$$,62,Chinese,(613) 834-7000,"['2055 Tenth Line Road', 'OrlΘans, ON K4A 4C5', 'Canada']",2055 Tenth Line Road,OrlΘans,ON,K4A 4C5,$2.5-5 MILLION,50-99,N,Chinese,439924142,,Y
68519,Lucky Fortune Chinese Food,SITU,ZHI,MS,F,OWNER,$$,8,Chinese,(613) 830-8811,"['1970 Trim Road', 'Orleans, ON K4A 3P8', 'Canada']",1970 Trim Rd,Orleans,ON,K4A 4S7,"LESS THAN $500,000",4-Jan,Y,Chinese,45611696,,
68520,Asia Wok Chinese Food,WONG,MAN-YIU,MR,M,OWNER,$$,4,Chinese,(613) 837-2233,"['2026 Tenth Line Road', 'Ottawa, ON K4A 4X4', 'Canada']",2026 Tenth Line Road,Ottawa,ON,K4A 4X4,"LESS THAN $500,000",9-May,Y,Chinese,46433686,,
68521,Maison De Xin,HUANG,PENG,MR,M,OWNER,null,2,Chinese,(613) 446-5122,"['1486 Laurier Street', 'Rockland, ON K4K 1C7', 'Canada']",1486 Laurier St,Rockland,ON,K4K 1C7,"$500,000-1 MILLION",19-Oct,N,Chinese,13593181,,
68522,Pearl House Dining Lounge,,,,,,$$,5,Chinese,(613) 692-3288,"['1160 Beaverwood Rd', 'Ottawa, ON K4M 1A6', 'Canada']",1160 Beaverwood Rd,Ottawa,ON,K4M 1A6,,,,,NA,,
68523,Wing Lee,,,,,,null,2,Chinese,(613) 692-5003,"['990 River Road', 'Ottawa, ON K4M 1B9', 'Canada']",990 River Road,Ottawa,ON,K4M 1B9,,,,,NA,,
68524,Ruby Restaurant,,,,,,null,6,Chinese,(613) 935-9998,"['315 Montreal Road', 'Cornwall, ON K6H 1B6', 'Canada']",315 Montreal Rd,Cornwall,ON,K6H 1B6,,,,,NA,,
68525,Chinese Buffet Wing Hing,,,,,,null,7,Chinese,(613) 938-6688,"['1315 Second Street E', 'Cornwall, ON K6H 7C4', 'Canada']",1315 Second Street E,Cornwall,ON,K6H 7C4,,,,,NA,,
68526,Jack Lee's Tavern Restaurant,YU,GUOLAING,MR,M,OWNER,$,10,Chinese,(613) 933-5155,"['128 Pitt Street', 'Cornwall, ON K6J 3P4', 'Canada']",128 Pitt St,Cornwall,ON,K6J 3P4,"$500,000-1 MILLION",19-Oct,N,Chinese,14674725,,
68527,Sugoi Ramen & Sushi Bar,,,,,,null,1,Japanese,(613) 330-0117,"['150 Pitt Street', 'Cornwall, ON K6J 3P4', 'Canada']",150 Pitt St,Cornwall,ON,K6J 3P4,,,,,NA,,
68528,Sushi Shop,,,,,,null,3,Japanese,(613) 933-6888,"['1232 Brookdale Avenue', 'Unit E', 'Cornwall, ON K6J 4P8', 'Canada']",1232E Brookdale Ave,Cornwall,ON,K6J 4P8,"LESS THAN $500,000",9-May,N,Unknown,738228291,,Y
68529,Sunshine Restaurant,,,,,,null,7,Chinese,(613) 932-1112,"['17305 Cornwall Centre Road', 'Unit 1', 'Cornwall, ON K6K 1K5', 'Canada']",17305 Cornwall Centre Rd Unit 1,Cornwall,ON,K6K 1K5,,,,,NA,,
