Snowball Map,Map Correction,Last Activity Date,Mobile - Primary,Business Phone,Company / Account,First Name,Last Name,Email,Street,Zip/Postal Code,City,State/Province,Country
63007,46126,4/4/2023,,(813) 779-8088,Hong Kong Restaurant,,Unknown,,7821 Gall Blvd,33540,Zephyrhills,FL,USA
63006,46123,3/28/2023,,(561) 562-2568,Delray Goodies,,Unknown,,155 Ne 4th Ave,33483,Delray Beach,FL,USA
63005,46122,3/28/2023,,(305) 229-5050,China Star,,Unknown,,9640 SW 24th St,33165,Miami,FL,USA
63004,46121,4/4/2023,,(305) 695-1695,Mr. Chow,,Unknown,,2201 Collins Ave,33139,Miami Beach,FL,USA
63003,46120,4/3/2023,,(305) 443-8664,Gourmet Gourmet,,Unknown,,4249 W Flagler St,33134,Miami,FL,USA
63002,46437,3/30/2023,,(469) 626-1070,Yummy House,,Unknown,,"1116 W Parker Rd, Ste 300",75075,Plano,TX,USA
63001,45979,3/28/2023,,(252) 751-3899,Tokyo Express,,Unknown,,700 S Memorial Dr,27834,Greenville,NC,USA
63000,,4/6/2023,,(216) 912-8196,Kintaro Sushi & Hot Pot,,Ms余,,"3111 Westgate Mall, Ste A-128",44116,Rocky River,OH,USA
62999,46280,4/4/2023,,(216) 515-1111,Szechuan Cafe,,Unknown,,"2999 Payne Ave, Ste 145",44114,Cleveland,OH,USA
62998,,4/6/2023,,(740) 695-2188,Osaka Steak House,,Ms Linda,,"67800 Mall Rd #390, St Clairsville",43950,Saint Clairsville,OH,USA
62997,45973,3/29/2023,,(919) 528-6300,Taste of China R81336,,董,,2531 C E Lyon Station Rd,27522,Creedmoor,NC,USA
62996,45915,3/28/2023,,(301) 732-4921,"Bawarchi Biryanis - Frederick, Maryland",,Unknown,,"5010 Buckeystown Pike, Ste 132",21704,Frederick,MD,USA
62995,45912,3/28/2023,,(410) 551-9498,Mai Dim Sum,,Unknown,,"2649 Annapolis Rd, Ste A",21076,Hanover,MD,USA
62994,45926,3/28/2023,,(703) 646-8968,Fahrenheit Asian,,Unknown,,"1313 Dolley Madison Blvd, Ste 103",22101,McLean,VA,USA
62993,45911,3/24/2023,,(240) 424-5662,Bao Bei,,Unknown,,"11910 Parklawn Dr, Ste 0",20852,Rockville,MD,USA
62992,45922,3/29/2023,,(703) 734-0846,Bing & Bao,,Unknown,,7505 Leesburg Pike,22043,Falls church,VA,USA
62991,45921,3/23/2023,,(703) 560-6869,Uncle Liu's Hot Pot,,Unknown,,2972 Gallows Rd,22042,Falls Church,VA,USA
62990,45920,3/28/2023,,(703) 813-8181,A&J Restaurant,,Unknown,,"4316 Markham St, Ste B",22003,Annandale,VA,USA
62989,45917,3/28/2023,,(410) 524-3983,Blue Fish,,Unknown,,9401 Coastal Hwy,21842,Ocean City,MD,USA
62988,45812,4/3/2023,,(718) 996-7888,Golden Steamer Restaurant,,Unknown,,1964 86th St,11214,Bath Beach,NY,USA
62987,45910,4/6/2023,,(240) 660-2985,Xi'an Gourmet,,Unknown,,316 N Washington St,20850,Rockville,MD,USA
62986,,3/27/2023,,(301) 559-1300,Mandarin Express,,Unknown,,3500 E-w Hwy,20782,Hyattsville,MD,USA
62985,46454,4/2/2023,,(346) 449-4440,FuJi Sushi Asian Cuisine,,Unknown,,"212 Fm 518, Ste 107",77565,Kemah,TX,USA
62984,45763,3/30/2023,,(718) 833-6588,Red Bowl,,Unknown,,"158 Hester St, #A2",10013,New York,NY,USA
62983,45762,3/24/2023,,(917) 261-7122,Bao Bao Cafe,,Unknown,,106 Greenwich St,10006,New York,NY,USA
62982,,3/23/2023,,(281) 653-9883,Chiba Hot Pot,,Unknown,,12426 Farm To Market 1960 Rd W,77065,Houston,TX,USA
62981,45811,3/24/2023,,(646) 961-6663,Yong Kang Street,,Unknown,,2240 Flatbush Ave,11226,Brooklyn,NY,USA
62980,45810,4/4/2023,,(718) 853-5165,Savoy 4 Bakery,,Unknown,,4501 4th Ave,11220,Brooklyn,NY,USA
62979,,4/12/2023,(347) 822-1935,(603) 974-2968,Chang Long,,Unknown,,"160 Rd, Ste 10",3865,Plaistow,NH,USA
62978,45703,4/11/2023,,(401) 353-0088,Jacky's Galaxie Restaurant,,Unknown,,1488 Mineral Spring Ave,2904,North Providence,RI,USA
62977,,3/27/2023,19173454116,,Kaiyo,Kim,han lu,,92 Main Street,11501,Mineola,NY,USA
62976,,3/30/2023,18322296421,,Hunan Garden Baobae,Richard,Chung,,23940 U.S. 59,77339,Nacogdoches,TX,USA
62975,,4/13/2023,(416) 662-6862,,Unknown,,Unknown,,3555 Thickson Road,L1R 1Z6,Whitby,ON,CAN
62974,,2/14/2023,(407) 259-8826,407) 286-1436,TAIWAN EXPRESS,,Christine,,3601 Columbia Street,32805,Orlando,FL,USA
62973,,3/14/2023,(425) 697-0255,,Emperor's palace (EAST),kitty,huang,,5050 Washington 303,98311,Bremerton,WA,USA
62972,,4/13/2023,,14807185088,Szechwan Garden,,Szechwan Garden,,5055 West Ray Road,85226,Chandler,AZ,USA
62971,46483,4/13/2023,,14808311319,Green Tea Bistro,,lin,,1309 West Guadalupe Road,85202,Mesa,AZ,USA
62970,,3/28/2023,(360) 362-9319,,Unknown,,Unknown,,235 Macomber Road,98532,Chehalis,WA,USA
62969,,3/22/2023,,(850) 226-8386,J C Seafood House,,Unknown,,321 Blvd,32569,Mary Esther,FL,USA
62968,45874,4/2/2023,,(717) 412-4233,Captain Krab Cajun Seafood & Boil,,Unknown,,"421 Friendship Rd, Ste 2",17111,Harrisburg,PA,USA
62967,46292,3/22/2023,,(513) 777-5757,Tasty Pho,,Unknown,,7741 Tylers Place Blvd,45069,West Chester Township,OH,USA
62966,45940,4/2/2023,,(757) 226-0300,Cajun Seafood & Wings,,Unknown,,"4221 Pleasant Valley Rd, Ste 121 &122",23464,Virginia Beach,VA,USA
62965,46074,4/2/2023,,(386) 487-5024,Captain Crab,,Unknown,,"2329 W US Hwy 90, Ste 5",32055,Lake City,FL,USA
62964,45779,4/2/2023,,(917) 801-0833,Bobo's Crab Shack - Fordham,,Unknown,,2450 Grand Concourse,10458,New York,NY,USA
62963,,4/2/2023,,(937) 813-8081,Blue Crab Juicy Seafood,,Unknown,,8901 Kingsridge Dr,45458,Dayton,OH,USA
62962,46506,11/1/2022,(510) 278-7838,(510) 278-7838,88 Chinese Restaurant,,88 Chinese Restaurant,,15809 Channel St,94580,San Lorenzo,CA,USA
62961,,3/6/2023,(252) 793-3898,(252) 793-3898,SHUN XING CHINESE RESTAURANT,,Mr. 李,,396 US-64,27962,PLYMOUTH,NC,USA
62960,45959,3/7/2023,,(304) 637-5005,New China Cook,,New China Cook,,1511 Harrison Ave,26241,Elkins,WV,USA
62959,45955,3/7/2023,,(304) 845-7330,Great Chinese Buffet,,Great Chinese Buffet,,1226 Lafayette Ave,26041,Moundsville,WV,USA
62958,45954,3/21/2023,,(304) 845-5911,Happy Garden Chinese Buffet,,Happy Garden Chinese Buffet,,1607 Wheeling Ave,26038,Glen Dale,WV,USA
62957,45824,4/12/2023,,(718) 672-3805,NEW KING'S GARDEN,,NEW KING'S GARDEN,,9606 31ST AVE,11369,EAST ELMHURST,NY,USA
62956,,2/3/2023,(646) 318-6600,,Chinese Express,,Unknown,,Saint James Avenue,,Goose Creek,南卡,USA
62955,45664,11/2/2022,NO,(978) 297-1142,Christos Place,,Christos Place,,51 Central St,1475,Winchendon,MA,USA
62954,45675,11/2/2022,NO,(978) 577-6425,Asian Plus Noodle & Rice,,Asian Plus Noodle & Rice,,313 Littleton Rd,1886,Westford,MA,USA
62953,45663,11/1/2022,(978) 466-5991,(978) 466-5991,A Taste of Vietnam,,A Taste of Vietnam,,814 N Main St,1453,Leominster,MA,USA
62952,45953,3/7/2023,,(304) 263-6544,New Peking,,New Peking,,139 S Queen St,25401,Martinsburg,WV,USA
62951,45952,3/7/2023,,(304) 776-6888,RICE BOWL,,RICE BOWL,,121 GOFF MOUNTAIN RD,25313,CROSS LANES,WV,USA
62950,45960,3/8/2023,,(304) 643-2223,PEKING RESTAURANT,,PEKING RESTAURANT,,920 E MAIN ST,26362,HARRISVILLE,WV,USA
62949,,11/1/2022,(413) 458-1896,(413) 458-1896,6 House Pub,,6 House Pub,,866 Cold Spring Rd Route 7,1267,Williamstown,MA,USA
62948,45661,11/3/2022,,(413) 458-0004,Blue Mango,,Blue Mango,,27 Spring St,1267,Williamstown,MA,USA
62947,45685,3/5/2023,,(508) 830-1888,Red Tea Garden,,Red Tea Garden,,202 S Meadow Rd,2360,Plymouth,MA,USA
62946,46187,2/16/2023,,(865) 588-9811,Nama Sushi Bar - Bearden,,Nama Sushi Bar - Bearden,tmatews@namisushibar.com,5130 Kingston Pike,37919,Knoxville,TN,USA
62945,46179,2/16/2023,,(865) 269-5037,Sora Sushi & Steak House,,Sora Sushi & Steak House,,902 N Charles G Seivers Blvd,37716,Clinton,TN,USA
62944,46465,11/9/2022,,(303) 779-9999,East Moon Asian Bistro and Sushi,,East Moon Asian Bistro and Sushi,,8162 S Holly St,80122,Centennial,CO,USA
62943,46375,1/24/2023,,(920) 643-7738,CHINA HOUSE,,CHINA HOUSE,,620 WASHINGTON ST,53032,HORICON,WI,USA
62942,45761,2/22/2023,,(212) 988-2268,Harvest Chinese & Thai Cuisine,,Harvest Chinese & Thai Cuisine,,1502 1st Ave,10075,New York,NY,USA
62941,45760,1/24/2023,(917) 982-3656,(212) 355-0888,Ajisai Sushi Rest,,Ajisai Sushi Rest,,795 Lexington Ave,10065,New York,NY,USA
62940,45759,2/20/2023,,(212) 219-8850,C & L DUMPLING HOUSE - Permanently closed,,C & L DUMPLING HOUSE,,77 CHRYSTIE ST FRNT A,10002,NEW YORK,NY,USA
62939,45758,2/22/2023,,(212) 876-3245,HAPPY GARDEN CHINESE REST,,HAPPY GARDEN CHINESE REST,,68 FORSYTH ST APT 6,10002,NEW YORK,NY,USA
62938,45823,4/7/2023,,(718) 205-5360,HALAL KITCHEN CHINESE REST,,HALAL KITCHEN CHINESE REST,,7112 GRAND AVE,11378,MASPETH,NY,USA
62937,45865,2/20/2023,,(585) 271-8920,CALIFORNIA ROLLIN SUSHI BAR,,CALIFORNIA ROLLIN SUSHI BAR,,1000 N RIVER ST STE 123,14612,ROCHESTER,NY,USA
62936,45746,2/11/2023,(203) 393-8317,(732) 372-7600,East Hana Sushi Metuchen,,East Hana Sushi Metuchen,,656 Middlesex Ave,8840,Metuchen,NJ,USA
62935,45938,2/19/2023,(804) 288-8875,(804) 288-8875,Beijing On Grove,,Beijing On Grove,,5710 Grove Ave,23226,Richmond,VA,USA
62934,45757,2/9/2023,,(212) 941-0911,GOLDEN UNICORN RESTAURANT INC,,GOLDEN UNICORN RESTAURANT INC,,18 E BROADWAY,10002,NEW YORK,NY,USA
62933,,1/10/2023,(954) 430-2737,(954) 430-2737,9544302737-Ms. 叶-来取,,Ms. 叶,,2224 North Flamingo Road,33028,Pembroke Pines,FL,USA
62932,46240,11/1/2022,NO,(859) 431-2900,Casual Chinese Restaurant,,Casual Chinese Restaurant,,88 Carothers Rd,41071,Newport,KY,USA
62931,46239,11/3/2022,,(859) 282-7868,China City,,China City,,7104 Turfway Rd,41042,Florence,KY,USA
62930,45925,1/23/2023,(703) 569-7755,(703) 569-7755,Blue Pearl Buffet,,Blue Pearl Buffet,,6820 Commerce St,22150,Springfield,VA,USA
62929,45756,4/12/2023,,(917) 261-2104,Panda Chinese Restaurant,,Panda Chinese Restaurant,,20 Henry St Frnt 3,10002,New York,NY,USA
62928,45755,2/22/2023,,(212) 736-4004,Golden City Chinese Restaurant,,Golden City Chinese Restaurant,,423 9th Ave Frnt 3,10001,New York,NY,USA
62927,,3/2/2023,(917) 542-6168,(914) 946-3905,CHINA STAR,,CHINA STAR,,367 MAMARONECK AVE,10605,WHITE PLAINS,NY,USA
62926,,3/10/2023,718 417 8332,,MR CHEN,,MR CHEN,,5905 MYRTLE AVE,11385,RIDGEWOOD,NY,USA
62925,,3/20/2023,(646) 431-8064,(212) 598-0730,New Double Dragon,,陈老板,,37 1st Ave.,10003,New York,NY,USA
62924,46428,2/16/2023,,(405) 737-7118,GOLDEN PALACE RESTAURANT,,GOLDEN PALACE RESTAURANT,,1224 S AIR DEPOT BLVD,73110,OKLAHOMA CITY,OK,USA
62923,46427,2/16/2023,,(405) 686-1511,GOLDEN PALACE,,GOLDEN PALACE,,1500 S MERIDIAN AVE,73108,OKLAHOMA CITY,OK,USA
62922,,2/22/2023,,(405) 366-0786,HAPPY FAMILY,,HAPPY FAMILY,,1219 ALAMEDA ST,73071,NORMAN,OK,USA
62921,46348,12/26/2022,,(810) 629-2511,MOY KONG EXPRESS--Client DO NOT CALL,,MOY KONG EXPRESS,,911 N LEROY ST,48430,FENTON,MI,USA
62920,45667,1/5/2023,,(508) 865-0507,PEKING GARDEN,,PEKING GARDEN,,3 BOSTON RD # 2,1590,SUTTON,MA,USA
62919,46039,3/3/2023,,(770) 929-1992,MANDARIN GARDEN,,MANDARIN GARDEN,,1820 HIGHWAY 20 SE,30013,CONYERS,GA,USA
62918,46038,3/3/2023,,(770) 761-8010,ORIENT EXPRESS,,ORIENT EXPRESS,,425 SIGMAN RD NW # 122,30012,CONYERS,GA,USA
62917,46365,3/10/2023,,(231) 779-0988,HOUSE OF HUNAN,,HOUSE OF HUNAN,,505 N MITCHELL ST,49601,CADILLAC,MI,USA
62916,46350,12/22/2022,,(989) 673-8888,CHINA BUFFET,,CHINA BUFFET,,1536 W CARO RD,48723,CARO,MI,USA
62915,46363,3/15/2023,,(231) 733-6333,ASIAN EXPRESS,,ASIAN EXPRESS,,3295 HENRY ST,49441,MUSKEGON,MI,USA
62914,46354,12/22/2022,,(517) 332-5333,HONG KONG RESTAURANT INC,,HONG KONG RESTAURANT INC,,315 S HOMER ST,48912,LANSING,MI,USA
62913,46347,12/22/2022,,(586) 757-3911,SPICY THAILAND LLC,,SPICY THAILAND LLC,,27143 VAN DYKE AVE,48093,WARREN,MI,USA
62912,46346,12/22/2022,,(248) 813-0900,THAI TASTE RESTAURANT,,THAI TASTE RESTAURANT,,5063 LIVERNOIS RD,48098,TROY,MI,USA
62911,45885,1/19/2023,,(610) 859-2110,NO 7,,NO 7,,3116 W 9TH ST,19013,CHESTER,PA,USA
62910,45733,1/23/2023,,(973) 566-0057,BROOKSIDE THAI RESTAURANT,,BROOKSIDE THAI RESTAURANT,,380 BROAD ST,7003,BLOOMFIELD,NJ,USA
62909,45966,4/10/2023,,(336) 886-2154,NO. 1 CHINESE RESTAURANT,,NO. 1 CHINESE RESTAURANT,,1125 E LEXINGTON AVE,27262,HIGH POINT,NC,USA
62908,46037,3/2/2023,,(770) 438-8820,GREAT WALL,,GREAT WALL,,3315 S COBB DR SE,30080,SMYRNA,GA,USA
62907,45958,3/7/2023,,(304) 422-0209,NEW CHINA,,NEW CHINA,,2518 PIKE ST,26101,PARKERSBURG,WV,USA
62906,45957,1/23/2023,,(304) 337-8899,JING CHIN CHEN'S GARDEN,,JING CHIN CHEN'S GARDEN,,143 N 4TH AVE,26159,PADEN CITY,WV,USA
62905,45956,3/7/2023,,(304) 295-7955,GREAT WALL CHINESE TAKEOUT,,GREAT WALL CHINESE TAKEOUT,,706 GRAND CENTRAL AVE,26105,VIENNA,WV,USA
62904,46450,12/1/2022,,(281) 497-9200,FIVE SPICE ASIAN CUISINE,,FIVE SPICE ASIAN CUISINE,,1275 ELDRIDGE PKWY,77077,HOUSTON,TX,USA
62903,45732,2/13/2023,,(201) 920-3666,THAI-NESE FUSION INC,,THAI-NESE FUSION INC,,540 NEW YORK AVE,7071,LYNDHURST,NJ,USA
62902,46345,12/22/2022,,(248) 545-4070,Pi's Thai Cuisine,,Pi's Thai Cuisine,,24940 JOHN R RD,48030,HAZEL PARK,MI,USA
62901,46358,12/21/2022,,(269) 553-9980,TEN TEN RESTAURANT LLC,,TEN TEN RESTAURANT LLC,,5282 GULL RD,49048,KALAMAZOO,MI,USA
62900,45658,11/1/2022,(413) 642-6515,(413) 642-6515,Alo Saigon,,Alo Saigon,,116 Elm St,1085,Westfield,MA,USA
62899,,3/7/2023,,(304) 733-3898,0,,CHINA HOUSE,,5636 US-60 #6,25705,HUNTINGTON,WV,USA
62898,45951,2/28/2023,,(304) 768-8866,China King Buffet,,China King Buffet,,50 River Walk Mall,25303,South Charleston,WV,USA
62897,46335,11/29/2022,,(219) 378-1798,CHINA COOK,,CHINA COOK,,1605 E COLUMBUS DR,46312,EAST CHICAGO,IN,USA
62896,46403,12/30/2022,,(815) 929-9880,PANDA RESTAURANT GROUP INC,,PANDA RESTAURANT GROUP INC,,850 N KINZIE AVE,60915,BRADLEY,IL,USA
62895,46250,2/15/2023,,(270) 384-2838,Trays Garden,,Trays Garden,,960 Jamestown St,42728,Columbia,KY,USA
62894,46248,2/15/2023,,(606) 348-5868,Trays Garden,,Trays Garden,,163 Cumberland Xing,42633,Monticello,KY,USA
62893,46243,2/8/2023,(606) 693-4873,(606) 693-4873,Chen's Asian Buffet Inc,,Chen's Asian Buffet Inc,,100 Highway 15 S Ste 102,41339,Jackson,KY,USA
62892,45693,11/4/2022,,(508) 880-7239,Golden Dragon,,Golden Dragon,,51 Court St # Unit 1,2780,Taunton,MA,USA
62891,,4/13/2023,,(330) 386-3833,SZECHUAN GARDEN,,SZECHUAN GARDEN,,15765 OH-170,43920,CALCUTTA,OH,USA
62890,46268,1/13/2023,,(740) 264-4505,NUMBER 1 CHINESE RESTAURANT,,NUMBER 1 CHINESE RESTAURANT,,2132 SUNSET BLVD,43952,STEUBENVILLE,OH,USA
62889,46173,2/21/2023,,(615) 730-8287,Funtime Ramen & Tea Bar,,Funtime Ramen & Tea Bar,,1703 Portland Ave,37212,Nashville,TN,USA
62888,46172,1/24/2023,,(615) 353-1250,Kien Giang Restaurant,,Kien Giang Restaurant,,5825 Charlotte Pike,37209,Nashville,TN,USA
62887,46171,2/16/2023,,(615) 600-4762,Hawkers Asian Street Food,,Hawkers Asian Street Food,,626A Main St,37206,Nashville,TN,USA
62886,46168,2/21/2023,,(629) 201-5959,Rock n' Roll Sushi - Murfreesboro,,Rock n' Roll Sushi - Murfreesboro,,3053 Medical Center Pkwy Suite D,37129,Murfreesboro,TN,USA
62885,46167,2/21/2023,,(615) 624-8881,Ginger Thai Bistro,,Ginger Thai Bistro,,536 N Thompson Ln Suite A,37129,Murfreesboro,TN,USA
62884,46166,2/17/2023,,(615) 622-5115,Hibachi Jr.,,Hibachi Jr.,,11321 Lebanon Rd,37122,Mt. Juliet,TN,USA
62883,46157,2/15/2023,,(615) 213-1555,Wings ON,,Wings ON,,5159 Murfreesboro Rd,37086,La Vergne,TN,USA
62882,46156,2/15/2023,,(931) 266-0506,Hong Kong Wok,,Hong Kong Wok,,1767 Madison St b100,37043,Clarksville,TN,USA
62881,46165,4/6/2023,,(615) 624-7327,Golden Grill Mongolian & Japanese Cuisine,,Golden Grill Mongolian & Japanese Cuisine,,2898 S Church St STE C,37127,Murfreesboro,TN,USA
62880,,1/19/2023,,(832) 387-1385,Famous Wok,,Famous Wok,,3700 Mallory Ln,37067,Franklin,TN,USA
62879,46155,2/12/2023,,(615) 280-6476,Mexichina,,Mexichina,,3000 Nir Shreibman Blvd,37086,La Vergne,TN,USA
62878,46480,12/12/2022,,(623) 247-2282,D&J Asian Grill,,D&J Asian Grill,,7611 W Thomas Rd Ste C044,85033,Phoenix,AZ,USA
62877,46432,2/16/2023,,(918) 742-4942,GOLDEN GATE,,GOLDEN GATE,,2620 S HARVARD AVE,74114,TULSA,OK,USA
62876,46430,2/16/2023,,(580) 225-5888,GOLDEN CHINA RESTAURANT,,GOLDEN CHINA RESTAURANT,,101 JANETS WAY #4803,73644,ELK CITY,OK,USA
62875,45949,3/28/2023,(540) 490-1788,(540) 885-2043,GREAT WALL CHINESE RESTAURANT,,GREAT WALL CHINESE RESTAURANT,,850 STATLER BLVD #116,24401,STAUNTON,VA,USA
62874,45677,11/2/2022,CNA,(781) 659-8188,BEIJING HOUSE TVP,,BEIJING HOUSE TVP,,456 WASHINGTON ST,2061,NORWELL,MA,USA
62873,46429,2/22/2023,,(580) 226-8976,JING YUAN,,JING YUAN,,1211 N COMMERCE ST,73401,ARDMORE,OK,USA
62872,45934,2/23/2023,,(540) 439-0690,Great Wall,,Great Wall,,6362 Village Center Dr,22712,Bealeton,VA,USA
62871,45809,2/20/2023,,(347) 663-3674,BORN THAI RESTAURANT,,BORN THAI RESTAURANT,,293 FLATBUSH AVE,11217,BROOKLYN,NY,USA
62870,,3/21/2023,(952) 451-2898,,Tea house,,女老板,,2425 University Avenue Southeast,55414,Minneapolis,MN,USA
62869,46036,2/22/2023,(678) 882-2938,(770) 339-1101,JADE DRAGON,,JADE DRAGON,,1414 LAWRENCEVILLE-SUWANEE RD,30043,LAWRENCEVILLE,GA,USA
62868,46502,1/13/2023,,(858) 538-0166,Wonderful Sushi,,Wonderful Sushi,,13185 Black Mountain Rd Ste 3,92129,San Diego,CA,USA
62867,45893,3/22/2023,,(610) 670-5650,Zhuang Garden,,Zhuang Garden,,2834 Penn Ave,19609,Reading,PA,USA
62866,45784,1/17/2023,,(914) 937-8465,NUMBER ONE | CHINESE RESTAURANT,,NUMBER ONE | CHINESE RESTAURANT,,120 WESTCHESTER AVE,10573,PORT CHESTER,NY,USA
62865,45847,2/21/2023,,(516) 783-5056,EAST CHINESE JAPANESE REST,,EAST CHINESE JAPANESE REST,,2032 NEWBRIDGE RD,11710,BELLMORE,NY,USA
62864,45754,2/10/2023,(917) 609-0883,(646) 861-3883,YUZU Premium Sushi New York,,jiang,,350 Lenox Avenue,10027,New York,NY,USA
62863,45909,3/22/2023,,(301) 577-6886,TOP TASTE CARRY OUT,,TOP TASTE CARRY OUT,,7029 ANNAPOLIS RD,20784,LANDOVER HILLS,MD,USA
62862,45726,2/21/2023,,(203) 656-1688,Tengda Asian Bistro,,Tengda Asian Bistro,,25 Old Kings Hwy N Ste 48,6820,Darien,CT,USA
62861,45725,4/11/2023,,(203) 546-8864,Japanese Specialty Food Distr,,Japanese Specialty Food Distr,,2 Sand Cut Rd,6804,Brookfield,CT,USA
62860,45722,4/11/2023,,(860) 868-0555,Norimaki Japanese Sushi & Gifts,,Norimaki Japanese Sushi & Gifts,,4 Green Hill Rd,6793,Washington,CT,USA
62859,45717,1/20/2023,,(203) 439-9100,Yougu Hibachi Restaurant,,Yougu Hibachi Restaurant,,195 Highland Ave,6410,Cheshire,CT,USA
62858,,3/23/2023,,(860) 437-7887,China House,,China House,,30 New London Route 32,6375,Quaker Hill,CT,USA
62857,45808,4/6/2023,,(718) 376-2207,Peking Kitchen,,Peking Kitchen,,1806 Ave. M,11230,Brooklyn,NY,USA
62856,,2/28/2023,,(910) 895-2500,Chiba Japanese Restaurants,,Chiba Japanese Restaurants,,1200 East Broad Avenue,28379,Rockingham,NC,USA
62855,46073,1/17/2023,,(904) 264-2003,MANDARIN EXPRESS,,MANDARIN EXPRESS,,1910 WELLS RD SUITE VC06,32073,ORANGE PARK,FL,USA
62854,46072,1/27/2023,,(904) 291-6988,CHINA WOK,,CHINA WOK,,2640 BLANDING BLVD #209,32068,MIDDLEBURG,FL,USA
62853,45720,2/21/2023,,(203) 288-9888,Thai Smile Restaurant,,Thai Smile Restaurant,,1505 DIXWELL AVE,6514,HAMDEN,CT,USA
62852,45716,4/5/2023,,(860) 399-2528,ORIENT EXPRESS,,ORIENT EXPRESS,,1285 BOSTON POST RD,6498,WESTBROOK,CT,USA
62851,46114,3/14/2023,,(321) 453-6400,LIN CHI CHINESE FOOD,,LIN CHI CHINESE FOOD,,2137 N COURTENAY PKWY,32953,MERRITT ISLAND,FL,USA
62850,46109,3/13/2023,,(321) 804-5868,SUSHI 99,,SUSHI 99,,1024 AVALON PARK N BLVD,32828,ORLANDO,FL,USA
62849,45807,2/21/2023,,(718) 266-3129,EAST FAR,,EAST FAR,,2406 MERMAID AVE,11224,BROOKLYN,NY,USA
62848,45806,4/12/2023,,(718) 680-1126,PANDA GARDEN,,PANDA GARDEN,,9708 3RD AVE,11209,BROOKLYN,NY,USA
62847,45846,2/23/2023,(631) 897-7688,(631) 261-9508,PANDA CHINESE RESTAURANT,,PANDA CHINESE RESTAURANT,,757 PULASKI RD,11740,GREENLAWN,NY,USA
62846,45864,2/8/2023,,(585) 247-9220,NUMBER ONE ROCHESTER RESTAURANT,,NUMBER ONE ROCHESTER RESTAURANT,,2317 BUFFALO RD,14624,ROCHESTER,NY,USA
62845,,1/25/2023,,(601) 732-1299,CHINA KITCHEN,,CHINA KITCHEN,,341 S 4TH ST,39117,MORTON,MS,USA
62844,46204,1/16/2023,,(601) 919-1388,CHINA CAFE,,CHINA CAFE,,160 PROMENADE BLVD,39232,FLOWOOD,MS,USA
62843,46201,1/25/2023,,(601) 859-6555,CHINA BUFFET,,CHINA BUFFET,,604 W PEACE ST,39046,CANTON,MS,USA
62842,46219,1/25/2023,,(601) 684-5258,CHINA BUFFET,,CHINA BUFFET,,1604 VETERANS BLVD,39648,MCCOMB,MS,USA
62841,,1/18/2023,,(662) 453-3297,CHINA BLOSSOM RESTAURANT,,CHINA BLOSSOM RESTAURANT,,917 US-82,38930,GREENWOOD,MS,USA
62840,46209,1/19/2023,,(601) 484-5858,AIES TASTE OF THAI,,AIES TASTE OF THAI,,1900 FRONT ST,39301,MERIDIAN,MS,USA
62839,46213,1/25/2023,,(601) 584-6811,A & B DISCOUNT GROCERY CHINESE,,A & B DISCOUNT GROCERY CHINESE,,700 EMERALD LN,39401,HATTIESBURG,MS,USA
62838,46202,1/25/2023,,(662) 751-8889,MING BUFFET SUSHI,,MING BUFFET SUSHI,,756 E FIFTEENTH ST,39194,YAZOO CITY,MS,USA
62837,46004,3/9/2023,,(864) 984-4351,Great Wall Chinese Restaurant,,Great Wall Chinese Restaurant,,229 Hillcrest Dr,29360,Laurens,SC,USA
62836,46035,2/16/2023,,(678) 847-6221,Yami Japan,,Yami Japan,,1820 North Brown Road,30043,Lawrenceville,GA,USA
62835,46146,4/2/2023,,(256) 492-0404,CHOP STIX,,CHOP STIX,,3741 ALFORD BEND RD,35903,GADSDEN,AL,USA
62834,46145,2/14/2023,,(256) 859-6328,NEW CHINA RESTAURANT,,NEW CHINA RESTAURANT,,3503 MEMORIAL PKWY NW # F,35810,HUNTSVILLE,AL,USA
62833,,2/3/2023,(347) 863-8160,,Hiring,,Front Desk,,亚拉巴马,,,亚拉巴马,USA
62832,46413,2/2/2023,,(417) 866-2770,Hong Kong Garden,,Hong Kong Garden,,625 N Glenstone Ave,65802,Springfield,MO,USA
62831,45881,3/21/2023,,(570) 341-8111,QQ CHINESE,,QQ CHINESE,,1815 N MAIN AVE,18508,SCRANTON,PA,USA
62830,46144,3/12/2023,,(256) 350-8868,CANTON HOUSE,,CANTON HOUSE,,609 14TH ST SE,35601,DECATUR,AL,USA
62829,,2/14/2023,,(205) 487-4449,MANDARIN HOUSE,,MANDARIN HOUSE,,2430 US-43,35594,WINFIELD,AL,USA
62828,,3/9/2023,,(570) 544-6135,HONG KONG RESTAURANT,,HONG KONG RESTAURANT,,W MARKET ST,17954,MINERSVILLE,PA,USA
62827,45892,4/8/2023,,(610) 970-5790,HING SAN CHINESE AND AMERICAN RESTAURANT,,HING SAN CHINESE AND AMERICAN RESTAURANT,,425 E HIGH ST,19464,POTTSTOWN,PA,USA
62826,46326,1/13/2023,,(419) 399-3888,CHINA WOK,,CHINA WOK,,1059 N WILLIAMS ST,45879,PAULDING,OH,USA
62825,46325,2/21/2023,(917) 877-0172,(419) 523-3886,CHINA WOK (pick up resto),,CHINA WOK 汪老板（F）9178770172,,489 N PERRY ST,45875,OTTAWA,OH,USA
