,,Total ARR,,,,,,,,,,,,,,,,,Voice ARR,,,,,,,,,,,,,,WP ARR,,,,,,,,,,,,,,DE ARR,,,,,,,,,,,,,,H/W Rental ARR,,,,,,,,,,,,,,Comments,,,,
R81876,FT,"35,534","29,684","21,455","27,942","24,054","10,648","11,136","13,437","11,648","11,741","11,537","11,749","9,805","-1,944",2%,,,"27,019","22,728","17,060","22,061","18,457","8,090","8,066","9,633","8,031","8,392","8,243","8,412","6,841",,"8,515","6,956","4,395","5,881","5,597","2,558","3,070","3,804","3,617","3,349","3,294","3,337","2,964",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81877,R81877
R81877,PT,"22,039","33,096","27,022","26,742","36,119","32,015","13,165","24,412","22,541","21,226","13,621","19,391","21,069","1,678",42%,,,"21,948","33,005","26,931","26,646","21,757","19,880","3,585","12,555","10,890","7,847","2,822","4,676","2,481",,0,0,0,0,"14,271","12,135","9,489","11,766","11,560","13,288","10,708","14,619","18,492",,0,0,0,0,0,0,0,0,0,0,0,0,0,,91,91,91,96,91,0,91,91,91,91,91,96,96,,,,suspended  for one month 5/14-6/26; restore the business on July,R81878,R81878
R81878,PT,"28,162","26,659","25,544","26,779","25,727","25,217","22,776","27,786","24,425","22,990","17,633","25,668","24,210","-1,458",46%,,,"28,162","26,659","25,544","26,779","25,727","25,217","22,776","27,786","24,425","22,990","17,633","25,668","24,210",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81879,R81879
R81881,FT,"23,262","18,621","17,119","17,747","18,031","14,518","15,172","14,142","15,643","12,457","7,367","11,707","11,887",180,59%,,,"23,262","18,621","17,119","17,747","18,031","14,518","15,172","14,142","15,643","12,457","7,367","11,707","11,887",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81881,R81881
R81885,FT,"44,759","33,033","37,787","34,358","30,331","24,455","32,087","30,900","37,804","28,302","29,062","30,113","33,051","2,938",4%,,,"44,759","33,033","37,787","34,358","30,331","24,335","32,087","30,900","37,804","28,302","29,062","30,113","33,051",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,120,0,0,0,0,0,0,0,,,,,R81885,R81885
R81887,FT,"52,442","32,948","40,391","32,566","33,413","26,653","25,223","26,653","34,229","22,620","22,452","20,838","19,840",-998,-7%,,,"52,442","32,948","40,391","32,566","33,413","26,653","25,223","26,653","34,229","22,620","22,452","20,838","19,840",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81887,R81887
R81888,FT,0,0,0,"60,749","61,105","80,741","84,282","96,522","84,611","91,164","93,556","94,009","89,130","-4,879",0%,,,0,0,0,"58,297","54,713","73,211","74,472","80,919","74,218","81,024","85,592","85,710","81,291",,0,0,0,"2,452","6,392","7,530","9,810","15,603","10,393","10,140","7,964","8,299","7,839",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81888,R81888
R81889,FT,"33,590","35,529","31,275","28,194","24,833","27,690","26,942","24,452","24,975","24,519","21,598","21,819","21,672",-147,1%,,,"33,590","35,529","31,275","28,194","24,833","27,690","26,942","24,452","24,975","24,519","21,598","21,819","21,672",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81889,R81889
R81891,FT,"29,233","41,034","41,984","42,754","37,980","24,731","35,349","28,846","24,599","36,374","33,500","37,144","33,080","-4,064",11%,,,"29,233","41,034","41,984","42,754","37,980","24,731","35,349","28,846","24,599","36,374","33,500","37,144","33,080",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81891,R81891
R81892,FT,"36,293","35,006","34,248","33,082","33,212","35,801","28,244","28,190","28,313","26,121","15,248","14,954","15,786",832,-2%,,,"36,293","35,006","30,520","25,868","25,118","27,730","21,675","21,486","20,135","23,780","14,296","13,451","14,071",,0,0,"3,728","7,214","8,094","8,071","6,569","6,704","8,178","2,341",952,"1,503","1,679",,0,0,0,0,0,0,0,0,0,0,0,0,36,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81892,R81892
R81893,FT,"18,013","12,923","12,256","12,108","12,224","13,089","12,782",0,0,0,0,0,0,0,,,,"18,013","12,923","12,256","12,108","12,224","13,089","12,782",0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81893,R81893
R81895,PT,"20,795","18,067","13,945","15,710","16,377","16,907","13,397","13,997","12,663","10,786","12,293","14,693","15,645",952,20%,,,"20,795","18,067","13,945","15,710","16,377","16,907","13,397","13,997","12,663","10,786","12,293","14,693","15,645",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81895,R81895
R81896,FT,"13,279","15,217","14,093","12,721","11,494","12,593","12,223","10,980","9,988","10,386","10,960","9,696","11,146","1,450",-12%,,,"13,279","15,217","14,093","12,721","11,494","12,593","12,223","10,980","9,988","10,386","10,960","9,696","11,146",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81896,R81896
R81897,FT,"13,100","11,224","8,708","8,445","7,818","10,561","11,510","12,308","8,236","8,363","9,046",648,648,0,-93%,,,"13,100","11,224","8,708","8,445","7,818","10,561","11,510","12,308","8,236","8,363","9,046",648,648,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81897,R81897
R81898,FT,"31,489","21,322","23,517","20,712","24,375","21,259","18,350","21,194","24,185","16,565","17,975","17,096","17,759",663,-5%,,,"31,489","21,322","23,517","20,712","24,375","21,259","18,350","21,194","24,185","16,565","17,975","17,096","17,759",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"Suspended since May, and permanently canceled and return devices on June ",R81898,R81898
R81899,FT,"33,593","38,787","40,467","30,784","28,478","30,714","21,715","22,192","25,300","21,599","32,537","33,334","26,042","-7,292",2%,,,"33,593","36,518","30,174","19,892","16,883","20,874","11,267","11,232","13,493","11,281","23,651","24,937","19,142",,0,"2,269","10,293","10,892","11,595","9,840","10,448","10,960","11,807","10,318","8,886","8,397","6,900",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81899,R81899
R81902,FT,"8,019","8,016","8,457","7,408","8,487","9,400","9,425","5,563","5,521","5,377",0,0,0,0,,,,"8,019","8,016","8,457","7,408","8,487","9,280","9,425","5,563","5,521","5,377",0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,120,0,0,0,0,0,0,0,,,,,R81902,R81902
R81903,FT,"37,666","48,365","58,247","59,737","5,061","42,476","52,508","55,530","44,900","45,681","48,244","38,270","25,673","-12,597",-21%,,,"37,666","48,365","58,247","59,737","5,061","42,476","52,508","55,530","44,900","45,681","48,244","38,270","25,673",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81903,R81903
R81905,FT,"14,438","7,106","6,095","5,606","6,594","7,045","4,853","4,668","7,493","6,904","5,652",0,0,0,-100%,,,"14,438","7,106","6,095","5,606","6,594","7,045","4,853","4,668","7,493","6,904","5,652",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81905,R81905
R81907,PT,"24,274","15,236","2,400","2,400","5,265","2,400","2,400","2,400","2,400","2,400","1,760","4,684","2,400","-2,284",166%,,,"24,274","15,236","2,400","2,400","5,265","2,400","2,400","2,400","2,400","2,400","1,760","4,684","2,400",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81907,R81907
R81908,FT,"13,807","17,433","15,302","14,167","10,626","13,867","12,383","16,165","15,222","13,612","8,185",0,0,0,-100%,,,"13,807","17,433","15,302","14,167","10,626","13,867","12,383","16,165","15,222","13,612","8,185",0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81908,R81908
R81909,FT,"25,259","26,265","16,242","27,159","19,526","20,673","19,883","22,695","32,746","29,175","31,080","22,848","25,874","3,026",-26%,,,"22,949","24,239","15,022","24,689","17,487","19,099","18,323","20,863","30,103","27,159","28,708","21,181","24,405",,"2,310","2,026","1,220","2,470","2,039","1,574","1,560","1,832","2,643","2,016","2,372","1,667","1,469",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81909,R81909
R81912,FT,"27,487","16,649","18,880","17,700","22,528","15,272","16,281","15,454","18,187","13,119","12,733","13,187","15,874","2,687",4%,,,"27,487","16,649","18,880","17,700","22,528","15,152","16,281","15,454","18,187","13,011","12,617","13,109","15,849",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,108,116,78,25,,0,0,0,0,0,120,0,0,0,0,0,0,0,,,,,R81912,R81912
R81915,FT,"16,755","21,524","21,140","22,848","18,857","23,226","21,044","19,602","27,410","22,926","21,428","21,230","21,303",73,-1%,,,"16,755","21,524","21,140","22,848","18,857","23,226","21,044","19,602","27,410","22,926","21,428","21,230","21,303",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81915,R81915
R81916,FT,"56,915","52,461","55,844","55,951","55,031","50,999","63,247","60,716","67,185","61,953","63,252","54,739","60,729","5,990",-13%,,,"56,915","52,461","55,844","55,951","55,031","50,999","63,247","60,716","67,185","61,953","63,252","54,739","60,729",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81916,R81916
R81918,FT,"15,061","13,643","10,742","9,478","9,449","10,920","12,754","11,175","11,094","10,598","10,403","9,903","7,890","-2,013",-5%,,,"15,061","13,643","10,742","9,478","9,449","10,920","12,754","10,718","10,608","10,281","9,984","9,830","7,839",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,457,486,317,419,73,51,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"Suspended on May, agree to pay license fee",R81918,R81918
R81919,FT,"15,502","15,432","14,772","13,588","11,925","19,867","20,455","22,678","18,326","13,208","13,630","12,451","11,194","-1,257",-9%,,,"15,502","15,432","14,772","13,588","11,925","19,867","20,455","22,678","18,326","13,208","13,630","12,451","11,194",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81919,R81919
R81922,PT,"20,601","6,099",653,"19,733","14,777","5,428",653,"18,304","2,013","15,583",327,"10,938","1,476","-9,462",3249%,Aug'24 Reactivate,,"20,601","6,099",0,"19,733","14,777","5,428",0,"18,304","2,013","15,583",327,"10,938","1,476",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,653,0,0,0,653,0,0,0,0,0,0,,,,"suspended on Jun, back already in July - Decision to return ARR to prior level",R81922,R81922
R81923,FT,"9,876","2,400","10,129","10,183","9,226","9,307","9,933","10,099","9,123","11,129","11,137","7,394","4,717","-2,677",-34%,,,"9,876","2,400","10,129","10,183","9,226","9,307","9,933","10,099","9,123","11,129","11,137","7,394","4,717",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81923,R81923
R81925,FT,"22,876","21,889","24,493","22,260","20,570","21,815","21,420","23,921","27,279","21,867","21,867","21,867","21,867",0,0%,Jul'24 Reactivate,,"22,876","21,889","24,493","22,260","20,570","21,815","21,006","23,921","27,279","21,867",0,"20,689","19,884",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,414,0,0,0,0,0,0,,,,,R81925,R81925
R81928,FT,"43,741","51,384","46,836","46,636","49,367","61,974","57,645","53,117","54,925","49,607","48,404","49,623","47,099","-2,524",3%,,,"38,696","46,395","42,609","42,143","43,180","55,839","52,416","48,423","49,467","44,567","44,428","45,625","43,451",,"5,045","4,989","4,227","4,493","6,187","6,135","5,229","4,694","5,458","5,040","3,976","3,998","3,648",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"canceled services since April, devices returned",R81928,R81928
R81929,FT,"26,030","23,603","21,805","21,365","22,313","19,003","19,923","20,619","18,061","15,346","15,931","17,063","16,788",-275,7%,,,"26,030","23,603","21,805","21,365","22,313","19,003","19,923","20,619","18,061","15,346","15,931","17,063","16,788",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81929,R81929
R81932,PT,0,"21,044","16,640","16,742","17,012","15,087","14,178","16,028","15,722","2,040",0,0,0,0,,,,0,"18,412","14,690","14,509","14,615","13,183","12,586","13,931","13,643","1,161",0,0,0,,0,"2,632","1,950","2,233","2,397","1,904","1,592","2,097","2,079",879,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Reduced open days of week since March change from almost 5 days to 3 days,R81932,R81932
R81933,FT,"26,304","15,603","18,194","17,665","21,179","17,479","17,779","18,409","28,327","17,486","16,039","18,047","20,437","2,390",13%,,,"26,304","15,603","18,194","17,665","21,179","17,479","17,779","18,409","28,327","17,486","16,039","18,047","20,437",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81933,R81933
R81935,PT,"51,501","45,729","10,509","3,363","42,156","11,807","14,316","20,680","32,581","14,340","7,418","13,240","22,830","9,590",78%,,,"46,114","42,003","9,104","2,400","37,338","9,716","12,547","18,588","28,771","13,155","6,417","12,331","20,347",,"5,387","3,726","1,405",963,"4,818","2,091","1,769","2,092","3,810","1,185","1,001",909,"2,483",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81935,R81935
R81936,FT,"27,207","27,737","26,619","28,062","24,495","28,213","28,197","28,317","27,738","28,993","26,988","28,398","26,152","-2,246",5%,,,"27,207","27,737","26,619","28,062","24,495","26,175","26,249","26,320","25,643","26,770","24,644","26,289","24,099",,0,0,0,0,0,"2,038","1,948","1,997","2,095","2,223","2,344","2,109","2,053",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81936,R81936
R81937,FT,0,"29,485","26,371","27,268","21,214","29,310","28,201","28,200","23,286","29,585","28,566","30,346","30,725",379,6%,,,0,"29,485","26,371","27,268","21,214","29,310","28,201","28,200","23,286","29,585","28,566","30,346","30,725",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81937,R81937
R81938,FT,"19,313","16,101","14,184","14,871","17,954","17,089","16,027","15,331","23,008","15,476","19,888","13,007","11,730","-1,277",-35%,,,"19,313","16,101","14,184","14,871","17,954","17,089","16,027","15,331","23,008","15,476","19,888","13,007","11,730",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81938,R81938
R81939,FT,"11,320","14,207","15,873","15,497","12,940","13,946","14,233","13,583","13,739","13,535","12,947","11,861","12,467",606,-8%,,,"11,320","14,207","15,873","15,497","12,940","13,946","14,233","13,583","13,739","13,535","12,947","11,861","12,467",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"significant low active days for June, no further order in July",R81939,R81939
R81951,FT,"35,608","43,615","42,849","34,300","30,438","35,257","36,551","38,210","35,426","35,902","39,923","29,996","35,783","5,787",-25%,,,"32,482","39,350","37,477","30,919","27,513","32,092","32,165","34,837","32,308","32,420","36,586","27,416","32,805",,"3,126","4,265","5,372","3,381","2,925","3,045","4,386","3,373","3,118","3,482","3,337","2,580","2,808",,0,0,0,0,0,0,0,0,0,0,0,0,170,,0,0,0,0,0,120,0,0,0,0,0,0,0,,,,,R81951,R81951
R81953,PT,"48,109","46,319","46,308","46,082","62,533","44,901","51,074","35,752","44,245","43,743","6,110","43,117","44,104",987,606%,,,"48,109","46,319","46,308","46,082","62,533","44,901","51,074","35,752","44,245","43,743","6,110","43,117","44,104",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,suspended for vacation 6/15-7/8 back already: Decision to revert ARR to prior levels,R81953,R81953
R81955,FT,"23,975","18,300","18,348","19,156","20,985","17,658","18,603","19,844","27,796","21,073","19,160","14,081","16,666","2,585",-27%,,,"23,975","18,300","18,348","19,156","20,985","17,658","18,603","19,844","27,796","21,073","19,160","14,081","16,666",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81955,R81955
R81956,PT,"2,400","14,237","8,435","9,117","8,059","9,347","9,444","9,445","15,599","21,158","21,158","21,158","21,158",0,0%,,,"2,400","14,237","8,435","9,117","8,059","9,347","9,444","9,445","15,599","21,158","1,120",648,648,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81956,R81956
R81957,FT,"23,793","20,066","21,963","17,459","9,784","7,922","6,280","5,559","11,384","5,026","4,732","4,272","5,722","1,450",-10%,,,"23,793","20,066","19,432","15,060","9,784","7,922","6,280","5,559","11,384","5,026","4,732","4,272","5,722",,0,0,"2,531","2,399",0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81957,R81957
R81958,FT,"15,248","12,688","12,439","11,065","13,903","11,602","11,372","12,057","22,449","11,848","10,920","11,267","13,326","2,059",3%,,,"15,248","12,688","12,439","11,065","13,903","11,602","11,372","12,057","22,449","11,848","10,920","11,267","13,326",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81958,R81958
R81959,FT,"24,443","30,764","33,857","34,924","26,584","34,799","36,062","30,922","24,738","38,358","40,900","35,285","32,150","-3,135",-14%,,,"24,443","30,331","32,427","33,589","25,201","33,389","34,867","29,582","23,410","36,454","39,156","33,784","30,553",,0,433,"1,430","1,335","1,383","1,410","1,195","1,340","1,328","1,904","1,744","1,501","1,597",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81959,R81959
R81961,FT,"46,319","36,141","35,874","36,985","39,845","30,011","32,335","28,861","26,921","25,568","29,887","31,114","26,201","-4,913",4%,,,"46,319","36,141","35,874","36,985","39,845","30,011","32,335","28,861","26,921","25,568","29,887","31,114","25,302",,0,0,0,0,0,0,0,0,0,0,0,0,884,,0,0,0,0,0,0,0,0,0,0,0,0,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81961,R81961
R81962,FT,"52,373","52,987","57,542","63,264","52,277","63,736","62,188","59,727","61,032","66,609","64,058","62,129","63,625","1,496",-3%,,,"52,373","52,987","46,069","49,330","37,594","48,965","46,979","44,910","46,285","49,573","48,483","46,138","49,398",,0,0,"11,473","13,934","14,683","14,771","15,209","14,817","14,747","17,036","15,575","15,991","14,227",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81962,R81962
R81963,FT,"30,278","55,819","29,332","27,075","29,211","44,215","40,165","39,694","41,066","39,624","37,598","35,196","32,501","-2,695",-6%,,,"25,529","46,987","25,339","23,293","24,509","37,713","34,344","33,858","34,817","33,302","29,992","28,478","28,364",,"4,749","8,832","3,993","3,782","4,702","6,502","5,821","5,836","6,249","6,109","4,338","4,768","3,742",,0,0,0,0,0,0,0,0,0,213,"3,268","1,950",395,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81963,R81963
R81965,FT,"22,786","23,635","19,784","21,811","22,310","21,503","22,695","25,431","27,460","21,119","19,081","20,106","20,031",-75,5%,,,"22,786","20,916","17,721","19,400","19,651","19,159","20,567","22,750","24,961","18,965","17,120","17,865","17,970",,0,"2,719","2,063","2,411","2,659","2,344","2,128","2,681","2,499","2,154","1,961","1,780","1,935",,0,0,0,0,0,0,0,0,0,0,0,461,126,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81965,R81965
R81967,FT,"16,426","14,008","10,801","12,282","11,763","11,478","13,095","28,401","26,228","25,697","25,149","24,416","25,203",787,-3%,,,"16,426","14,008","10,801","12,282","11,763","11,478","13,095","28,401","26,228","25,697","25,149","24,416","25,203",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,have longer take order time; coupon in April for 2 weeks,R81967,R81967
R81968,FT,"9,279","8,399","6,082","6,835","8,331","6,633","9,202","8,552","8,608","6,458","6,023","4,112","3,992",-120,-32%,,,"9,279","8,399","6,082","6,835","8,331","6,633","9,202","8,552","8,608","6,458","6,023","4,112","3,992",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81968,R81968
R81969,PT,"4,313","3,898","3,525","3,208","2,060","2,214","2,584","2,930","2,255","2,934","5,598","2,823","1,939",-884,-50%,,,"4,313","3,898","3,525","3,208","2,060","2,214","2,584","2,930","2,054","2,783","5,421","2,801","1,896",,0,0,0,0,0,0,0,0,160,125,135,0,39,,0,0,0,0,0,0,0,0,41,26,42,22,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81969,R81969
R81971,PT,"17,572","25,625","20,622","19,915","18,621","17,845","13,958","13,509","14,736","12,005","10,792","10,879","7,089","-3,790",1%,,,"17,572","22,600","18,447","17,730","15,888","16,093","12,699","12,336","13,252","10,739","9,864","9,930","6,411",,0,"3,025","2,175","2,185","2,733","1,752","1,259","1,173","1,484","1,266",928,949,678,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81971,R81971
R81972,PT,"17,495","18,018",0,0,0,0,0,0,0,0,"29,103","2,449",648,"-1,801",-92%,,,"17,495","18,018",0,0,0,0,0,0,0,0,"25,702",0,648,,0,0,0,0,0,0,0,0,0,0,"2,225","2,004",0,,0,0,0,0,0,0,0,0,0,0,"1,176",445,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81972,R81972
R81975,PT,"28,739","17,107","17,743","16,763","19,212","18,383","18,044","19,645","18,155","21,863","19,035","18,471","19,055",584,-3%,,,"28,739","17,107","17,743","16,763","19,212","18,383","18,044","19,645","18,155","21,863","19,035","18,471","19,055",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81975,R81975
R81976,PT,"25,489","25,288","33,767","17,082","25,788","24,867","13,337","25,456","32,250","13,701","20,982","21,649","26,113","4,464",3%,,,"25,489","25,288","33,767","17,082","25,788","24,747","13,337","25,456","32,250","13,701","20,982","21,649","26,113",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,120,0,0,0,0,0,0,0,,,,,R81976,R81976
R81977,FT,"41,421","33,745","35,049","34,310","36,813","30,633","33,054","29,054","32,912","33,080","30,347","31,168","29,479","-1,689",3%,,,"41,421","33,745","35,049","34,310","36,813","30,633","33,054","29,054","32,912","33,080","30,347","31,168","29,479",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81977,R81977
R81978,FT,"12,630","10,603","13,594","10,559","10,240","9,806","10,679","11,637","10,238","8,861","11,595","8,693","9,153",460,-25%,,,"12,630","10,603","9,754","7,415","7,097","7,017","7,406","8,083","6,866","6,089","8,329","5,417","6,441",,0,0,"3,840","3,144","3,143","2,789","3,273","3,554","3,372","2,772","3,266","3,276","2,712",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81978,R81978
R81979,FT,"49,557","54,044","48,865","46,558","40,268","46,506","44,851","46,395","43,454","45,499","40,732","41,498","37,345","-4,153",2%,,,"49,557","54,044","48,865","46,558","40,268","46,506","44,851","46,395","43,454","45,499","40,732","41,498","37,345",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81979,R81979
R81981,FT,"35,042","39,210","36,373","33,101","27,352","34,026","35,033","36,771","33,664","34,811","37,339","38,890","38,649",-241,4%,,,"35,042","39,210","36,373","33,101","27,352","34,026","35,033","36,771","33,664","34,811","37,339","38,890","38,649",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81981,R81981
R81983,FT,"24,338","27,153","27,148","25,609","25,327","28,554","30,450","29,473","32,000","28,812","29,167","28,657","26,043","-2,614",-2%,,,"24,338","27,153","27,148","25,609","25,327","28,554","30,450","29,473","32,000","28,812","29,167","28,657","26,043",,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81983,R81983
