UID,Sum of ARR,Sum of Total,Sum of Take Rate,,ID,Base & Other Fees,Rental,Voice ARR,,ID,WP ARR,,ID,DE ARR
R82661,"4,098","58,622",6.99%,,R82201,0,0,"16,344",,,,,,
R82662,"15,212","185,741",8.19%,,R82202,0,0,0,,,,,,
R82663,0,0,7.99%,,R82203,0,0,"11,971",,,,,,
R82666,"11,990","171,534",6.99%,,R82205,200,0,"4,694",,,,,,
R82667,"19,873","284,307",6.99%,,R82206,0,0,0,,,,,,
R82668,"13,867","178,012",7.79%,,R82207,200,0,"2,400",,,,,,
R82671,"15,879","227,168",6.99%,,R82208,54.44,0,653,,,,,,
R82672,"13,822","160,910",8.59%,,R82209,0,7.61,"47,828",,,,,,
R82673,"11,987","149,837",8.00%,,R82301,0,0,"14,735",,,,,,
R82675,"6,317","90,367",6.99%,,R82302,200,7.61,"14,236",,,,,,
R82678,"7,140","102,152",6.99%,,R82303,0,7.61,"29,404",,,,,,
R82679,"20,817","297,814",6.99%,,R82305,0,0,"12,366",,,,,,
R82681,"19,598","245,278",7.99%,,R82306,0,0,"42,354",,,,,,
R82682,"49,571","709,170",6.99%,,R82307,0,0,0,,,,,,
R82683,"2,979","36,374",8.19%,,R82308,0,0,0,,,,,,
R82686,"43,171","617,615",6.99%,,R82309,0,0,"11,361",,,,,,
R82687,"18,469","237,080",7.79%,,R82311,10,0,"6,265",,,,,,
R82688,"8,852","113,634",7.79%,,R82312,0,0,0,,,,,,
R82689,"23,165","331,397",6.99%,,R82313,200,7.61,"29,646",,,,,,
R82692,"17,934","213,757",8.39%,,R82315,0,0,"20,782",,,,,,
R82693,"5,201","63,505",8.19%,,R82316,0,0,0,,,,,,
R82695,"22,085","315,955",6.99%,,R82318,0,15.22,"7,935",,,,,,
R82696,"14,083","201,475",6.99%,,R82321,0,7.61,0,,,,,,
R82697,0,0,8.59%,,R82322,0,15.22,"8,127",,,,,,
R82698,"12,932","185,007",6.99%,,R82323,0,0,0,,,,,,
R82701,"26,421","339,170",7.79%,,R82325,0,0,0,,,,,,
R82702,"9,702","121,271",8.00%,,R82327,0,0,0,,,,,,
R82705,"9,307","133,144",6.99%,,R82328,0,0,0,,,,,,
R82706,"16,958","242,606",6.99%,,R82329,0,0,"39,819",,,,,,
R82707,0,0,6.99%,,R82331,200,7.61,"4,493",,,,,,
R82708,"8,367","119,704",6.99%,,R82332,0,0,0,,,,,,
R82711,0,0,7.99%,,R82333,0,0,0,,,,,,
R82712,"22,017","314,985",6.99%,,R82335,0,0,"53,501",,,,,,
R82713,0,0,6.99%,,R82336,0,0,"20,902",,,,,,
R82715,"13,024","163,006",7.99%,,R82337,0,0,"21,542",,,,,,
R82716,"16,507","236,152",6.99%,,R82338,200,0,"3,947",,,,,,
R82717,"26,314","376,448",6.99%,,R82339,200,7.61,"30,468",,,,,,
R82718,"37,118","531,013",6.99%,,R82351,200,0,"18,184",,,,,,
R82719,"42,847","498,801",8.59%,,R82352,10,15.22,"15,574",,,,,,
R82722,"8,505","121,676",6.99%,,R82353,0,0,0,,,,,,
R82723,"6,332","90,589",6.99%,,R82355,0,0,0,,,,,,
R82725,"19,180","274,385",6.99%,,R82357,0,0,0,,,,,,
R82726,"14,183","202,899",6.99%,,R82358,0,0,"17,875",,,,,,
R82727,"20,685","252,560",8.19%,,R82359,0,0,0,,,,,,
R82729,"9,242","110,152",8.39%,,R82361,200,7.61,"14,490",,,,,,
R82731,"8,541","122,183",6.99%,,R82362,10,7.61,"14,630",,,,,,
R82733,"19,414","242,976",7.99%,,R82363,200,7.61,"17,726",,,,,,
R82736,0,0,6.99%,,R82365,200,0,"7,624",,,,,,
R82737,"2,328","33,306",6.99%,,R82366,0,15.22,"23,735",,,,,,
R82738,"18,627","266,487",6.99%,,R82367,54.44,0,653,,,,,,
R82751,0,0,7.79%,,R82368,0,0,"13,410",,,,,,
R82752,"5,594","80,028",6.99%,,R82369,0,7.61,"15,067",,,,,,
R82756,"11,171","139,809",7.99%,,R82372,0,0,"13,408",,,,,,
R82758,"9,775","139,847",6.99%,,R82373,0,0,"20,147",,,,,,
R82759,"10,292","147,234",6.99%,,R82375,0,7.61,"11,754",,,,,,
R82761,"7,740","96,748",8.00%,,R82376,0,0,"27,751",,,,,,
R82762,"25,258","316,119",7.99%,,R82377,200,7.61,"15,297",,,,,,
R82763,"10,288","147,183",6.99%,,R82378,200,15.22,"32,239",,,,,,
R82765,"19,506","257,001",7.59%,,R82379,0,15.22,"39,031",,,,,,
R82767,"14,190","203,005",6.99%,,R82381,0,22.83,"11,990",,,,,,
R82768,"14,993","197,533",7.59%,,R82382,0,15.22,"15,304",,,,,,
R82769,"13,590","194,415",6.99%,,R82383,200,0,"16,539",,,,,,
R82771,"27,686","462,199",5.99%,,R82385,0,22.83,"17,262",,,,,,
R82772,"31,044","370,011",8.39%,,R82386,0,0,0,,,,,,
R82773,"13,115","187,629",6.99%,,R82387,200,7.61,"18,967",,,,,,
R82775,"19,585","280,182",6.99%,,R82388,0,0,0,,,,,,
R82776,"32,437","416,388",7.79%,,R82389,200,0,"8,306",,,,,,
R82777,"1,371","19,611",6.99%,,R82391,0,0,0,,,,,,
R82778,"14,691","193,556",7.59%,,R82392,200,7.61,"14,360",,,,,,
R82779,"15,581","222,908",6.99%,,R82393,0,0,"10,558",,,,,,
R82781,"11,580","165,666",6.99%,,R82395,0,15.22,"21,691",,,,,,
R82782,"32,007","421,702",7.59%,,R82396,200,0,"4,886",,,,,,
R82788,"54,824","686,161",7.99%,,R82397,0,0,0,,,,,,
R82789,"15,075","215,667",6.99%,,R82398,0,0,0,,,,,,
R82791,"23,054","329,817",6.99%,,R82399,0,15.22,"35,819",,,,,,
R82792,0,0,8.19%,,R82501,0,15.22,"16,560",,,,,,
R82793,"9,109","130,315",6.99%,,R82502,0,15.22,"35,793",,,,,,
R82795,0,0,8.00%,,R82503,10,0,"14,453",,,,,,
R82797,"21,625","309,377",6.99%,,R82505,50,0,"15,002",,,,,,
R82798,0,0,7.79%,,R82506,0,0,"23,380",,,,,,
R82801,"25,262","316,176",7.99%,,R82507,0,15.22,"35,853",,,,,,
R82802,"11,762","168,262",6.99%,,R82508,0,22.83,"12,647",,,,,,
R82803,"8,965","128,250",6.99%,,R82509,0,0,0,,,,,,
R82805,"38,755","569,926",6.80%,,R82511,0,7.61,"19,097",,,,,,
R82806,0,0,6.99%,,R82512,10,0,"5,604",,,,,,
R82807,"14,263","204,045",6.99%,,R82513,10,0,"8,754",,,,,,
R82808,"30,925","368,592",8.39%,,R82515,0,0,0,,,,,,
R82809,"4,786","63,059",7.59%,,R82516,200,0,"12,042",,,,,,
R82811,"28,662","410,039",6.99%,,R82517,0,0,0,,,,,,
R82813,"8,230","103,007",7.99%,,R82518,0,0,"20,051",,,,,,
R82815,"22,540","322,457",6.99%,,R82519,200,7.61,"19,214",,,,,,
R82816,"24,556","285,873",8.59%,,R82521,200,0,"24,412",,,,,,
R82817,"23,941","342,500",6.99%,,R82522,0,0,0,,,,,,
R82821,"12,232","174,988",6.99%,,R82523,200,15.22,"37,016",,,,,,
R82822,"8,205","117,384",6.99%,,R82525,0,0,"41,880",,,,,,
R82825,"15,085","215,807",6.99%,,R82528,0,0,"13,697",,,,,,
R82826,"9,475","121,633",7.79%,,R82529,0,7.61,"29,431",,,,,,
R82827,"19,698","281,804",6.99%,,R82531,0,15.22,"44,669",,,,,,
R82828,"27,971","400,154",6.99%,,R82532,10,0,"12,749",,,,,,
R82829,"2,694","38,546",6.99%,,R82533,0,0,"19,669",,,,,,
R82831,"22,424","320,807",6.99%,,R82535,0,0,"20,833",,,,,,
R82832,"11,241","146,938",7.65%,,R82536,0,0,0,,,,,,
R82835,"15,396","220,259",6.99%,,R82537,0,0,"75,628",,,,,,
R82836,"13,500","193,132",6.99%,,R82538,0,0,0,,,,,,
R82837,"15,986","184,806",8.65%,,R82539,200,0,"2,400",,,,,,
R82838,"21,852","258,602",8.45%,,R82551,0,0,0,,,,,,
R82852,"18,867","269,918",6.99%,,R82552,0,15.22,"24,891",,,,,,
R82853,"20,426","292,220",6.99%,,R82553,0,0,0,,,,,,
R82855,"36,741","525,622",6.99%,,R82555,0,15.22,0,,,,,,
R82857,"10,630","152,080",6.99%,,R82556,210,15.22,"27,814",,,,,,
R82859,"19,799","258,816",7.65%,,R82558,0,0,0,,,,,,
R82861,"2,559","36,615",6.99%,,R82559,0,7.61,"12,719",,,,,,
R82862,0,0,8.00%,,R82561,200,15.22,"32,342",,,,,,
R82863,"10,314","147,552",6.99%,,R82562,0,0,0,,,,,,
R82865,0,0,7.65%,,R82563,200,7.61,"7,693",,,,,,
R82867,"16,946","242,427",6.99%,,R82565,0,7.61,"18,467",,,,,,
R82868,"28,619","409,434",6.99%,,R82566,0,0,"11,868",,,,,,
R82869,"12,577","179,923",6.99%,,R82567,200,0,"3,156",,,,,,
R82871,"25,149","359,781",6.99%,,R82568,200,0,"12,992",,,,,,
R82872,"1,694","24,234",6.99%,,R82569,10,7.61,"10,945",,,,,,
R82873,"38,291","547,795",6.99%,,R82571,0,0,0,,,,,,
R82875,"6,638","94,960",6.99%,,R82572,27.22,0,327,,,,,,
R82876,"1,097","15,691",6.99%,,R82573,0,0,0,,,,,,
R82877,0,0,6.99%,,R82575,200,0,"20,147",,,,,,
R82879,"25,596","366,177",6.99%,,R82576,0,0,0,,,,,,
R82881,"39,139","502,431",7.79%,,R82577,200,15.22,"14,436",,,,,,
R82882,"25,179","360,215",6.99%,,R82578,0,0,0,,,,,,
R82883,"14,062","201,168",6.99%,,R82579,0,0,0,,,,,,
R82885,0,0,7.59%,,R82581,200,0,"2,400",,,,,,
R82886,"11,566","152,384",7.59%,,R82582,0,0,"13,953",,,,,,
R82887,"11,280","161,368",6.99%,,R82583,200,7.61,"18,175",,,,,,
R82888,"20,454","292,611",6.99%,,R82585,0,0,"9,006",,,,,,
R82889,"16,662","238,369",6.99%,,R82586,0,7.61,"15,835",,,,,,
R82891,"17,251","246,791",6.99%,,R82587,0,7.61,"24,155",,,,,,
R82892,"6,260","89,555",6.99%,,R82588,0,0,"59,676",,,,,,
R82893,0,0,6.99%,,R82589,0,7.61,"5,060",,,,,,
R82895,0,0,6.99%,,R82591,0,0,"29,735",,,,,,
R82896,"51,520","737,056",6.99%,,R82592,0,0,"17,933",,,,,,
R82897,"11,863","169,714",6.99%,,R82593,200,7.61,"6,395",,,,,,
R82898,"10,810","154,647",6.99%,,R82595,200,0,"2,400",,,,,,
R82899,"10,766","154,017",6.99%,,R82596,0,0,0,,,,,,
R82901,"4,254","60,858",6.99%,,R82597,0,0,0,,,,,,
R82902,193,"2,249",8.59%,,R82598,0,0,"10,829",,,,,,
R82903,0,0,8.00%,,R82599,200,22.83,"12,812",,,,,,
R82905,"30,696","439,144",6.99%,,R82601,200,0,"6,748",,,,,,
R82906,"5,959","85,254",6.99%,,R82602,0,0,"14,239",,,,,,
R82907,"46,975","672,028",6.99%,,R82603,200,0,"13,930",,,,,,
R82908,0,0,7.59%,,R82605,0,0,0,,,,,,
R82909,"3,634","51,984",6.99%,,R82606,0,0,"27,836",,,,,,
R82911,"8,402","120,200",6.99%,,R82607,0,7.61,"15,879",,,,,,
R82912,"32,388","463,351",6.99%,,R82608,0,0,"16,676",,,,,,
R82915,"6,025","86,198",6.99%,,R82609,0,0,0,,,,,,
R82916,0,0,7.99%,,R82611,0,0,0,,,,,,
R82918,"12,967","162,285",7.99%,,R82612,0,15.22,"50,161",,,,,,
R82919,0,0,7.59%,,R82613,10,7.61,"17,473",,,,,,
R82921,"16,549","236,756",6.99%,,R82615,0,15.22,"48,153",,,,,,
R82922,"41,321","591,138",6.99%,,R82616,0,0,"17,692",,,,,,
R82923,"37,053","530,091",6.99%,,R82617,0,0,"42,740",,,,,,
R82925,0,0,6.99%,,R82618,0,0,"9,899",,,,,,
R82926,"13,145","188,049",6.99%,,R82619,0,0,"6,415",,,,,,
R82927,"14,335","184,019",7.79%,,R82621,200,0,"45,704",,,,,,
R82928,"20,383","291,607",6.99%,,R82622,10,15.22,"23,261",,,,,,
R82929,"14,893","213,062",6.99%,,R82623,0,0,"16,915",,,,,,
R82933,"11,873","169,863",6.99%,,R82625,0,0,0,,,,,,
R82936,0,0,6.99%,,R82626,0,0,0,,,,,,
R82937,"21,470","307,158",6.99%,,R82627,0,0,0,,,,,,
R82939,"5,316","76,056",6.99%,,R82628,0,0,"12,029",,,,,,
R82951,"32,016","372,716",8.59%,,R82629,200,0,"17,827",,,,,,
R82952,"7,019","100,418",6.99%,,R82631,0,0,0,,,,,,
R82953,"31,422","449,527",6.99%,,R82632,0,0,0,,,,,,
R82955,"15,550","222,461",6.99%,,R82633,0,0,0,,,,,,
R82956,"10,339","147,905",6.99%,,R82635,0,7.61,"8,394",,,,,,
R82958,"16,711","214,521",7.79%,,R82636,10,7.61,"18,060",,,,,,
R82959,"11,212","160,405",6.99%,,R82637,200,7.61,"18,431",,,,,,
R82961,"12,885","161,059",8.00%,,R82638,0,15.22,"52,940",,,,,,
R82962,"24,045","316,795",7.59%,,R82639,0,7.61,"19,061",,,,,,
R82965,"20,726","296,515",6.99%,,R82651,0,0,0,,,,,,
R82966,"15,646","200,844",7.79%,,R82652,200,7.61,"16,641",,,,,,
R82967,"14,265","186,474",7.65%,,R82653,0,15.22,"21,198",,,,,,
R82968,"8,261","118,188",6.99%,,R82655,0,0,"32,933",,,,,,
R82969,"5,905","77,799",7.59%,,R82656,210,15.22,"6,466",,,,,,
R82972,"2,561","36,636",6.99%,,R82657,0,0,0,,,,,,
R82973,0,0,6.99%,,R82658,0,0,0,,,,,,
R82975,"11,184","139,794",8.00%,,R82659,0,7.61,"11,898",,,,,,
R82977,"12,079","172,805",6.99%,,R82661,200,0,"6,498",,,,,,
R82979,"22,392","260,678",8.59%,,R82662,10,7.61,"15,332",,,,,,
R82981,"19,523","232,695",8.39%,,R82663,0,7.61,0,,,,,,
R82982,"6,803","97,328",6.99%,,R82666,0,0,"11,990",,,,,,
R82983,0,0,6.99%,,R82667,0,7.61,"19,873",,,,,,
R82985,443,"5,764",7.69%,,R82668,0,7.61,"13,867",,,,,,
R82988,"26,538","308,942",8.59%,,R82671,10,15.22,"15,999",,,,,,
R82989,"16,467","235,574",6.99%,,R82672,200,0,"16,222",,,,,,
R82991,"37,581","537,634",6.99%,,R82673,10,15.22,"12,107",,,,,,
R82992,"7,863","100,937",7.79%,,R82675,200,7.61,"8,717",,,,,,
R82993,"31,703","414,424",7.65%,,R82676,0,0,0,,,,,,
R82996,"27,806","397,799",6.99%,,R82678,0,0,"7,140",,,,,,
R82997,"13,400","191,695",6.99%,,R82679,200,0,"23,217",,,,,,
R82998,"16,798","215,638",7.79%,,R82681,200,15.22,"21,998",,,,,,
R82999,"8,974","128,384",6.99%,,R82682,0,22.83,"49,571",,,,,,
R83001,0,0,7.79%,,R82683,200,7.61,"5,379",,,,,,
R83002,"18,319","216,788",8.45%,,R82686,0,15.22,"43,171",,,,,,
R83003,0,0,7.79%,,R82687,200,15.22,"20,869",,,,,,
R83005,0,0,6.99%,,R82688,200,0,"11,252",,,,,,
R83006,"9,673","138,387",6.99%,,R82689,0,15.22,"23,165",,,,,,
R83007,0,0,6.99%,,R82691,0,0,0,,,,,,
R83008,0,0,6.99%,,R82692,0,0,"17,934",,,,,,
R83009,0,0,6.99%,,R82693,200,0,"7,601",,,,,,
R83011,0,0,7.59%,,R82695,0,0,"22,085",,,,,,
R83012,"32,525","465,312",6.99%,,R82696,0,0,"14,083",,,,,,
R83013,"17,896","256,023",6.99%,,R82697,0,0,0,,,,,,
R83015,"8,552","122,344",6.99%,,R82698,0,7.61,"12,932",,,,,,
R83016,"12,247","175,206",6.99%,,R82699,0,0,0,,,,,,
R83018,0,0,6.99%,,R82701,0,0,"26,421",,,,,,
R83019,"7,393","105,770",6.99%,,R82702,0,7.61,"9,702",,,,,,
R83022,0,0,6.99%,,R82705,10,7.61,"9,427",,,,,,
R83025,"8,095","106,657",7.59%,,R82706,200,7.61,"19,358",,,,,,
R83027,"6,680","95,564",6.99%,,R82707,0,0,0,,,,,,
R83028,"25,225","360,876",6.99%,,R82708,0,7.61,"8,367",,,,,,
R83029,"13,323","190,601",6.99%,,R82711,0,0,0,,,,,,
R83031,"13,448","192,382",6.99%,,R82712,0,0,"22,017",,,,,,
R83032,"3,523","41,013",8.59%,,R82713,200,7.61,"2,400",,,,,,
R83033,"19,371","277,121",6.99%,,R82715,0,7.61,"13,024",,,,,,
R83035,"3,852","55,102",6.99%,,R82716,210,7.61,"19,027",,,,,,
R83036,"5,277","75,490",6.99%,,R82717,0,7.61,"26,314",,,,,,
R83038,"5,435","77,759",6.99%,,R82718,0,0,"37,118",,,,,,
R83039,"8,111","116,041",6.99%,,R82719,10,0,"42,967",,,,,,
R83051,"23,456","335,560",6.99%,,R82721,0,0,0,,,,,,
R83052,"22,274","318,654",6.99%,,R82722,200,0,"10,905",,,,,,
R83053,"28,318","405,125",6.99%,,R82723,10,7.61,"6,452",,,,,,
R83055,"6,286","89,930",6.99%,,R82725,0,0,"19,180",,,,,,
R83056,"17,253","246,821",6.99%,,R82726,10,0,"14,303",,,,,,
R83057,"13,027","186,361",6.99%,,R82727,0,0,"20,685",,,,,,
R83058,"6,851","98,010",6.99%,,R82728,0,0,0,,,,,,
R83059,"30,167","431,571",6.99%,,R82729,200,0,"11,642",,,,,,
R83061,"12,870","160,878",8.00%,,R82731,200,7.61,"10,941",,,,,,
R83062,"12,479","178,527",6.99%,,R82732,0,0,0,,,,,,
R83063,0,0,6.99%,,R82733,0,0,"19,414",,,,,,
R83066,"17,590","251,644",6.99%,,R82735,0,7.61,0,,,,,,
R83067,"13,928","183,510",7.59%,,R82736,27.22,15.22,327,,,,,,
R83068,"9,558","136,732",6.99%,,R82737,200,7.61,"4,728",,,,,,
R83069,0,0,8.59%,,R82738,0,15.22,"18,627",,,,,,
R83071,"12,601","180,271",6.99%,,R82739,0,0,0,,,,,,
R83072,"7,451","94,923",7.85%,,R82751,0,0,0,,,,,,
R83075,"3,651","52,231",6.99%,,R82752,0,15.22,"5,594",,,,,,
R83076,"7,816","111,819",6.99%,,R82755,0,0,0,,,,,,
R83077,"11,654","166,725",6.99%,,R82756,200,15.22,"13,571",,,,,,
R83078,"8,214","102,669",8.00%,,R82758,200,7.61,"12,175",,,,,,
R83081,"5,666","81,057",6.99%,,R82759,200,15.22,"12,692",,,,,,
R83082,"13,371","191,288",6.99%,,R82761,0,0,"7,740",,,,,,
R83083,"64,751","771,764",8.39%,,R82762,200,7.61,"27,658",,,,,,
R83086,"46,543","568,294",8.19%,,R82763,200,0,"12,688",,,,,,
R83087,"13,440","192,281",6.99%,,R82765,0,7.61,"19,506",,,,,,
R83088,"18,112","230,725",7.85%,,R82766,0,0,0,,,,,,
R83089,"15,725","224,961",6.99%,,R82767,200,0,"16,590",,,,,,
R83091,0,0,8.25%,,R82768,200,0,"17,393",,,,,,
R83092,"20,927","259,957",8.05%,,R82769,200,0,"15,990",,,,,,
R83093,"8,554","122,379",6.99%,,R82771,0,0,"27,686",,,,,,
R83095,"17,827","217,672",8.19%,,R82772,0,0,"31,044",,,,,,
R83096,0,0,6.99%,,R82773,0,0,"13,115",,,,,,
R83097,"2,736","31,846",8.59%,,R82775,10,0,"19,705",,,,,,
R83098,"4,277","61,193",6.99%,,R82776,0,7.61,"32,437",,,,,,
R83099,"22,719","325,022",6.99%,,R82777,0,0,"1,371",,,,,,
R83101,"6,566","78,254",8.39%,,R82778,0,0,"14,691",,,,,,
R83102,"26,573","332,578",7.99%,,R82779,200,0,"17,981",,,,,,
R83103,"25,017","357,896",6.99%,,R82781,0,15.22,"11,580",,,,,,
R83105,"29,242","418,337",6.99%,,R82782,0,0,"32,007",,,,,,
R83106,"5,290","67,906",7.79%,,R82783,54.44,15.22,653,,,,,,
R83108,"11,631","135,401",8.59%,,R82785,0,0,0,,,,,,
R83109,"6,744","96,477",6.99%,,R82786,54.44,7.61,653,,,,,,
R83112,"21,222","303,611",6.99%,,R82787,0,0,0,,,,,,
R83113,"35,375","506,075",6.99%,,R82788,0,0,"54,824",,,,,,
R83116,"17,631","232,291",7.59%,,R82789,0,0,"15,075",,,,,,
R83117,"19,312","241,700",7.99%,,R82791,0,7.61,"23,054",,,,,,
R83118,"11,984","149,796",8.00%,,R82792,0,0,0,,,,,,
R83123,"8,841","126,487",6.99%,,R82793,0,0,"9,109",,,,,,
R83125,"33,851","434,549",7.79%,,R82795,0,0,0,,,,,,
R83126,"45,386","528,358",8.59%,,R82796,0,0,0,,,,,,
R83127,"19,537","257,401",7.59%,,R82797,0,15.22,"21,625",,,,,,
R83128,"18,971","271,402",6.99%,,R82798,200,0,"2,400",,,,,,
R83129,"12,725","182,041",6.99%,,R82799,0,0,0,,,,,,
R83131,"15,916","227,696",6.99%,,R82801,0,0,"25,262",,,,,,
R83132,0,0,6.99%,,R82802,0,7.61,"11,762",,,,,,
R83133,"13,517","193,375",6.99%,,R82803,0,0,"8,965",,,,,,
R83136,"16,148","231,015",6.99%,,R82805,0,0,"38,755",,,,,,
R83137,0,0,6.99%,,R82806,0,0,0,,,,,,
R83138,"54,561","780,559",6.99%,,R82807,200,0,"16,663",,,,,,
R83139,"11,915","170,459",6.99%,,R82808,0,22.83,"30,925",,,,,,
R83151,"18,013","257,700",6.99%,,R82809,200,0,"7,186",,,,,,
R83156,"17,042","243,802",6.99%,,R82811,0,22.83,"28,662",,,,,,
R83157,"20,368","291,386",6.99%,,R82812,0,0,0,,,,,,
R83158,"11,226","160,596",6.99%,,R82813,200,7.61,"10,630",,,,,,
R83159,"30,178","431,726",6.99%,,R82815,0,7.61,"22,540",,,,,,
R83161,"9,537","119,215",8.00%,,R82816,0,7.61,"24,556",,,,,,
R83162,"31,518","375,663",8.39%,,R82817,10,7.61,"24,061",,,,,,
R83163,"4,459","63,786",6.99%,,R82818,0,0,0,,,,,,
R83168,"17,850","235,173",7.59%,,R82819,200,0,"2,400",,,,,,
R83169,"16,520","236,340",6.99%,,R82821,200,15.22,"14,632",,,,,,
R83171,"18,827","235,634",7.99%,,R82822,10,7.61,"8,325",,,,,,
R83172,"10,069","144,050",6.99%,,R82823,0,0,0,,,,,,
R83175,"12,898","161,421",7.99%,,R82825,10,0,"15,205",,,,,,
R83176,"3,173","41,800",7.59%,,R82826,100,0,"10,675",,,,,,
R83177,"8,568","122,575",6.99%,,R82827,0,0,"19,698",,,,,,
R83178,"16,700","238,906",6.99%,,R82828,10,0,"28,091",,,,,,
R83179,"11,192","160,116",6.99%,,R82829,200,15.22,"5,094",,,,,,
R83181,"10,323","129,034",8.00%,,R82831,0,0,"22,424",,,,,,
R83182,"16,539","206,739",8.00%,,R82832,210,0,"13,761",,,,,,
R83183,"22,054","315,503",6.99%,,R82833,0,0,0,,,,,,
R83185,"75,330","897,859",8.39%,,R82835,200,7.61,"17,796",,,,,,
R83186,"21,884","313,071",6.99%,,R82836,0,7.61,"13,500",,,,,,
R83187,"11,869","169,795",6.99%,,R82837,0,0,"15,986",,,,,,
R83188,0,0,7.59%,,R82838,0,0,"21,852",,,,,,
R83191,"26,553","332,333",7.99%,,R82851,0,0,0,,,,,,
R83192,"3,106","44,432",6.99%,,R82852,200,0,"21,267",,,,,,
R83193,"12,575","179,894",6.99%,,R82853,10,0,"20,546",,,,,,
R83196,"11,341","141,764",8.00%,,R82855,210,7.61,"39,261",,,,,,
R83198,"39,147","502,532",7.79%,,R82856,0,0,0,,,,,,
R83199,"14,892","213,044",6.99%,,R82857,10,0,"10,750",,,,,,
R83201,0,0,8.49%,,R82859,0,0,"19,799",,,,,,
R83202,"9,433","134,945",6.99%,,R82861,200,7.61,"4,959",,,,,,
R83203,"27,908","399,260",6.99%,,R82862,0,0,0,,,,,,
R83205,"11,114","138,926",8.00%,,R82863,200,0,"12,714",,,,,,
R83206,"49,123","642,124",7.65%,,R82865,0,0,0,,,,,,
R83207,"8,558","111,865",7.65%,,R82866,0,0,0,,,,,,
R83208,"12,945","185,199",6.99%,,R82867,0,0,"16,946",,,,,,
R83209,0,0,6.99%,,R82868,0,0,"28,619",,,,,,
R83211,"31,694","417,572",7.59%,,R82869,200,0,"14,977",,,,,,
R83212,"15,837","226,566",6.99%,,R82871,200,0,"27,549",,,,,,
R83213,"12,409","144,461",8.59%,,R82872,0,7.61,"1,694",,,,,,
R83215,"3,998","57,191",6.99%,,R82873,0,0,"38,291",,,,,,
R83216,"1,241","17,758",6.99%,,R82875,200,0,"9,038",,,,,,
R83217,"28,393","330,540",8.59%,,R82876,200,7.61,"3,497",,,,,,
R83218,0,0,8.00%,,R82877,0,0,0,,,,,,
R83222,"28,347","405,537",6.99%,,R82879,10,0,"25,716",,,,,,
R83223,0,0,8.59%,,R82881,0,0,"39,139",,,,,,
R83225,"6,698","85,982",7.79%,,R82882,0,7.61,"25,179",,,,,,
R83226,"13,310","166,585",7.99%,,R82883,0,0,"14,062",,,,,,
R83227,"9,387","117,337",8.00%,,R82885,0,0,0,,,,,,
R83228,"5,721","81,852",6.99%,,R82886,200,0,"13,966",,,,,,
R83229,"38,464","550,267",6.99%,,R82887,210,15.22,"13,800",,,,,,
R83231,0,0,8.00%,,R82888,0,15.22,"20,454",,,,,,
R83232,"10,146","145,153",6.99%,,R82889,0,22.83,"16,662",,,,,,
R83236,0,0,6.99%,,R82891,200,0,"19,651",,,,,,
R83237,"29,444","359,515",8.19%,,R82892,0,0,"6,260",,,,,,
R83238,"23,817","340,724",6.99%,,R82893,0,0,0,,,,,,
R83252,"13,048","186,669",6.99%,,R82895,27.22,0,327,,,,,,
R83253,"11,895","170,166",6.99%,,R82896,0,30.44,"51,520",,,,,,
R83255,0,0,6.99%,,R82897,200,0,"14,263",,,,,,
R83256,"15,953","204,791",7.79%,,R82898,0,0,"10,810",,,,,,
R83257,"5,739","82,102",6.99%,,R82899,10,7.61,"10,886",,,,,,
R83258,"12,391","177,267",6.99%,,R82901,0,0,"4,254",,,,,,
R83259,"36,494","522,089",6.99%,,R82902,0,0,193,,,,,,
R83261,"33,242","405,891",8.19%,,R82903,0,0,0,,,,,,
R83262,"36,435","521,245",6.99%,,R82905,0,0,"30,696",,,,,,
R83263,"3,572","51,098",6.99%,,R82906,0,0,"5,959",,,,,,
R83265,"9,231","132,062",6.99%,,R82907,0,0,"46,975",,,,,,
R83266,"8,814","126,101",6.99%,,R82908,0,0,0,,,,,,
R83267,0,0,7.65%,,R82909,10,0,"3,754",,,,,,
R83268,"7,105","88,807",8.00%,,R82911,0,0,"8,402",,,,,,
R83269,"35,024","427,646",8.19%,,R82912,0,15.22,"32,388",,,,,,
R83272,"13,297","190,225",6.99%,,R82913,0,0,0,,,,,,
R83273,"15,652","195,896",7.99%,,R82915,200,0,"8,425",,,,,,
R83275,"6,454","92,335",6.99%,,R82916,200,15.22,"2,400",,,,,,
R83276,"15,687","224,414",6.99%,,R82917,54.44,0,653,,,,,,
R83277,"10,301","147,374",6.99%,,R82918,0,0,"12,967",,,,,,
R83278,"9,658","138,176",6.99%,,R82919,200,0,"2,400",,,,,,
R83279,"34,930","426,497",8.19%,,R82921,0,0,"16,549",,,,,,
R83281,"20,458","254,141",8.05%,,R82922,0,0,"41,321",,,,,,
R83282,"16,855","241,131",6.99%,,R82923,0,0,"37,053",,,,,,
R83283,"16,996","243,143",6.99%,,R82925,0,0,0,,,,,,
R83285,"7,746","110,810",6.99%,,R82926,200,0,"15,545",,,,,,
R83286,"6,787","89,417",7.59%,,R82927,0,0,"14,335",,,,,,
R83287,"13,840","197,994",6.99%,,R82928,0,7.61,"20,383",,,,,,
R83288,"19,602","280,431",6.99%,,R82929,0,0,"14,893",,,,,,
