Snowball Map,ID,Name,Business Type,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Contact Email,Contact Phone,Established,Phone,Most Common Email,Cuisines (Regional),Price Range
44161,2a1207c651f98ad2,Kappa Japanese Restaurant,Restaurant,1450 George St,White Rock,BC,V4B 4A3,Canada,,,,,,,,Japanese,$$
44162,2b9113463089038f,CW Coop's Angus,Restaurant; Drinking Place,2 Massey St,Essa,ON,L0M 1B0,Canada,,,cwcoopsangus@gmail.com,,,,cwcoopsangus@gmail.com,American; Creole; Cajun,$$
44163,1f72166835b511c5,Cosy Restaurant & Tavern,Restaurant,361 Lake St,St Catharines,ON,L2N 4H5,Canada,,,,,,,,Chinese,$
44164,1d1f68825f7ada48,Ta-Ke Sushi,Hotel/Resort; Restaurant,38 King St,Saint John,NB,E2L 1G3,Canada,,,,,,,,Japanese,$$
44165,1eb97d25a9b49b8f,Chef Express,Hotel/Resort; Restaurant,329 3rd Ave N,Saskatoon,SK,S7K 2H9,Canada,,,,,,,,Chinese,$$$
44166,1f07676e9dea04c6,SushiBucks,Restaurant,20395 Lougheed Hwy,Maple Ridge,BC,V2X 2P9,Canada,,,,,,,sushibucks2022@gmail.com,Japanese; Chinese,
44167,20fb27d6de16b794,Diao Si Malatang | 50% OFF (MK),Restaurant,9390 Woodbine Ave,Markham,ON,L6C 0M5,Canada,,,,,,,,Chinese,$$
44168,20ce1a514789c4fc,Out Front Food Chu Qian Shi Pin,Restaurant,180 Bullock Dr,Markham,ON,L3P 7N2,Canada,,,,,,,,Chinese,$$
44169,2142109434344b1a,Hunter Matsu Sushi Japanese & Korean Restaurant,Restaurant,107 Hunter St E,Peterborough,ON,K9H 1G7,Canada,,,,,,,,Korean; Japanese; Chinese,$$
44170,206ca8ddac76c8da,Guildford Sushi House,Restaurant,10330 152 St,Surrey,BC,V3R 4G8,Canada,,,,,,,,Japanese,$
44171,20693ccec0be6468,Joyful Congee & Noodle Cafe,Restaurant,8700 McKim Way,Richmond,BC,V6X 4A5,Canada,,,,,,,,Chinese,
44172,070399be089a6bd9,China Garden,Restaurant,400 Scott St,St Catharines,ON,L2M 3W4,Canada,,,,,,,,Chinese,$
44173,037edf8a0017274d,Allan Chinese Restaurant,Restaurant,320 Main St,Allan,SK,S0K 0C0,Canada,,,,,,,,Chinese,$$
44174,07efaadea664e3f3,Sun Star Chinese,Hotel/Resort; Restaurant,631 Lougheed Hwy,Coquitlam,BC,V3K 3S5,Canada,,,,,,,,Chinese,$
44175,05845ea7d6d80f1b,Chinese Express,Hotel/Resort; Restaurant,4005 Gateway Blvd NW,Edmonton,AB,T6J 5H2,Canada,,,,,,,,Chinese,
44176,05b16e394d2e6e0d,Dragon Island,Restaurant,115 Hamilton St N,Hamilton,ON,L8B 1A8,Canada,,,,,,,,Chinese,$
44177,060d105f8f575d15,Buddha's Vegan Restaurant,Restaurant,666 Dundas St W,Toronto,ON,M5T 1H9,Canada,Sam,Lam,,,,,buddhavr666@gmail.com,Chinese,$
44178,05b57aa33cdffc39,Kung Fu Chinese Restaurant,Restaurant,27 Airport Heights Dr,St John's,NL,A1A 4W8,Canada,,,,,,,,Chinese,
44179,01737e017687534f,Golden Chinese Food Restaurant,Restaurant,23 King St W,Ingersoll,ON,N5C 2J2,Canada,,,,,,,,Chinese,$
44180,79d8d42bc2602073,Only the Good Stuff,Restaurant; Drinking Place,15135 Stony Plain Rd NW,Edmonton,AB,T5P 3Y2,Canada,,,jon@onlythegoodstuffyeg.com,,2017,,,Vietnamese; Chinese; Thai,$$
44181,7be5402df3d746a0,WinCity Hakka,Restaurant,1285 Grand Marais Rd W,Windsor,ON,N9E 1E1,Canada,,,wincityhakka@gmail.com,,,,wincityhakka@gmail.com,Chinese,$
44182,7a5b91bc47b68085,Ho Fung Chinese Restaurant,Restaurant,724 6th St,New Westminster,BC,V3L 3C6,Canada,,,,,,,,Chinese,$
44183,7d56c1505a60fab8,Tealips Cafe,Cafe; Restaurant,7139 Arcola St,Burnaby,BC,V5E 0A6,Canada,Chris,T,,,2010,,tealipsteam@gmail.com,Japanese,$$
44184,797d3608322c403f,Hoseki Sushi,Restaurant,491 Appleby Line,Burlington,ON,L7L 2Y1,Canada,,,info@hosekisushi.com,,,,info@hosekisushi.com,Japanese,$$
44185,794a8a19095ea9a6,The Boss Bakery & Restaurant,Bakery; Hotel/Resort; Restaurant,532 Main St,Vancouver,BC,V6A 2T9,Canada,,,bossbakery@gmail.com,,,,bossbakery@gmail.com,Cantonese; Chinese; Hong Kong,$
44186,7a3d0d2f8c2c9e5b,Bistro 758,Restaurant; Drinking Place,164 Caron St,Montcalm,MB,R0G 2B0,Canada,,,,,,,,Chinese,$$
44187,7a88f0d6f8bfb41a,Royal Jasmine,Restaurant,5165 Dixie Rd,Mississauga,ON,L4W 4G1,Canada,,,royaljasmine@live.com,,,,royaljasmine@live.com,Indian; Chinese; Thai,$$
44188,7dc9740ebca79cad,Zaika The Indian Delicacy,Restaurant,30 Market Blvd SE,Airdrie,AB,T4A 0V4,Canada,,,,,,,,Indian; Chinese,
44189,7d9239fa21c19390,Kaneko Hannosuke,Restaurant,4567 Lougheed Hwy,Burnaby,BC,V5C 3Z6,Canada,,,,,,,hello@kanekohannosuke.ca,Japanese,$$
44190,8060ce06e7f19262,Wok Of Asia,Restaurant,6640 Finch Ave W,Toronto,ON,M9W 0B3,Canada,,,,,,,,Chinese,$
44191,81730870824632fa,Wing Hing Chinese Food,Restaurant,2 Woodfield Dr,Ottawa,ON,K2G 3Y5,Canada,,,,,,,,Chinese,$$
44192,7f7761d56b37db29,Chengdu delicacy,Restaurant,10 Northtown Way,Toronto,ON,M2N 7L4,Canada,,,,,,,,Sichuan,
44193,81a0cb93a77d508b,Pearl River Restaurant,Restaurant,4728 99 St NW,Edmonton,AB,T6E 5H5,Canada,,,,,,,,Chinese,$$
44194,802873e63fec48cc,Dragon Crepe,Hotel/Resort; Restaurant,3499 Kingsway,Vancouver,BC,V5R 5L5,Canada,,,,,,,,Chinese,$
44195,8098df7be7c01984,Rodney's Oyster House,Restaurant,52 Powell St,Vancouver,BC,V6A 1E7,Canada,,,colint@rohvan.com,,1998,,colint@rohvan.com,Creole; Cajun,$$
44196,7e33336cc78001e8,K-POT,Restaurant,10336 81 Ave NW,Edmonton,AB,T6E 1X2,Canada,,,,,,,,Japanese,$
44197,8d681a7674959419,Hotpot Palace,Restaurant,7911 Alderbridge Way,Richmond,BC,V6X 2A4,Canada,Wells,L,,,2017,,info@hotpot-palace.com,Japanese; Chinese; Taiwanese,$$$
44198,8d7c6fd785c0f954,43degN BBQ BAR,Restaurant,5287 Yonge St,Toronto,ON,M2N 5R3,Canada,,,,,,,,Chinese,$$
44199,8fc4c28af3b4c90d,Bourbon St Grill,Restaurant,25 The West Mall,Toronto,ON,M9C 5H5,Canada,,,,,,,,Chinese,$
44200,8bedcac503580755,Mr. Dumpling,Restaurant,50 Dundurn St S,Hamilton,ON,L8P 4W3,Canada,,,mrdumplingexpress@gmail.com,,,,mrdumplingexpress@gmail.com,Chinese,$
44201,88d0b82ba223b0b2,Fudao Noodle House,Hotel/Resort; Restaurant,358 Spadina Ave,Toronto,ON,M5T 2G4,Canada,,,foodao2017@gmail.com,,,,foodao2017@gmail.com,Chinese,$
44202,8c78ab523d6409fa,Crossing Grill,Hotel/Resort; Restaurant,5411 55 St,Cold Lake,AB,T9M 1R6,Canada,,,reservations@lakelandinn.com,,,,reservations@lakelandinn.com,Japanese; Mediterranean,$$$
44203,88d665bb31fe50f1,Centra Gourmet,Restaurant,320 Bayfield St,Barrie,ON,L4M 3C1,Canada,,,,,,,,Cantonese; Chinese,$$
44204,7686e4ae09fc06fd,Tan Da Ban,Food Court; Hotel/Resort; Restaurant,7181 Yonge St,Markham,ON,L3T 0C7,Canada,,,,,,,,Chinese,$
44205,76b1651b22104990,SUSHI AROMA,Restaurant,6234 99 St NW,Edmonton,AB,T6E 6C7,Canada,,,,,,,,Japanese,
44206,757272e3de0d107a,Shimizu Kitchen,Restaurant,1918 37 St SW,Calgary,AB,T3E 3A3,Canada,Anna,S,,,2018,,,Japanese,$
44207,754cb88609e4df7c,One's Cafe,Hotel/Resort; Restaurant,15 Main St N,Preeceville,SK,S0A 3B0,Canada,,,,,,,,Chinese,$$
44208,781d542a0dc597ba,Miso House,Restaurant,285 N Service Rd W,Swift Current,SK,S9H 3S8,Canada,,,,,,,,Korean; Japanese,$$
44209,76ea43c7d26f5bc9,Panda Chef,Restaurant,635 Gerrard St E,Toronto,ON,M4M 1Y2,Canada,,,demoft14@gmail.com,,,,demoft14@gmail.com,Chinese,$$
44210,771bfffdefb23ec8,Dine & Dim,Restaurant,633 Gerrard St E,Toronto,ON,M4M 1Y2,Canada,,,,,,,,Chinese,$$
44211,773a4398c4e62701,Uma Sushi,Restaurant,450 W 8th Ave,Vancouver,BC,V5Y 1N9,Canada,,Ping,,,2018,,info@umasushi.ca,Japanese,$
44212,90a62b4a55363e47,Food Monks,Restaurant,3315 Danforth Ave,Toronto,ON,M1L 1B8,Canada,,,,,,,info@foodmonks.ca,Indian; Tibetan; Chinese; Afghani,
44213,90f12af0f22362c6,Golden Inn Restaurant,Hotel/Resort; Restaurant,3901 Victoria Ave,Nanaimo,BC,V9T 2A1,Canada,,,,,,,,Chinese,$$
44214,90e3c5f8d5435ea0,Dagu Rice Noodle Da Gu Mi Xian,Restaurant,611 Wonderland Rd N,London,ON,N6H 4V6,Canada,,,,,,,,Chinese,$
44215,903e6897e897ebd3,Minh-Wang Family Restaurant,Restaurant,2238 Ohalloran Rd,Prince,PE,C0B 1E0,Canada,,,,,,,,Chinese,$$$
44216,91bd78d2c246ad84,Joys Taiwanese Food,Restaurant,4380 No 3 Rd,Richmond,BC,V6X 3V7,Canada,,,,,,,,Taiwanese,$
44217,919c5eb18058c3a9,Gal's Sushi,Restaurant,3621 HWY-7,Markham,ON,L3R 0G6,Canada,,,,,,,,Japanese,$$
44218,9101802cf404d543,Osaka Sushi,Restaurant; Quick Service,747 Don Mills Rd,Toronto,ON,M3C 1T2,Canada,,,osakasushi747@gmail.com,,,,osakacuisine@hotmail.com,Japanese,$$
44219,9.03E+15,Lucky Joy Restaurant,Restaurant,11780 Thorpe Rd,Richmond,BC,V6X 1J6,Canada,,,,,,,,Chinese,$$
44220,91f65cfba9e9c342,Sushi Shogun,Restaurant,13591 King George Blvd,Surrey,BC,V3T 2V1,Canada,,,,,,,,Japanese,$
44221,81f73025cb5f7173,Restaurant L'Oriental,Restaurant,370 St Pierre Blvd W,Caraquet,NB,E1W 1A3,Canada,,,,,,,,Chinese,$$$
44222,8245e4842bbeea3d,Koto Izakaya,Restaurant,8171 Alexandra Rd,Richmond,BC,V6X 1C3,Canada,,,,,,,,Japanese,$$
44223,82d9e0e516064ba1,Eat for Good Restaurant,Restaurant,3901 Hastings St,Burnaby,BC,V5C 2H8,Canada,,,,,,,,Korean; Filipino; Japanese; Vietnamese; Chinese; Thai,
44224,8515d44c264a1d5c,SushiNGo+,Restaurant,300 Elmwood Dr,Moncton,NB,E1A 6V2,Canada,,,,,,,,Korean; Japanese,
44225,856934067a52d067,Yees Garden Chinese Foods,Restaurant,119 Parkhill Rd W,Peterborough,ON,K9H 3G8,Canada,,,,,,,,Chinese,$
44226,8d56fabd4c2cc857,Wings Cafe,Cafe; Restaurant,9765 Chemainus Rd,North Cowichan,BC,V0R 1K0,Canada,,,,,,,,Chinese,$
44227,87900bb4341d0d55,Jade Seafood Restaurant,Restaurant,2811 No 3 Rd,Richmond,BC,V6X 2B2,Canada,Spencer,Ng,,,,,info@jaderestaurant.ca,Chinese,$$
44228,8aeaec05d91f2031,Rain or Shine Hotspot BBQ&Bar RH Group Delivery | Deliver On Friday (MISS),Restaurant,9390 Woodbine Ave,Markham,ON,L6C 0M5,Canada,,,,,,,,Chinese,
44229,8b71db7cf84f795b,ikoi mochi donuts,Hotel/Resort; Restaurant; Ice Cream Shop,386 Robson St,Vancouver,BC,V6B 2B2,Canada,,,,,,,,Japanese,$
44230,8978ffa150b1c463,Sushi Kanata,Restaurant,655 Avenue Kanata,Ottawa,ON,K2T 1H6,Canada,,,,,,,,Korean; Japanese,$
44231,5345a1482e2acb32,Sushi 199 To Go,Restaurant,20159 88 Ave E,Langley,BC,V1M 0A4,Canada,,,,,,,,Japanese,$
44232,532a6941c0bb39ef,Magic Wok Eatery,Hotel/Resort; Restaurant,408 Water St,St John's,NL,A1C 1C9,Canada,,,,,,,,Korean; Japanese; Vietnamese; Chinese; Thai,$$
44233,53875904dc82bb5d,Dragon King Restaurant,Hotel/Resort; Restaurant,2435 HWY-97 N,Kelowna,BC,V1X 4J2,Canada,,,,,,,,Chinese,$$
44234,55ff632e8a6f4c09,Victoria Seafood Restaurant,Hotel/Resort; Restaurant,1086 St Mary's Rd,Winnipeg,MB,R2M 4K4,Canada,,,,,,,,Chinese,$$
44235,59582ea0e269eeef,Honest,Restaurant,1 Steeles Ave E,Brampton,ON,L6W 4J4,Canada,,,,,2018,,honestcanada2018@gmail.com,Indian; Chinese,$$
44236,59563b79000aae19,New Everest,Restaurant,10540 82 Ave NW,Edmonton,AB,T6E 2A4,Canada,,,,,,,,Indian; American; Chinese,$$
44237,588f079f2cbaab4b,Tokyo Maki Sushi,Restaurant; Quick Service,2 Bartley Bull Pkwy,Brampton,ON,L6W 3P9,Canada,,,,,,,,Japanese,$$
44238,5ed6ef85665472d8,Red Star Seafood Restaurant,Hotel/Resort; Restaurant,8298 Granville St,Vancouver,BC,V6P 4Z4,Canada,,,,,,,,Japanese; Chinese,$$$
44239,5b47c17bb991ddae,Happy Lamb Hot Pot,Restaurant,1163 Pinetree Way,Coquitlam,BC,V3B 8A9,Canada,Daniel,J,,,,,,Chinese,$$
44240,61b5c296a42c6d44,East Foodies Chinese Restaurant,Restaurant,1465 St Margaret's Bay Rd,Halifax,NS,B3T 1B3,Canada,,,eastfoodies@gmail.com,,,,eastfoodies@gmail.com,Chinese,$
44241,621d00e8d8f8d74c,Hanamori Sushi,Restaurant,511 Rochester Ave,Coquitlam,BC,V3K 0A2,Canada,,,,,,,,Japanese,$$
44242,620730a42aa6635b,Great Taste,Restaurant,123 2 Ave SE,Calgary,AB,T2G 0B2,Canada,,,,,,,,Japanese; Chinese,$$
44243,6350a4e811a9d6fc,Xiaozui Crawfish Xiao Zui Er Dang Jia,Restaurant,4675 Steeles Ave E,Toronto,ON,M1V 0B7,Canada,,,,,,,,Cantonese; Chinese,$
44244,6357f8f2e4cb15b2,Calan Beef Noodle,Hotel/Resort; Restaurant,683 10 St SW,Calgary,AB,T2P 5G3,Canada,,,calanbeefnoodle@gmail.com,,,,calanbeefnoodle@gmail.com,Chinese,$
44245,63815c080a9d7781,Mango Chinese Food,Restaurant,1272 Danforth Ave,Toronto,ON,M4J 1M6,Canada,,,,,,,,Chinese,
44246,6146b24a74dcf413,Hakka Rise & MoMo House,Restaurant,3537 Fairview St,Burlington,ON,L7N 2R4,Canada,,,,,,,,Canadian; Chinese,
44247,7aa40a07462e7bb0,Purrtea,Restaurant,816 16 Ave SW,Calgary,AB,T2R 0S9,Canada,,,,,,,,Japanese,
44248,7d6173add89827a9,Kyoto Takenoko,Restaurant,8671 No 1 Rd,Richmond,BC,V7C 1V2,Canada,,,,,,,,Japanese,$$
44249,84748e032df84206,Sakura Izakaya,Restaurant,4436 Calgary Trl NW,Edmonton,AB,T6H 4A6,Canada,,,sakurayeg4436@gmail.com,,,,sakurayeg4436@gmail.com,Japanese,
44250,87c6e711d2386e70,Jing Chinese Restaurant,Restaurant,1634 Bayview Ave,Toronto,ON,M4G 3B7,Canada,,,jackiese29@gmail.com,,,,jackiese29@gmail.com,Chinese,
44251,8784384be81e5769,Bourbon Street Grill,Restaurant,6455 MacLeod Trl SW,Calgary,AB,T2H 0K8,Canada,,,,,,,,Creole; Cajun,$
44252,87df8601049fbfb6,Red Sun Restaurant,Restaurant; Quick Service,1481 Front Rd,LaSalle,ON,N9J 2B2,Canada,,,,,,,,Chinese,$
44253,8672363f569308b6,Golden City Chinese Restaurant,Restaurant,509 Commissioners Rd W,London,ON,N6J 1Y5,Canada,,,,,,,,Chinese,$
44254,86320e8b217f5441,Fat Tuna,Restaurant,931 Brunette Ave,Coquitlam,BC,V3K 6T5,Canada,,,,,,,,Japanese,$$
44255,8701f6192ab44636,A-1 Chinese Restaurant,Restaurant,53 McNaughton Ave,Chatham-Kent,ON,N8A 1R7,Canada,,,,,,,,Chinese,$
44256,884becaae04a48f8,Banzai,Restaurant,7724 Elbow Dr SW,Calgary,AB,T2V 1K2,Canada,,,,,,,banzaiyyc@gmail.com,Japanese,$
44257,936ff20989dbb87b,Castle Restaurant,Hotel/Resort; Restaurant,5630 4 Ave,Edson,AB,T7E 1L6,Canada,,,,,,,,Chinese,$
44258,93dadddb636624cf,Katsupan Japanese Sandwich,Bakery; Restaurant,3262 Midland Ave,Toronto,ON,M1V 0C6,Canada,,,katsupan.to@gmail.com,,,,katsupan.to@gmail.com,Japanese,$$
44259,952bf575b12518fd,Ta-Ke Sushi,Restaurant,1235 Pembina Hwy,Winnipeg,MB,R3T 2A9,Canada,,,takesushi1@gmail.com,,,,takesushi1@gmail.com,Japanese,$$
44260,92ad005f5047f842,GOLDEN CROWN,Hotel/Resort; Restaurant,3006 28th Ave,Vernon,BC,V1T 1W1,Canada,,,goldencrownvernon@hotmail.com,,,,goldencrownvernon@hotmail.com,Chinese,$$$
44261,5682002746b1183b,Hakka Kitchen,Restaurant,15221 32 Ave Dvsn,Surrey,BC,V3Z 0R8,Canada,,,,,,,,Indian; Chinese,$$
44262,584c42d787759a8a,TonTon Sushi,Restaurant,4018 Cambie St,Vancouver,BC,V5Z 2X8,Canada,,,tontonsushi@gmail.com,,2019,,tontonsushi@gmail.com,Korean; Japanese,$$
44263,5a511789bce666e6,Mekong,Restaurant,637 Somerset St W,Ottawa,ON,K1R 5K3,Canada,,,,,1985,,,Vietnamese; Chinese,$$
44264,483bc20b9ace951a,Ryuu Japanese Kitchen,Restaurant,5980 University Blvd,Vancouver,BC,V6T 1Z3,Canada,,,,,,,,Japanese,$
44265,48564d274bb95883,Shaanxi Restaurant,Restaurant,505 HWY-7,Markham,ON,L3T 7T1,Canada,,,,,,,,Chinese,$$
44266,4b85457fb24d8a6b,Everest Tandoori Kitchen,Restaurant,871 Niagara St N,Welland,ON,L3C 6Y1,Canada,,,,,2019,,,Indian; Chinese,
44267,5da059a3f8b61475,Qoo Sushi,Restaurant,900 Progress Ave,Toronto,ON,M1H 2Z9,Canada,,,,,,,,Japanese,$$
44268,a3134c5835c4086c,Mama Rich,Restaurant,4949 Kingsway,Burnaby,BC,V5H 2E5,Canada,Wanye,W,,,2014,,,Chinese,$
44269,a00e49652c85c541,Poke Guys,Hotel/Resort; Restaurant,112 Elizabeth St,Toronto,ON,M5G 1P5,Canada,,,,,2016,,info@pokeguys.ca,Hawaiian; Japanese,$$
44270,a04a51f1ab4cf8b2,Bistro Taiyo Japanese Restaurant,Restaurant,321 Wesley St,Nanaimo,BC,V9R 2T5,Canada,,,,,,,,Japanese,$$
44271,a0d06dfae0c90d9a,La Perle Restaurant and Bar,Restaurant; Drinking Place,9746 182 St NW,Edmonton,AB,T5T 3T9,Canada,,,,,,,,American; Chinese,$$
44272,a1ab4a6c0c7fd883,Clay Pot Rice,Restaurant,4515 MacLeod Trl SW,Calgary,AB,T2G 0A5,Canada,,,claypotricecalgary@gmail.com,,,,claypotricecalgary@gmail.com,Canadian; Creole; Chinese; Cajun,$$
44273,a1a409f7727c44b4,Osaka Sushi,Restaurant,5762 HWY-7,Markham,ON,L3P 1A5,Canada,,,,,,,,Korean; Japanese,$$
44274,a729ffcef344179b,Jade Fountain,Hotel/Resort; Restaurant,3366 Douglas St,Saanich,BC,V8Z 3L3,Canada,,,jade.fountain@yahoo.com,,,,jade.fountain@yahoo.com,Chinese,$$
44275,a7a1bc8e02313de3,Side By Side Hotpot,Restaurant,8333 Kennedy Rd,Markham,ON,L3R 4P8,Canada,,,,,,,,Chinese,
44276,a6f55add04c0da6e,Taiga Japan House,Restaurant,1430 Major MacKenzie Dr,Vaughan,ON,L6A 4H6,Canada,,,info@taigajapanhouse.com,,,,info@taigajapanhouse.com,Japanese,$$
44277,a709671303e35113,Yung Ho Soy Drink,Hotel/Resort; Restaurant,8181 Cambie Rd,Richmond,BC,V6X 3X9,Canada,,,info@yunghosoydrink.com,,,,,Taiwanese,$
44278,9a3a1789010876dd,Koganei,Restaurant,3901 HWY-7,Vaughan,ON,L4L 8L5,Canada,,,,,,,,Japanese,$$
44279,99d4370827e8c0d4,Fortune Cookie,Restaurant,8404 182 St NW,Edmonton,AB,T5T 1Y7,Canada,,,,,,,,Chinese,$
44280,9c98e1a75d0a67e1,Mama's Beef Noodle,Restaurant,3621 HWY-7 E,Markham,ON,L3R 8X6,Canada,,,,,,,,Chinese,$
44281,9b2a19511a73410e,Ming Room,Restaurant,6461 Mississauga Rd,Mississauga,ON,L5N 1A6,Canada,,,info@mingroom.com,,,,info@mingroom.com,Chinese; Thai; Spanish,$$
44282,9c9d67a2fa4cb3af,Gary's Kitchen,Hotel/Resort; Restaurant,308 Neill St,Tofino,BC,V0R 2Z0,Canada,,,,,,,,Chinese,$
44283,9f2874c2743c31d9,Wasabi,Restaurant; Quick Service,462 McCarthy Blvd N,Regina,SK,S4R 7M2,Canada,,,,,,,,Japanese,$$
44284,9edf3d5b88fbfd44,China Diner,Restaurant,5024 50th St,Sylvan Lake,AB,T4S 1P3,Canada,,,,,,,,Chinese,$$
44285,95833ef8b9a166d6,Jin's Mi-Fen,Hotel/Resort; Restaurant,8368 Woodbine Ave,Markham,ON,L3R 2N8,Canada,,,,,,,,Chinese,$
44286,96fdc1982b7cbf7b,Hope Key,Hotel/Resort; Restaurant,1313 Douglas St,Victoria,BC,V8W 2E9,Canada,,,j4007@hotmail.com,,,,j4007@hotmail.com,Chinese,$
44287,96fdf35976ac0fba,SUSHI HAYASHI,Restaurant,3018 Tutt St,Kelowna,BC,V1Y 2H5,Canada,,,,,,,,Japanese,
44288,98156cceee782676,Rue 909 Sushi,Hotel/Resort; Restaurant,909 Dunsmuir St,Vancouver,BC,V6C 1A8,Canada,,,,,,,,Japanese,$$
44289,984b2a2cf650c78c,Golden Fry,Restaurant,61 Marr Rd,Rothesay,NB,E2E 5Y8,Canada,,,,,,,,Chinese,$
44290,a4c5ccb8a63a455e,Black Rice Izakaya,Hotel/Resort; Restaurant,782 Cambie St,Vancouver,BC,V6B 2P2,Canada,,,blackricevan@gmail.com,,,,blackricevan@gmail.com,Japanese,$$
44291,a534deb19b6a3a49,The Kosher Gourmet,Restaurant,3003 Bathurst St,Toronto,ON,M6B 3B3,Canada,,,,,,,orders@koshergourmet.ca,Chinese,$$
44292,a530e25f21a4283b,Osaka Hibachi,Hotel/Resort; Restaurant; Quick Service,599 Main St,Moncton,NB,E1C 1C8,Canada,,,ohbc599@gmail.com,,2011,,ohbc599@gmail.com,Korean; Japanese,$$
44293,a5e9356790e92a9a,Horseshoe Bay Chinese Restaurant,Hotel/Resort; Restaurant,6612 Royal Ave,West Vancouver,BC,V7W 2B9,Canada,,,,,,,,Chinese,$
44294,a4fa5dfdfae08028,Tong Fei Chinese Restaurant,Restaurant,33324 S Fraser Way,Abbotsford,BC,V2S 2B4,Canada,,,,,,,,Chinese,$
44295,6d6598546b5c3c31,Chef Song Express,Restaurant,1127 St Mary's Rd,Winnipeg,MB,R2M 3T7,Canada,,,chefsongkitchen@gmail.com,,,,chefsongkitchen@gmail.com,Chinese,$$
44296,6d99bfebe3b2cd21,Dragon City Chinese Restaurant,Restaurant,970 Franklin Blvd,Cambridge,ON,N1R 8R3,Canada,,,,,,,,Chinese,$
44297,6e518cdbd6957e93,Dosu Wok,Restaurant,156 4th St,Pilot Butte,SK,S0G 3Z0,Canada,,,dosu.wok@gmail.com,,,,dosu.wok@gmail.com,Chinese,$$
44298,70d103440b165258,Bao Bakery,Bakery; Restaurant,5115 Joyce St,Vancouver,BC,V5R 4G8,Canada,,,,,,,info@baobakery.ca,Chinese,$
44299,752f6484f22443ad,Kuai Wei Jia,Restaurant,1163 Pinetree Way,Coquitlam,BC,V3B 8A9,Canada,,,,,,,,Chinese,
44300,75193b5f8c0ba553,China Garden,Restaurant,458 Main St E,Powassan,ON,P0H 2L0,Canada,,,,,,,,Chinese,$$
44301,7419207348537fca,Sushi Bang,Restaurant,500 W Broadway,Vancouver,BC,V5Z 1E9,Canada,,,,,,,,Japanese,$
44302,728b5d660dfef77a,Little Yunnan Restaurant,Hotel/Resort; Restaurant,546 Fisgard St,Victoria,BC,V8W 1R4,Canada,,,littleyunnanvictoria@gmail.com,,2017,,littleyunnanvictoria@gmail.com,Chinese,$$
44303,c064c9215760fca4,Flamingo Chinese Restaurant,Restaurant,1652 SE Marine Dr,Vancouver,BC,V5P 2R6,Canada,,,,,,,,Chinese,$$
44304,c0596abc219e2995,Victoria Pocha,Hotel/Resort; Restaurant,650 Yates St,Victoria,BC,V8W 1L3,Canada,,,,,,,,Japanese,
44305,c29354d28bbcc2a6,Juzz Sushi,Restaurant,896 Queen St E,Toronto,ON,M4M 1J3,Canada,,,,,,,,Japanese,$$
44306,c1aca9620ff853bf,Sakura Sushi,Restaurant,7010 Warden Ave,Markham,ON,L3R 5Y3,Canada,,,,,,,,Japanese,$
44307,c18949223ed0d81a,Shanghai 360,Restaurant; Quick Service,555 Sterling Lyon Pkwy,Winnipeg,MB,R3P 2S8,Canada,,,,,,,,Chinese,
44308,c2b15fcec1d36f37,China House,Restaurant,390 Muskoka Rd N,Gravenhurst,ON,P1P 1G3,Canada,,,,,,,,Chinese,$$
44309,beea1d73424de13d,Stem Japanese Eatery,Restaurant,5205 Rumble St,Burnaby,BC,V5J 2B7,Canada,,,stemtogo@gmail.com,,,,stemtogo@gmail.com,Japanese,$$
44310,b033481932c8c82a,Tsim Chai Noodle Restaurant,Hotel/Resort; Restaurant,8251 Westminster Hwy,Richmond,BC,V6X 1A7,Canada,Ken,W,,,1996,,,Chinese,$
44311,afda697752bb0d03,Sho Sushi Bar & Kitchen,Restaurant,MacLeod Trl SE,Calgary,AB,T2G,Canada,,,,,,,,Japanese,
44312,adac572ffb0448c2,Yuki's Japanese Curry,Restaurant,646 Queen St W,Toronto,ON,M6J 1E4,Canada,,,,,,,,Japanese,
44313,ad8c807f6d053422,Asia Garden Restaurant,Hotel/Resort; Restaurant,4541 Margaret St,Port Alberni,BC,V9Y 6G8,Canada,,,,,,,,Chinese,$$
44314,b0977a82343f9a37,Koyoi,Hotel/Resort; Restaurant; Drinking Place,2 Irwin Ave,Toronto,ON,M4Y 1K9,Canada,,,,,2009,,,Japanese,$$
44315,c7a4fcf4ce59f7bf,Peachy Peachy,Restaurant; Ice Cream Shop,3612 Kingsway,Vancouver,BC,V5R 5M2,Canada,,,,,,,,Chinese,$
44316,c8016acd8a561a81,Deer Lake Wonton Restaurant,Restaurant,5107 Canada Way,Burnaby,BC,V5E 3N1,Canada,,,,,,,,American; Chinese,$
44317,c805bc8f94dc936c,Sunflower Restaurant,Restaurant,5039 50 St,Mannville,AB,T0B 2W0,Canada,,,,,,,,Chinese,$$
44318,c7a386d977281d35,China Lan Beef Noodle,Restaurant,5555 West Blvd,Vancouver,BC,V6M 3W6,Canada,,,,,,,,Chinese,
44319,c8fdefa2bf862bc0,Tam's Chinese Food,Restaurant,261 Rue Victoria,Edmundston,NB,E3V 2J4,Canada,,,,,,,,Chinese,$$$
