,Snowball Map,Restaurant Name,Address,City,Zipcode,State,Country,Phone Number(s),Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
11358,65366,Sushi & Noodle House,777 Cottage St,Brookings,97415,OR,US,5418132888.0,6264768886.0,,,,,,,
11359,65367,Asian Place Chinese Restaurant,2220 Grandview Dr,Fort Mitchell,41017,KY,US,8595788707.0,8435321746.0,8593600031.0,,,,,,
11360,65368,Jumbo Chinese Restaurant,1967 Aloma Ave.,Winter Park,32792,FL,US,4076578878.0,,,,,,,,
11361,65369,Fuji Japan,1061 A1A Beach Boulevard,St Augustine Beach,32080,FL,US,2406589898.0,3016137586.0,,,,,,,
11362,65370,King Garden,214 W Market St,Newport,19804,DE,US,3342721189.0,5802159034.0,,,,,,,
11363,65371,Akita,451 King's Hwy E,Fairfield,6825,CT,US,2039083939.0,6179596070.0,,,,,,,
11364,65372,Fortune Chinese Restaurant,97 Prospect Ave,West Hartford,6106,CT,US,2017149512.0,2018056868.0,2017149594.0,9176869633.0,9293833336,6466396606.0,,,
11365,65373,Alibaba Grill,774 Port Richmond Ave,Staten Island,10302,NY,US,7188168126.0,3475130063.0,,,,,,,
11366,65374,Queen's Soul Food,7308-D. E. Independence Blvd,Charlotte,28227,NC,US,7045631106.0,7042414539.0,,,,,,,
11367,65375,Shish Falafel,3350 W 16th St,Indianapolis,46222,IN,US,3172807262.0,,,,,,,,
11368,65376,Orchid Restaurant,647 Rt 18 S,East Brunswick,8816,NJ,US,7322385900.0,8623245713.0,8487021293.0,,,,,,
11369,65377,Pho 75 #2 Oriental Restaurant,3127 E McKinley Ave,Fresno,93703,CA,US,5594979261.0,5593493670.0,,,,,,,
11370,65378,Tandoori Chicken Restaurant,4006 South Semoran Boulevard,Orlando,32822,FL,US,4073809888.0,,,,,,,,
11371,65379,Asian Garden,1103 E Santa Fe St,Olathe,66061,KS,US,6088509818.0,6082395699.0,,,,,,,
11372,65380,Samurai Kuang Eatery,58 Franklin Street,Boston,2110,MA,US,6174238868.0,6173316379.0,,,,,,,
11373,65381,D Chile,3443 W 26 St,Chicago,60623,IL,US,7735223443.0,,,,,,,,
11374,65382,Siam Oishi,3425 Main Hwy,Coconut Grove,33133,FL,US,3054468800.0,7542100118.0,3053237021.0,,,,,,
11375,65383,Lao Sze Chuan,9434 Skokie Boulevard,Skokie,60077,IL,US,8477803198.0,3128040048.0,8477804163.0,3126623679.0,,,,,
11376,65384,New On Lock Sam,333 S Sutter Street,Stockton,95203,CA,US,2094664561.0,2099810722.0,,,,,,,
11377,65385,Zen Garden,2240 Frankfort Avenue,Louisville,40206,KY,US,4103138818.0,6469323448.0,,,,,,,
11378,65386,Pazzo Pizzeria,11104 W Olympic Blvd,Los Angeles,90064,CA,US,3104733832.0,2136041114.0,2134470004.0,2132486137.0,,,,,
11379,65387,Golden Jade,166 Newark Pompton Turnpike,Pequannock,7440,NJ,US,8452271988.0,9173742787.0,8452271922.0,9173742788.0,,,,,
11380,65388,China Wok,3645 Hwy 80 West Space,Jackson,39209,MS,US,2056256668.0,2058078868.0,,,,,,,
11381,65389,Magic Wok,23 W Harris Ave,La Grange,60525,IL,US,9095972881.0,6265009565.0,,,,,,,
11382,65390,King Foo,2030 2nd Ave,New Yorkn,10029,NY,US,2124270144.0,3475155588.0,2124270189.0,9176823358.0,,,,,
11383,65391,China Taste,1702 Cuming St,Omaha,68102,NE,US,6302629580.0,6302629581.0,6309239585.0,,,,,,
11384,65392,China Gourmet of Troy,1708 Livernois Rd,Troy,48083,MI,US,2485280288.0,2482072800.0,,,,,,,
11385,65393,Tokyo Sushi,1710 Victory Blvd,Staten Island,10314,NY,US,6468820152.0,3472428734.0,,,,,,,
11386,65394,Great Wall Restaurant,112 Wp Malone Dr,Arkadelphia,71923,AR,US,3217223113.0,7277107938.0,,,,,,,
11387,65395,Asian Express,26010 Euclid Ave,Euclid,44132,OH,US,3029330889.0,9175171157.0,9173927997.0,,,,,,
11388,65396,Royal Sushi,143 McClean Ave,Staten Island,10305,NY,US,7188157888.0,6464698208.0,7188152999.0,,,,,,
11389,65397,Il Ponte Vecchio Pizzeria,18660 Collins Ave,North Miami Beach,33160,FL,US,3059740026.0,3059924651.0,3059740054.0,3053332918.0,,,,,
11390,65398,Gyros Plus,209 E Casino Rd,Everett,98208,WA,US,4253554976.0,8044393459.0,8042456898.0,8044393461.0,,,,,
11391,65399,Kumo Hibachi & Sushi,6396 S Westnedge Ave,Portage,49002,MI,US,2693218870.0,3477537778.0,2693309268.0,2695983324.0,,,,,
11392,65400,East Star,80-24 Northern Blvd,Jackson Heights,11372,NY,US,7184783088.0,9176285888.0,,,,,,,
11393,65401,Amherst Chinese Food,62 Main St,Amherst,1002,MA,US,4132537835.0,4138139308.0,4132532813.0,4132979001.0,,,,,
11394,65402,Ocean Empire,340 Route 202,Pomona,10970,NY,US,8453548218.0,9734934213.0,8453548206.0,8622208200.0,8452930215,,,,
11395,65403,Hong Kong China Restaurant,1094 N Navy Blvd,Pensacola,32507,FL,US,8504533303.0,8502929163.0,8504564607.0,6502283780.0,8504387582,7144730392.0,8503789296.0,,
11396,65404,The Wok,912 Genesee St,Rochester,14611,NY,US,4062227009.0,4065806299.0,,,,,,,
11397,65405,La Nuova Pizzeria,1417 Atwood Ave,Johnston,2919,RI,US,4014649700.0,4014056328.0,,,,,,,
11398,65406,China Taste (Near Maumelle),13120 Crystal Hill Road,North Little Rock,72113,AR,US,5018120055.0,6463276188.0,3475705553.0,,,,,,
11399,65407,Cafe Evergreen,1367 1st Avenue,New York,10021,NY,US,2127443266.0,9178380995.0,2127442943.0,9178380095.0,2127443412,,,,
11400,65408,Double Dragon,381 Smithfield Ave,Pawtucket,2860,RI,US,7182388818.0,3478325762.0,7182388858.0,9172935435.0,7186800606,,,,
11401,65409,Get Some Burritos,707 Packard St,Ann Arbor,48104,MI,US,7343696991.0,,,,,,,,
11402,65410,Shanghai Cafe,666 Main Ave,Norwalk,6851,CT,US,4256031689.0,2533066406.0,4259856789.0,,,,,,
11403,65411,Kenji Sushi,427 Sunrise Hwy,Lynbrook,11563,NY,US,5168875231.0,5166127219.0,9176636522.0,9172162850.0,9177754116,,,,
11404,65412,China Tasty,1308 E Valley Blvd,Alhambra,91801,CA,US,6264578483.0,6267829612.0,,,,,,,
11405,65413,Bagelteria,483 Grand St,Brooklyn,11211,NY,US,7183870270.0,,,,,,,,
11406,65414,Taste of China,2413 Butler St,Easton,18042,PA,US,7182563838.0,3479259610.0,7182563085.0,3475069556.0,9296104785,,,,
11407,65415,Th'Pit Stop,959A Bangor Rd,Prospect,4981,ME,US,2075673172.0,3053823561.0,,,,,,,
11408,65416,Pancheros Mexican Grill,965 S Riverside Dr,Iowa City,52246,IA,US,3198872600.0,,,,,,,,
11409,65417,China King Buffet,1773 Elizabethtown Rd,Leitchfield,42754,KY,US,5137279001.0,5133720063.0,,,,,,,
11410,65418,New China,1617 Salem Rd,Burlington,8016,NJ,US,6174459670.0,6174459660.0,,,,,,,
11411,65419,Wok-N-Roll of Clearwater,2519 N McMullen Booth Rd #206,Clearwater,33761,FL,US,7277967800.0,7272516087.0,7272516434.0,,,,,,
11412,65420,El Xacalli,1423 Cannonball Trl,Yorkville,60560,IL,US,6303852563.0,,,,,,,,
11413,65421,Rice To You,5132 W McDowell Rd,Phoenix,85035,AZ,US,6022339197.0,6236962240.0,,,,,,,
11414,65422,Bagel Town Cafe,1363 Jerusalem Ave,Merrick,11566,NY,US,5162807895.0,,,,,,,,
11415,65423,Bella Italian Cuisine and Gourmet,10 Meadowlands Pkwy,Secaucus,7094,NJ,US,2013480005.0,2017912426.0,2013482128.0,2013482126.0,,,,,
11416,65424,Little Taipei,2245 140th Ave NE,Bellevue,98005,WA,US,4257464764.0,4258942148.0,4258920202.0,,,,,,
11417,65425,Crown Royal Cafe,11 Brook St,Quincy,2170,MA,US,6178455148.0,7818884511.0,,,,,,,
11418,65426,House of Lee,6401 Maxwell Drive,Camp Springs,20746,MD,US,3018998252.0,2024317082.0,3018998253.0,2023160873.0,,,,,
11419,65427,Blue Willow 夜来湘,40 W 56th St,New York,10019,NY,US,2122132299.0,3478916610.0,6466660288.0,6463092377.0,6469156806,6466732770.0,3329994884.0,,
11420,65428,Manhattan Bagel,313 E Street Rd,Feasterville Trevose,19053,PA,US,2156776066.0,2152373690.0,2673445056.0,,,,,,
11421,65429,Fire Island Grill,1230 Madera Rd,Simi Valley,93065,CA,US,6612721402.0,7045722021.0,6618026071.0,,,,,,
11422,65430,Hong Kong King,28 Norman St,Salem,1970,MA,US,9787408727.0,6172301171.0,9788185894.0,3092022293.0,9787408728,6173831955.0,3092026929.0,,
11423,65431,Shokudo,4740 NE 2nd Ave,Miami,33137,FL,US,3057587782.0,3059939555.0,2122099419.0,,,,,,
11424,65432,Pho Nam,18059 W Catawba Ave,Cornelius,28031,NC,US,7048929133.0,9808332633.0,7045027600.0,9802487143.0,9802254713,,,,
11425,65433,Fast Jingo's Express,1201 E Broadway,Columbia,65201,MO,US,5734422728.0,,,,,,,,
11426,65434,Ichiro Japanese Restaurant,405 Exchange St,Geneva,14456,NY,US,3157898889.0,8163446002.0,,,,,,,
11427,65435,TSE Restaurant,1021 Blue Lakes Blvd N,Twin Falls,83301,ID,US,2087366282.0,2088511143.0,2086138708.0,,,,,,
11428,65436,Tossed,1400 Broadway,New York,10018,NY,US,6076846049.0,6073685900.0,8628120931.0,,,,,,
11429,65437,Chan's Restaurant,10241 S Western Ave,Chicago,60643,IL,US,7734452077.0,7738160322.0,7739543325.0,,,,,,
11430,65438,Bamboo Gardens II,984 Lakewood Road,Toms River,8753,NJ,US,7322866800.0,7327739079.0,7322866801.0,7345468263.0,,,,,
11431,65439,Chinese Garden,1071 15th Ave,Longview,98632,WA,US,6192752888.0,6199208182.0,8586991121.0,8586994452.0,4169533816,,,,
11432,65440,The Rice Cooker,1211 West Oak St,Zionsville,46077,IN,US,3177331137.0,9173929237.0,3173412764.0,9179160681.0,4026767797,9172155582.0,9295882699.0,3179995983.0,
11433,65441,Bistro Provencal,1590 Little Raven St,Denver,80202,CO,US,3036230605.0,2018512136.0,,,,,,,
11434,65442,Okinawa Sushi Tennyson,3927 Tennyson St,Denver,80212,CO,US,3037278888.0,9172321599.0,,,,,,,
11435,65443,Star Asian Cafe,13830 Hwy 36,Needville,77461,TX,US,9795533888.0,8329082688.0,9795533889.0,6265925535.0,,,,,
11436,65444,Mike's Subs-Kenmore's Original,2862 Delaware Ave,Buffalo,14217,NY,US,7168776000.0,7168740531.0,7168607563.0,7162087875.0,,,,,
11437,65445,Halal New York Fried Chicken,451 Passaic Street,Hackensack,7601,NJ,US,2013425004.0,,,,,,,,
11438,65446,Pink Elephant,22039 Sherman Way,Canoga Park,91303,CA,US,8188830422.0,8183848133.0,8188830412.0,8188250413.0,,,,,
11439,65447,China Moon,876 East Street Road,Warminster,18974,PA,US,9047836888.0,6462875751.0,9047816999.0,,,,,,
11440,65448,Kaboto Express Japanese Grill,7132 Parklane Rd,Columbia,29223,SC,US,8037082049.0,8034224235.0,,,,,,,
11441,65449,Kumo Hibachi Sushi,2595 Sandy Plains Rd,Marietta,30066,GA,US,7705752822.0,2675756617.0,7706757183.0,,,,,,
11442,65450,De Ranch Restaurant,3511 Maryland Ave,Hyattsville,20785,MD,US,3017735444.0,2403753989.0,2404677745.0,,,,,,
11443,65451,Ruby Chinese Food,485 Hartford Rd,Manchester,6040,CT,US,8606432494.0,8607093663.0,8606431512.0,8605027777.0,8606494568,,,,
11444,65452,Four Seasons Chinese Restaurant,1730 W Spruce St,Rawlins,82301,WY,US,5856249988.0,3477382677.0,5856249995.0,5855826011.0,,,,,
11445,65453,New China,7001 NW 88th Ave,Tamarac,33321,FL,US,6174459670.0,6174459660.0,,,,,,,
11446,65454,KADO SUSHI,117 Jackson Ave,Syosset,11791,NY,US,5166779888.0,6463881393.0,5166779188.0,9178185977.0,,,,,
11447,65455,Cobblestones Pub,11718 Queens Blvd,Forest Hills,11375,NY,US,7182639754.0,9148060808.0,9177313683.0,,,,,,
11448,65456,Afghan Express,5600 Hillcroft St,Houston,77036,TX,US,2819742163.0,2815206771.0,,,,,,,
11449,65457,First Choice,11203 York Rd,Cockeysville,21030,MD,US,4107710020.0,4107710021.0,9173020970.0,,,,,,
11450,65458,John Holly's 1028 South Gaylord Street,1028 S Gaylord St,Denver,80209,CO,US,3039420158.0,3037220131.0,3039538631.0,3037222783.0,3037045534,3037228686.0,,,
11451,65459,Ten Ren Tea Time,7418 Baltimore Ave,College Park,20740,MD,US,3018648920.0,3012506635.0,2408889439.0,,,,,,
11452,65460,Gloria's In & Out,987 Nostrand Ave,Brooklyn,11225,NY,US,7187784852.0,9292026471.0,,,,,,,
11453,65461,China King,159 North Colony St.,Wallingford,6492,CT,US,2318323888.0,2318323838.0,,,,,,,
11454,65462,Ducatis Pizzeria & Trattoria,960 Cipriana Dr,Myrtle Beach,29572,SC,US,8438395373.0,9084151234.0,8432138669.0,6093343797.0,8433318109,3046690603.0,8434466529.0,,
11455,65463,China One Restaurant,353 Courthouse Rd,Gulfport,39507,MS,US,3864457188.0,6465415592.0,,,,,,,
11456,65464,Shahi Restaurant,2100 N University Dr,Pembroke Pines,33024,FL,US,9543920999.0,,,,,,,,
11457,65465,Ginger Zing,3460 E Southern Ave,Mesa,85204,AZ,US,4803250558.0,4807997987.0,4808306967.0,4805868266.0,,,,,
11458,65466,Bask,42 Columbus Ave,San Francisco,94111,CA,US,4153922275.0,,,,,,,,
11459,65467,Krispy Krunchy Chicken,4105 E McDowell Rd,Phoenix,85008,AZ,US,2154357400.0,2673685718.0,,,,,,,
11460,65468,Aspen Deli,20 N Beaver St,Flagstaff,86001,AZ,US,9285568629.0,7144892230.0,,,,,,,
11461,65469,Joe Asian & Sushi,3319 36th Ave,Queens,11106,NY,US,7183616822.0,9173992917.0,7183616897.0,6466431821.0,6462552388,9292808398.0,,,
11462,65470,El Rey De La Caridad,973 Amsterdam Ave,New York,10025,NY,US,2122227383.0,6464649893.0,2128663800.0,9174822553.0,,,,,
11463,65471,Yuki of Tokyo,200 Hartz Ave,Danville,94526,CA,US,9258382505.0,,,,,,,,
11464,65472,Eat First Chinese Restaurant,3434 S Kingshighway Blvd,St Louis,63139,MO,US,3143528333.0,3146855184.0,3146053927.0,6143644437.0,3142032504,4025133852.0,,,
11465,65473,Jade Isle Restaurant,158 Terrill Rd,Plainfield,7062,NJ,US,9083226111.0,9177051662.0,,,,,,,
11466,65474,Afghan's Dastarkhwan,10581 S Hwy 6,Sugar Land,77498,TX,US,2813130774.0,,,,,,,,
11467,65475,Yoan Ming Garden,1407 Madison Ave,New York,10029,NY,US,2124269545.0,9175192988.0,6468123318.0,6199057153.0,,,,,
11468,65476,Turkish Cuisine White Plains,116 Mamaroneck Ave,White Plains,10601,NY,US,9146836111.0,9143276273.0,5165091443.0,,,,,,
11469,65477,Fortune Palace,3005 S Limit Ave,Sedalia,65301,MO,US,6608263299.0,6605255975.0,6605969661.0,,,,,,
11470,65478,Subway,25292 McIntyre Street,Laguna Hills,92653,CA,US,8563546090.0,8563166253.0,,,,,,,
11471,65479,Sarku Japan,10280 Baltimore Ave,College Park,20740,MD,US,2409656035.0,,,,,,,,
11472,65480,Quickway Japanese Hibachi,2676G Avenir Place.,Vienna,22180,VA,US,3018698168.0,7039800484.0,7032978918.0,2406869929.0,,,,,
11473,65481,Sherpa House Restaurant and Cultural Center,1518 Washington Ave,Golden,80401,CO,US,3032787939.0,,,,,,,,
11474,65482,Jade's Chinese,40982 California Oaks Rd,Murrieta,92562,CA,US,9514618278.0,9515016370.0,9512492626.0,9515436868.0,9513871380,9514619285.0,9512192270.0,,
11475,65483,Venezuelan Cafe,2056 San Pablo Ave,Berkeley,94702,CA,US,5103251944.0,4086917902.0,,,,,,,
11476,65484,Gee N Jays,925 Dundee Ave,Elgin,60120,IL,US,8478418888.0,7739360087.0,3126787882.0,3126787812.0,,,,,
11477,65485,Oishi Asian Fusion & Lounge,366 New Dorp Lane,Staten Island,10306,NY,US,7186675362.0,9173559233.0,7186676784.0,,,,,,
11478,65486,Delhi 6 Express,8415 Woodsboro Pike,Walkersville,21793,MD,US,3018454888.0,3014124207.0,,,,,,,
11479,65487,Savor Flavor Asia,4905 E Ray Rd,Phoenix,85044,AZ,US,4807858880.0,,,,,,,,
11480,65488,Sunlight Cafe,227 W Cermak Rd,Chicago,60616,IL,US,3126741368.0,3127311337.0,,,,,,,
11481,65489,Jumbo Chinese Restaurant,155 Joiner Pkwy,Lincoln,95648,CA,US,4076578878.0,,,,,,,,
11482,65490,Hong Kong Chinese Cuisine,814 Midland Ave,Midland,15059,PA,US,7246434547.0,9176022961.0,7246434548.0,9178633508.0,7244950006,4057066766.0,7245612901.0,7246226022.0,
11483,65491,Sattdown Jamaican Grill,11320 Ventura Blvd,Studio City,91604,CA,US,8187663696.0,8187264037.0,,,,,,,
11484,65492,Aa'bee Persian & Mediterranean Restaurant,10579 Fairfax Blvd,Fairfax,22030,VA,US,7033520331.0,5713869238.0,7038197007.0,,,,,,
11485,65493,Choza 96,96 East Colorado Boulevard,Pasadena,91105,CA,US,6264324692.0,6264371831.0,6262524001.0,,,,,,
11486,65494,Banana Leaf,1026 Ryan Rd,Cary,27511,NC,US,2126748884.0,3479386120.0,2124940000.0,,,,,,
11487,65495,China Wok,12312 Barker Cypress Rd,Cypress,77429,TX,US,2056256668.0,2058078868.0,,,,,,,
11488,65496,Sgt Pepperoni,495 Farmington Ave,Hartford,6105,CT,US,8602338888.0,8604780497.0,8609042255.0,8609042031.0,8609047467,,,,
11489,65497,Wing Fong Restaurant,3801 Corunna Rd,Flint,48532,MI,US,8102321688.0,8108774005.0,8102321692.0,8108344581.0,,,,,
11490,65498,Akashi Asian Bistro,369 Merrick Ave,Merrick,11566,NY,US,5167717316.0,9172915868.0,9172269386.0,,,,,,
11491,65499,TB Asian Cuisine,339 Ridge Rd,Wilmette,60091,IL,US,8472512666.0,8473341981.0,2244751555.0,,,,,,
11492,65500,Noodle 58,5832 Mapledale Plz,Woodbridge,22193,VA,US,7035808882.0,5719707095.0,,,,,,,
11493,65501,Danny's Sub Shop,7900 Annapolis Rd,Lanham,20706,MD,US,3015521860.0,3018001819.0,3015521870.0,,,,,,
11494,65502,Red Ginger China Bistro,40405 Winchester Rd,Temecula,92591,CA,US,9512961625.0,6266162192.0,9515437868.0,9512961626.0,9515436868,9513266920.0,,,
11495,65503,Kai's Place,45 Padanaram Rd,Danbury,6811,CT,US,2037788880.0,7184064721.0,2039104690.0,,,,,,
11496,65504,Asian Express,6525-C Calhoun Memorial Highway,Easley,29640,SC,US,3029330889.0,9175171157.0,9173927997.0,,,,,,
11497,65505,Amazing Wok (Lark St),267 Lark Street,Albany,12210,NY,US,5184343946.0,9175928230.0,5184308190.0,,,,,,
11498,65506,Champ's Hot Grill,7250 Canoga Ave,Canoga Park,91303,CA,US,8188877556.0,7472638451.0,8185222731.0,8183103503.0,8182312839,,,,
11499,65507,Ajia Asian Cuisine,180 E Pagosa St,Pagosa Springs,81147,CO,US,9702645928.0,6265601002.0,9705071159.0,9703980515.0,9707315533,,,,
11500,65508,Taste of Asia,925 Village Square Dr,Sebastian,32958,FL,US,2489877111.0,2483791191.0,,,,,,,
11501,65509,El Pilon Italy Pizzeria,1306 Flatbush Ave,Brooklyn,11210,NY,US,7184344582.0,3474208659.0,,,,,,,
11502,65510,King Wong Chinese,2545 N 32nd St,Phoenix,85008,AZ,US,6029548088.0,4806862976.0,4807993636.0,,,,,,
11503,65511,Gino's Pizzeria,928 Diamond Springs Rd,Virginia Beach,23455,VA,US,7574977111.0,7572873365.0,7574979199.0,7574979699.0,,,,,
11504,65512,Beijing Pop Kabob,122 Mulberry St,New York,10013,NY,US,2129666206.0,6466789167.0,,,,,,,
11505,65513,China Wok,200 Bass Pro Dr,Pearl,39208,MS,US,2056256668.0,2058078868.0,,,,,,,
11506,65514,Charlie's Grilled Subs,1 Penn Plz,New York,10119,NY,US,2126297455.0,,,,,,,,
11507,65515,Shangri-la,14 E 7th St,Chattanooga,37402,TN,US,7188360333.0,6466100010.0,6469336666.0,9173927877.0,,,,,
11508,65516,Salon Canton Restaurant,916 71st St,Miami Beach,33141,FL,US,3056400666.0,3056400602.0,7868171823.0,,,,,,
11509,65517,China Doll,13 Washington Ave,Endicott,13760,NY,US,7709556544.0,7708236068.0,7709558660.0,4048055943.0,7705809341,6785103158.0,4045145129.0,,
11510,65518,SJ Gourmet Subs,210 Bush St,Red Wing,55066,MN,US,6513880111.0,,,,,,,,
11511,65519,Lucky Dragon,6831 Hollister Ave,Goleta,93117,CA,US,3175788855.0,3179228046.0,,,,,,,
11512,65520,Empress Chinese Restaurant,7220 Long Point Rd,Houston,77055,TX,US,7136812601.0,6466330149.0,7136815209.0,8325812272.0,8327741423,,,,
11513,65521,Century Asian Cafe,1555 South Havana Street,Aurora,80012,CO,US,3036957673.0,3038081568.0,,,,,,,
11514,65522,South North Gardens,140 Sol Duc Way,Forks,98331,WA,US,3603749779.0,,,,,,,,
11515,65523,Tortilla Fish,1320 W Elliot Rd,Tempe,85284,AZ,US,4808202323.0,,,,,,,,
11516,65524,China 1,4556 SW Heritage Oaks Cir,Lake City,32024,FL,US,7279388811.0,7279388881.0,7275055882.0,9178736688.0,7274034375,,,,
11517,65525,One Plus One Cafe,9329 Valley Blvd,Rosemead,91770,CA,US,6268720013.0,6268880520.0,,,,,,,
11518,65526,Golden Terrace Restaurant,120-23 Atlantic Ave,Richmond Hill,11418,NY,US,7185540405.0,7187108017.0,7183620921.0,7183408074.0,7185547695,,,,
11519,65527,Taiwan Restaurant,445 Clement St,San Francisco,94118,CA,US,5124450677.0,4086084955.0,,,,,,,
11520,65528,Naomi Sushi Express,126 W Main St,Barrington,60010,IL,US,8473812234.0,,,,,,,,
11521,65529,China Wok,198 West 92 Highway,Kearney,64060,MO,US,2056256668.0,2058078868.0,,,,,,,
11522,65530,Aged.,10702 70th Rd,Forest Hills,11375,NY,US,7185442433.0,7187855577.0,7185442975.0,9175438110.0,7185442976,2129918980.0,,,
11523,65531,Golden Moon Chinese Restaurant,9285 Preston Rd,Frisco,75033,TX,US,9723352772.0,9725897784.0,2143175190.0,4696188811.0,4694411788,,,,
11524,65532,Panda Buffet,103 Ferdinand St.,Marksville,71351,LA,US,4065868757.0,4065808896.0,,,,,,,
11525,65533,Wang Wang,852 Bushwick Ave,Brooklyn,11221,NY,US,7184433878.0,,,,,,,,
11526,65534,Liu Mandarin Kitchen,167 Sacramento St,Auburn,95603,CA,US,5307454098.0,4152383181.0,,,,,,,
11527,65535,Some TIng Nice,561 McGrath Hwy,Somerville,2145,MA,US,6176279047.0,6174621275.0,8572668820.0,,,,,,
11528,65536,Bagel Mill LLC,1700 1st ave,New York,10128,NY,US,2124260868.0,2124261241.0,,,,,,,
11529,65537,Blue Lagoon Asian Bistro,1695 Peoria St.,Aurora,80010,CO,US,3033606688.0,7209753816.0,7208913356.0,,,,,,
11530,65538,No.1 Chinese Kitchen,1119 Main Street,Scotland Neck,27874,NC,US,7188161836.0,6465252770.0,7188161866.0,6463843909.0,6462519085,,,,
11531,65539,Oishi Japanese Fusion,2025 Guadalupe St,Austin,78705,TX,US,5122360207.0,,,,,,,,
11532,65540,Don Quixote's Mexican Grill,2164 Sunset Boulevard,Rocklin,95765,CA,US,9167731800.0,9162899480.0,5599944581.0,,,,,,
11533,65541,Cutting Board,53 Bayard St,New York,10013,NY,US,2125280188.0,9176602960.0,,,,,,,
11534,65542,Takie Outit,2132 W Chicago Ave,Chicago,60622,IL,US,7732521880.0,7087699042.0,7739413868.0,7089450078.0,7732521810,3126622243.0,,,
11535,65543,Shaanxi Gourmet,921 S Baldwin Ave,Arcadia,91007,CA,US,6264457662.0,6268403109.0,,,,,,,
11536,65544,Homemade Taqueria,45-09 34th Ave,Long Island City,11101,NY,US,7184403307.0,3475662977.0,7187790771.0,6466539427.0,3474372606,3479439357.0,,,
11537,65545,Buddha Bowls,901 Embarcadero Del Mar,Isla Vista,93117,CA,US,8059614555.0,,,,,,,,
11538,65546,Sashimi Sashimi,640 Church St,Evanston,60201,IL,US,8474757274.0,6304001260.0,,,,,,,
11539,65547,Kohinoor Restaurant,5926 York Rd,Baltimore,21212,MD,US,4104649600.0,4435625575.0,4104649680.0,4438588278.0,,,,,
11540,65548,Istanbul Restaurant Cary,914 Kildaire Farm Road,Cary,27511,NC,US,9196519608.0,6172869626.0,9195921790.0,2125175133.0,,,,,
11541,65549,La Szechwan Garden,18854 Norwalk Blvd,Artesia,90701,CA,US,5628659258.0,,,,,,,,
11542,65550,Sabor De Mi Tierra,1260 S Soto Street,Los Angeles,90023,CA,US,3232667226.0,,,,,,,,
11543,65551,Blackberry Bistro,915 NW 1st Ave,Miami,33136,FL,US,3053793632.0,3058904988.0,,,,,,,
11544,65552,Bamboo Court,4935 Centennial Blvd.,Colorado Springs,80919,CO,US,7725691008.0,9176408065.0,,,,,,,
11545,65553,Koi Fine Asian Cuisine & Lounge,624 Davis Street,Evanston,60201,IL,US,8478666969.0,,,,,,,,
11546,65554,Zaki on the River,8416 N 56 St,Temple Terrace,33617,FL,US,8139851199.0,,,,,,,,
11547,65555,Gohan Sushi,13842 Newport Ave,Tustin,92780,CA,US,8602768886.0,9175826370.0,,,,,,,
11548,65556,Buckhorn Cafe,8404 19th Avenue,Necedah,54646,WI,US,6085652695.0,7737426840.0,,,,,,,
11549,65557,The Blarney,601 Monroe St,Toledo,43604,OH,US,4194182339.0,,,,,,,,
11550,65558,Elias' Cinco De Mayo,2337 Grand Concourse Ave,Bronx,10468,NY,US,9174719067.0,9172159728.0,9174719068.0,9173404491.0,,,,,
11551,65559,La Foca Taqueria,119 Wyckoff Ave,Brooklyn,11237,NY,US,3479152067.0,,,,,,,,
11552,65560,Ming Dynasty,3105 E 10th St,Greenville,27858,NC,US,2527527111.0,2527173060.0,2524127047.0,,,,,,
11553,65561,Bourbon BBQ,499 Midland Ave,Garfield,7026,NJ,US,2702200001.0,2012475821.0,9739305599.0,2014444744.0,2017970814,,,,
11554,65562,Milano Pizzeria,1097 Worthington Woods Boulevard,Columbus,43085,OH,US,6144363777.0,6144680321.0,6145898497.0,,,,,,
11555,65563,Fishing Boat Chinese Cuisine,516 E Live Oak Ave,Arcadia,91006,CA,US,6263482500.0,6269220586.0,,,,,,,
11556,65564,Fasil Mediterranean Restaurant,308 Wootton St,Boonton,7005,NJ,US,9739173334.0,9736411684.0,9737221655.0,,,,,,
11557,65565,No. 1 Chinese Restaurant,2368 East Little Creek Rd,Norfolk,23518,VA,US,2527469919.0,2127294731.0,,,,,,,
11558,65566,Evergreen Express,5539 Edmondson Pike,Nashville,37211,TN,US,6158349788.0,6154808127.0,6157391605.0,6153338315.0,6158300576,,,,
11559,65567,Village Square Cafe,66 Village Square,Baltimore,21210,MD,US,4104332233.0,4439382622.0,4103820400.0,,,,,,
11560,65568,Pines of Florence,1300 King St,Alexandria,22314,VA,US,7035491796.0,5714262052.0,7038818944.0,7039280320.0,2403940896,7032998906.0,7037407520.0,,
11561,65569,Rocco's Pizzeria,397 Bedford Park Blvd,Bronx,10458,NY,US,7182956793.0,6463011696.0,,,,,,,
11562,65570,Poblano Mexican Grill,201 W Chase St,Baltimore,21201,MD,US,4102448818.0,7327627472.0,4434883224.0,4439293580.0,,,,,
11563,65571,King Sweets,2308 W Devon Ave,Chicago,60659,IL,US,7732628000.0,3123888005.0,,,,,,,
11564,65572,First Cook,2305 Stillwell Ave,Brooklyn,11223,NY,US,7183330569.0,3472681991.0,,,,,,,
