Date,Page location,Sessions,ID,List Version,Snowball Map,Name,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,Established,Estimated Employees,Business Phone,All Phone (Print Shop),Address Check,Name + City Check,Contact Count,Most Common Email,Cuisines (Regional),Price Range,Website Technology Vendors,visit_again
2023-10-14,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=44566,1,44566,List - B,44566.0,Hanabi Sushi,2155 Richmond St,London,ON,N6G 3V9,Canada,,,,,,,,,(519) 672-9224,-,-,-,0.0,,Japanese,,Uber Eats,False
2023-10-14,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=23002,1,23002,List - B,23002.0,Kyoto Hibachi Express and Sushi,5035 W 71st St,Indianapolis,IN,46268,United States,,,,,,,,,(317) 746-6973,-,-,-,0.0,,Japanese,$$,DoorDash; Grubhub,False
2023-10-14,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=28066,1,28066,List - B,28066.0,Hing Wong,7922 5th Ave,Brooklyn,NY,11209,United States,,,,,,,,,(718) 866-3295,"7187486688, 9179326615","7187486688, 9179326615",-,0.0,,Chinese,$,Delivery.com; DoorDash; Google Analytics; Grubhub; MenuPages; Menufy; Uber Eats; WhereYouEat.com,False
2023-10-14,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=29701,1,29701,List - B,29701.0,Yama Sushi,3909 Spring Mountain Rd,Las Vegas,NV,89102,United States,,,,,,,,,(702) 257-1100,-,-,-,0.0,,Japanese,$$,BringMeThat; Uber Eats; Wix Restaurants,False
2023-10-15,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=39910,1,39910,List - A,39910.0,Don's Dining,9840 97 Ave,Grande Prairie,AB,T8V 7K2,Canada,Don,Wong,Proprietor,Owner,,,,,(780) 513-2888,-,-,-,1.0,donsdining@gmail.com,Chinese,$,Skip the Dishes; Wix Restaurants,False
2023-10-15,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=38629,1,38629,List - B,38629.0,Little Pot,1665 Stelton Rd,Piscataway,NJ,8854,United States,Tina Jing,Lin,Principal,Owner,,,,,(732) 317-8986,"7325430560, 9133413434, 9137071318, 7325087472","7325430560, 9133413434, 9137071318, 7325087472",-,1.0,thehotfishboil@gmail.com,Chinese,$$,BringMeThat; ChowBus; Google Analytics; Grubhub; Menusifu; Uber Eats; WooCommerce,False
2023-10-16,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=42541,1,42541,List - B,42541.0,J F Chen Chinese Food,995 Paisley Rd,Guelph,ON,N1K 1X6,Canada,Joe,Lee,Proprietor,Owner,,,,,(519) 822-8868,-,-,-,1.0,,Chinese,$$,WooCommerce,False
2023-10-16,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=28483,1,28483,List - B,28483.0,Osaka Ramen,2611 Walnut St,Denver,CO,80205,United States,Jeff,O,Executive Chef,Back of the House,,,2014.0,,(303) 955-7938,-,-,-,2.0,cole@osakaramendenver.com,Japanese,$$,Chownow; Culinary Agents; OpenTable; Squarespace,False
2023-10-16,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=35544,2,35544,List - B,35544.0,Natural Poke Runner (Palmetto Bay),17331 S Dixie Hwy,Palmetto Bay,FL,33157,United States,,,,,,,,,(786) 713-5284,-,-,-,0.0,,Japanese,$,Uber Eats,False
2023-10-17,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=19093,1,19093,List - A,19093.0,China Town,400 Lacey Rd,Manchester,NJ,8759,United States,,,,,,,,,(732) 350-8855,7323508855,7323508855,-,0.0,,Chinese,$$,BringMeThat; Uber Eats,False
2023-10-18,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=43798,1,43798,List - B,43798.0,Ko Chicken + Ramen,3207 Preston Ave S,Saskatoon,SK,S7T 1C9,Canada,,,,,ko.ramenbar@gmail.com,,,,(306) 979-8866,-,-,-,0.0,ko.ramenbar@gmail.com,Japanese,$$,DoorDash; Skip the Dishes; Square; Square Gift Cards; Square Loyalty; Square Market; Square Messages; Square Online Order; Uber Eats; Wix Restaurants,False
2023-10-18,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=24393,1,24393,List - B,24393.0,Top's China,6380 Richmond Rd,Williamsburg,VA,23188,United States,Mignon,Yang,Principal,Owner,,,2007.0,,(757) 229-7500,-,-,-,1.0,,Chinese,$,,False
2023-10-19,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=26156,1,26156,List - B,26156.0,Taste Of China,440 Summit Dr,Lockport,IL,60441,United States,Kevin,Guo,Owner,Owner,,,2002.0,,(815) 836-0643,-,-,-,1.0,,Chinese,,BringMeThat,True
2023-10-19,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=42700,1,42700,List - B,42700.0,Vintage Garden,1038 McNicoll Ave,Toronto,ON,M1W 0A4,Canada,,,,,,,,,(416) 756-0304,-,-,-,0.0,,Chinese,$$,,False
2023-10-21,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=30737,1,30737,List - B,30737.0,New China Buffet,2101 7th St S,Clanton,AL,35045,United States,Dennis,Xie,Principal,Owner,,,2004.0,,(205) 280-8858,-,-,-,1.0,,Chinese,$,SinglePlatform; Uber Eats; Yelp Reservation; Yelp Waitlist,False
2023-10-22,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=30608,1,30608,List - B,30608.0,Eat District,1914 NE 5th Ave,Boca Raton,FL,33431,United States,,,,,eatdistricthealthyasianbowl@gmail.com,,,,(561) 576-2046,-,-,-,0.0,eatdistricthealthyasianbowl@gmail.com,Chinese,$$,BringMeThat; DoorDash; Grubhub; Toast Email Marketing; Toast Loyalty; Toast Marketplace; Toast Online Ordering; Toast Payroll and Team Management; Uber Eats,False
2023-10-22,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=37424,1,37424,List - B,37424.0,Fujiyama Japanese Steak and Seafood House,4851 Rice Mine Rd NE,Tuscaloosa,AL,35406,United States,,,,,,,,,(205) 722-2239,-,-,-,0.0,,Japanese,$$,BringMeThat; DoorDash; Google Analytics; Grubhub; Rushable; Stripe; Uber Eats; ezCater,False
2023-10-22,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=45145,1,45145,List - B,45145.0,Yo Sushi,103 King St W,Kitchener,ON,N2G 1A7,Canada,,,,,,,,,(519) 568-7566,-,-,-,0.0,,Japanese,$$,DoorDash; Google Analytics; Skip the Dishes; Uber Eats,False
2023-10-23,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=23201,1,23201,List - B,23201.0,Bonfire,4021 Lebanon Pike,Hermitage,TN,37076,United States,,,,,,,,,(615) 942-6230,-,-,-,0.0,bonfirehiringoffice@gmail.com,Mongolian,$$,Menusifu,False
2023-10-28,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=24333,1,24333,List - B,24333.0,Teriyaki Wok,1160 Old W Liberty St,Sumter,SC,29150,United States,Yung,Chae,Owner,Owner,,,2000.0,,(803) 773-8722,-,-,-,2.0,,Japanese,$$,,True
2023-10-30,https://getskt.com/octoberfreetrial/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=*****,1,-0001,,,,,,,,,,,,,,,,,,,,,,,,,,True
2023-10-30,https://getskt.com/octoberfreetrial2/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=*****,1,-0001,,,,,,,,,,,,,,,,,,,,,,,,,,True
2023-10-30,https://getskt.com/octoberfreetrial3/?utm_source=OctoberMailer&utm_medium=DirectMail&utm_campaign=FreeTrial&utm_id=*****,1,-0001,,,,,,,,,,,,,,,,,,,,,,,,,,True
