Snowball Map,ID,Name,Opening Hours,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Title,Role,Contact Email,Contact Phone,Established,Estimated Employees,Business Phone,Contact Count,Most Common Email,Cuisines (Regional),Price Range
8716,9cd61dcbf57bc1d2,Ceviche DOZO,"Mon Closed, Tue-Sat 12:30pm-9pm, Sun Closed",5715 Hollywood Blvd,Hollywood,FL,33021,United States,,Harumi,Business Owner,Owner,,,2017,,(954) 251-3248,1,hagrumi@gmail.com,Japanese,$
8719,9d883fc4b1f1637e,Mandrake Miami,"Mon-Tue Closed, Wed-Sat 7pm-2am, Sun Closed",210 23rd St,Miami Beach,FL,33139,United States,Esteban,Villalba,Private party contact,,,,,,(305) 397-8036,1,,Japanese; Peruvian,$$
8721,9d54d9086fb8cc2e,Edo,"Mon 11:30am-9:30pm, Tue Closed, Wed-Thu 11:30am-9:30pm, Fri-Sat 11:30am-10pm, Sun 1pm-8:30pm",32 Padanaram Rd,Danbury,CT,6811,United States,Sooae,Lim,Member,Owner,,,2011,,(203) 743-8799,1,,Korean; Japanese,$$
8723,9e17e5b3279f6d28,Wabi Sabi,"Mon Closed, Tue-Sat Noon-3pm 6am-9pm, Sun Closed",851 NE 79th St,Miami,FL,33138,United States,Daniel,Pinzon,Sushi Chef,Back of the House,,,2018,,(305) 890-7228,2,info@jafsllc.com,Japanese,$$
8726,9c327703532755d3,Osaka Sushi,"Mon-Thu 3pm-5pm, Fri-Sun Closed",1200 K St,Sacramento,CA,95814,United States,Misty,Dixon,Branch Manager,Operations,,,2014,,(916) 440-0178,1,osakasushisacramento@gmail.com,Japanese,$$
8735,a877516d44ec63c1,OMG Hibachi,"Mon Closed, Tue Noon-8pm, Wed-Thu 11am-8pm, Fri 11am-8:30pm, Sat 11am-8pm, Sun Closed",836 US-425,Monticello,AR,71655,United States,Ferry,Lim,Principal,Owner,,,,,(870) 723-7676,1,,Japanese,$$
8736,a8723a84bb7929aa,I Love Sushi,"Mon Closed, Tue-Sat 11:30am-2:30pm 5pm-9:30pm, Sun 4:30pm-9:30pm",516 Front St,Santa Cruz,CA,95060,United States,Jae,Kim,Owner,Owner,,,2007,,(831) 421-0706,3,,Japanese,$$
8740,a9fd152014f8e4d4,Eiko's,"Mon-Thu 11:30am-7pm, Fri-Sun 11:30am-8pm",610 1st St,Napa,CA,94559,United States,Allison,Hallum,General Manager,Operations,eikosnapavalley@gmail.com,,,,(707) 515-7026,1,eikosnapavalley@gmail.com,Japanese,$$
8741,ee1f3ae1910ac5bf,Lan Pan-Asian Cafe,"Mon-Fri 4pm-6pm, Sat-Sun Closed",8332 S Dixie Hwy,Miami,FL,33143,United States,Kaza,Abe,General Manager,Operations,,,2000,,(305) 661-8141,4,info@lanpanasian.com,Japanese,$$
8749,f2a3498ae8fb0d83,Ju Hachi,"Mon-Thu 3pm-9:30pm, Fri-Sat 3pm-10:30pm, Sun 3pm-9:30pm",1730 S St,Sacramento,CA,95811,United States,Michael,Warren,Principal,Owner,,,2009,,(916) 448-3481,3,sushi@juhachirestaurant.com,Japanese,$$
8757,f3c2cf1e78bc995d,Masa,Daily 4:30am-7pm,1650 N Monroe St,Tallahassee,FL,32303,United States,Ken,Ho,Principal,Owner,,,,,(850) 727-4183,3,donb@masacorp.com,Japanese,$$
8758,f4122911b6392136,Sushi Nami,"Mon-Thu 11:30am-2:30pm 5pm-9:30pm, Fri 11:30am-2:30pm 5pm-10:30pm, Sat 5pm-10:30pm, Sun 5pm-9:30pm",5316 Windward Pkwy,Alpharetta,GA,30004,United States,Scott,Jeon,Manager,General,,,2003,,(678) 566-3889,3,,Japanese,$$
8759,f3cbf94179977d9c,iSushi,"Mon Closed, Tue 5pm-9:30pm, Wed-Thu 11:30am-2:30pm 5pm-9:30pm, Fri-Sat 11:30am-2:30pm 5pm-10pm, Sun 11:30am-2:30pm 5pm-9:30pm",20649 Rustic Dr,Castro Valley,CA,94546,United States,Stanley,Chan,Principal,Owner,,,2000,,(510) 886-8528,2,stan@isushisake.com,Japanese,$$
8766,e44071fc05ff8d25,Hiro Japanese Steakhouse,,228 E Main St,Montrose,CO,81401,United States,Hiro,Rewards,Founder,Owner,,,2017,,(970) 615-7508,2,howard_kusnady@yahoo.com,Japanese,$$
8775,ea723fc22d2385ae,Toni's Sushi Bar,Daily 6pm-11pm,1208 Washington Ave,Miami Beach,FL,33139,United States,Hiromi,Takarada,,,,,1987,,(305) 673-9368,1,servicedirectory494@gmail.com,Japanese,$$
8778,ec02947fa5997943,EMC Seafood & Raw Bar,Daily 3pm-6pm,378 Santana Row,San Jose,CA,95128,United States,Ricky,Chiu,Bartender/Server,Front of the House,,,,,(408) 296-6048,2,info@emcseafood.com,Japanese,$$
8779,ec5888f3bf85f0e2,Flavors Indian Cuisine,"Mon-Wed 11am-11pm, Thu-Fri 11am-Midnight, Sat 11:30am-Midnight, Sun 11:30am-11pm",211 SE Walton Blvd,Bentonville,AR,72712,United States,Nagaraju,Bavirisetti,Principal,Owner,,,2014,,(479) 254-1035,2,flavorsnwa@gmail.com,Indian; Chinese,$$
8782,e1ff10ff89e4a62a,Sushi Itto,"Mon-Fri 11am-9pm, Sat 11am-10pm, Sun Closed",2173 Briarcliff Rd NE,Atlanta,GA,30329,United States,Brent,Smith,Sushi Chef,Back of the House,,,2011,,(404) 633-3400,2,sushiittoatlanta@yahoo.com,Japanese,$$
8788,e9b3aaddd5ed1aab,Yasda Bento,,18 W Adams St,Phoenix,AZ,85003,United States,Sarah,Ahn,Owner,Owner,,,2005,,(602) 254-7174,1,yasdabento@gmail.com,Korean; Japanese,$
8799,ec9e529a608063fd,Tepanyaki Japanese Steak House,"Mon-Tue 4pm-9pm, Wed Closed, Thu-Sun 4pm-9pm",2197 N Garden St,Boise,ID,83706,United States,Nhon,Young,Owner,Owner,,,1989,,(208) 343-3515,1,,Japanese,$$
8812,fa45680978967dc9,Arigato Sushi,"Mon-Thu 11:30am-10pm, Fri-Sun 11:30am-10:30pm",1608 Howe Ave,Sacramento,CA,95825,United States,Chung,Ko,Owner,Owner,,,2004,,(916) 920-5930,1,,Japanese,$$
8814,f9d760755b21b986,Fancy Sushi,"Mon Closed, Tue-Thu 11am-9:30pm, Fri-Sat 11am-10:30pm, Sun Noon-9:30pm",1478 Sadler Rd,Fernandina Beach,FL,32034,United States,Mark,Gentry,,,,,2007,,(904) 261-9855,1,fancysushiq@yahoo.com,Japanese,$$
8822,f6c64d586300e7ea,Ocean Trail,"Mon-Fri 4pm-7pm, Sat-Sun Closed",9800 E Talking Stick Way,Scottsdale,AZ,85256,United States,Kylie,Gust,Dining Shift Supervisor,Operations,kylie.gust@talkingstickresort.com,,,,(480) 850-7777,20,omer.marion@talkingstickresort.com,Creole; Cajun,$$
8844,fdef4a05c99aa1fa,Shabuya,"Mon-Thu 11am-10pm, Fri-Sat 11am-11pm, Sun 11am-10pm",15028 Rosecrans Ave,La Mirada,CA,90638,United States,Joe,Doe,Ceo & Founder - Okler,Owner,,,2017,,(657) 529-1290,2,,Japanese,$$
8845,fae79e36f588a30b,Asahi Japanese Steak & Sushi,"Mon-Thu 4:30pm-9:30pm, Fri-Sat 4:30pm-10pm, Sun 4:30pm-9pm",2960 Shallowford Rd,Marietta,GA,30066,United States,Leslie,Lee,Owner,Owner,,,1999,,(678) 560-0015,4,info@asahimarietta.com,Japanese,$$
8847,fafa4a0e63d0f9b2,Basil Leaf Thai & Sushi Bar,Daily Noon-10pm,6395 Gulf Blvd,St Pete Beach,FL,33706,United States,Ekitthirat,Onphianek,Owner,Owner,,,2010,,(727) 360-4000,2,,Japanese; Thai,$$
8863,00e8679a527e5be3,Samurai,"Mon Closed, Tue-Sat 5pm-9:30pm, Sun Closed",425 Miller Ave,Mill Valley,CA,94941,United States,Jun,Kikuchi,Principal,Owner,,,2011,,(415) 381-3680,1,,Japanese,$$
8873,1648778b4a63a955,S21 Sushi & Sake Bar,,5754 N 1st St,Fresno,CA,93710,United States,Steve,Kim,Manager,General,,,,,(559) 906-4982,1,,Japanese,$$
8875,1711615704deed30,Broken Mouth,,231 E 9th St,Los Angeles,CA,90015,United States,Timothy,Lee,CEO,General,timothy@eatbrokenmouth.com,,,,(213) 418-9588,1,timothy@eatbrokenmouth.com,Hawaiian; Korean; Filipino; Japanese,$
8882,0a6c37439259364d,Yank Sing,"Mon-Tue Closed, Wed-Fri 11am-3pm, Sat-Sun 10am-3pm",101 Spear St,San Francisco,CA,94105,United States,Odett,Panossian,Owner,Owner,,,1958,,(415) 781-1111,3,info@yanksing.com,Cantonese; Chinese,$$$
8884,18f53afad7d5014e,Obba Sushi,"Mon-Fri 4pm-7pm, Sat-Sun Closed",200 SE 15th Rd,Miami,FL,33129,United States,Walter,Zapata,Member,Owner,,,2008,,(305) 856-9016,1,info@obbasushi.com,Japanese,$$
8890,135fbbd69f4cfe44,Foo Foo Tei,"Mon-Tue Closed, Wed-Sun 11:30am-1pm 5:30pm-8pm",15018 Clark Ave,Hacienda Heights,CA,91745,United States,Takeshi,Murakami,Business Owner,Owner,,,2001,,(626) 937-6585,2,,Japanese,$$
8892,1497bdebf571426d,Taipei Bistro,"Mon Closed, Tue-Sun 11am-2pm 5pm-8:30pm",704 W Las Tunas Dr,San Gabriel,CA,91776,United States,Michelle,Hsu,Principal,Owner,,,2012,,(626) 293-8128,2,,Chinese; Taiwanese,$
8894,1a7fbdbcca941945,Sake Express,"Mon-Sat 11am-9pm, Sun Closed",798 W Spring St,Monroe,GA,30655,United States,Duc,Nguyen,Manager,General,,,2002,,(770) 266-5932,1,lindasakeexpress@gmail.com,Japanese,$$
8895,1a2c3c526bfbc121,Masamitsu Japanese Cuisine,"Mon Closed, Tue-Sat Noon-2pm 6am-9pm, Sun Closed",2026 Huntington Dr,San Marino,CA,91108,United States,Ray,Mendsaikhan,Server,Front of the House,,,,,(626) 281-9292,2,,Japanese,$$$$
8901,1a802a47655f1ad4,Cho Cho San,"Mon-Thu Noon-10pm, Fri-Sat Noon-10:30pm, Sun Noon-10pm",4928 Balboa Blvd,Encino,CA,91316,United States,Eugene,Kim,Manager,General,,,2011,,(818) 981-4664,2,,Japanese,$$
8911,4f310eaff6de769a,Katsuya,Daily 4pm-7pm,6300 Hollywood Blvd,Los Angeles,CA,90028,United States,Mark,Eacott,Vice President Design - Lifestyle Brands ASPAC (Accor / sbe),Sales & Marketing,mark.eacott@sbe.com,,,,(323) 871-8777,23,mackenzie.byers@sbe.com,Japanese,$$$
8914,3aaa51384dd656f8,Express Sushi & Teriyaki,"Mon-Sat 11am-9pm, Sun Noon-9pm",6047 Madison Ave,Carmichael,CA,95608,United States,S.,Val Alex,Business Owner,Owner,,,2013,,(916) 344-5555,3,expresssushiandteriyaki@gmail.com,Japanese,$$
8915,3b9a851ce107fd8a,Oko,"Mon Closed, Tue-Sun 5pm-9:30pm",6 Wilton Rd,Westport,CT,6880,United States,N.,Ralph le,Bar Manager,General,ralph@okokitchen.com,,,,(203) 557-8404,4,ralph@okokitchen.com,Japanese,$$
8916,3c48186c1380da6a,Oba Japanese Kitchen,"Mon-Sat 11am-7:30pm, Sun Closed",4605 Broadway,Sacramento,CA,95820,United States,Kevin,Nguyen,President,General,,,,,(916) 737-0288,1,,Japanese,$
8926,506771569b022a90,Fulin's Asian Cuisine,"Mon-Thu 11am-9pm, Fri-Sat 11am-10pm, Sun 11am-9pm",2934 Point Mallard Pkwy SE,Decatur,AL,35603,United States,Debbie,Hart,General Manager,Operations,,,,,(256) 355-3588,1,,Japanese; Chinese,$$
8928,54304cdaaf7f2bce,Sushi Creek,"Mon Closed, Tue-Thu 4pm-6pm, Fri-Sat 2pm-6pm, Sun 11:30am-8pm",21805 S Ellsworth Rd,Queen Creek,AZ,85142,United States,P.,Osterman,Chief Executive Officer,General,,,2007,,(480) 677-4333,1,,Japanese,$$
8934,54969506dbfeffab,Umi,"Mon Closed, Tue-Thu 11:30am-2pm 5:30pm-9:30pm, Fri 11:30am-2pm 5:30pm-10pm, Sat 5pm-10pm, Sun 5pm-9pm",1328 18th St,San Francisco,CA,94107,United States,Shamus,Booth,Principal,Owner,,,2008,,(415) 355-1328,3,stewart@umisf.com,Japanese,$$
8943,4f91db94e17ef451,Ikkyu,"Mon-Sat 11am-8pm, Sun Closed",2040 W Orange Grove Rd,Tucson,AZ,85704,United States,Lori,Tomasa,Owner,Owner,,,,,(520) 297-9011,1,,Japanese,$
8944,51516b6eaadfb0a1,Wild Cajun Blue Crab & Shrimp,Daily 1pm-8pm,640 49th St S,St Petersburg,FL,33707,United States,Sandra,Whaley,Principal,Owner,,,,,(727) 642-6365,1,,Creole; Cajun,$
8947,38b78ff2ff2fd4aa,Mikimotos,"Mon 4pm-9pm, Tue-Thu 11:30am-9pm, Fri 11:30am-10pm, Sat 2pm-10pm, Sun 2pm-9pm",1212 N Washington St,Wilmington,DE,19801,United States,Lacie,Mangini,General Manager,Operations,,,2000,,(302) 656-8638,5,rory@mikimotos.com,Japanese,$$
8949,3810a43e8e51b162,Zydeco Brew Werks,"Mon-Fri Closed, Sat-Sun 10:30am-3pm",1902 E 7th Ave,Tampa,FL,33605,United States,Madison,Allen,Host,Front of the House,,,,,(813) 252-4541,1,joshhenneman@zydecobeer.com,American; Creole; Cajun,$$
8955,3f1c3a753ad2e5ca,Chaiyo Thai Bistro,"Mon Closed, Tue-Fri 11:30am-2:30pm 4:30pm-9:30pm, Sat 11:30am-2:30pm 4:30pm-9pm, Sun 4:30pm-9pm",14812 S Military Trl,Delray Beach,FL,33484,United States,Niran,Narapanya,Executive,,,,2011,,(561) 499-8572,1,best-ton@hotmail.com,Japanese,$$
8958,44ea181ea4e8dc62,Nama Asian Fusion,"Mon Closed, Tue-Fri 11am-2pm 5pm-9pm, Sat 5pm-9pm, Sun Closed",108 Adamson Sq,Carrollton,GA,30117,United States,Gail,Cason,Office Manager,Operations,,,2017,,(678) 601-3899,2,,Japanese,$$
8963,43555be5d9d6b638,Bamboo Teri House,"Mon-Fri 11am-8pm, Sat Noon-8pm, Sun Closed",3391 Atlantic Ave,Long Beach,CA,90807,United States,George,Ota,Owner,Owner,,,1985,,(562) 595-6049,2,bambooteri@aol.com,Japanese,$
8968,42857944708a7a13,Bean Sprout,"Mon-Wed 11am-8:30pm, Thu-Sat 11am-9pm, Sun Noon-8:30pm",2221 Town Center Ave,Melbourne,FL,32940,United States,Raptana,Chamnanpat,President,General,,,,,(321) 632-8999,1,beansproutviera@gmail.com,Japanese; Thai,$$
8977,445bf5980b2d2214,Wabi Sabi,"Mon-Thu 11am-2:30pm 5pm-9:30pm, Fri 11am-10pm, Sat Noon-10pm, Sun Noon-9:30pm",2200 S Grove Ave,Ontario,CA,91761,United States,Tai,Chan,Principal,Owner,,,2010,,(909) 923-8888,1,,Japanese,$$
8980,447017a9fc3166c4,Shabu On Fire,"Mon 5pm-9:30pm, Tue-Thu Noon-3pm 5am-9:30pm, Fri-Sat Noon-10pm, Sun Noon-9pm",301 Main St,Huntington Beach,CA,92648,United States,Richard,Truong,Chief Executive Officer,General,,,2010,,(714) 960-9777,1,,Japanese,$$
8989,2f314b4ae508465e,Matsuhisa,Daily 5pm-9pm,141 E Meadow Dr,Vail,CO,81657,United States,Anthony,Viera,Manager,General,,,,,(970) 476-6628,5,andreash@matsuhisavail.com,Japanese,$$$$
8993,3a23dcaa21c105d7,Sakura Sushi,"Mon Closed, Tue-Thu 11:30am-2:30pm 5pm-9pm, Fri 11:30am-2:30pm 5pm-10pm, Sat 5pm-10pm, Sun 5pm-9pm",100 Smith Ranch Rd,San Rafael,CA,94903,United States,Rosanna,Hong,Owner,Owner,,,2012,,(415) 785-8151,2,,Japanese,$$
8999,338c7f107605b286,Enzo,"Mon-Thu 11:30am-2:30pm 5pm-9:30pm, Fri 11:30am-2:30pm 5pm-10pm, Sat 5pm-10pm, Sun Closed",8540 Roswell Rd,Atlanta,GA,30350,United States,Jae,Sug,President,General,,,2009,,(770) 645-8586,2,jaemi71@hotmail.com,Japanese,$$
9000,33fa2085bdf6858e,Ginza Sushi,"Mon 11am-2pm 5pm-9pm, Tue-Thu 11am-2:30pm 5pm-9pm, Fri 11am-2:30pm 5pm-10pm, Sat 11:30am-10pm, Sun Noon-9pm",3153 Meridian Ave,San Jose,CA,95124,United States,Man,Ho,Manager,General,,,2018,,(408) 841-9837,3,,Japanese,$$
9010,371f72d4f65e18ea,Baklava Factory,,1777 SW 3rd Ave,Miami,FL,33129,United States,Adriana,Lopez,Realtor Associate at The Keyes Company,,adrianalopez@keyes.com,,,,(305) 858-6485,1,adrianalopez@keyes.com,Mediterranean; Chinese; Greek,$$$
9012,387dc1ee78e233c6,Chopstix,"Mon-Thu 11am-9pm, Fri-Sat 11am-10pm, Sun 11am-9pm",4633 Convoy St,San Diego,CA,92111,United States,Midori,Higa,Owner,Owner,,,1988,,(858) 569-9171,1,,Japanese,$
9023,4c632bab33caf3a3,Fisherman's Corner,"Mon-Thu 11am-9pm, Fri-Sat 11am-9:30pm, Sun 11am-9pm",13486 Perdido Key Dr,Pensacola,FL,32507,United States,Kevin,Soder,Developer,,kevinbhc@yahoo.com,,2010,,(850) 791-6914,1,kevinbhc@yahoo.com,Creole; Cajun,$$
9027,46804a249633b99c,Sushi Raku,"Mon-Thu 11:30am-2:30pm 5pm-9:30pm, Fri-Sat 11:30am-2:30pm 5pm-10pm, Sun 5pm-9:30pm",5190 Kanan Rd,Agoura Hills,CA,91301,United States,Kyu,Man,Owner,Owner,,,2006,,(818) 707-2765,2,raku.sushi.party9@gmail.com,Japanese,$$
9038,4a598f67d22073fc,Tokyo Express,"Mon-Tue 10:30am-8:30pm, Wed 10:30am-3pm, Thu-Sat 10:30am-8:30pm, Sun 11am-5pm",914 E Camelback Rd,Phoenix,AZ,85014,United States,Francisco,Valdez,Manager,General,,,,,(602) 277-4666,2,,Japanese,$
9039,4b023177fb058dbe,Kikusushi Japanese Restaurant,"Mon-Fri 11am-2:30pm 5pm-9pm, Sat-Sun 11am-9pm",1655 S De Anza Blvd,Cupertino,CA,95014,United States,Masayoshi,Fujioka,Partner,Owner,,,2021,,(408) 725-1749,5,,Japanese,$$
9042,4dbb93374a30bf9a,Miyako Japanese Restaurant,"Mon-Thu 11:30am-2pm 5pm-9:30pm, Fri-Sat 11:30am-2pm 5pm-10pm, Sun 4pm-9pm",641 Camino de los Mares,San Clemente,CA,92673,United States,Nichole,Basmajian,Manager,General,,,2000,,(949) 496-0900,2,,Japanese,$$
9053,57824c19d0e84171,Restaurant Tatsuki,"Mon-Sat 11:30am-2:30pm 5pm-10pm, Sun 5pm-9pm",21630 Ventura Blvd,Woodland Hills,CA,91364,United States,Debrah,Kojima,Owner,Owner,,,1988,,(818) 340-8690,2,,Japanese,$$
9054,551fbe33c55bf846,Misaki,"Tue-Wed Closed, Thu-Mon 5pm-8pm",York Beach,South Bethany,DE,19930,United States,Micah,Dentremont,Server,Front of the House,,,,,(302) 539-0500,2,,Japanese,$$
9058,5894765b045315ae,Misaka Sushi,"Mon-Tue Closed, Wed-Fri 11:30am-2:30pm 4pm-9pm, Sat 11:30am-9pm, Sun 11:30am-8pm",380 W Country Club Dr,Brentwood,CA,94513,United States,Sandra,la,Principal,Owner,,,,,(925) 679-4890,1,,Japanese,$$
9064,33c797997825445a,China Palace,"Mon Closed, Tue-Sun 11am-9pm",1930 Edwards Lake Rd,Birmingham,AL,35235,United States,Palace,China,Principal,Owner,,,2010,,(205) 655-7889,1,,Japanese; Chinese,$
9066,339eb9beedcd8391,Taste of the Himalayas,"Mon-Thu 11am-9pm, Fri-Sat 11am-10pm, Sun 11am-9pm",300 Carlsbad Village Dr,Carlsbad,CA,92008,United States,Deepak,Shahi,Manager,General,,,2000,,(760) 696-3007,2,tasteofhimalayas.carlsbad@gmail.com,Indian; Tibetan; Chinese; Nepalese,$$
9079,321375476c7bdb52,Sushi Ko,"Mon 5pm-10pm, Tue-Thu Noon-3pm 5am-10pm, Fri Noon-3pm 5am-11pm, Sat Noon-11pm, Sun Noon-10pm",7971 SW 40th St,Miami,FL,33155,United States,Yukio,Omata,President,General,,,1992,,(305) 264-6778,3,info@sushikomiami.com,Japanese,$$
9081,32cdb294b5e373bc,Mayflower Japanese Restaurant,"Mon-Sat 11:30am-10pm, Sun Closed",230 E Main St,Newark,DE,19711,United States,Kokmeng,Yong,Principal,Owner,,,2004,,(302) 292-1850,1,mayflowerjapaneserestaurant@gmail.com,Japanese,$
9091,41a91063db007c51,Sabai Thai & Sushi,"Mon 11am-10pm, Tue Closed, Wed-Thu 11am-10pm, Fri 11am-10:30pm, Sat Noon-10:30pm, Sun Noon-10pm",3936 Hypoluxo Rd,Boynton Beach,FL,33436,United States,Alyssa,Vongchanta,,,,,2017,,(561) 964-0139,2,sabaithaisushiboynton@gmail.com,Japanese; Vietnamese; Chinese; Thai,$$
9094,3cc8b76a78ca38d6,Kani-Kosen Japanese Seafood Cuisine,"Mon-Tue Closed, Wed-Sun 5:30pm-9pm",580 Crespi Dr,Pacifica,CA,94044,United States,Kazuo,Noguchi,Owner,Owner,,,1993,,(650) 355-1281,2,keiko@kanikosen.com,Japanese,$$
9099,41fd2653d82d2cdc,Sushi Zen,"Mon 5pm-9pm, Tue-Fri 11:30am-2:30pm 5pm-9pm, Sat 5pm-9pm, Sun Closed",1100 Eisenhower Dr,Savannah,GA,31406,United States,Josephine,Patrick,Principal,Owner,,,2004,,(912) 303-0141,3,sushizen.savga@gmail.com,Japanese,$$
9104,0da92006aead19c4,Shibuya Eatery,"Mon Closed, Tue-Thu 5pm-Midnight, Fri-Sat Noon-Midnight, Sun 5pm-Midnight",2321 18th St NW,Washington,DC,20009,United States,Derrick,Parker,Expeditor,Back of the House,,,2020,,(202) 450-2151,2,info@ironworksdc.com,Japanese,$$
9109,076307e4abb7307a,Raw Sushi Bistro,"Mon-Wed 4:30pm-8:30pm, Thu 11:30am-2pm 4:30pm-8:30pm, Fri 11:30am-9pm, Sat Noon-9pm, Sun Noon-8pm",10742 Trinity Pkwy,Stockton,CA,95219,United States,Dante,Goodi,Principal,Owner,,,2006,,(209) 954-9729,2,rawsushibistro209@gmail.com,Japanese,$$
9111,072519cb45047fe5,Ramen Gaijin,"Mon Closed, Tue-Sat 2:30pm-5pm, Sun Closed",6948 Sebastopol Ave,Sebastopol,CA,95472,United States,Matthew,Williams,Business Owner,Owner,,,2014,,(707) 827-3609,3,ramengaijin@gmail.com,Japanese,$$
9115,0fb806d6cd9d6392,Sozo Sushi,"Mon-Thu 11:30am-2:30pm 5pm-9pm, Fri-Sat 11:30am-2:30pm 5pm-9:30pm, Sun 11:30am-2:30pm 5pm-8:30pm",2835 Hopyard Rd,Pleasanton,CA,94588,United States,Nanhee,Manderscheid,Owner,Owner,,,1995,,(925) 484-5588,2,,Japanese,$$
9116,0f719f8e9bf7696c,Bistro Miyoda & Sushi Ichiriki,"Mon Closed, Tue-Thu 11:30am-9:30pm, Fri 11:30am-10:30pm, Sat 3pm-10:30pm, Sun 3pm-9:30pm",1220 Beryl St,Redondo Beach,CA,90277,United States,Yuichi,Miyoda,Principal,Owner,,,2008,,(310) 376-1081,1,,Japanese,$$
9118,11d74072e03825ec,Taiko,"Mon Closed, Tue-Fri 11:30am-2:15pm 5pm-9:30pm, Sat Noon-2:30pm 5am-9:30pm, Sun Noon-2:30pm 4:45am-9pm",11677 San Vicente Blvd,Los Angeles,CA,90049,United States,Shigekazu,Nomura,President,General,,,1999,,(310) 207-7782,3,,Japanese,$$
9121,10fdbc3595614285,Little Fat Dumpling,Daily 11am-9pm,8482 N Friant Rd,Fresno,CA,93720,United States,Chad,McMillan,Owner,Owner,,,2018,,(559) 478-5929,2,,Szechuan; Chinese,$$
9125,1f2888d3cb65fb3e,Poke Salad,"Mon-Sat 11am-8pm, Sun Closed",1213 W March Ln,Stockton,CA,95207,United States,Jason,Hang,Manager,General,,,,,(510) 928-3152,1,,Japanese,$$
9129,25315fa83dd8f225,Hao Wah Chinese Restaurant,"Mon-Sat 11am-9pm, Sun Closed",10454 66th St N,Pinellas Park,FL,33782,United States,Bang,Quach,President,General,,,1989,,(727) 544-4656,3,,Japanese; Vietnamese,$
9137,23627145bb76470c,Orchids Thai Restaurant,"Mon-Fri 11:30am-2:30pm 4:30pm-9:30pm, Sat 4:30pm-9:30pm, Sun 4:30pm-8:30pm",8647 Regency Park Blvd,Port Richey,FL,34668,United States,Hammer,Krittigar,Owner,Owner,,,2009,,(727) 844-3125,2,orchidsthaiportrichey@gmail.com,Japanese; Thai,$$
9143,27283f6d0a270d8a,VooDoo BBQ,Daily 11am-9pm,1741 E Nine Mile Rd,Pensacola,FL,32514,United States,Rick,West,Owner,Owner,,,,,(850) 912-8111,3,voodoobbqpensacola@gmail.com,Cajun,$$
9144,26289c40bed24caf,Otaki Japanese Steakhouse,"Mon-Thu 11:30am-2pm 5pm-9:30pm, Fri 11:30am-2pm 4:30pm-10:30pm, Sat 4:30pm-10:30pm, Sun 1pm-9pm",7860 Gate Pkwy,Jacksonville,FL,32256,United States,Diane,Tran,Principal,Owner,,,2007,,(904) 854-0485,2,otakijax@gmail.com,Japanese,$$
9146,2579914e08d3a01f,Meiji Japanese Cuisine,"Mon-Thu 11am-9pm, Fri 11am-10pm, Sat Noon-10pm, Sun Closed",3878 N Crossover Rd,Fayetteville,AR,72703,United States,Darwin,Beyer,Owner,Owner,,,2010,,(479) 521-5919,3,meijinwa@gmail.com,Japanese,$$
9149,23f42147764785eb,Hana Sushi & Grill,"Mon Closed, Tue-Thu 11:30am-1:30pm 5pm-7:30pm, Fri 11:30am-1:30pm 5pm-8pm, Sat 5pm-7:30pm, Sun Closed",9 W Alexander Ave,Merced,CA,95348,United States,H.,Jae Young,Business Owner,Owner,,,2020,,(209) 580-4803,1,hanasushigrill@gmail.com,Japanese,$$
9151,245a2965b161c754,Kam Wow,"Mon Closed, Tue-Sun 4pm-7pm",12895 SW 42nd St,Miami,FL,33175,United States,Freddy,Jekwes,Owner,Owner,,,1998,,(305) 229-2888,3,kamwowmiami@gmail.com,Japanese; Thai,$$
9153,260a9a1e7b5d609f,Orange Grill in Santa Ana,"Mon-Thu 9am-5pm, Fri 9am-4pm, Sat-Sun Closed",3301 S Harbor Blvd,Santa Ana,CA,92704,United States,Jane,Doe,Ceo,General,,,,,(562) 569-1249,4,,Japanese,$
9154,267d82a11a81fcbf,China Cafe,"Mon-Fri 10am-9pm, Sat-Sun 11am-9pm",14450 US-231,Hazel Green,AL,35750,United States,Mindy,Min,Manager,General,,,2008,,(256) 828-5078,1,,Japanese; Chinese,$
9156,17a34ade4b8e32c6,House of Fusion,"Mon 10:30am-3pm 4:30pm-9pm, Tue Closed, Wed-Sun 10:30am-3pm 4:30pm-9pm",6288 Mission St,Daly City,CA,94014,United States,Tao,Michelle,Principal,Owner,,,2008,,(650) 756-5610,2,info@houseoffusiondalycity.com,Japanese,$$
9162,1826c26ea7f6e7d8,Soho Sushi,"Mon 5pm-10pm, Tue-Sat 5pm-7pm, Sun Closed",3218 W Kennedy Blvd,Tampa,FL,33609,United States,Kevin,West,Brand Management,Sales & Marketing,,,2005,,(813) 873-7646,5,info@sohosushi.com,Japanese,$$
9168,152e18eff31b1c71,Kobe Japanese Steakhouse,,1001 Rainbow Dr,Gadsden,AL,35901,United States,Sungho,Sim,Branch Manager,Operations,,,,,(256) 549-5700,1,,Japanese,$$
9169,1339a910123a1ba4,My Fish Stop,"Mon Closed, Tue-Fri 4pm-9pm, Sat 1pm-7pm, Sun Closed",14843 Burbank Blvd,Van Nuys,CA,91411,United States,Harris,Brown,Business Owner,Owner,,,2016,,(888) 469-9980,1,myfishstop@gmail.com,Cajun,$$
