Snowball Map,Restaurant Name,Address,City,Zipcode,State,Phone,List
10622,New Yen Ching Restaurant,6511 Pacific Ave,Stockton,95207,CA,2099570913,Brizo
10624,Combo Express,42 Springstowne Ctr,Vallejo,94591,CA,7076481066,Brizo
10626,Kabuki Cafe,200 Epcot Center Dr,Orlando,32830,FL,4079395277,Brizo
10628,Geisha,200 Monterey Ave,Capitola,95010,CA,8314643328,Brizo
10630,Karami Ramen,3860 Convoy St,San Diego,92111,CA,8584306300,Brizo
10632,Sushi Valley,10509 N Oracle Rd,Oro Valley,85737,AZ,5202191908,Brizo
10634,Ho Kee Cafe,558 Las Tunas Dr,Arcadia,91007,CA,6268223399,Brizo
10636,Downtown Buffet,117 S Gateway Dr,Madera,93637,CA,5596628968,Brizo
10638,405 Thai & Sushi,15607 Nordhoff St,North Hills,91343,CA,8188106623,Brizo
10640,Sushi Lab,1350 N Ocean Blvd,Pompano Beach,33062,FL,9549377366,Brizo
10642,Fat Po Boys,14543 Ventura Blvd,Sherman Oaks,91403,CA,8182089838,Brizo
10644,Barra Azul,115 Ramona Expy,Perris,92571,CA,9519404474,Brizo
10646,Rickshaw Express,4300 Sonoma Blvd,Vallejo,94589,CA,7076434837,Brizo
10648,Shanghai Grill,9044 W Union Hills Dr,Peoria,85382,AZ,6238253388,Brizo
10650,Shinjuku,2154 Irving St,San Francisco,94122,CA,4158811833,Brizo
10652,J & M II Chinese Restaurant,1035 N Ellsworth Rd,Mesa,85207,AZ,4809863322,Brizo
10654,The Imperial Bamboo,1276 N Military Trl,West Palm Beach,33409,FL,5618001617,Brizo
10656,Wei Asian Cafe,9450 E Golf links Rd,Tucson,85730,AZ,5207221119,Brizo
10658,Royal Feast,148 El Camino Real,Millbrae,94030,CA,6506923388,Brizo
10660,China Sea,818 1st Ave,West Haven,6516,CT,2039375968,Brizo
10662,Akeno Sushi Bar,524 8th St SE,Washington,20003,DC,2026007073,Brizo
10664,Pagoda Chinese & Thai Food,100 W Imperial Ave,El Segundo,90245,CA,3106409769,Brizo
10666,Jumbo,2341 Foxon Rd,North Branford,6471,CT,2034886399,Brizo
10668,A Me Kitchen,288 W Valley Blvd,Alhambra,91801,CA,6268726915,Brizo
10670,King Wok Express,1740 S Buckley Rd,Aurora,80017,CO,7209235187,Brizo
10672,Kiroro Sushi,1200 El Camino Real,Belmont,94002,CA,6503944793,Brizo
10674,Palmar,200 E Flagler St,Miami,33131,FL,3054190377,Brizo
10676,King Eggroll,1221 Story Rd,San Jose,95122,CA,4089990798,Brizo
10678,Niko Niko Sushi,1933 W Imperial Hwy,La Habra,90631,CA,5626914533,Brizo
10680,V8 Kitchen,1400 Macdonald Ave,Richmond,94801,CA,5103617646,Brizo
10682,Chinchikurin,1725 W Carson St,Torrance,90501,CA,3105335003,Brizo
10684,HL Peninsula Hotpot & Grill,1600 Old Bayshore Hwy,Burlingame,94010,CA,6506928888,Brizo
10686,Shang Hai,1113 N Walnut St,Milford,19963,DE,3024222270,Brizo
10688,Kusina Grill House,142 W D St,Lemoore,93245,CA,5599251891,Brizo
10690,Kabuki,2496 Enterprise Dr,Opelika,36801,AL,3347597575,Brizo
10692,Vinum Japanese Fusion & Bar,2025 Newpark Mall,Newark,94560,CA,5105651058,Brizo
10694,Nishi Poke & Ramen Bar,4263 Overland Ave,Culver City,90230,CA,3108375001,Brizo
10696,Kiko Ramen & Sushi Cuisine,7111 Bonneval Rd,Jacksonville,32256,FL,9045513703,Brizo
10698,Boil N Wing - Inglewood,11315 S Figueroa St,Los Angeles,90061,CA,3232088144,Brizo
10700,Asian Grand Buffet,251 S Orchard Ave,Ukiah,95482,CA,7074689888,Brizo
10702,Happy Lamb Hot Pot,102 Castro St,Mountain View,94041,CA,6503865061,Brizo
10704,Wok by The Beach,2409 N Ocean Ave,Riviera Beach,33404,FL,5616297268,Brizo
10706,GOSAN POKE&ROLL,2875 W Ray Rd,Chandler,85224,AZ,4802077088,Brizo
10708,Hing Lung Cafe,331 Grand Ave,South San Francisco,94080,CA,6507631668,Brizo
10710,Yum's Chinese Food,3012 US Highway 27 S,Sebring,33870,FL,8633869119,Brizo
10712,Bamboo Japanese Cuisine,300 S Main St,Jonesboro,72401,AR,8702030893,Brizo
10714,Tae Ka Way,1427 Alton Rd,Miami Beach,33139,FL,7866202295,Brizo
10716,LiBai Restaurant Li Bai Mou Cai,18888 Labin Ct,Rowland Heights,91748,CA,6263463161,Brizo
10718,Joe's Thai Bistro,2585 W Olympic Blvd,Los Angeles,90006,CA,8186966712,Brizo
10720,EAT Bistro,8168 Garvey Ave,Rosemead,91770,CA,6265738998,Brizo
10722,College Cafe,647 S College Ave,Fort Collins,80524,CO,9702212696,Brizo
10724,Canton Restaurant,4923 47th Ave,Sacramento,95824,CA,9164212631,Brizo
10726,Poke Ice,6214 N Federal Hwy,Fort Lauderdale,33308,FL,9546260084,Brizo
10728,Mao,6924 Beach Blvd,Buena Park,90621,CA,7144610006,Brizo
10730,Taste of Chengdu,4856 New Broad St,Orlando,32814,FL,4072864850,Brizo
10732,Anna Wang's Kitchen,812 N Nogales St,Walnut,91789,CA,6269229665,Brizo
10734,Tian You Feng Dumpling House,1428 S Azusa Ave,West Covina,91791,CA,6268896688,Brizo
10736,Jane's Black Swan Cafe,209 W 7th St,Pueblo,81003,CO,7195420858,Brizo
10738,Bei Fang Style,2218 Irving St,San Francisco,94122,CA,4156618385,Brizo
10740,Yama Restaurant,1067 S Main Ave,Fallbrook,92028,CA,7607239788,Brizo
10742,3 Kingdoms Hot Pot,134 Castro St,Mountain View,94041,CA,6506444832,Brizo
10744,Willow Garden Chinese Restaurant,844 Willow Ave,Hercules,94547,CA,5107990778,Brizo
10746,Gyu-Taro,1121 S Higley Rd,Mesa,85206,AZ,4808324888,Brizo
10748,Embarcadero 41,3111 N University Dr,Coral Springs,33065,FL,9546886495,Brizo
10750,Ten Ten Seafood & Grill,5600 W Colonial Dr,Orlando,32808,FL,4075599999,Brizo
10752,Poke And Ramen,6825 E Main St,Mesa,85207,AZ,4805721623,Brizo
10754,Pacific Mercantile Company,1925 Lawrence St,Denver,80202,CO,3032950293,Brizo
10756,Northern Ducks,1355 Market St,San Francisco,94103,CA,4152180874,Brizo
10758,Oceanos Seafood & Sushi,4538 Bonita Rd,Bonita,91902,CA,6198564772,Brizo
10760,Orient Restaurant,308 Del Prado Blvd S,Cape Coral,33990,FL,2395742151,Brizo
10762,YASAI,12751 Towne Center Dr,Cerritos,90703,CA,5628095088,Brizo
10764,Osaka Teriyaki & BBQ House,1009 W Alameda Ave,Burbank,91506,CA,8189537195,Brizo
10766,China 1,2703 E Silver Springs Blvd,Ocala,34470,FL,3528678700,Brizo
10768,Liu Roast Fish,227 W Valley Blvd,San Gabriel,91776,CA,6264136888,Brizo
10770,House of Pong,238 Yale Ave,Claremont,91711,CA,9096257288,Brizo
10772,Mandarin Deli,728 S Atlantic Blvd,Monterey Park,91754,CA,6262892891,Brizo
10774,Sushi Zanmai,1221 Spruce St,Boulder,80302,CO,3034400733,Brizo
10776,Akari Sushi,29 S 3rd St,Fernandina Beach,32034,FL,9048442496,Brizo
10778,Shi Miao Dao - Ten Seconds Yunnan Rice Noodle,2000 S Havana St,Aurora,80014,CO,7205832839,Brizo
10780,China One,2165 NW 11th Dr,Chiefland,32626,FL,3524900880,Brizo
10782,Pineapple Restaurant,22 Main St,Isleton,95641,CA,9167776294,Brizo
10784,Happy Wok,853 N Hacienda Blvd,La Puente,91744,CA,6263336273,Brizo
10786,Sushi Umi,3135 S Hacienda Blvd,Hacienda Heights,91745,CA,6269347731,Brizo
10788,Hong's Kitchen,3917 Noriega St,San Francisco,94122,CA,4157312298,Brizo
10790,Happi Wok,13606 University Plaza St,Tampa,33613,FL,8139718559,Brizo
10792,Harbor Docks,538 Harbor Blvd,Destin,32541,FL,8508372506,Brizo
10794,Panda Fresh,4227 Tierra Rejada Rd,Moorpark,93021,CA,8055322086,Brizo
10796,Mad Dumplings,4213 Campus Dr,Irvine,92612,CA,8185837137,Brizo
10798,Arashi Sushi,1111 S Hope St,Los Angeles,90015,CA,2137491900,Brizo
10800,Top Beijing,649 E Manchester Ave,Los Angeles,90001,CA,3233056334,Brizo
10802,Prime BBQ,33 W 25th Ave,San Mateo,94403,CA,6504583838,Brizo
10804,Crystal Island Chinese Restaurant,3901 E 112th Ave,Thornton,80233,CO,3034527888,Brizo
10806,Qianlong,8726 NW 26th St,Miami,33172,FL,3054778188,Brizo
10808,Broward Mall Food Court,8000 W Broward Blvd,Plantation,33324,FL,9544738100,Brizo
10810,Matsu Sushi,1914 Contra Costa Blvd,Pleasant Hill,94523,CA,9256719972,Brizo
10812,Kahuna Tiki,11026 Magnolia Blvd,Los Angeles,91601,CA,8188537447,Brizo
10814,Noodle in a Haystack,4601 Geary Blvd,San Francisco,94118,CA,NA,Brizo
10816,Golden City,16054 US-280,Chelsea,35043,AL,2056774060,Brizo
10818,China Delight,40484 CA-41,Oakhurst,93644,CA,5596415888,Brizo
10820,Wok On The Wild Side,3 Turkey Hills Rd,East Granby,6026,CT,8604139588,Brizo
10822,Fuji Sushi,1950 San Marco Blvd,Jacksonville,32207,FL,9044388646,Brizo
10824,China Sky Take Out,5335 N Military Trl,West Palm Beach,33407,FL,5616974520,Brizo
10826,Hokkaido Japanese Restaurant,11043 Crystal Springs Rd,Jacksonville,32221,FL,9043741132,Brizo
10828,Eastwind,58 W Buffalo St,Chandler,85225,AZ,4808557451,Brizo
10830,SushYi,2707 Boston Ave,San Diego,92113,CA,6192085345,Brizo
10832,Rocker Oysterfeller's Eastside,564 Main St,Placerville,95667,CA,5302959408,Brizo
10834,Tasty Dumpling,3700 Crocker Dr,Sacramento,95818,CA,9167585621,Brizo
10836,Delicious Food Corner,545 W Las Tunas Dr,San Gabriel,91776,CA,6263258838,Brizo
10838,Shiki Japanese Restaurant,1332 W Hillsdale Blvd,San Mateo,94403,CA,6503418988,Brizo
10840,Koshiji,22807 Hawthorne Blvd,Torrance,90505,CA,3103783787,Brizo
10842,Wok-N-Roll,15551 NW US Highway 441,Alachua,32615,FL,3864626442,Brizo
10844,Qimura Sushi & Ramen,8960 Brooks Rd S,Windsor,95492,CA,7078361699,Brizo
10846,China Star,16733 Fishhawk Blvd,Lithia,33547,FL,8136848382,Brizo
10848,Macho Grille,16055 Foothill Blvd,Fontana,92335,CA,9098540204,Brizo
10850,Yumami,2929 N Broadway,Los Angeles,90031,CA,2134580897,Brizo
10852,Ramen King Keisuke,141 N Atlantic Blvd,Monterey Park,91754,CA,6268722100,Brizo
10854,Good China,12102 Victory Blvd,North Hollywood,91606,CA,8187523692,Brizo
10856,Genghis Cohen,740 N Fairfax Ave,Los Angeles,90046,CA,3236530640,Brizo
10858,Thai & Chinese Express,2540 Main St,Irvine,92614,CA,9497241813,Brizo
10860,China City,166 Main St,Somers,6071,CT,8607634888,Brizo
10862,The Crownery Chinese Restaurant,228 Lantana Dr,Hockessin,19707,DE,3022393826,Brizo
10864,Sushi King,1650 Park St,Alameda,94501,CA,5105239888,Brizo
10866,Chef's Chinese Food,3741 San Pablo Dam Rd,El Sobrante,94803,CA,5102228191,Brizo
10868,Pacific Asian Bistro,159 Palencia Village Dr,St Augustine,32095,FL,9048081818,Brizo
10870,Sushi Cuisine,3544 G St,Merced,95340,CA,2097232478,Brizo
10872,Tank's Sushi Bistro,46 Tuscan Way,St Augustine,32092,FL,9049408799,Brizo
10874,Yu noodle,10893 N Wolfe Rd,Cupertino,95014,CA,4086002858,Brizo
10876,DOMU - Dr. Phillips,7600 Dr Phillips Blvd,Orlando,32819,FL,4076306163,Brizo
10878,Sugarcane Raw Bar Grill,3252 NE 1st Ave,Miami,33137,FL,7863690353,Brizo
10880,Izakaya Tora,8908 Santa Monica Blvd,West Hollywood,90069,CA,4247770745,Brizo
10882,Elaine's Kitchen,Broadway,San Francisco,94133,CA,4153921826,Brizo
10884,Nutrition Restaurant,10935 N Wolfe Rd,Cupertino,95014,CA,4087778208,Brizo
10886,Kaiba Japanese Restaurant,820 N Euclid St,Anaheim,92801,CA,7146355678,Brizo
10888,Ho Sum Bistro,3112 Newport Blvd,Newport Beach,92663,CA,9496750896,Brizo
10890,Cold Drinks Bar,644 Broadway,San Francisco,94133,CA,4157888188,Brizo
10892,China Moon,11700 Memorial Pkwy SW,Huntsville,35803,AL,2568802626,Brizo
10894,New China Express,1211 N Waterman Ave,San Bernardino,92404,CA,9098840091,Brizo
10896,Nanking,18349 Pioneer Blvd,Artesia,90701,CA,5629244567,Brizo
10898,China Express,12633 Glenoaks Blvd,Sylmar,91342,CA,8183675811,Brizo
10900,Oriental Express,1516 Browns Ln Access Rd,Jonesboro,72401,AR,8709316688,Brizo
10902,Wonde Harbor Dim Sum Restaurant,1655 S Azusa Ave,Hacienda Heights,91745,CA,6268887666,Brizo
10904,Teriroll,288 S Atlantic Blvd,Los Angeles,90022,CA,3232695000,Brizo
10906,Fat Fish Sushi,20761 Lake Forest Dr,Lake Forest,92630,CA,9498371713,Brizo
10908,831 Yasai Tokyo Ramen,1253 Vine St,Los Angeles,90038,CA,3234980051,Brizo
10910,May Palace,909 Main Ave,Durango,81301,CO,9702594836,Brizo
10912,Senor Sushi,1414 Main St,Chipley,32428,FL,8506764331,Brizo
10914,Thai Dishes,1015 N Sepulveda Blvd,Manhattan Beach,90266,CA,3105464147,Brizo
10916,The Famous Lartigue Seafood Market,100 Plantation Pointe,Fairhope,36532,AL,2512983423,Brizo
10918,Makimaki Sushi,1208 Washington Ave,Miami Beach,33139,FL,7866314703,Brizo
10920,Wadatsumi,1757 W Carson St,Torrance,90501,CA,3107827356,Brizo
10922,Lee's Chinese Fast Food,1610 Santa Monica Blvd,Santa Monica,90404,CA,3108285304,Brizo
10924,Grand Asian,6061 Merrill Rd,Jacksonville,32277,FL,9047436811,Brizo
10926,Fukumi Ramen,5410 Sunrise Blvd,Citrus Heights,95610,CA,8554777894,Brizo
10928,Cannery Seafood of the Pacific,3010 Lafayette Rd,Newport Beach,92663,CA,9495660060,Brizo
10930,Ichika Izakaya,851 Cherry Ave,San Bruno,94066,CA,6506364450,Brizo
10932,The Izakaya and Sushi House,3340,San Pablo,94806,CA,5102230647,Brizo
10934,Happy Garden Chinese Restaurant,1980 Freedom Blvd,Freedom,95019,CA,8317284766,Brizo
10936,Yamasan Sushi & Grill,1606 Mills Ave N,Orlando,32803,FL,4072281730,Brizo
10938,Ramen Taka,2219 The Alameda,Santa Clara,95050,CA,4085644467,Brizo
10940,Yabi Sushi,3755 S Orlando Dr,Sanford,32773,FL,4073243985,Brizo
10942,Yuki Sushi,3470 Palmer Dr,Shingle Springs,95682,CA,5306729854,Brizo
10944,Tsunami's Teriyaki Grill (250 North Atlantic Ave),250 N Atlantic Ave,Daytona Beach,32118,FL,3862551893,Brizo
10946,New China Restaurant,2253 W New Haven Ave,Melbourne,32904,FL,3219561688,Brizo
10948,Bear's Ramen House,2521 Durant Ave,Berkeley,94704,CA,5108487482,Brizo
10950,Emmy's Restaurant,1923 Ocean Ave,San Francisco,94127,CA,4155858887,Brizo
10952,The Wok Express,4835 E Greenway Rd,Scottsdale,85254,AZ,6024851818,Brizo
10954,Koma Sushi,3130 Alpine Rd,Portola Valley,94028,CA,6503676547,Brizo
10956,China One Restaurant,1140 E Clark Ave,Santa Maria,93455,CA,8059381388,Brizo
10958,Hana,3147 SW 45th St,Gainesville,32608,FL,3528778899,Brizo
10960,Tim's Cajun Kitchen,114 Jordan Ln NW,Huntsville,35805,AL,2565337589,Brizo
10962,Lazy Susan,811 Ulloa St,San Francisco,94127,CA,4158587858,Brizo
10964,Bada Japanese Restaurant,2777 Janitell Rd,Colorado Springs,80906,CO,7194247269,Brizo
10966,Mama Poke,3502 Hartsel Dr,Colorado Springs,80920,CO,7195982129,Brizo
10968,Maui Poki,15 Alafaya Woods Blvd,Oviedo,32765,FL,6899994423,Brizo
10970,Ming's Palace,4720 Soquel Dr,Soquel,95073,CA,8314759210,Brizo
10972,Troy's Buffet,1119 Highway 231 S,Troy,36081,AL,3347700996,Brizo
10974,Spices Noodle House,369 12th St,Oakland,94607,CA,5102509577,Brizo
10976,Joliet,1209 17th St,Miami Beach,33139,FL,7865272869,Brizo
10978,Rice Bowl Asian House,7305 52nd Pl E,Bradenton,34203,FL,9417587973,Brizo
10980,Mainichi Sushi,1647 Solano Ave,Berkeley,94707,CA,5102805037,Brizo
10982,Grandview Palace,60 N Raymond Ave,Pasadena,91103,CA,6265772888,Brizo
10984,Szechuwan Garden,1932 E Route 66,Glendora,91740,CA,6263359055,Brizo
10986,Pho 88,4011 E Kiehl Ave,Sherwood,72120,AR,5012414068,Brizo
10988,Wabi Sabi Teppan Steak House,4029 Grand Ave,Chino,91710,CA,9096135888,Brizo
10990,Koi Sushi,352 Hemingway Ave,East Haven,6512,CT,2034667799,Brizo
10992,Mikata Buffet,3201 NW Federal Hwy,Jensen Beach,34957,FL,7722326118,Brizo
10994,Ban Y Ana Hibachi,843 Pacific Coast Hwy,Harbor City,90710,CA,3238687983,Brizo
10996,Hong Kong,8280 W Coal Mine Ave,Littleton,80123,CO,3039733377,Brizo
10998,Poke Rok,4125 Lake Tahoe Blvd,South Lake Tahoe,96150,CA,5306000772,Brizo
11000,New No.1 Chinese Restaurant,417 New London Rd,Newark,19711,DE,9173021712,Brizo
11002,Taste of Hong Kong,4428 Convoy St,San Diego,92111,CA,8582402728,Brizo
11004,Dumpling House,8341 NW 12th St,Doral,33126,FL,3055949799,Brizo
11006,Great Wall,2300 Leopard Ln,Malvern,72104,AR,5013328666,Brizo
11008,Papa Sushi & Roll,519 N Azusa Ave,Covina,91722,CA,6263321201,Brizo
11010,Osaka Grill,681 E Apache Blvd,Tempe,85281,AZ,4809686811,Brizo
11012,Yan's,9140 W Thomas Rd,Phoenix,85037,AZ,6238776888,Brizo
11014,MIAN,5263 W Adams Blvd,Los Angeles,90016,CA,3233326176,Brizo
11016,Taraval Okazu Ya Restaurant,1735 Taraval St,San Francisco,94116,CA,4157596850,Brizo
11018,Miki Japanese Restaurant,180 Leveland Ln,Modesto,95350,CA,2095243555,Brizo
11020,Asian Vegan Bistro,2217 Ashe Rd,Bakersfield,93309,CA,6615649005,Brizo
11022,Shogun Sushi,10174 Reseda Blvd,Northridge,91324,CA,8183499555,Brizo
11024,Yuzu Japanese Sushi Bar,103 E 17th St,Costa Mesa,92627,CA,9492009576,Brizo
11026,Grace Garden,4331 E Baseline Rd,Gilbert,85234,AZ,4808923888,Brizo
11028,Amami Sushi Bistro,4435 Mission St,San Francisco,94112,CA,4153339288,Brizo
11030,Oishi Ramen,14006 Riverside Dr,Sherman Oaks,91423,CA,8183876300,Brizo
11032,Pirates Kitchen La Habra,1464 S Harbor Blvd,La Habra,90631,CA,6573547136,Brizo
11034,China Star,5211 E Fowler Ave,Temple Terrace,33617,FL,8139885599,Brizo
11036,U-Yee Sushi & Grill,7349 University Pkwy,Bradenton,34202,FL,9413583996,Brizo
11038,Happy Buddha Kitchen,5551 Rosemead Blvd,Temple City,91780,CA,6267034570,Brizo
11040,The Sushi Heroes,1901 Las Plumas Ave,San Jose,95133,CA,4083879389,Brizo
11042,New Tokyo Of Harrison,1428 US-62,Harrison,72601,AR,8707540889,Brizo
11044,He-Xing Garden,1535 S Kipling Pkwy,Lakewood,80232,CO,3039862232,Brizo
11046,Yu-Mi Sushi Japanese,9820 Highway A1a Alt,Palm Beach Gardens,33410,FL,5617769209,Brizo
11048,Mix Stix Asian Fusion,751 Front St,Soledad,93960,CA,8312375005,Brizo
11050,Chengdu Style Restaurant,2600 Bancroft Way,Berkeley,94704,CA,5108455807,Brizo
11052,China 1,16714 SE Highway 19,Cross City,32628,FL,3524983333,Brizo
11054,Shalala Deli,4342 Moorpark Ave,San Jose,95129,CA,4088020349,Brizo
11056,China Express,5070 W Sunset Blvd,Los Angeles,90027,CA,3236631228,Brizo
11058,Sushi King,2190 Esplanade,Chico,95926,CA,5308928688,Brizo
11060,Chinese Thai To Go,431 N 25th St,Fort Pierce,34947,FL,7724608823,Brizo
11062,Chan's Kitchen Zhan Wei Shi Tang,4288 Dublin Blvd,Dublin,94568,CA,9252308999,Brizo
11064,Rice Express,4550 N Lark Ellen Ave,Covina,91722,CA,6269665006,Brizo
11066,Huo Zhou Wang,227 W Valley Blvd,San Gabriel,91776,CA,6268721102,Brizo
11068,Poke Express,1514 E Fowler Ave,Tampa,33612,FL,8132809010,Brizo
11070,Sushi Hanabi,927 Main St,Pleasanton,94566,CA,9255963645,Brizo
11072,La BoriChina,105 Meriden Rd,Waterbury,6705,CT,8607109233,Brizo
11074,Milk and Honey Cafe,34265 Fremont Blvd,Fremont,94555,CA,5105984108,Brizo
11076,Happy China,4810 Mobile Hwy,Pensacola,32506,FL,8504578888,Brizo
11078,Noma Sushi & Ramen,1240 Sunset Blvd,Rocklin,95765,CA,9164351600,Brizo
11080,Yummy Taste,504 Alafaya Trl N,Orlando,32828,FL,4078662199,Brizo
11082,Sushi Factory,3100 S Fiske Blvd,Rockledge,32955,FL,3213450499,Brizo
11084,Isshin Asian Bistro,2418 18th St NW,Washington,20009,DC,2022321818,Brizo
11086,China City,603 S Fort Harrison Ave,Clearwater,33756,FL,7274620066,Brizo
11088,Chinatown Garden,618 H St NW,Washington,20001,DC,2027378887,Brizo
11090,Star Buffet,11383 Long Beach Blvd,Lynwood,90262,CA,3106689081,Brizo
11092,Sushi Palace,538 Boston Post Rd,Orange,6477,CT,2038918484,Brizo
11094,Slice Shabu,225 N Harbor Blvd,Fullerton,92832,CA,7148791510,Brizo
11096,Top Island Seafood Restaurant,Valley Blvd,Alhambra,91803,CA,6263009898,Brizo
11098,Highland Noodles,1720 N Milpitas Blvd,Milpitas,95035,CA,6692842114,Brizo
11100,Noodology,534 E Valley Blvd,San Gabriel,91776,CA,6267827046,Brizo
11102,Peking Tokyo,535 Monroe Tpke,Monroe,6468,CT,2032689080,Brizo
11104,Yuzu Shabu & Grill,45 S Fair Oaks Ave,Pasadena,91105,CA,6264159898,Brizo
11106,Fortune Cookie Kitchen,659 E Main St,Bridgeport,6608,CT,2033321877,Brizo
11108,Poke Jay,110 NE 2nd St,Boca Raton,33432,FL,5614094283,Brizo
11110,Asia Garden,210 Al Highway 75 N,Albertville,35951,AL,2568911616,Brizo
11112,MNGO Cafe,4176 Convoy St,San Diego,92111,CA,8589565995,Brizo
11114,Sushi by Scratch Restaurants,16101 Ventura Blvd,Encino,91436,CA,8189819133,Brizo
11116,Town Sent Seafood Restaurant,1069 W San Bernardino Rd,Covina,91722,CA,6269158982,Brizo
11118,Chinatown Express,11 Dixon St,Selbyville,19975,DE,3024369609,Brizo
11120,No 1,24728 US-31,Jemison,35085,AL,2056883487,Brizo
11122,Delica,Bay Trl,San Francisco,94129,CA,4158340344,Brizo
11124,Hibachi City Buffet,3414 W Southern Ave,Phoenix,85041,AZ,6022436666,Brizo
11126,Green Plate Asian Bistro,W 41st St,Miami Beach,33140,FL,3055138518,Brizo
11128,ABC Chinese Restaurant,219 Mount Hermon Rd,Scotts Valley,95066,CA,8314383406,Brizo
11130,303 Ramen,5725 Yukon St,Arvada,80002,CO,3039403866,Brizo
11132,Soya Sushi Bar,11402 NW 41st St,Doral,33178,FL,3058007692,Brizo
11134,Sasa,22 Peace Plz,San Francisco,94115,CA,6286006945,Brizo
11136,Wa Wah Kitchen,127 Webster Square Rd,Berlin,6037,CT,8608287990,Brizo
11138,Sushi Spot,308 S 8th St,Colorado Springs,80905,CO,7193587241,Brizo
11140,China King Restaurant,218 W Washington St,Chattahoochee,32324,FL,8506638799,Brizo
11142,Sing Hee,107 Middletown Ave,North Haven,6473,CT,2037771110,Brizo
11144,Sharetea,519 H St NW,Washington,20001,DC,2027582570,Brizo
11146,Yi Cuisine,Highway 78,Sumiton,35148,AL,2056488726,Brizo
11148,Chili Thai,3623 23rd Ave,Evans,80620,CO,9703301887,Brizo
11150,Hahn's Hibachi,535 Irving St,San Francisco,94122,CA,4157313721,Brizo
11152,I'a Poke,314 Church St,San Francisco,94114,CA,4158298030,Brizo
11154,Chongwah Express,7201 Aaron Aronov Dr,Fairfield,35064,AL,2059234044,Brizo
11156,Nura Sushi & Island Grill,589 Lighthouse Ave,Pacific Grove,93950,CA,8314009999,Brizo
11158,China Chefs,1142 N East St,Anaheim,92805,CA,7149911098,Brizo
11160,Overseas 101,5166 N Academy Blvd,Colorado Springs,80918,CO,7195349588,Brizo
11162,Mt. Fuji Japanese Steak House,941 N Dupont Blvd,Milford,19963,DE,3024228880,Brizo
11164,Great Wall chinese restaurant,4433 13th St,St Cloud,34769,FL,4079578882,Brizo
11166,Fragrant Jerky,8930 Mission Dr,Rosemead,91770,CA,6263283628,Brizo
11168,Ninja Thai and Sushi Bar,13550 Reflections Pkwy,Fort Myers,33907,FL,2394330508,Brizo
11170,China Wok,3830 SR-A1A,Melbourne Beach,32951,FL,3219566658,Brizo
11172,Crazy Tokyo Sushi,11532 Telegraph Rd,Santa Fe Springs,90670,CA,5624843900,Brizo
11174,Sushi Zen & Izakaya,18090 Collins Ave,Sunny Isles Beach,33160,FL,3054664663,Brizo
11176,Ramen Izakaya Goku,3232 16th St,San Francisco,94103,CA,4159340321,Brizo
11178,Down By Bayou Bistro,13138 W Glendale Ave,Glendale,85307,AZ,6239155032,Brizo
11180,Kobe Sushi & Fusion,3300 Coach Ln,Shingle Springs,95682,CA,5306729210,Brizo
11182,Honsan Sushi & Grill,30012 Crown Valley Pkwy,Laguna Niguel,92677,CA,9493639292,Brizo
11184,May Garden,1425 Fulton Rd,Santa Rosa,95403,CA,7075283615,Brizo
11186,Four Seasons Hotel Silicon Valley,2050 University Ave,East Palo Alto,94303,CA,6505661200,Brizo
11188,Nippon Sushi,5100 N 9th Ave,Pensacola,32504,FL,8504976709,Brizo
11190,Empire Buffet,700 San Pablo Towne Ctr,San Pablo,94806,CA,5109651788,Brizo
11192,Arigato Sushi,1225 State St,Santa Barbara,93101,CA,8059656074,Brizo
11194,Sapporo Ramen & Grill,73759 CA-111,Palm Desert,92260,CA,7603406668,Brizo
11196,Osaka Hibachi Buffet,955 Ferry Blvd,Stratford,6614,CT,2038701808,Brizo
11198,Local Food Hall,1812 University Ave,Berkeley,94703,CA,4158775075,Brizo
11200,I Love Teriyaki,3571 Truxel Rd,Sacramento,95834,CA,9164191717,Brizo
11202,Sushi Lola's,2902 Corrine Dr,Orlando,32803,FL,4078985652,Brizo
11204,Hoshinoya,1740 Buchanan St,San Francisco,94115,CA,4156103929,Brizo
11206,Cajun Islands,15430 Brookhurst St,Westminster,92683,CA,7147757435,Brizo
11208,China Wok,4230 S MacDill Ave,Tampa,33611,FL,8138359308,Brizo
11210,Ludingji Noodles (Arcadia),1228 S Golden West Ave,Arcadia,91007,CA,6267143966,Brizo
11212,Sushi Fresh,2115 Pickwick Dr,Camarillo,93010,CA,8054821444,Brizo
11214,Happy Lemon,2106 Shattuck Ave,Berkeley,94704,CA,5109840074,Brizo
11216,Bear Noodle Bar,603 Pine Knot Ave,Big Bear Lake,92315,CA,9093660332,Brizo
11218,Jade Court Cafe,1151 Oxford Rd,San Marino,91108,CA,6264052103,Brizo
11220,Spicy City,4690 Convoy St,San Diego,92111,CA,8582781818,Brizo
11222,Ho Ho Choy,1441 E Fletcher Ave,Tampa,33612,FL,8139622159,Brizo
11224,Reren,1073 Wisconsin Ave NW,Washington,20007,DC,2028044962,Brizo
11226,Osaka Express,18855 State Road 54,Lutz,33558,FL,8133885121,Brizo
11228,R&B Cafe,633 Folsom St,San Francisco,94107,CA,4153596263,Brizo
11230,Mogumogu,341 S State College Blvd,Fullerton,92831,CA,7147700065,Brizo
