,,,,,,,,,,,,,,TOTAL Y,TOTAL N,
EXNAME,ENNAME,ADDRESS1,STATE,FORWARDEDPHONE,CONTACTPHONE2,BUSINESS_PHONE__C,STATUS,Found in List (Y/N),Need Update,State,Updated Address,Business Phone,Mobile Phone,166,3075,3241
R83187,^TONY'S EXPRESS RESTAURANT^,4471 Columbia Rd,GA,7622227484,7064690384,,open,N,,,, ,,,,
R83182,FAMILY KITCHEN,107-56 Sutphin Blvd,NY,7187393377,3478679594,,open,N,,,, ,,,,
917.985.8867-2,*Sales (EELIN)*,3030 Northern Blvd,NY,9179858867,,,test,N,,,, ,,,,
917.985.8867-1,*Sales (SHARON)*,3030 Northern Blvd,NY,9179858867,,,test,N,,,, ,,,,
R83131,*MR HUI'S*,3255 Cornhusker Hwy,NE,4024650007,4024199802,,open,N,,,, ,,,,
R83185,^FONG'S^,967 Bergen Street,NJ,9739263252,9175832211,,open,N,,,, ,,,,
R83183,CHINA WOK,2881 Clark Road,FL,9419268868,9172934849,,open,N,,,, ,,,,
R83181,*WING HING*,2 East Main St,NY,8453438888,6463614971,,open,N,,,, ,,,,
R83163,^MASA ASIA^,2111 W Main St,PA,4842318554,9176028807,,open,N,,,, ,,,,
R83179,*SPEEDY WOK*,4312 S Hathaway Blvd,NC,2529721888,3479939542,,open,N,,,, ,,,,
R83173,^DANNY'S SUB SHOP^,11623 Beltsville Dr,MD,3015869477,2406367774,,closed,N,,,, ,,,,
R83177,^CHOPSTICKS^,212 Eagle School Rd,WV,3042628888,3046208887,,open,N,,,, ,,,,
R83178,^GINZA^,1015 Michigan St NE,MI,6162724116,6167279785,,open,N,,,, ,,,,
RZZZZ9,*ZZZ JAPANESE 1*,1015 Michigan St NE,MI,0,,,new,N,,,, ,,,,
R83176,*HOT WOK*,15103 Mason Rd,TX,2812568767,7133824927,,open,N,,,, ,,,,
R83175,XIN CHINESE RESTAURANT,84 Centre Street,NJ,9736614130,9175391293,,open,N,,,, ,,,,
R83153,HONG KONG,285 Route 303 North,NY,8452672279,9172387028,,suspended,N,,,, ,,,,
R83172,TAI PAN,2636 Stevenson Dr,IL,2175298089,2176488910,,open,N,,,, ,,,,
R83171,*LITTLE CHINA*,11018 Old St Augustine Rd,FL,9048806200,9046292554,,open,N,,,, ,,,,
R83162,*LIN'S GARDEN*,964 S George St,PA,7178528868,9173028192,,open,N,,,, ,,,,
R83165,*LUCKY RICE*,1515 N Cockrell Hill Rd,TX,2143391900,6468818808,,reject,N,,,, ,,,,
R83169,*NEW CHINA*,1940 F.M 407,TX,9723170589,9729001258,,open,N,,,, ,,,,
R83168,ZHOU'S HOUSE,6712 Millcreek Rd,PA,2159493348,2673670594,,open,N,,,, ,,,,
R83161,*TOP'S CHINA*,37 South Broad St,CT,8605995358,9176288688,,open,N,,,, ,,,,
R83159,^PEKING GARDEN^,56 Main St,NY,8452794006,6463442839,,open,N,,,, ,,,,
R83138,*GOLDEN PHOENIX*,2421 West Main St,SD,6053484195,5166038761,,open,N,,,, ,,,,
R83106,YOUNG YOUNG,1668 Meriden & Waterbury Rd,CT,8606217678,9179326116,,open,N,,,, ,,,,
R83158,^PERFECT DINER^,2855 N 27th St,NE,4024640090,3479875377,,open,N,,,, ,,,,
R83157,*PANDA*,7550 Mission Hills Dr,FL,2397326888,6462584037,,open,N,,,, ,,,,
R83156,*CHINA TASTE*,297 Broad Ave,NJ,2015857771,3474218930,,open,N,,,, ,,,,
R83132,CHINA EXPRESS,1816 Hooper Ave,NJ,7322558833,9179920663,,open,N,,,, ,,,,
R83097,*WING HING*,1661 Metropolitan Ave,NY,7188221616,6466517177,,open,N,,,, ,,,,
R83152,LING'S CHINESE KITCHEN,503 New Brunswick Ave,NJ,7327380088,9293049963,,reject,N,,,, ,,,,
R83137,*WOK INN*,1287 S Beneva Rd,FL,9419520110,9173063027,,open,N,,,, ,,,,
R83151,GOLDEN BOWL,649 Chestnut Commons Driver,OH,4403660299,8457284766,,open,N,,,, ,,,,
R83139,*CHINA KING*,3801 W Lake Mary Blvd,FL,4073242005,5157793466,,open,N,,,, ,,,,
R83135,CHINA GARDEN,1207A N Bridge St,IL,6305531168,6462479633,,reject,N,,,, ,,,,
R83136,CHINA DRAGON,7893 Gunn Hwy,FL,8139209968,9172723509,,open,N,,,, ,,,,
R83133,ASIAN CHEF,15060 W Greenfield Ave,WI,2627800088,2622276886,,open,N,,,, ,,,,
R83117,*CHINA LIN*,501 Beltline Rd,IL,6183468230,6183435429,,open,N,,,, ,,,,
R83129,HONG KONG,32 Mill Creek Dr,VA,4342458818,9179817328,,open,N,,,, ,,,,
R83128,*GREAT WALL*,2128 Whittaker Rd,MI,7344804377,3134431197,,open,N,,,, ,,,,
R83127,NEW PEKING,26 West Main St,NY,5188538023,6466390604,,open,N,,,, ,,,,
R83126,EAST STAR,987-1 West Chester Ave,NY,7185894338,7185592133,,open,N,,,, ,,,,
R83125,^CHOPSTIX^,5214 Market St.,NC,9107968885,9179818210,,open,N,,,, ,,,,
R83118,*NEW CHINA*,6625 Argyle Forest Blvd,FL,9043173332,9042288771,,open,N,,,, ,,,,
R83123,MING'S ASIAN BISTRO,901 W Sharon Ave,MI,9064829888,9062815889,,open,N,,,, ,,,,
R987653,AMBER'S GARDEN,396-398 Broad St,NJ,1175413132,,,test,N,,,, ,,,,
R83116,KING WOK,1102 Town Square Rd,PA,6107188808,2678728888,,open,N,,,, ,,,,
R83113,^CHEN SEAFOOD^,449 E Mills Ave,LA,3374426595,3374864456,,open,N,,,, ,,,,
R83112,MAIN MOON,N64 W 24320 Main St,WI,2628208923,6469121797,,open,N,,,, ,,,,
R83109,HAPPY WOK,3813-18 North Monroe St,FL,8505143632,6462665795,,open,N,,,, ,,,,
R83108,CHINA WOK,1035 E 92 St,NY,7182577888,9172935513,,open,N,,,, ,,,,
R83111,GOLDEN CHINA,15202 Mason Rd,TX,2812567711,,,reject,N,,,, ,,,,
RZZZZ6,*ZZZ CHINESE 5*,1035 E 92 St,NY,7182577888,9172935513,,closed,N,,,, ,,,,
RZZZZ5,*ZZZ CHINESE 4*,3813-18 North Monroe St,FL,8505143632,6462665795,,closed,N,,,, ,,,,
RZZZZ4,*ZZZ CHINESE 3*,15202 Mason Rd,TX,2812567711,7133822982,,closed,N,,,, ,,,,
R83102,CHINA GARDEN,10391 66th St,FL,7275481888,7183603881,,open,N,,,, ,,,,
R83107,*HONG KONG*,2715 Pine Ave,NY,7162840333,9176731043,,reject,N,,,, ,,,,
R83105,*HONG KONG*,134 Roxboro Rd,NC,9196920006,2524258609,,open,N,,,, ,,,,
R83103,*LONG RIVER*,1063 W Jefferson St,IN,3177360388,3174125908,,open,N,,,, ,,,,
R83101,^TUNG HING KITCHEN^,693 Kennedy Blvd,NJ,2018233008,6462843355,,open,N,,,, ,,,,
RZZZZ2,*ZZZ CHINESE 1*,693 Kennedy Blvd,NJ,0,0,,closed,N,,,, ,,,,
R83098,^ASIAN HARBOR^,1930 Ridge Rd,IL,7087995388,3362665068,,open,N,,,, ,,,,
R83099,*NEW CHINA WOK*,248 State Hwy C,MO,8167586666,6466395564,,open,N,,,, ,,,,
R83073,*CHINA STAR*,6276B Boone Ave,MN,7635355447,,,reject,N,,,, ,,,,
R83096,WEST SIDE DRAGON,3261 West 3rd St,IN,8123326610,6463067895,,open,N,,,, ,,,,
R83095,TASTE OF CHINA,715 State St,NY,5183471088,5183688856,,open,N,,,, ,,,,
R83093,CHOPSTICKS HOUSE,46900 Cedar Lake Plaza,VA,7034336688,2025502325,,open,N,,,, ,,,,
R83092,^SIX HAPPINESS^,21-08 Morlot Ave,NJ,2017974666,9173310109,,open,N,,,, ,,,,
R83091,^ASIAN HARBOR^,203 W Michigan St,IN,3176868888,3173583138,,open,N,,,, ,,,,
R83061,HAPPY GARDEN,32 Center St,PA,5704575140,5707901040,,open,N,,,, ,,,,
R83076,CHINA KING,919 Jungermann Rd,MO,6369288838,3142556955,,open,N,,,, ,,,,
R83089,MANDARIN CHEF,1406 N Eastern Ave,OK,4057948880,6462561353,,open,N,,,, ,,,,
R83088,^LEE'S SZECHUAN^,672 Old Mill Rd,MD,4109876111,4108689999,,open,N,,,, ,,,,
R81312,*FIRST WOK*,2570 Wabash Ave,IN,8122323898,6468844802,,open,N,,,, ,,,,
R83071,^CHINA HOUSE^,565 N Evergreen Ave,NJ,8563841188,2673395291,,open,N,,,, ,,,,
R83087,NEW CHINA,245 N Acadian Thrwy,LA,2253789989,2256361256,,open,N,,,, ,,,,
R83086,CHINA WOK,11156 Tamiami Trl N,FL,2395980885,9414214421,,open,N,,,, ,,,,
R83085,*^DUMPLING^*,202-204 Boulevard,NJ,2012885885,6465205188,,reject,N,,,, ,,,,
R83083,*NO. 1*,6231 Westfield Avenue,NJ,8566638812,6468988288,,open,N,,,, ,,,,
R83082,BAI DU,580 Craig Drive,OH,4198747077,3477220816,,open,N,,,, ,,,,
R83081,*JIN'S CHINA*,26 W 219 Geneva Rd,IL,6308718888,8039986113,,open,N,,,, ,,,,
R82983,*STAR ASIAN CAFE*,13830 Hwy 36,TX,9795533888,6265925535,,suspended,N,,,, ,,,,
R83072,^MERRY LAND^,913 W Beech St,NY,5164311122,9178872533,,open,N,,,, ,,,,
R83079,*GOLDEN FORTUNE*,86 N Village Ave,NY,5166783800,6462035695,,reject,N,,,, ,,,,
R83078,^OISHI^,1736 N Keyser Ave,PA,5708807873,9173068626,,open,N,,,, ,,,,
R83075,^YOU FOOD SUSHI & HIBACHI^,5345 Floyd Rd SW,GA,6786538855,9176916107,,open,N,,,, ,,,,
R83077,*MR WOK*,8443 S Tamiami Trl,FL,9412103306,9412606598,,open,N,,,, ,,,,
R83068,*WOK N ROLL*,415 N State St,MO,5733278070,9178170633,,open,N,,,, ,,,,
R83067,*FOO YUNG EXPRESS*,3160 Village Vista Dr,CO,7208904800,7204852308,,open,N,,,, ,,,,
R83069,^SUNNY DAY^,61 A Church Ave,NY,7184351899,6468863860,,open,N,,,, ,,,,
R83066,*CHINA KING*,450 W Hanover St,IL,6185889999,6185200608,,suspended,N,,,, ,,,,
R83062,^GOLDEN TAIPEI^,8511 Davis Lake Pkwy,NC,7044948688,6462035133,,open,N,,,, ,,,,
R83065,^DOUBLE DRAGON KITCHEN^,473 Bellmore Ave,NY,5164856262,9178086690,,reject,N,,,, ,,,,
RZZZZ10,*ZZZ JAPANESE 2*,Testing,AL,6014825558,,,closed,N,,,, ,,,,
RZZZZ11,*ZZZ JAPANESE 3*,203 Cherry Rd,SC,8039805975,3362665068,,closed,N,,,, ,,,,
R83063,MA T 888 CHINA BISTRO,5636 Vogel Rd,IN,8124752888,8126043166,,suspended,N,,,, ,,,,
JENNSK,JENNSK RESTO,34 Rue Saint-Louis,QC,1452345445,,,test,N,,,, ,,,,
R83057,^CHOPSTICKS^,1101 Wooded Acres Dr,TX,2547519080,2547166013,,open,N,,,, ,,,,
R83059,JACKY CHEN,3525 Towne Point Rd,VA,7576862020,6463383301,,open,N,,,, ,,,,
R83031,HONG KONG,231 W. Washington St,IN,7653310277,8457296199,,open,N,,,, ,,,,
R83056,^CJ CHAN^,536 Wilmington Ave,OH,9372599866,7186379159,,open,N,,,, ,,,,
R83053,*JACKIE'S CHINESE RESTAURANT*,1089 N Collier Blvd,FL,2396428148,9176600467,,open,N,,,, ,,,,
R83058,^ICHIRO^,203 Cherry Rd,SC,8039805972,6462891648,,open,N,,,, ,,,,
R83055,^CHOPSTICKS^,200 West Railroad St,MS,2288688444,2282546888,,open,N,,,, ,,,,
R83038,*BUFFET CHINA*,1246 E Tipton St,IN,8125236628,8123913174,,open,N,,,, ,,,,
R83052,*JIN JIN*,112 Peterson Ave S,GA,9123842626,9172150705,,open,N,,,, ,,,,
R83039,*HONG KONG*,2328 York River Crossing Dr,VA,8046425555,9176602279,,open,N,,,, ,,,,
R83037,*HONG KONG*,1265 Stafford Dr,WV,3044878902,9172081764,,reject,N,,,, ,,,,
R83051,*PANDA HOUSE*,884 Ashland Rd,OH,4195898803,3478854650,,open,N,,,, ,,,,
R83033,*GOLDEN HOUSE*,101 Haviland Dr Putnam Lake,NY,8452798777,5162868287,,open,N,,,, ,,,,
R83036,^O&C CHINA BISTRO^,7501 Healdsburg Ave,CA,7078238189,7075915496,,open,N,,,, ,,,,
R83035,^ASIAN AMERICAN^,101 E Randolph Rd,VA,8045418777,6463066665,,open,N,,,, ,,,,
R83032,MAY LOONG,330 Jericho Turnpike,NY,5169213038,3477059013,,open,N,,,, ,,,,
R82981,LI'S KITCHEN,2515 Williamsbridge Rd,NY,7185191881,3476543595,,open,N,,,, ,,,,
R83029,NEW CHINA,4747 Tylersville Rd,OH,5138700688,7026958286,,open,N,,,, ,,,,
R83028,*CHINA KITCHEN*,4421 Emerson Ave,WV,3044243628,6463186815,,open,N,,,, ,,,,
R83027,^HI TOKYO^,1628 Carlyle Ave,IL,6184165988,6463275005,,open,N,,,, ,,,,
R83026,CHINA WOK,2165 Wilton Ave,NC,9195291066,9196925626,,reject,N,,,, ,,,,
R83023,*NEW GOLDEN DRAGON ISLAND*,1328 Main Street,MA,5087545236,2152901966,,open,N,,,, ,,,,
R83025,*PEKING COURT*,850 Route 376,NY,8452265381,5165282978,,open,N,,,, ,,,,
R83022,*PEKING CHINA*,14819 Spotswood Trl,VA,5402980162,9172886221,,open,N,,,, ,,,,
R83021,LIN'S GOURMET,1097 2nd Ave,NY,2127525586,6465789393,,closed,N,,,, ,,,,
R83018,*CHINA VIEW*,3105 1st Ave SW,NC,8284312248,2678154565,,open,N,,,, ,,,,
R83019,A-1 KITCHEN,109 North 13th St,IN,2607289980,3478634749,,open,N,,,, ,,,,
R83013,*CHINA 8*,189 Adam Shepherd Pkwy,KY,5025433317,6467171616,,open,N,,,, ,,,,
R83016,*PANDA*,463 Johnny Mercer Blvd,GA,9128982368,2016754239,,open,N,,,, ,,,,
R83017,^WING MASTER^,161 Monticello Ave,NJ,2013322352,6464078283,,closed,N,,,, ,,,,
R83012,*NEW CHINA*,412 Beltrami Ave NW,MN,2187515340,,,open,N,,,, ,,,,
R83015,*BEI JING GARDEN*,285 Town Center Blvd,PA,6102588939,6467503606,,open,N,,,, ,,,,
R82988,PANDA HOUSE,1703 Bergenline Ave,NJ,2018630063,,,open,N,,,, ,,,,
R83011,*TASTY 68*,26131 Ridge Rd,MD,3013916138,,,open,N,,,, ,,,,
R83009,*NEW CHINA*,2142 Tyler Rd,AL,2058239788,2055857190,,suspended,N,,,, ,,,,
R83006,*GREAT WALL*,"2800 NW 63rd St,",OK,4058425453,4056264023,,open,N,,,, ,,,,
R83007,HONG KONG,340 S Indiana St,IN,3178343368,6466592547,,reject,N,,,, ,,,,
R83008,^OISHI^,968 Barnes Crossing Rd,MS,6626902353,2124647124,,suspended,N,,,, ,,,,
RZZZZ12,*ZZZ JAPANESE 4*,968 Barnes Crossing Rd,MS,0,,,closed,N,,,, ,,,,
R9JENNCHEF,JENN CHEF KWO,15105-G John J. Delaney DR.,NC,1234234546,,,reject,Y,,,15105 John J Delaney Dr,(704) 341-9900,,,,
R9JENNSB,JENN SAKAN BENTO 5,606 N Wellwood Ave,NY,1234245465,,,reject,N,,,, ,,,,
R83005,*CHINA WOK*,641 W State St,IL,6308451188,3128230728,,reject,N,,,, ,,,,
R83003,^HUNAN WOK^,86 Ridgedale Ave,NJ,3478844193,3478844193,,open,N,,,, ,,,,
R83002,^GREEN GARDEN^,237 S 10th St,PA,2153511118,2672103078,,open,N,,,, ,,,,
R9JENNSB2,JENN SAKAN BENTO2,606 N Wellwood Ave,NY,1345346547,,,reject,N,,,, ,,,,
R966622,CLONED SAKAN 2,606 N Wellwood Ave,NY,1111111111,,,reject,N,,,, ,,,,
R9JENNSB,JENN SAKAN BENTO 5,606 N Wellwood Ave,NY,1456567687,,,reject,N,,,, ,,,,
R66621,CLONED SAKAN,606 N Wellwood Ave,NY,1111111111,,,reject,N,,,, ,,,,
R66620,CLONE SAKAN BENTO,606 N Wellwood Ave,NY,1111111111,1111111111,,reject,N,,,, ,,,,
R83001,*NORTH CHINA*,720 Jonestown Rd,PA,7172706049,,,open,N,,,, ,,,,
R82999,^BEIJING HUNAN^,82 Glocker Way,PA,6103239498,9179293338,,open,N,,,, ,,,,
R82998,*GOLDEN WOK*,353 Colman St,CT,8604435829,8605150003,,open,N,,,, ,,,,
R82993,^ASIAN FUSION^,7827 Bergenline Ave,NJ,2015909017,,,open,N,,,, ,,,,
R82997,*NO.1 KITCHEN II*,3823 Kecoughtan Rd,VA,7577223388,,,open,N,,,, ,,,,
R82996,*HONG KONG*,1077 62nd Ave S,FL,7278679574,7862020756,,open,N,,,, ,,,,
R82995,CHINA DRAGON,111 Pavilion Dr,SC,8432809800,6463613749,,reject,N,,,, ,,,,
R82992,*GREAT WALL*,300 Arsenal St,NY,3157887668,9172921103,,suspended,N,,,, ,,,,
R82991,^AOMI SUSHI^,3717 Airport Blvd NW,NC,2526747686,3042808033,,open,N,,,, ,,,,
R82989,*CHINA PARK*,46 Maxcy Plaza Circle,FL,8633536848,8633536848,,open,N,,,, ,,,,
R82986,*^CHIN CHIN EXPRESS^*,2304 E Johnson Ave,AR,8702036188,8709193121,,reject,N,,,, ,,,,
R82985,*ORIENTAL CAFE*,549 W Highlands Ranch Pkwy,CO,3037910380,7203838005,,open,N,,,, ,,,,
R82923,KING'S WOK,14239 Powell Rd,FL,3526667399,3522387822,,open,N,,,, ,,,,
R82982,^ASIAN WOK^,8221 Arbor Square Dr,OH,5137706788,9173534268,,open,N,,,, ,,,,
R82956,^ATAMI^,3600 Dallas Hwy,GA,7704797738,6469279283,,open,N,,,, ,,,,
R82979,CHINA TASTE,7808 Bergenline Ave,NJ,2018697924,9173925897,,open,N,,,, ,,,,
R82978,GOLDEN WOK,159 Christopher St,NY,2124638182,,,suspended,N,,,, ,,,,
R82977,^ORIENTAL PEARL^,4520 S Sherwood Forest Blvd,LA,2252951919,2252022522,,open,N,,,, ,,,,
R82975,*HUNAN GARDEN*,419 S Broadway,NJ,8567428800,6462515890,,open,N,,,, ,,,,
R82973,^YUKI^,1573 Georgia Hwy NE 20,GA,7706790980,3476853336,,open,N,,,, ,,,,
R82968,^ICHIBAN EXPRESS^,3350 Footbridge Lane,NC,9103395070,9105840409,,open,N,,,, ,,,,
R82972,WEI'S CHINESE RESTAURANT,630 S Frontage Rd,WI,6088443534,3312222614,,open,N,,,, ,,,,
R82971,*^CG HIBACHI & WINGS^*,5050 Jimmy Carter Blvd,GA,6785800783,4044289812,,new,N,,,, ,,,,
R82969,*ASIA CAFE*,13981 Raised Antler Cir,VA,8047396688,,,open,N,,,, ,,,,
R82967,^YURIHANA^,6525 Gunpark Dr,CO,3035300499,7203780488,,open,N,,,, ,,,,
R82966,^RONG HUA^,1530 Washington Ave,WI,2628988899,3475993006,,open,N,,,, ,,,,
R82965,^CHINA EXPRESS^,816-A Elm St E,SC,8039439118,9175179213,,open,N,,,, ,,,,
R82963,CHOPSTIX EXPRESS,1085 Eagle Lake Dr,KY,5023534045,9178085766,,closed,N,,,, ,,,,
R82938,^ICHIRO KITCHEN^,1460 East St,CT,8604387884,3478852745,,reject,N,,,, ,,,,
R82957,*DO EAT*,33 Route 25A,NY,6313314466,5512167368,,reject,N,,,, ,,,,
R82959,HAPPY HOUSE,11063-C S. Memorial Drive,OK,9183699888,,,open,N,,,, ,,,,
R82933,*CHINA CAFE 7*,5436 Riverdale Rd,GA,7709077789,6463389316,,open,N,,,, ,,,,
R82961,*BAMBOO GARDEN*,2105 New Brunswick Ave,NJ,7329268708,9173656839,,open,N,,,, ,,,,
R82958,^YUMMY YUMMY^,5325 Park Forest Pkwy,SC,8437605586,,,open,N,,,, ,,,,
R82955,BAMBOO,3770 Carman Rd,NY,5183566878,5186057889,,open,N,,,, ,,,,
R82953,^YANG GARDEN^,9561 Cliffdale Rd,NC,9108686618,9104966776,,open,N,,,, ,,,,
R82951,*GREAT YUMMY*,153-29 Rockaway Blvd.,NY,7185255688,6462381199,,open,N,,,, ,,,,
R82952,PANDA CHINESE RESTAURANT,7645 State Road 54,FL,7273726263,7272719262,,open,N,,,, ,,,,
R82939,*CHINA TOWN*,405 Central Ave,NC,9195758455,9196372711,,suspended,N,,,, ,,,,
R82937,^FUJI CHINA^,4001 Widewater Pkwy,ND,9192178568,9194576681,,open,N,,,, ,,,,
R82932,^JJ DYNASTY^,4514 Sunrise Hwy,NY,6315672660,7186661591,,reject,N,,,, ,,,,
R82936,BIG WA,519 East Florence Blvd,AZ,5204217111,9287150821,,open,N,,,, ,,,,
R82935,*ANBEE BISTRO*,234 Martin Luther King Jr Blvd,GA,7702077989,6784691499,,reject,N,,,, ,,,,
R99981,SAKURA (TESTING),7335 West Chester Pike,PA,0,,,test,N,,,, ,,,,
R82929,MING CHINA,3 S Main St,NH,6038637730,9179306692,,open,N,,,, ,,,,
R82931,*ORIENTAL GARDEN*,1200 N Main Street,UT,4356231888,3474326794,,reject,N,,,, ,,,,
R82927,*MEI ZHEN*,1624 Laskin Rd,VA,7574258095,3475929599,,open,N,,,, ,,,,
R82928,GREAT WALL,113 First St NE,MN,3206321095,,,open,N,,,, ,,,,
R82925,*KANG'S GARDEN*,12221 W Linebaugh Ave,FL,8138145830,9173025650,,open,N,,,, ,,,,
R82926,^JOHN'S RESTAURANT^,4842 River Rd N,OR,5033931190,5039982718,,open,N,,,, ,,,,
R82922,PANDA,104 Stanford Rd,NC,7047481600,6463219281,,open,N,,,, ,,,,
R82921,MAIN MOON,29E Main St,OH,4192898800,5672157137,,open,N,,,, ,,,,
R82915,*TASTE OF CHINA*,4956 Long Beach Rd,NC,9104571838,3475756285,,open,Y,,,4956 Long Beach Rd SE,(910) 457-9398,,,,
R82916,GOOD TASTE,756 N Wellwood Ave,NY,6312268266,7186660856,,open,N,,,, ,,,,
R82919,*MANNA*,441-A Springfield St,MA,4137468880,9179517782,,open,N,,,, ,,,,
R82918,RUN & RUN,8560 Palm Pkwy,FL,4072380888,9172878356,,open,N,,,, ,,,,
R82917,*GOLD LION*,2411 S State Rte 291 Hwy,MO,8164788886,7186665340,,closed,N,,,, ,,,,
R82913,*CHINA BOWL*,645 Market St,NJ,8563651122,,,reject,N,,,, ,,,,
R82911,*CHEF LI*,4013 Tampa Rd,FL,8138149988,7272713767,,open,N,,,, ,,,,
R82912,DRAGON STAR,160 Robinson St,NY,6077728877,9172087073,,open,N,,,, ,,,,
R82903,^AMAZING WOK 2^,2169 S Taylor Rd,OH,2163978282,,,open,N,,,, ,,,,
R82909,TC CHICKEN,206 W Little York Rd,TX,8322679098,6466330149,,open,N,,,, ,,,,
R82907,^ASIA STAR^,39 Center St,PA,5706685588,,,open,N,,,, ,,,,
R82908,CHINA KING,67 E Main St,NY,6314230301,6466416502,,reject,N,,,, ,,,,
R82906,^BAMBOO GARDEN^,121 S Edwardsville St.,IL,6186357423,,,suspended,N,,,, ,,,,
R82902,HUA CHENG,578 9th Ave,NY,6468691888,6465150869,,open,N,,,, ,,,,
R82905,CHINA WOK,6901 W Okeechobee,FL,5616978368,6464101913,,open,N,,,, ,,,,
R82899,CHINA HOUSE,3086 Hwy 80 East,MS,7695725666,9172300889,,open,N,,,, ,,,,
R82898,^EAST WIND^,8230 Camp Creek,MS,6628909358,,,open,N,,,, ,,,,
R82901,^UDON SUSHI NOODLES^,129 S. Bleachery Blvd,NC,8283786882,,(828) 378-6882,open,N,,,, ,,,,
917.985.8870,*Sales (YaNing)*,Testing,AL,9179858870,,,test,N,,,, ,,,,
R82896,^OISHI JAPANESE FOOD^,2526 67th Ave Loop,MS,6014825558,9172167881,,open,N,,,, ,,,,
R99997,*^SUPER SET CHJP^*,3030 Northern Blvd,NY,0,,,template,N,,,, ,,,,
R82897,CHINA KING,4747 Suder Ave,OH,4197298788,,,open,N,,,, ,,,,
R82895,*MING HING*,315 Ocean Hwy S,NC,2524263397,9173712945,,open,N,,,, ,,,,
R82888,GOLDEN DRAGON,2227 Bessemer Rd,AL,2057888730,3476108007,,open,N,,,, ,,,,
R82892,^FUGU HIBACHI & SUSHI^,321 Jacaranda Blvd,FL,9412203916,9296668810,,open,N,,,, ,,,,
R82891,CHINA KING,300 Hwy 301,SC,8437742333,9177699997,,open,N,,,, ,,,,
R82879,^MIKOSHI^,209 Hampton Ave,SC,8648786900,2034441415,,open,N,,,, ,,,,
R81857,^ASIAN BISTROS II^,3219 Schoenersville Rd,PA,6104196088,9293021666,,reject,N,,,, ,,,,
R9CHEF1,CLONE CHEFKWO,15105-G John J. Delaney DR.,NC,1123423453,,,reject,N,,,, ,,,,
R99988D,JENN JAPAN CLONE4,Testing,AL,1123423453,,,reject,N,,,, ,,,,
RR99988C,JENN JAPAN CLONE3,Testing,AL,1234345234,,,reject,N,,,, ,,,,
R99988B,JENN JAPAN CLONE,Testing,AL,1123423453,,,reject,N,,,, ,,,,
R82882,CHINA CITY,318 S Michigan Ave,MI,9892499999,9899803588,,open,N,,,, ,,,,
R82893,^MAIN MOON^,8218 E Market St,OH,3308569388,6462861558,,open,N,,,, ,,,,
R82876,^CHAN'S BUFFET^,4165 24th Ave,MI,8103853838,8102941480,,open,N,,,, ,,,,
R82885,SIZZLING WOK,316 Boston Post Rd,CT,8604420888,,,suspended,N,,,, ,,,,
R82889,^TERIYAKI EXPRESS^,7008 E WT Harris Blvd,NC,7045350228,7045350228,,open,N,,,, ,,,,
R82881,CHINA GARDEN,8075 Oswego Road,NY,3156526677,3156526677,,open,N,,,, ,,,,
R82887,FIRST WOK,1683 W King St,IL,2174232900,9172168532,,open,N,,,, ,,,,
R82886,HAPPY GARDEN,6177 S. Jog Rd D12,FL,5619650608,5617044923,,open,Y,,,6177 S Jog Rd,(561) 963-2828,,,,
R82883,^CHINA HOUSE^,550 E Warren Ave,MI,3138318888,5862293794,,open,N,,,, ,,,,
R82877,^NEW CHINA^,7020 East Shelby Drive,TN,9017546777,,,open,N,,,, ,,,,
R82875,OCEAN CITY,5101 Ashley Phosphate Rd,SC,8435529200,9173309266,,open,N,,,, ,,,,
R82869,CHINA KING,230 Town Square Dr,MD,4103943688,,,open,N,,,, ,,,,
R82873,EMERALD,2300 North Third Street,PA,7179096600,,,open,N,,,, ,,,,
R82872,*FU SHING*,4341 School House Commons,NC,7044555399,,,open,N,,,, ,,,,
R82871,JIN JIN,221 E Franklin St,NC,7042834421,7043225962,,open,N,,,, ,,,,
R82868,HONG KONG,20377 Old Scenic Hwy,LA,2256585858,2256542212,,open,N,,,, ,,,,
R82867,^CHOPSTICKS^,628 N Robinson Dr,TX,2546625555,2146467053,,open,N,,,, ,,,,
R82866,*NO. 1*,1122-1124 State Street,NY,5183740874,,,closed,N,,,, ,,,,
R82862,PEKING GARDEN,529 Morris Ave,NJ,9086081188,6466751398,,open,N,,,, ,,,,
R82863,RAINBOW GARDEN,10581 E NC Hwy 97,NC,2529777822,,,open,N,,,, ,,,,
R82858,*^AHI SUSHI^*,650 D Newman Springs Rd,NJ,7322688133,,,reject,N,,,, ,,,,
R82859,^LIN'S ASIAN BISTRO^,13253 Rittenhouse Dr,VA,8047442088,6465916398,,open,N,,,, ,,,,
R82861,BEAN CURD,275 Main Street,NJ,9736355333,,,open,N,,,, ,,,,
R82855,TASTE OF CHINA,1783 Lakewood Ranch Blvd,FL,9417508833,9415388752,,open,N,,,, ,,,,
R82857,^HIBACHI 88^,1821 18th St,IA,7123360973,6462691283,,open,N,,,, ,,,,
R82853,^OISHI^,3506 Rainbow Dr,AL,2564138866,,,open,N,,,, ,,,,
R82856,CHINA ONE,1220 Palm Coast Pkwy,FL,3864457188,3322200874,,reject,N,,,, ,,,,
R82852,TASTE OF CHINA,2801 Ward Blvd,NC,2522918222,9179301861,,open,N,,,, ,,,,
